âbâ,eo6bu1ec
âciz,ao4exu1u4ro1o0
âcizâne,ao4exu1u4ro1o4ebo1o4h
âdâb-ı kur'âniye,edo4ebu1u4 fo2o9ro0eo6bo1u4bu2o4h
âdât,ao4edo4ebo2o0
âdemiyet,edo4mu4bu2o4bo2o0
âdet-i arziye,ao4edo4bo2u4 eo4ro0zo1u4bu2o4h
âdetullâh,ao4edo4bo2o9 ello8ho0
âdî,ao4edbu2
âdil,ao4edu4lo0
âdilâne,ao4edu4lo4ebo1o4h
âdil-i mutlak,ao4edu4lu4 mo9to0lo4fo2o0
âfâk,efo1o4efo2o0
âfâkî,eo6fo1eo4fo2u4bu2
âfâkî,efo1o4efo2bu2
âfât,efo1o4ebo2o0
âfât-ı semâviye,efo1o4ebo2u4 so4mo4ewu4bu2o4h
âgâh,eo6ko7o4eho0
âh u enîn,eo6ho9 w eo4bo1bu2bo1o0
âhir,exo1u4ro0
âhize,exo1u4do1o4h
âhar,exo1o4ro0
âkıbet,ao4efo2u4bu1o4bo2o0
âkıbet,ao4efo2u4bu1o4bo2o0
âkıl,ao4efo2u4lo0
âl,elo0
âlâm,elo4emo0
âlâm-ı firak,eo6lo4emu4 fo1u4ro4efo2o0
âlem-i bâtın,ao4elo4mu4 bu1o4etu4bo1o0
âlem-i berzah,ao4elo4mu4 bu1o4ro0ro1o4xo1o0
âlem-i ekber,ao4elo4mu4 eo4ko0bu1o4ro0
âlem-i ervâh,ao4elo4mu4 eo4ro0wo4exo0
âlem-i fenâ,ao4elo4mu4 fo1o4bo1eo4
âlem-i gayb,ao4elo4mu4 ao1o4bu2o0bu1o0
âlem-i hâricî,ao4elo4mu4 xo1o4eru4xu1u4bu2
âlem-i hakîkî,ao4elo4mu4 xo4fo2bu2fo2bu2
âlem-i kebîr,ao4elo4mu4 ko4bu1u4bu2ro0
âlem-i kesîf ve süflî,ao4elo4mu4 ko4bo3u4bu2fo1o0 wo4 so9fo1o0lu4bu2
âlem-i kesret,ao4elo4mu4 ko4bo3o0ro4bo2o0
âlem-i misâl,ao4elo4mu4 mu4bo3o4elo0
âlem-i mülk,ao4elo4mu4 mo9lo0ko0
âlem-i maddî,ao4elo4mu4 mo4edo8bu2
âlem-i ma'nâ,ao4elo4mu4 mo4ao0bo1o4e
âlem-i ma'nevî,ao4elo4mu4 mo4ao0bo1o4wbu2
âlem-i rûhânî,ao4elo4mu4 ro9wxo4ebo1bu2
âlem-i süflî,ao4elo4mu4 so9fo1o0lu4bu2
âlem-i şehâdet,ao4elo4mu4 so3o4ho4edo4bo2o0
âlem-i uhrevî,ao4elo4mu4 eo9xo1o0ro4wu4bu2
âlem-i uhrevîye,ao4elo4mu4 eo9xo1o0ro4wu4bu2o4h
âlem-i asgar,ao4elo4mu4 eo4zo0ao1o4ro0
âlem-i zuhûr,ao4elo4mu4 to1o9ho9wro0
âlî,ao4elbu2
âl-i beyt-i nebevî,elu4 bu1o4bu2o0bo2u4 bo1o4bu1o4wbu2
âl-i abâ,elu4 ao4bu1o4e
âlüfte,eo6lo9fo1o0bo2o4h
âmâde,eo6mo4edo4h
âmâl,eo6mo4elo0
âmennâ,eo6mo4bo1o4o8e
âmil,ao4emu4lo0
âmiyâne,ao4emu4bu2o4ebo1o4h
âmme,ao4emo4o8h
ârız,ao4eru4zo1o0
ârızî,ao4eru4zo1bu2
ârif,ao4eru4fo1o0
ârifâne,ao4eru4fo1o4ebo1o4h
ârifîn,ao4eru4fo1u4bu2bo1o0
âriyeten,ao4eru4bu2o4ho2o44
âsân,eo6so4ebo1o0
âsâr,ebo3o4ero0
âsâr-ı haşmet,eo6bo3o4eru4 xo4so3o0mo4bo2o0
âsâr-ı azamet,eo6bo3o4eru4 ao4to1o4mo4bo2o0
âsâyiş,eso4ebu2u4so3o0
âsî,ao4ezbu2
âsûde,eso9wdo4h
âsumân,eo6so9mo4ebo1o0
âşikâre,eo6so3u4ko4ero4h
âtıl,ao4etu4lo0
âvâre,eo6wo4ero4h
âvâz-ı hususî,eo6wo4ero1u4 xo1o9zo9wzu4bu2
âyâ,ebu2o4e
âyet-i hasbiye,ebu2o4bo2u4 xo4so0bu1u4bu2o4h
âyet-i tenzîl,eo6bu2o4bo2u4 bo2o4bo1o0ro1u4bu2lo0
âzâde,eo6ro1o4edo4h
bâb-ı seraskerî,bu1o4ebu1u4 so4ro0ao4so0ko4rbu2
bâhir,bu1o4ehu4ro0
bâhusûs,bu1o4exo1o9zo9wzo0
bâhusus,bu1o4exo1o9zo9wzo0
bâkî,bu1o4efo2bu2
bâkî,bu1o4efo2bu2
bâliğ,bu1o4elu4ao1o0
bânî,bu1o4ebo1bu2
bâr,bu1o4ero0
bâr-ı sakîl,bu1o4eru4 bo3o4fo2bu2lo0
bârî,bu1o4eru4bo5
bâriz,bu1o4eru4ro1o0
bâtıl,bu1o4etu4lo0
bâtın,bu1o4etu4bo1o0
bâtınî,bu1o4etu4bo1bu2
bed,bu1o4do0
bedâhet,bu1o4do4eho4bo2o0
bedâhet,bu1o4do4eho4bo2o0
bedâheten,bu1o4do4eho4bo2o44e
bedbîn,bu1o4do0bu1u4bu2bo1o0
bedbaht,bu1o4do0bu1o4xo1o0bo2o0
beden-i misâlî,bu1o4do4bo1u4 mu4bo3o4elu4bu2
bedevî,bu1o4do4wbu2
bedeviyet,bu1o4do4wu4bu2o4bo2o0
bedî',bu1o4dbu2ao0
bedî',bu1o4dbu2ao0
bedîhî,bu1o4dbu2hbu2
bedir,bu1o4du4ro0
bedîa,bu1o4du4bu2ao4h
behre,bu1o4ho0ro4h
