a,eo6
âb,eo6bu1
aba,abu1e
âbâ,eo6bu1ec
âbâd,eo6bu1ed
âbâdân,eo6bu1edebo1
abajur,eo6bu1ero3wr
abamak,eo6bu1emfo2
abandırmak,eo6bu1ebo1dyrmfo2
abâni,eo6bu1ebo1y
abanlamak,eo6bu1ebo1lemfo2
abanmak,eo6bu1ebo1mfo2
abanoz,eo6bu1ebo1wro1
abbasi,abu1esy
âbdâr,eo6bu1der
abdesâne,eo6bu1dsbo2xo1ebo1h
abdeslik,eo6bu1dsbo2lk
abdessiz,eo6bu1dsbo2sro1
abdest,eo6bu1dsbo2
abes,abu1bo2
abıhayat,eo6bu1 xbu2ebo2
âbid,aebu1d
abid,abu1d
âbide,eo6bu1dh
abla,eo6bu1le
ablak,eo6bu1lefo2
abluka,eo6bu1lwfo2h
abone,eo6bu1wbo1h
abuksabuk,eo6bu1wfo2 zebu1wfo2
aburcubur,eo6bu1wr xu1wbu1wr
abûs,abu1ws
acabâ,axu1bu1e
acar,eo6xu1er
acâyib,axu1ebo5bu1
aceb,axu1bu1
acele,axu1lh
aceleci,axu1lh||xu1y
Acem,axu1m
acemi,axu1my
acemilik,axu1mbu2lk
Acemistân,axu1msbo2ebo1
acenta,eo6xu1bo1bo2h
acı,eo6xu1y
acıklanmak,eo6xu1bu2fo2lebo1mfo2
acıklı,eo6xu1bu2fo2ly
acıkmak,eo6xu1bu2fo2mfo2
acıktırmak,eo6xu1bu2fo2dbu2rmfo2
acılık,eo6xu1bu2lfo2
acımak,eo6xu1bu2mfo2
acımtrak,eo6xu1bu2mbo2refo2
acınacak,eo6xu1bu2bo1h||xu1fo2
acındırmak,eo6xu1bu2bo1dbu2rmfo2
acınmak,eo6xu1bu2bo1mfo2
acıtmak,eo6xu1bu2bo2mfo2
acîb,axu1bu2bu1
acîbe,axu1bu2bu1h
âcil,aexu1l
âcilen,aexu1leo44
âciz,aexu1ro1
aciz,axu1ro1
âcizâne,aexu1ro1ebo1h
acûl,axu1wl
acûze,axu1wro1h
aç,eo6xu1
açar,eo6xu3er
açgözlü,eo6xu1 kwro1lw
açıcı,eo6xu3xu1y
açık,eo6xu3bu2fo2
açıkağız,eo6xu3bu2fo2 eo6ao1bu2ro1
açıkgöz,eo6xu3bu2fo2 ko7wro1
açıklamak,eo6xu1bu2fo2lemfo2
açıklık,eo6xu1bu2fo2lfo2
açılmak,eo6xu3lmfo2
açlık,eo6xu3lfo2
açma,eo6xu3mh
açmak,eo6xu3mfo2
açmaz,eo6xu3mero1
açmazlık,eo6xu3mero1lfo2
açtırmak,eo6xu3dbu2rmfo2
ad,eo6d
ada,eo6th
ada,eo6de
â'da,eade
âdâb,eo6debu1
â'dâd,eaded
adak,eo6defo2
adale,azo1lh
adâlet,adelbo2
adâletsiz,adelbo2sro1
adâletsizlik,adelbo2sro1lk
adalı,eo6th||ly
adalî,azo1ly
adam,eo6dem
