0,n0
1,n1
2,n2
3,n3
4,n4
5,n5
6,n6
7,n7
8,n8
9,n9
a,a
a,eo6
b,bu1
c,xu1
ç,xu3
d,d
d,zo1
e,e
e,h
f,fo1
g,ko7
g,ao1
ğ,ao1
h,h
h,x
h,xu1
ı,eu5
ı,ebu2
i,eu5
i,ebu2
j,ro3
k,k
k,fo2
l,l
m,m
n,bo1
n,ko3
o,eu9
o,ew
o,bo5w
ö,ew
ö,bo5w
p,bu3
r,r
s,s
s,z
s,bo3
ş,so3
t,bo2
t,t
t,so1
u,ew
u,eu9
u,bo5w
ü,ew
ü,eu9
ü,bo5w
v,w
y,bu2
z,ro1
z,do1
z,to1
z,so1
a'cam,eo5axu1em
a'cez,eo5axu1ro1
a'cube,eaxu1wbu1h
a'da,eo5ade
a'la,eo5ale
a'lâ,eale
a'mak,eamefo2
a'ma,eame
a'rab,earebu1
a'raf,eo5arefo1
a'raziyet,earzo1ybo2
a'raz,earezo1
a'ref,earfo1
a'sarnişîn,eo5azerbo1so3ybo1
a'tayna,eo4ao0to4yo0bo1o4e
a'zamiye,eo5ato1myh||
a'zamiyet,eo5ato1mybo2
a'zami,eo5ato1my||
a'şak,eo5aso3fo2
aba,abu1e
abese,abu1s
abesiyet,abu1bo3ybo2
abesiyyet,abu1bo3ybo2
abesiyyun,abu1bo3ywbo1
acaib,axu1eyo5bu1
acâip,axu1eyo5bu1
acb,axu1bu1
acet,eo6xu1bo2
acılan,eo6xu1ylebo1
acılaş,eo6xu1yleso3
tübba',bo2o9bu1o8o4ao0
ittiba',eu5bo2o8bu1ea
matba',mtbu1a
intıba',eu5bo1tbu1ea
işba',eu5so3bu1ea
irtica',eu5rbo2xu1ea
irca',eu5rxu1ea
ibda',eu5bu1dea
huda',xo1dea
intifa',eu5bo1bo2fo1ea
istişfa',eu5sbo2so3fo1ea
ilka',eu5lfo2ec
muttala',mo9to8o4lo4ao0
hem-matla',ho4mo0mo4to0lo4ao0
ıttıla',eu5to8lea
ma',mec
icma',eu5xu1mea
bil'icma',bu1u4eleu5xu1mea
istima',eu5sbo2mea
içtima',eu5xu1bo2mea
müvellidülma',mwlo8d elmec
isma',eu5smea
imtina',eu5mbo2bo1ea
ikna',eu5fo2bo1ea
afra',afo1rec
istifra',eu5sbo2fo1reao1
ihtira',eu5xo1bo2rea
berra',bu1o4ro8ec
sa',zea
muvatta',mo9wo4to8o4eo5o0
inkıta',eu5bo1fo2tea
ekva',eo5kwo4ao0
ziya',zo1yea
işa',aso3ec
inşa',eu5bo1so3ec
nebe',bo1bu1eo5
en-nebe',elbo1o8eo5
sebe',sbu1eo5
müşebbi',mso3bu1o8a
mübtedi',mbu1bo2da
râki',reka
müçtemi',mxu1bo2ma
mütelemmi',mbo2lmo8a
lâmi',lema
mevani',mwebo1a
ani's-sâni',abo1 elzo8ebo1a
anis-sâni',ao4bo1u4 elzo8o4ebo1u4a
mevâni',mwebo1a
bari',bu1eryo5
dari',zo1rya
müşerri',mso3ro8a
bâri',bu1eryo5
müsi',msyo5
tebayi',tbu1eya
students',su4bo2wdu4bo1o0bo2s
rubu',ro9bu1a
cu',xu1wa
tereffu',bo2rfo1o8a
telemmu',bo2lmo8a
teferru',bo2fo1ro8a
lâmeşru',lemso3rwa
temeyyu',bo2myo8a
huzu',xo1zo1wa
tavazzu',bo2wzo1o8a
tevazzu',bo2wzo1o8a
ferd-nev',fo1rd bo1wa
şey',so3yo5
ciz',xu1do1a
dâ',dec
mâ',mec
avrâ',awrec
işâ',aso3ec
cû',xu1wa
şurû',so3rwa
tele'lü',bo2lyo5lwo5
temanü',bo2mebo1a
tüsü',bo2o9sa
tenazü',bo2bo1ero1a
katı',fo2eta
mütekatı',mbo2fo2eta
lâyenkatı',le ybo1fo2ta
münkatı',mbo1fo2ta
satı',seta
kâtı',fo2eta
sâtı',seta
istidrac,eu5sbo2drexu1
ittiba,eu5bo2o8bu1ea
rica,rxu1e
ada,eo6th||
münteha,mbo1bo2hy||
sahiha,zxyxh||
fatiha,fo1ebo2xh||
reşha,rso3xh||
beka,bu1fo2e
lâhika,lexfo2h||
sema,smea
istima,eu5sbo2mea
kosturma,fo2wsbo2wrme
sina,sybo1e
garra,ao1ro8e
harevra,xo4ro4wo0re
nisa,bo1sec
nokta,bo1fo2th||
cava,xu1ewe
sava,zewh||
enbiya,eo5bo1bu1ye
ziya,zo1ye
kimya,kymye
ağa,eo6ao1e
baliğa,bu1elao1h||
bab,bu1ebu1
arab,arbu1
ahzab,eo5xro1ebu1
mektub,mkbo2wbu1
mi'rac,marexu1
istahr-âbad,eu5ztxo1r eo6bu1ed
cihad,xu1hed
ekrad,eo5kred
vücud,wxu1wd
hud,hwd
uhud,eo9xo9d
makasıd,mfo2ezd
saf,zfo1o8
havfullah,xo1wfo1 ello8o99h
mârifetullah,marfo1bo2 ello8o99h
makam,mfo2em
haram,xrem
kayyum,fo2yo8wm
kelâm,klem
selâm,slem
vesselâm,welslem
aleyhisselâm,alyh eslem
kısım,fo2sm
rahman,rxmebo1
iman,eymebo1
haziran,xro1yrebo1
imran,amrebo1
meb'usan,mbu1awbo3ebo1
vastan,westebo1
şirvan,so3yrwebo1
beyan,bu1yebo1
mu'ciz-il-beyan,maxu1ro1 elbu1yebo1
azîmüşşan,ato1ym elso3ebo1
gar,ao1er
zülfikar,do1w elfo1fo2er
şualar,so3aealr
arablar,arbu1lr
enmar,eo5bo1mer
lâhor,lehwr
nur,bo1wr
tur,twr
sav,zew
saray,srey
i'caz,eu5axu1ero1
hicaz,xxu1ero1
arz,eo5rzo1
mahfuz,mxfo1wto1
rumuz,rmwro1
yıldız,yyldyro1
abâ,abu1e
süflâ,sfo1le
işâ,aso3ec
sandıklı,zebo1dyfo2ly||
mukattaa,mfo2to8ah||
torba,twrbu1h||
iltica,eu5lbo2xu1e
yarımada,yerym||eo6th||
istibdad,eu5sbo2bu1ded
imtidad,eu5mbo2ded
irtidad,eu5rbo2ded
istidad,eu5sbo2aded
imdad,eu5mded
istimdad,eu5sbo2mded
defa,dfo1ah||
ihfa,eu5xo1fo1e
irtifa,eu5rbo2fo1ea
sofa,zwfo1h||
kavga,ao1ewao1e
sahiha,zxyxh||
sâliha,zelxh||
ittihad,eu5bo2o8xed
içtihad,eu5xu1bo2hed
ilhada,eu5lxed
lemha,lmxh||
imha,eu5mxe
iddia,eu5do8ae
vasia,wesah||
mutlaka,mtlfo2h||
in'ikad,eu5bo1afo2ed
zaikada,do1eyo5fo2h||
fabrika,fo1ebu1ryfo2h||
itikada,eu5abo2fo2edh
tokad,twfo2ebo2
amîka,amyfo2h||
sadıka,zedfo2h||
sâdıka,zedfo2h||
mıntıka,mbo1tfo2h||
takla,tefo2lh||
damla,temlh||
pusla,bu3wzlh||
ülema,alme
itimad,eu5abo2med
içtima,eu5xu1bo2mea
etba',eo5bo2bu1ea
ika',eyfo2ea
îka',eyfo2ea
sema',smea
zira',do1rea
makta',mfo2ta
niza',bo1ro1ea
müşa'şa',mso3aso3a
râbi',rebu1u4a
tâbi',bo2ebu1a
mürteci',mrbo2xu1a
şeci',so3xu1ya
merci',mrxu1a
müdafi',mdefo1a
menafi',mbo1efo1a
mündefi',mbo1dfo1a
nâfi',bo1efo1a
şâfi',so3efo1y
vaki',wefo2a
filvaki',fo1y elwefo2a
mevki',mwfo2a
metali',mtela
muttali',mto8la
semi',smya
müstemi',msbo2ma
kani',fo2ebo1a
mani',mebo1a
mümteni',mmbo2bo1a
mukni',mfo2bo1a
mâni',mebo1a
seri',srya
muti',mtya
nevi',bo1wa
mütenevvi',mbo2bo1wo8a
meşbu',mso3bu1wa
merfu',mrfo1wa
mesmu',msmwa
teberru',bo2bu1ro8a
serfüru',srfo1rw
şüru',so3rwa
huşu',xo1so3wa
semî',smya
serî',srya
mutî',mtya
şüyû',so3ywa
tedafü',bo2defo1a
seb'a,sbu1ah
bid'a,bu1dah
nef'a,bo1fo1ah
sem'a,smah
şer',so3ra
kat'a,fo2tae
kıt'a,fo2tah
rücu',rxu1wa
vuku',wfo2wa
mahlu',mxo1lwa
lümey'a,lmyah
cez',xu1ro1a
sû',swyo5
