â,eo6
âb,eo6bu1
âb,eo6bu1
abâ,abu1e
âbâ',eo6bu1ec
ab'âb,abu1aebu1
âbâd,eo6bu1ed
âbâd,eo6bu1ed
âbâdân,eo6bu1edebo1
âbâdânî,eo6bu1edebo1y
âbâdî,eo6bu1edy
âbâl,eo6bu1el
âbân,eo6bu1ebo1
abâpûş,abu1ebu3wso3
âbâr,eo6bu1er
âbcâme,eo6bu1xu1emh
âbçîn,eo6bu1xu3bu2bo1
abd,abu1d
âbdân,eo6bu1debo1
âbdâr,eo6bu1der
âbdendân,eo6bu1dbo1debo1
abdest,eo6bu1dsbo2
abdesthâne,eo6bu1dsbo2xo1ebo1h
âbek,eo6bu1k
abes,abu1bo3
âbgîne,eo6bu1ko7bu2bo1h
âbgîr,eo6bu1ko7bu2r
âbgûn,eo6bu1ko7wbo1
abher,abu1hr
âbhîz,eo6bu1xo1bu2ro1
âbhord,eo6bu1xo1wrd
âb-ı âbistenî,eo6bu1 eo6bu1sbo2bo1y
âb-ı adâlet,eo6bu1 adelbo2
âb-ı ahmer,eo6bu1 exmr
âb-ı âteşîn,eo6bu1 eo6bo2so3bu2bo1
âb-ı bâdereng,eo6bu1 bu1edh rbo1ko7
âb-ı engûr,eo6bu1 ebo1ko7wr
âb-ı harâbât,eo6bu1 xo1rebu1ebo2
âb-ı kevser,eo6bu1 kwbo3r
âbırû,eo6bu1rw
âbî,eo6bu1y
abîd,abu1bu2d
âbid,aebu1d
âbidât,eo6bu1debo2
âbide,eo6bu1dh
âbidevî,eo6bu1dwy
âbile,eo6bu1lh
âbir,aebu1r
âbisten,eo6bu1sbo2bo1
âbistengâh,eo6bu1sbo2bo1ko7eh
âbişhor,eo6bu1so3xo1wr
âbkâr,eo6bu1ker
âbkeş,eo6bu1kso3
âbnûs,eo6bu1bo1ws
âbrâh,eo6bu1reh
abraş,ebu1rso3
âbrîz,eo6bu1ryro1
âbşâr,eo6bu1so3er
abûs,abu1ws
âbühava,eo6bu1 w hwe
âbzih,eo6bu1ro1h
âc,aexu1
âc,eo6xu1
acâib,axu1ebo5bu1
acâleten,axu1elho2
aceb,axu1bu1
acebâ,axu1bu1e
acele,axu1lh
aceleten,axu1lho2
acem,axu1m
acemaşîran,axu1m aso3bu2rebo1
acemî,axu1my
acemistan,axu1msbo2ebo1
acemiyân,axu1mbu2ebo1
aceze,axu1ro1h
acîb,axu1bu2bu1
acîbe,axu1bu2bu1h
âcil,aexu1l
âcilen,aexu1le
acîn,axu1bu2bo1
âciz,aexu1ro1
âcizâne,aexu1ro1ebo1h
âcizî,aexu1ro1y
âciziyyet,aexu1ro1ybo2
acûl,axu1wl
acûlâne,axu1wlebo1h
acûz,axu1wro1
acûze,axu1wro1h
âcür,eo6xu1r
acz,axu1ro1
a'dâ,eade
âdâb,eo6debu1
a'dâd,eaded
adalât,azo1lebo2
adale,azo1lh
adâlet,adelbo2
adaletkâr,adelbo2ker
âdât,aedebo2
adâvet,adewbo2
add,ad
aded,add
adeden,adde
adedî,addy
adem,adm
âdem,eo6dm
ademâbâd,adm eo6bu1ed
âdemhâr,eo6dm xo1wer
âdemî,eo6dmy
adem-i muvaffakiyet,adm mwfo1fo2bu2bo2
adem-i muvazenet,adm mwero1bo1bo2
adem-i riâyet,adm raeybo2
adem-i te'lîfiyet,adm bo2eo5lbu2fo1bu2bo2
adem-i teveccüh,adm bo2wxu1h
âdemiyân,eo6dmbu2ebo1
âdemiyyet,eo6dmbu2bo2
ades,ads
adese,adsh
âdet,aedbo2
âdeta,aedbo2e
âdeten,adbo2e
adhâ,ezo1xy
âdi,aedy
adîd,adyd
adîde,adydh
adîl,adyl
âdil,aedl
âdilâne,adlebo1h
adîm,adym
adîmülimkân,adym elemkebo1
âdiye,aedyh
adl,adl
adlâ',ezo1lea
adlî,adly
adliyye,adlbu2h
adn,adbo1
adû,adw
âfâk,eo6fo1efo2
âfâkî,eo6fo1efo2y
âfât,eo6fo1ebo2
âferîde,eo6fo1rydh
âferîdgâr,eo6fo1rydko7er
âferîn,eo6fo1rybo1
âferîn,eo6fo1rybo1
âferînende,eo6fo1rybo1bo1dh
âferîniş,eo6fo1rybo1so3
âfet,eo6fo1bo2
âfetengîz,eo6fo1bo2 ebo1ko7bu2ro1
âfet-i cân,eo6fo1bo2 xu1ebo1
âfet-i devrân,eo6fo1bo2 dwrebo1
âfetresân,eo6fo1bo2 rsebo1
âfetzede,eo6fo1bo2 ro1dh
afîf,afo1bu2fo1
âfil,eo6fo1l
âfitâb,eo6fo1bo2ebu1
âfitâbcemâl,eo6fo1bo2ebu1  xu1mel
âfiyet,aefo1bu2bo2
afiyetbahş,eo6fo1bu2bo2 bu1xo1so3
afrika,efo1ryfo2e
afsun,efo1swbo1
âftâb,eo6fo1bo2ebu1
âftâbe,eo6fo1bo2ebu1h
âftâbgîr,eo6fo1bo2ebu1ko7bu2r
âftâbî,eo6fo1bo2ebu1y
âftâbrû,eo6fo1bo2ebu1 rw
afv,afo1w
âgâh,eo6ko7eh
âgâhî,eo6ko7ehy
âgeh,eo6ko7h
âgehî,eo6ko7hy
âgîn,eo6ko7bu2bo1
âgûş,eo6ao1wso3
âğâliş,eo6ao1elso3
ağayân,eo6ao1eyebo1
âğâz,eo6ao1ero1
ağbiyâ,eao1bu1bu2e
âğişte,eo6ao1so3bo2h
ağlâl,eao1lel
ağlât,eao1let
ağleb,eao1lbu1
ağleb-i ihtimâl,eao1lbu1 exbo2mel
ağnâ,eao1bo1y
ağnâm,eao1bo1em
ağniyâ,eao1bo1bu2e
ağniye,eao1bo1bu2h
ağrâs,eao1res
ağrâz,eao1rezo1
ağsân,eao1zebo1
ağşiye,eao1so3bu2h
ağyâr,eao1bu2er
ah,exo1
âh,eo6h
âh ü zâr,eo6h w ro1er
ahad,exd
âhâd,eo6xed
ahali,ehely
ahavât,exo1webo2
ahbâb,exbu1ebu1
ahbap,exbu1ebu1
ahbâr,exo1bu1er
ahcâr,exxu1er
ahd,ahd
ahdar,exzo1r
ahdâs,exdebo3
ahdeb,exdbu1
ahd-i atîk,ahd abo2bu2fo2
ahd-i cedîd,ahd xu1dyd
ahdnâme,ahdbo1emh
ahdüpeymân,ahd w bu3bu2mebo1
âhek,eo6hk
âhen,eo6hbo1
âhendil,eo6hbo1 dl
âheng,eo6hbo1ko7
âhengdâr,eo6hbo1ko7der
âhenger,eo6hbo1ko7r
âhenggüzâr,eo6hbo1ko7 ko7do1er
âheng-i esvât,eo6hbo1ko7 ezwebo2
âhenîn,eo6hbo1bu2bo1
âhenîndil,eo6hbo1bu2bo1 dl
âhenk,eo6hbo1ko7
âhenkdâr,eo6hbo1ko7 der
âhenkeş,eo6hbo1kso3
âhenrüba,eo6hbo1 rbu1e
âhensâ(y),eo6hbo1 sey
âher,eo6xo1r
âheste,eo6hsbo2h
âhestegî,eo6hsbo2ko7y
ahfâ,exo1fo1e
ahfâd,exfo1ed
ahger,exo1ko7r
ahibbâ,exbu1e
ahid,ahd
ahidşiken,ahdso3kbo1
âhîhte,eo6hbu2xo1bo2h
ahîr,eo6xo1r
âhirbîn,eo6xo1rbu1bu2bo1
âhire,eo6xo1rh
ahîren,exo1bu2re
âhiret,eo6xo1rbo2
âhir-i kâr,eo6xo1r ker
âhirin,eo6xo1rybo1
âhirkâr,eo6xo1rker
âhirülemr,eo6xo1relemr
âhiz,eo6xo1do1
ahize,eo6xo1do1h
ahkâm,exkem
ahlâf,exo1lefo1
ahlâk,exo1lefo2
ahlâken,exo1lefo2e
ahlâk-ı amelî,exo1lefo2 amly
ahlâk-ı hasene,exo1lefo2 xsbo1h
ahlâk-ı nazarî,exo1lefo2 bo1to1ry
ahlâk-ı zemîme,exo1lefo2 do1mbu2mh
ahlâkiyat,exo1lefo2bu2ebo2
ahlâkiyûn,exo1lefo2bu2wbo1
ahlâm,exlem
ahlât,exo1let
ahlât-ı erba'a,exo1let erbu1ah
ahmak,exmfo2
ahmakâne,exmfo2ebo1h
ahmakî,exmfo2y
ahmer,exmr
ahrâm,exrem
ahrâr,exrer
ahrârâne,exrerebo1h
ahrâs,exres
ahret,eo6xo1rbo2
ahsâs,exses
ahsen,exsbo1
ahşâ',exso3ec
ahşâb,exo1so3ebu1
ahşâm,exso3em
ahtâb,extebu1
ahtâr,exo1ter
âhte,eo6xo1bo2h
ahter,exo1bo2r
ahterbîn,exo1bo2rbu1bu2bo1
ahter-i dünbâledâr,exo1bo2r dbo1bu1elh der
ahterşinâs,exo1bo2rso3bo1es
ahterşümâr,exo1bo2rso3mer
ahu,exo1w
âhû,eo6hw
âhûbere,eo6hwbu1rh
âhûdil,eo6hwdl
âhund,eo6xo1wbo1d
âhûnigah,eo6hwbo1ko7eh
âhur,eo6xo1r
âhuvân,eo6hwebo1
âhûvâne,eo6hwebo1h
âhüvâh,eo6h w weh
âhüvâveylâ,eo6h w wewyle
âhüzâr,eo6h w ro1er
ahvâl,exwel
ahvâl-i âdiye,exwel aedyh
ahvâl-i sıhhiye,exwel zxbu2h
ahvef,exo1wfo1
ahvel,exwl
ahyâ,exbu2e
ahyâl,exo1bu2el
ahyânen,exbu2ebo1e
ahyâr,exo1bu2er
ahyât,exo1bu2et
ahz,exo1do1
ahzâb,exro1ebu1
ahzân,exro1ebo1
ahzar,exo1zo1r
ahzen,exro1bo1
ahzetmek,exo1do1
ahzüi'tâ,exo1do1 w ate
ahzükabz,exo1do1 w fo2bu1zo1
âid,aebo5d
âidât,aebo5debo2
âide,aebo5dh
â'ik,aebo5fo2
âika,aebo5fo2h
âile,aebo5lh
ailevî,aebo5lwy
âjeng,eo6ro3bo1ko7
âk,aefo2
akab,afo2bu1
akabât,afo2bu1ebo2
akabe,afo2bu1h
akâid,afo2ebo5d
akâmet,afo2embo2
akar,afo2er
akarât,afo2rebo2
akbeh,efo2bu1x
akd,afo2d
akdâh,efo2dex
akdâm,efo2dem
akdem,efo2dm
akdes,efo2ds
akıbet,aefo2bu1bo2
âkıbetbîn,aefo2bu1bo2 bu1bu2bo1
âkıbetendîş,aefo2bu1bo2 ebo1dyso3
âkıbetülemr,aefo2bu1bo2 elemr
akıl,afo2l
âkıl,aefo2l
âkılâne,aefo2l
âkıle,aefo2lh
âkır,aefo2r
âkid,aefo2d
akîde,afo2bu2dh
akîdefurûş,afo2bu2dh fo1rwso3
akîk,afo2bu2fo2
âkil,eo6kl
akîm,afo2bu2m
akis,aks
akl,afo2l
aklâm,efo2lem
aklen,efo2le
akl-ı bâliğ,afo2l bu1elao1
akl-ı evvel,afo2l ewl
akl-ı küll,afo2l kl
akl-ı mücerred,afo2l mxu1rd
akl-ı selim,afo2l slbu2m
aklıselim,afo2l slbu2m
aklî,afo2ly
akliyye,afo2lbu2h
akliyyûn,afo2lbu2wbo1
akm,afo2m
akmâr,efo2mer
akmişe,efo2mso3h
akrabâ,efo2rbu1ec
akran,efo2rebo1
akreb,efo2rbu1
akreb,afo2rbu1
akrebek,afo2rbu1k
aks,aks
aksâ,efo2zy
aksâm,efo2sem
aksâm-ı sâire,efo2sem sebo5rh
aksâ-yı emel,efo2zey eml
aksâ-yı şark,efo2zey so3rfo2
akser,efo2zr
aksî,aksy
aks-i müddeâ,aks mdae
aks-i sedâ,aks zde
aksülamel,aks elaml
aktâ',efo2tea
aktâb,efo2tebu1
aktâr,efo2ter
aktâr-ı cihân,efo2ter xu1hebo1
akûr,afo2wr
akûrâne,afo2wrebo1h
akvâl,efo2wel
akvâm,efo2wem
akviyâ,efo2wye
âl,eo6l
âl,ael
alâ,alec
alâ,aly
a'lâ,ealy
alâeyyihâl,aly ey xel
a'lâf,eo6lefo1
âlâf,eo6lefo1
alâhide,albu2xdh
alâik,alebo5fo2
alâim,alebo5m
alâim-i semâ,alebo5m sme
alak,alfo2
alâka,alefo2h
alâkabahş,alefo2h bu1xo1so3
alâkadar,alefo2h der
alakadârân,alefo2h derebo1
alâkadrilimkân,alefo2drelemkebo1
a'lâl,ealel
a'lâm,ealem
âlâm,eo6lem
alâmât,alemebo2
alâmet,alembo2
âlât,eo6lebo2
alâvechi,alu4y wxu1h
alâvefk,aly wfo1fo2
âlâyiş,eo6leyso3
aleddevam,aly eldwem
alef,alfo1
aleka,alfo2h
alelacele,aly elaxu1lh
alelâde,aly elaedh
alelamyâ,aly elambu2e
alelekser,aly elekbo3r
alelhusûs,aly elxo1zwz
alelıtlâk,aly eletlefo2
alelicmâl,aly elexu1mel
alelinfirâd,aly elebo1fo1red
alelistimrâr,aly elesbo2mrer
aleliştirâk,aly eleso3bo2rek
alelkifâye,aly elkfo1eyh
alelumûm,aly elamwm
alem,alm
a'lem,ealm
âlem,aelm
âlemârâ,aelm eo6re
alemdâr,almder
âlemefrûz,aelm efo1rwro1
âlemgîr,aelmko7bu2r
âlemiyân,aelmbu2ebo1
âlemşümûl,alm so3mwl
âlemtâb,aelmbo2ebu1
alenen,albo1e
alenî,albo1y
âlet,eo6lbo2
alettafsîl,aly elbo2fo1zbu2l
alettevâlî,aly elbo2wely
aleyh,albu2h
aleyhdar,albu2h der
aleyhisselâm,albu2h elslem
âlî,aely
âlîcâh,aely xu1eh
âlîcenâb,aely xu1bo1ebu1
âlihe,eo6lhh
âlîhimmet,aely hmbo2
âlîkadr,aely fo2dr
alîl,albu2l
alîm,albu2m
âlim,aelm
âlîmakâm,aely mfo2em
âlînazar,aely bo1to1r
âlîşan,aely so3ebo1
âliye,aelbu2h
aliyyülâlâ,aly eleale
allâh,eellh
allâme,alemh
âlû,eo6lw
âlûbâlu,eo6lwbu1elw
âlûd,eo6lwd
âlûde,eo6lwdh
âlûdedâmen,eo6lwdh dembo1
âlûdegî,eo6lwdko7y
âlüfte,eo6lfo1bo2h
a'mâ,eamy
âmâc,eo6mexu1
âmâcgâh,eo6mexu1ko7eh
âmâde,eo6medh
âmâdegî,eo6medko7y
a'mâk,eamefo2
a'mâl,eamel
a'mâl,eamel
âmâl,eo6mel
âmâl,eo6mel
a'mâr,eamer
âmâr,eo6mer
amd,amd
amden,amde
âmed,eo6md
âmedşüd,eo6mdso3d
âmedüreft,eo6mdwrfo1bo2
âmedüşüd,eo6mdwso3d
amel,aml
amele,amlh
amelen,amle
amelî,amly
ameliyât,amlbu2ebo2
ameliye,amlbu2h
âmennâ,eo6mbo1e
âmîhte,eo6mbu2xo1bo2h
amîk,ambu2fo2
âmil,aeml
amîm,ambu2m
âmîn,eo6mbo1
âminen,eo6mbo1e
âmir,eo6mr
âmirâne,eo6mrebo1h
âmiyâne,aembu2ebo1h
amm,am
âmm,aem
âmm,aem
ammâ,eme
ammâba'd,emebu1ad
amme,amh
amûd,amwd
amûden,amwde
amûdî,amwdy
âmurziş,eo6mrro1so3
âmûz,eo6mwro1
âmûzgâr,eo6mwro1ko7er
âmürzgâr,eo6mrro1ko7er
âmürziş,eo6mrro1so3
an,abo1
ân,ebo1
ân,eo6bo1
ân,eo6bo1
ânân,eo6bo1ebo1
an'anât,abo1abo1ebo2
an'ane,abo1abo1h
an'anevî,abo1abo1wy
anâsır,abo1ezr
anâsır-ı erba'a,abo1ezr erbu1ah
ânât,eo6bo1ebo2
anbean,eo6bo1 bu1h eo6bo1
anber,abo1bu1r
anberbû,abo1bu1rbu1w
andelîb,abo1dlbu2bu1
âne,ebo1h
anh,abo1h
anhâ,abo1he
anhâ,eo6bo1he
a'nî,eabo1y
ânî,eo6bo1y
ânifen,eo6bo1fo1e
âniyen,eo6bo1bu2e
ankâ,abo1fo2e
ankarîb,abo1 fo2rybu1
ankasdin,abo1 fo2zd
ankebût,abo1kbu1wbo2
ansamîmilkalb,abo1 zmbu2m elfo2lbu1
anûd,abo1wd
âr,aer
ârâ,eo6re
ârâ',eo6rec
arab,arbu1
a'râb,earebu1
arabî,arbu1y
a'râbî,earebu1y
arâ'is,arebo5s
arak,arfo2
arakçîn,arfo2xu3bu2bo1
arakdâr,arfo2der
arakıyye,arfo2bu2h
ârâm,eo6rem
ârâmbahş,eo6rem bu1xo1so3
ârâmgâh,eo6remko7eh
ârâmiş,eo6remso3
ar'ar,arar
ârâste,eo6resbo2h
ârâyiş,eo6reyso3
araz,arzo1
a'râz,earezo1
arâzî,erezo1y
arbede,arbu1dh
arbedecû,arbu1dh xu1w
ard,eo6rd
