âbâ,آباء
âciz,"عَاجِزْ "
âcizâne,"عَاجِزَانَه "
âdâb-ı kur'âniye,اٰدَابِ قُرْآنِيَه
âdât,عَادَاتْ
âdemiyet,"اٰدَمِيَتْ "
âdet-i arziye,عَادَتِ اَرْضِيَه
âdetullâh,"عَادَتُ اللّٰهْ "
âdî,عَاد۪ي
âdil,"عَادِلْ "
âdilâne,عَادِلَانَه
âdil-i mutlak,عَادِلِ مُطْلَقْ
âfâk,اٰفَاقْ
âfâkî,آفاَقِي
âfâkî,اٰفَاق۪ي
âfât,"اٰفَاتْ "
âfât-ı semâviye,"اٰفَاتِ سَمَاوِيَه "
âgâh,"آگَاهْ "
âh u enîn,"آهُ و اَن۪ينْ "
âhir,"اٰخِرْ "
âhize,"اٰخِذَه "
âhar,"اٰخَرْ "
âkıbet,عَاقِبَتْ
âkıbet,عَاقِبَتْ
âkıl,عَاقِلْ
âl,"اٰلْ "
âlâm,"اٰلَامْ "
âlâm-ı firak,آلَامِ فِرَاقْ
âlem-i bâtın,عَالَمِ بَاطِنْ
âlem-i berzah,عَالَمِ بَرْزَخْ
âlem-i ekber,عَالَمِ اَكْبَرْ
âlem-i ervâh,"عَالَمِ اَرْوَاحْ "
âlem-i fenâ,عَالَمِ فَناَ
âlem-i gayb,عَالَمِ غَيْبْ
âlem-i hâricî,عَالَمِ خَارِجِي
âlem-i hakîkî,عَالَمِ حَق۪يق۪ي
âlem-i kebîr,عَالَمِ كَبِيرْ
âlem-i kesîf ve süflî," عَالَمِ كَثِيفْ وَ سُفْلِي"
âlem-i kesret,عَالَمِ كَثْرَتْ
âlem-i misâl,"عَالَمِ مِثَالْ "
âlem-i mülk,عَالَمِ مُلْكْ
âlem-i maddî,عَالَمِ مَادّ۪ي
âlem-i ma'nâ,"عَالَمِ مَعْنَا "
âlem-i ma'nevî," عَالَمِ مَعْنَو۪ي"
âlem-i rûhânî,عَالَمِ رُوحَان۪ي
âlem-i süflî,عَالَمِ سُفْلِي
âlem-i şehâdet,"عَالَمِ شَهَادَتْ "
âlem-i uhrevî,"عَالَمِ اُخْرَوِي "
âlem-i uhrevîye,عَالَمِ اُخْرَوِيَه
âlem-i asgar,عَالَمِ اَصْغَرْ
âlem-i zuhûr,"عَالَمِ ظُهُورْ "
âlî,"عَال۪ي "
