a,ه
â,آ
âb,آب
aba,ابا
abâ,عبا
âbâ',آباء
ab'âb,عبعاب
abad,اباد
âbâd,آباد
âbâd,آباد
abadan,ابادان
âbâdân,آبادان
âbâdânî,آبادانی
âbâdânlık,آبادانلق
âbâdî,آبادی
abaka,آباقه
âbâl,آبال
abamak,آبامق
âbân,آبان
abandırmak,آبانديرمق
âbânî,آبانى
abanlamak,آبانلامق
abanmak,آبانمق
abanmak,ابانمق
abanoz,آبانوز
abanoz,ابنوس
abâpûş,عباپوش
âbâr,آبار
âbcâme,آبجامه
âbçîn,آبچين
abd,عبد
abdal,آبدال
abdallık,آبداللق
abdalsı,آبدالسى
âbdân,آبدان
abdar,ابدار
âbdâr,آبدار
âbdârlık,آبدارلق
âbdendân,آبدندان
abdest,آبدست
abdest,ابدست
âbdestân,آبدستان
abdesthâne,آبدستخانه
âbdestlik,آبدستلك
âbdestsiz,آبدستسز
abe,آبه‌
âbek,آبک
abes,عبث
âbgîne,آبگينه
âbgîr,آبگير
âbgôn,آبكون
âbgûn,آبگون
abher,عبهر
âbhîz,آبخيز
âbhord,آبخورد
âbıhayat,آب حيات
âbırû,آبرو
âbî,آبی
abîd,عبيد
âbid,عابد
âbide,آبده
âbidevî,آبدوی
abile,ابله
âbile,آبله
âbir,عابر
âbisten,آبستن
âbistengâh,آبستنگاه
âbişhor,آبشخور
âbkâr,آبکار
âbkeş,آبکش
abla,آبلا
abla,ابلا
abla,ابله
ablak,آبلاق
ablak,ابلق
abli,آبلى
abloka,آبلوقه
âbnôs,آبنوس
âbnûs,آبنوس
âbnûsiyye,آبنوسيه
abone,آبونه
abonelik,آبونه‌لك
âbrâh,آبراه
abraş,آبراش
abraş,ابرش
âbrîz,آبریز
âbrû,آبرو
abruy,ابروى
âbşâr,آبشار
abu,آبو
abu,ابو
abuk sabuk,آبوق‌صابوق
abur cubur,آبورجبور
abûs,عبوس
âbühava,آب و هوا
âbyârî,آبيارى
âbzih,آبزه
âc,آج
âc,عاج
acâib,عجائب
âcâl,آجال
acâleten,عجالة
acar,اجار
aceb,عجب
acebâ,عجبا
acele,عجله
aceleten,عجلة
acem,عجم
acemaşîran,عجم عشيران
acemî,عجمی
acemistan,عجمستان
acemiyân,عجميان
acente,آجنته
aceze,عجزه
acı,آجى
acık,آجيق
acıkılmak,آجيقلمق
acıklı,آجيقلى
acıkmak,آجيقمق
acıktırmak,آجيقديرمق
acılanmak,آجيلانمق
acılık,آجيلق
acımak,آجيمق
acımtırak,آجيمتراق
acınacak,"آجينه‌جق "
acındırmak,آجينديرمق
acınmak,آجنمق
acınmak,آجينمق
acırak," آجيراق"
acırga,آجيرغه
acırganmak,آجيرغنمق
acıtmak,آجيتمق
acîb,عجيب
acîbe,عجيبه
âcil," آجل"
âcil,عاجل
âcilen,آجلا
âcilen,عاجلا
acîn,عجين
âcir,آجر
âciz,عاجز
âcizâne,عاجزانه
âcizî,عاجزی
âciziyyet,عاجزیت
acûl,عجول
acûlâne,عجولانه
acur,آجور
acûz,عجوز
acûze,عجوزه
âcür,آجر
acyo,آجيو
acz,عجز
aç,آج
aç,اج
aç,اچ
aç gözlü," آج‌كوزلى"
aç gözlülük,آج‌كوزليلك
aç karnına,اج‌قارننه
aç karnına,اچ‌قارننه
açgözlü,اج‌كوزلو
açgözlü,اچ‌كوزلو
açıcı,آچيجى
açık,آچيق
açıkağızlı,آچيق‌آغزلى
açıklamak,آچيقلامق
açıklık,آچيقلق
açılmak,آچلمق
açkı,آچقى
açkıcı,آچقيجى
açlık,آجلق
açma,آچمه
açmak,آچمق
açmalık,آچمه‌لق
açmaz,آچماز
açmazlık,آچمازلق
açtırmak,آچديرمق
ada,آدا
a'dâ,اعدا
âdâb,آداب
âdab u erkân,آداب و ارکان
a'dâd,اعداد
adak,آداق
adalât,عضلات
adale,عضله
adâlet,عدالت
adaletkâr,عدالتکار
adam,آدم
adamak,آدامق
adamcağız,آدمجغز
adamcasına,آدمجه‌سنه
adamcık,آدمجق
adamcıl,آدمجيل
adamcılayın,آدمجيلاين
adamsız,آدمسز
adamsızlık,آدمسزلق
adaş,آداش
adaşlık,آداشلق
âdât,عادات
adatmak,آداتمق
adâvet,عداوت
add,عد
aded,عدد
adeden,عددا
adedî,عددی
adem,عدم
âdem,آدم
ademâbâd,عدم آباد
âdemhâr,آدم خوار
âdemî,آدمى
âdemî,آدمی
âdemiyân,آدميان
âdemiyyet,آدميت
ades,عدس
adese,عدسه
âdet,عادت
âdeta,عادتا
âdeten,عدتا
adhâ,اضحی
adımlamak,آديملامق
âdi,عادی
adîd,عدید
adîde,عدیده
adîl,عدیل
âdil,عادل
âdilâne,عدلانه
âdilik,عادیلك
adîm,عدیم
adîmülimkân,عدیم الامکان
âdiye,عادیه
adl,عدل
adlâ',اضلاع
adlamak,آدلامق
adlanmak,آدلانمق
adlı,آدلى
adlî,عدلی
adliyye,عدليه
adn,عدن
adsız,آدسز
adû,عدو
âfâk,آفاق
âfâkî,آفاقی
âfât,آفات
âferîde,آفریده
âferîdgâr,آفریدگار
âferîn,آفرین
âferîn,آفرین
âferînende,آفریننده
âferîniş,آفرینش
âfet,آفت
âfetengîz,آفت انگيز
âfetresân,آفت رسان
âfetzede,آفت زده
afîf,عفيف
âfil,آفل
âfitâb,آفتاب
âfitâbcemâl,آفتاب جمال
âfiyet,عافيت
afrika,افریقا
afsun,افسون
âftâb,آفتاب
âftâbe,آفتابه
âftâbgîr,آفتابگير
âftâbî,آفتابی
âftâbrû,آفتاب رو
afv,عفو
âgâh,آگاه
âgâhî,آگاهی
âgeh,آگه
âgehî,آگهی
âgîn,آگين
âgûş,آغوش
âğâliş,آغالش
âğâz,آغاز
ağbiyâ,اغبيا
âğişte,آغشته
ağlâl,اغلال
ağlât,اغلاط
ağleb,اغلب احتمال
ağnâ,اغنی
ağnâm,اغنام
ağniyâ,اغنيا
ağniye,اغنيه
ağrâs,اغراس
ağrâz,اغراض
ağsân,اغصان
ağşiye,اغشيه
ağyâr,اغيار
ah,اخ
âh,آه
ahad,احد
âhâd,آحاد
ahali,اهالی
ahar,آخار
aharlamak," آخارلامق"
ahavât,اخوات
ahbâb,احباب
ahbap,احباب
ahbâr,اخبار
ahcâr,احجار
ahd,عهد
ahdar,احضر
ahdâs,احداث
ahdeb,احدب
aid,عداي
âid,عائد
âidât,عائدات
âide,عائده
â'ik,عائق
âika,عائقه
âile,عائله
ailevî,عائلوی
âjeng,آژنگ
âk,عاق
akab,عقب
akabât,عقبات
akabe,عقبه
akâid,عقائد
akâmet,عقامت
akar,عقار
akarât,عقرات
akbeh,اقبح
akd,عقد
akdâh,اقداح
akdâm,اقدام
akdem,اقدم
akdes,اقدس
akıbet,عاقبت
âkıbetbîn,عاقبت بين
âkıbetendîş,عاقبت اندیش
âkıbetülemr,عاقبت الامر
akıl,عقل
âkıl,عاقل
âkılâne,عاقل
âkıle,عاقله
âkır,عاقر
âkid,عاقد
akîde,عقيده
akîdefurûş,عقيده فروش
akîk,عقيق
âkil,آکل
akîm,عقيم
akis,عکس
akl,عقل
aklâm,اقلام
aklen,اقلا
aklıselim,عقل سليم
aklî,عقلی
akliyye,عقليه
akliyyûn,عقليون
akm,عقم
akmâr,اقمار
akmişe,اقمشه
akrabâ,اقرباء
akran,اقران
akreb,اقرب
akreb,عقرب
akrebek,عقربک
aks,عکس
aksâ,اقصی
aksâm,اقسام
akser,اقصر
aksî,عکسی
aksülamel,عکس العمل
akşam,آخشام
aktâb,اقطاب
aktâr,اقطار
akûr,عقور
akûrâne,عقورانه
akvâl,اقوال
akvâm,اقوام
akviyâ,اقویا
âl,آل
âl,عال
alâ,علاء
alâ,علی
a'lâ,اعلی
alâeyyihâl,علی ای حال
a'lâf,آلاف
âlâf,آلاف
alâhide,عليحده
alâik,علائق
alâimisema,علائم سما
alak,علق
alâka,علاقه
alâkabahş,علاقه بخش
alâkadar,علاقه دار
alakadârân,علاقه داران
alâkadrilimkân,علاقدرالامکان
a'lâl,اعلال
a'lâm,اعلام
âlâm,آلام
alâmât,علامات
alâmet,علامت
âlât,آلات
alâvechi,علِی وجه
alâvefk,علی وفق
âlâyiş,آلایش
aleddevam,علی الدوام
alef,علف
aleka,علقه
alelacele,علی العجله
alelâde,علی العاده
alelamyâ,علی العميا
alelekser,علی الاکثر
alelhusûs,علی الخصوص
alelıtlâk,علی الاطلاق
alelicmâl,علی الاجمال
alelinfirâd,علی الانفراد
alelistimrâr,علی الاستمرار
aleliştirâk,علی الاشتراک
alelittifak,على الاتفاق
alelkifâye,علی الکفایه
alelumûm,علی العموم
alem,علم
a'lem,اعلم
âlem,عالم
âlemârâ,عالم آرا
alemdâr,علمدار
âlemefrûz,عالم افروز
âlemgîr,عالمگير
âlemiyân,عالميان
âlemşümûl,علم شمول
âlemtâb,عالمتاب
alenen,علنا
alenî,علنی
âlet,آلت
alettafsîl,علی التفصيل
alettevâlî,علی التوالی
aleyh,عليه
aleyhdar,عليه دار
aleyhisselâm,عليه السلام
ali,على
âlî,عالی
âlîcâh,عالی جاه
âlîcenâb,عالی جناب
âlihe,آلهه
âlîhimmet,عالی همت
âlîkadr,عالی قدر
alîl,عليل
alîm,عليم
âlim,عالم
âlîmakâm,عالی مقام
âlînazar,عالی نظر
âlîşan,عالی شان
âliye,عاليه
aliyyülâlâ,علی الاعلا
Allâh,الله
allâme,علامه
âlû,آلو
âlûbâlu,آلوبالو
âlûd,آلود
âlûde,آلوده
âlûdedâmen,آلوده دامن
âlûdegî,آلودگی
âlüfte,آلفته
a'mâ,اعمی
âmâc,آماج
âmâcgâh,آماجگاه
âmâde,آماده
âmâdegî,آمادگی
a'mâk,اعماق
a'mâl,اعمال
âmâl,آمال
a'mâr,اعمار
âmâr,آمار
amca,عموجه
amd,عمد
amden,عمدا
âmed,آمد
âmedşüd,آمدشد
âmedüreft,آمدورفت
âmedüşüd,آمدوشد
amel,عمل
amele,عمله
amelen,عملا
amelî,عملی
ameliyât,عمليات
ameliye,عمليه
âmennâ,آمنا
âmîhte,آميخته
amîk,عميق
âmil,عامل
amîm,عميم
âmîn,آمن
âminen,آمنا
âmir,آمر
âmirâne,آمرانه
âmiyâne,عاميانه
amm,عم
âmm,عام
âmm,عام
ammâ,اما
amme,عمه
amûd,عمود
amûden,عمودا
amûdî,عمودی
âmurziş,آمرزش
âmûz,آموز
âmûzgâr,آموزگار
âmürzgâr,آمرزگار
âmürziş,آمرزش
an,عن
ân,آن
ân,آن
ân,ان
ânân,آنان
an'anât,عنعنات
an'ane,عنعنه
an'anevî,عنعنوی
anâsır,عناصر
ânât,آنات
anbean,آن به آن
anber,عنبر
anberbû,عنبربو
andelîb,عندليب
âne,انه
anh,عنه
anhâ,آنها
anhâ,عنها
anınçün,آنڭچون
a'nî,اعنی
ânî,آنی
ânifen,آنفا
âniyen,آنيا
ankâ,عنقا
ankarîb,عن قریب
ankasdin,عن قصد
