Abayhan,آبایخان
Abay,آبای
Abbas,عباس
Abdal,عبدال
Abdik,عبدیك
Abdi,عبدی
Abdülâlim,عبدالعالم
Abdülazim,عبدالعظیم
Abdulaziz,عبدالعزیـز
Abdülaziz,عبدالعزیـز
Abdülbaki,عبدالباقی
Abdülbari,عبدالباری
Abdülbasir,عبدالباصیر
Abdülbasit,عبدالباسیط
Abdülcabbar,عبدالجبار
Abdülcebbar,عبدالجبار
Abdülcelil,عبدالجلیل
AbdülcemAl,عبدالجمال
Abdülcevat,عبدالجواد
Abdülezel,عبدال ازل
Abdülferit,عبدالفرید
Abdülfettah,عبدالفتاح
Abdülgaffar,عبدالغفار
Abdülgaffur,عبدالغفور
Abdülgafur,عبدالغفور
Abdülgani,عبدالغنی
Abdülhadi,عبدالهادی
Abdülhakim,عبدالحكیم
Abdülhak,عبدالحق
Abdülhalik,عبدالخالق
Abdulhalim,عبدالحلیم
Abdülhalim,عبدالحلیم
Abdulhamid,عبدالحمید
Abdulhamit,عبدالحمید
Abdülhamit,عبدالحمید
Abdülkadir,عبدالقدیر
Abdülkahhar,عبدالقهار
Abdülkerim,عبدالكریم
Abdullah,عبدالله
Abdullatif,عبداللطیف
Abdüllatif,عبداللطیف
Abdüllâtif,عبداللطیف
Abdülmecit,عبدالمجید
Abdülmelik,عبدالملیك
Abdülmennan,عبدالمنان
Abdülmetin,عبدالمتین
Abdülnasır,عبدالناصر
Abdülvahap,عبدالوهاب
Abdülvahit,عبدالواحد
Abdürrahim,عبدالرحیم
Abdurrahman,عبدالرحمن
Abdürrahman,عبدالرحمن
Abdürrauf,عبدالروف
Abdürreşit,عبدالرشید
Abdürrezzak,عبدالرزاق
Abdüssamet,عبدالصمد
Abdüssami,عبدالسامی
Abdüsselâm,عبدالسلام
Abdüssemi,عبدالسمیع
Abdüssettar,عبدالستار
Abdüzzeki,عبدالذكی
Abidin,عابدین
Abid,عابد
Abil,آبل
Abir,عابر
Abır,عابر
Abit,عابد
Ablak,ابلاق
Abraş,آبراش
Abuşka,ابوشقه
ABUZER,ابوذر
Acabey,اجابك
Acahan,اجاخان
Acaralp,اجارآلپ
Acarbey,اجاربگ
Acarer,اجارار
Acarman,اجارمان
Acaröz,اجاروز
Acarsoy,آجرصوی
Acartürk,آجارتورك
Acatay,اجاتای
Acıdaş,اجیداش
Açıkalın,آچیق آلین
Açıkel,آچیق أل
Açıker,آچیق أر
Açıkgün,آچیقكون
Açıl,آچیل
Açine,آچینه
Aclan,آجلان
Acun,آجون
Acunal,آجونال
Acunalp,آجون آلپ
Acuner,آجون أر
Acunman,آجونمان
Acunseven,آجونسون
Adahan,اطه خان
Adalet,عدالت
Adamış,آدامیش
Adnan,عدنان
Adasal,آطه سال
Adaş,آداش
Aday,ادای
Adem,عدم
Âdem,آدم
Adıgün,آدیكون
Adilhan,عادلخان
Adil,عادل
Adın,آدڭ
Adın,آدن
Adısanlı,آدی صانلی
Adısönmez,آدی سونمز
Adıvar,آدیوار
Adıyahşi,آدی یخشی
Adıyaman,آدییامان
Adlan,آدلان
Adlığ,آدلیغ
Adli,عدلی
Adlı,آدلی
Adnan,عدنان
Adni,عدنی
Adsız,آدسز
Adsoy,آدصوی
Afacan,آفاجان
Afer,اعفر
Afif,عفیف
Afşar,آفشار
Afşin,آفشین
Ağabay,آغابای
Ağacan,آغاجان
Ağahan,آغاخان
Agâh,آگاه
Ağakan,آغاقان
Ağaner,آغان أر
Ağa,آغا
Ağaoğlu,آغااوغلی
Ağarantan,آغارانطان
Ağar,آغار
Ağaverdi,آغاویردی
Ağcabey,آغجابگ
Ağçelik,آغچلیك
Ağer,آغر
Agil,آغیل
Ağın,آغین
Ağırtaş,آغیرطاش
Ağnak,آغناق
Ağyar,آغیار
Ahen,آهن
Ahfeş,آهفش
Ahi,آخی
Ahıska,آخسخه
Ahmet,احمد
Ajlan,آژلان
Akabay,آقابای
Akabey,آقابگ
Akadlı,آقادلی
Akad,آقاد
Akağan,آقاغان
Akagündüz,آقاگوندوز
Akalan,آقالان
Akal,آقال
Akal,اعقل
Akal,اقل
Akalp,آقالپ
Akaltan,آقالتان
Akaner,آقانر
Akan,آقان
Aka,آقا
Akansu,آقانصو
Akant,آقانت
Akanyıldız,آقان ییلدز
Akarca,آقارجه
Akarçay,آقارچای
Akarsel,آقارسل
Akartuna,آقارطونه
Akartürk,آقارتورك
Akasma,آقاصمه
Akasoy,آقاصوی
Akata,آقاتا
Akatay,آقاتای
Akaydın,آقایدین
Akbaran,آقباران
Akbaş,آقباش
Akbatu,آقباتو
Akbatur,آقباطور
Akbayar,آقبایار
Akbay,آقبای
Akbek,آقبك
Akbel,آقبل
Akbet,آقبت
Akbey,آقبگ
Akbilge,آقبیلگه
Akbil,آقبیل
Akboğa,آقبوغه
Akbora,آقبوره
Akbörü,آقبورو
Akboy,آقبوی
Akbudun,آقبودون
Akbuğ,آقبوغ
Akbulut,آقبولوط
Akburak,آقبراق
Akburçak,آقبورچاق
Akburç,آقبورج
Akçabay,آقچابای
Akçael,آقچه أل
Akçakan,آقچاقان
Akçakaya,آقچاقایا
Akçakıl,آقچاقیل
Akçakoca,آقچاخواجه
Akçalı,آقچالی
Akçal,آقچال
Akçam,آقچام
Akçan,آقچان
Akçay,آقچای
Akcebe,آقجبه
Akçer,آقچر
Akçığır,آقچیغیر
Akçınar,آقچینار
