'add etmek,عدا
'ahd,عهد
'aksi,عكسى
'alev,علو
'alevlenmek,علولنمك
'amûd,عمود
'ayb,عيب
(okka) endâze ile olan,قيه اندازه ايله اولان
(okka) endâze ile satmak,قيه اندازه ايله صاتمق
(okka) endâze ile satış,قيه اندازه ايله صاتش
--lik etmek,لك ا
-a dak,ئه
-a dak,ئه دق
-a doğru,ئه طوغرى
-a kadar,ئه قدر
-a karşı,ئه قارشو
-a karşı,ئه قارشى
-a,ئه
-an,عن
-da,ده
-dan dolayı,دن طولايى
-dan hâric,دن خارج
-dan olmak,دن او
-dan yana olmak,دن يانه او
-dan ötürü,دن اوتورى
-dan,دن
-de,ده
-den aşağı,دن اشاغى
-den başka,دن بشقه
-den eksik,دن اكسك
-den fazla,دن فضله
-den hâriç,دن خارج
-den mâadâ,دن ماعدا
-den yukarı,دن يوقارى
-den ziyâde yukârıya çıkmak,دن زياده يوقارى چيقمق
-den ziyâde,دن زياده
-den öteye,دن اوته يه
-diği gibi,ديغى كبى
-e dek,ئه دق
-e dek,ئه دك
-e değin,ئه دكين
-e göre,ئه كوره
-e kadar,ئه قدر
-e,ئه
-ez,از
-im,م
-in,ك
-ları,لرى
-li,لو
-lü,لو
-min,من
-nın,نك
-nız,كز
-ya,يه
-ım,م
,طاشاقلرينى كسمك
Allah,الله
Allaha ısmarladık,اللهه اصمارلدق
Allahtan korkmaz,اللهدن قورقمز
Allahı severseniz!,اللهى سورسه كز
Allâha ısmarladık,اللهه اصمارلدق
Gird,
Muhammedî,محمدى
Nuh gemisi,نوح كميسى
Osmanlı memleketi,عثمانلو مملكتى
Osmanlı vilâyeti,عثمانلوولايتى
Osmanlı,عثمانلو
Osmanlı,عثمانلو طپراغى
Osmanlıca,عثمانلوجه
Rahmân,رحمن
Rahîm,رحيم
Türk uşağı,ترك اوشاغى
Türk,ترك
Türkçe,تركجه
a'lâ,اعلا
a'lâlık,اعلالق
a'ma,اعمى
a'yân,اعيان
a'zam,اعظم
a'zâ,اعضا
a'zâsı endâmından hâriç olan,اعضاسى اندامندن جارج اولان
a'zâsını tefrîk etmek,اعضاسنى تفريق ا
a'şârî,اعشارى
a,ئه
abanmak,ابانمق
abbreviate,
abd,عبد
abdest almak,ابدست المق
abdest,ابدست
abdesthâne,ابدستخانه
abdâr,ابدار
abede-i esnâm,عبده اصنام
abede-i evsân,عبده اوثان
abede,عبده
abes,عبث
abhor,
abla,ابله
abluka,ابلوقه
abolish,
abâdân etmek,ابادان ا
abâdân,ابادان
acayib,عجيب
acayip tabiatlı,عجيب طبيعتلو
acaîb şey,عجيب شى
acaîb,عجيب
acele etmek,عجله ا
acele ettirmek,عجله ايتدرمك
acele ile,عجله ايله
acele,عجله
acemî,عجمى
acz,عجز
acâib,عجائب
acîb (acaib),عجيب
acîb (acayib),عجيب
acîb,عجيب
acîbe,عجيبه
acûz,عجوز
acı su,اجى صو
acı,اجى
acıkmak,اجقمق
acımak,اجيمق
acınacak,اجنه جق
acır,اجر
acısını çıkarmak,اجيسنى چيقارمق
acıtmak,اجتمق
acıyor,اجيور
ad koymak,ادقومق
ad takmak,ادطاقمق
ad vermek,ادويرمق
ad vermek,ادويرمك
ad,اد
ada tavşanı,اطه طوشانى
ada,اطه
adabalığı,اطه بالغى
adak,اداق
adam boğulur,ادم بوغلور
adam ile donatmak,ادم ايله دوناتمق
adam koymak,ادم قومق
adam yerine koymamak,ادم يرينه قومامق
adam,ادم
adamlarına izin vermek,ادملرينه اذن ويرمك
adamlık,ادملق
adamı aldatır,ادمى الدادر
adamın bedine gitmek,ادمك بدينه كتمك
adamın canını sıkar,ادمك جاننى صيقار
adamın gücüne gider,ادمك كوجنه كيدر
adamın gücüne gitmek,ادمك كوجنه كتمك
adamın yüreği dayanmaz,ادمك يوركى طيانمز
adamın yüreğini kanatmak,ادمك يوركنى قاناتمق
adaçayı,اطه چايى
add etmek,عدا
addâş,ادداش
aded hesâbı,عدد حسابى
aded-i sahîh,عدد صحيح
aded,عدد
adedi ziyâde olmak,عددى زياده او
adem (adam),ادم
adem-i ehliyyet,عدم اهليت
adem-i emniyyet,عدم امنيت
adem-i hürmet,عدم حرمت
adem-i i'tikâd,عدم اعتقاد
adem-i iffet,عدم عفت
adem-i ihtirâm,عدم احترام
adem-i iktidâr,عدم اقتدار
adem-i incâz,عدم انجاز
adem-i ismet,عدم عصمت
adem-i itâat,عدم اطاعت
adem-i metânet,عدم متانت
adem-i mufâvakat,عدم موافقت
adem-i rağbet,عدم رغبت
adem-i riâyet,عدم رعايت
adem-i rızâ,عدم رضا
adem-i sadâkat,عدم صداقت
adem-i salâhiyyet,عذم صلاحيت
adem-i takayyüd,عدم تقيد
adem-i temeyyül,عدم تميل
adem-i tenâsüb,عدم تناسب
adem-i vefâ,عدم وفا
adem-i îmân,عدم ايمان
adem,عدم
adres,ادرس
adâlet,عدالت
adâvet etmek,عداوت ا
adâvet,عداوت
adîm-ül-imkân,عديم الامكان
adû,عدو
adüvv,عدو
adım,اديم
aferin,افرين
aforoz,افروز
aforoz,افوروز
afv etmek,عفو ا
afv etmek,عفوا
afv olunmaz,عفواولمز
afv,عفو
afvetmez,عفوايتمز
afvi âmm,عفوعام
afyon,افيون
afyonruhu,افيون روحى
afîf,عفيف
afîfe,عفيفه
agniyâ,اغنيا
