a,h
â,eo6
âb,eo6bu1
aba,ebu1e
abâ,abu1e
âbâ',eo6bu1ec
ab'âb,abu1aebu1
abad,ebu1ed
abadan,ebu1edebo1
âbâdân,eo6bu1edebo1
âbâdânî,eo6bu1edebo1y
âbâdânlık,eo6bu1edebo1lfo2
âbâdî,eo6bu1edy
abaka,eo6bu1efo2h
âbâl,eo6bu1el
abamak,eo6bu1emfo2
âbân,eo6bu1ebo1
abandırmak,eo6bu1ebo1dbu2rmfo2
âbânî,eo6bu1ebo1y
abanlamak,eo6bu1ebo1lemfo2
abâpûş,abu1ebu3wso3
âbâr,eo6bu1er
âbcâme,eo6bu1xu1emh
âbçîn,eo6bu1xu3bu2bo1
abd,abu1d
abdal,eo6bu1del
abdallık,eo6bu1dellfo2
abdalsı,eo6bu1delsy
âbdân,eo6bu1debo1
abdar,ebu1der
âbdâr,eo6bu1der
âbdârlık,eo6bu1derlfo2
âbdendân,eo6bu1dbo1debo1
âbdestân,eo6bu1dsbo2ebo1
abdesthâne,eo6bu1dsbo2xo1ebo1h
âbdestlik,eo6bu1dsbo2lk
âbdestsiz,eo6bu1dsbo2sro1
abe,eo6bu1h||
âbek,eo6bu1k
abes,abu1bo3
âbgîne,eo6bu1ko7bu2bo1h
âbgîr,eo6bu1ko7bu2r
âbgôn,eo6bu1kwbo1
âbgûn,eo6bu1ko7wbo1
abher,abu1hr
âbhîz,eo6bu1xo1bu2ro1
âbhord,eo6bu1xo1wrd
âbıhayat,eo6bu1 xbu2ebo2
âbırû,eo6bu1rw
âbî,eo6bu1y
abîd,abu1bu2d
âbid,aebu1d
âbide,eo6bu1dh
âbidevî,eo6bu1dwy
abile,ebu1lh
âbile,eo6bu1lh
âbir,aebu1r
âbisten,eo6bu1sbo2bo1
âbistengâh,eo6bu1sbo2bo1ko7eh
âbişhor,eo6bu1so3xo1wr
âbkâr,eo6bu1ker
âbkeş,eo6bu1kso3
abli,eo6bu1ly
abloka,eo6bu1lwfo2h
âbnôs,eo6bu1bo1ws
âbnûs,eo6bu1bo1ws
âbnûsiyye,eo6bu1bo1wsbu2h
abone,eo6bu1wbo1h
abonelik,eo6bu1wbo1h||lk
âbrâh,eo6bu1reh
âbrîz,eo6bu1ryro1
âbrû,eo6bu1rw
abruy,ebu1rwy
âbşâr,eo6bu1so3er
abuk sabuk,eo6bu1wfo2||zebu1wfo2
abur cubur,eo6bu1wrxu1bu1wr
abûs,abu1ws
âbühava,eo6bu1 w hwe
âbyârî,eo6bu1bu2ery
âbzih,eo6bu1ro1h
acâib,axu1ebo5bu1
âcâl,eo6xu1el
acâleten,axu1elho2
acar,exu1er
aceb,axu1bu1
acebâ,axu1bu1e
acele,axu1lh
aceleten,axu1lho2
acem,axu1m
acemaşîran,axu1m aso3bu2rebo1
acemî,axu1my
acemistan,axu1msbo2ebo1
acemiyân,axu1mbu2ebo1
acente,eo6xu1bo1bo2h
aceze,axu1ro1h
acı,eo6xu1y
acık,eo6xu1bu2fo2
acıkılmak,eo6xu1bu2fo2lmfo2
acıklı,eo6xu1bu2fo2ly
acıkmak,eo6xu1bu2fo2mfo2
acıktırmak,eo6xu1bu2fo2dbu2rmfo2
acılanmak,eo6xu1bu2lebo1mfo2
acılık,eo6xu1bu2lfo2
acımak,eo6xu1bu2mfo2
acımtırak,eo6xu1bu2mbo2refo2
acınacak,eo6xu1bu2bo1h||xu1fo2
acındırmak,eo6xu1bu2bo1dbu2rmfo2
acırak,eo6xu1bu2refo2
acırga,eo6xu1bu2rao1h
acırganmak,eo6xu1bu2rao1bo1mfo2
acıtmak,eo6xu1bu2bo2mfo2
acîb,axu1bu2bu1
acîbe,axu1bu2bu1h
acîn,axu1bu2bo1
âcir,eo6xu1r
âciz,aexu1ro1
âcizâne,aexu1ro1ebo1h
âcizî,aexu1ro1y
âciziyyet,aexu1ro1ybo2
acûl,axu1wl
acûlâne,axu1wlebo1h
acur,eo6xu1wr
acûz,axu1wro1
acûze,axu1wro1h
âcür,eo6xu1r
acyo,eo6xu1bu2w
acz,axu1ro1
aç gözlü,eo6xu1||kwro1ly
aç gözlülük,eo6xu1||kwro1lbu2lk
açıcı,eo6xu3bu2xu1y
açık,eo6xu3bu2fo2
açıkağızlı,eo6xu3bu2fo2||eo6ao1ro1ly
açıklamak,eo6xu3bu2fo2lemfo2
açıklık,eo6xu3bu2fo2lfo2
açılmak,eo6xu3lmfo2
açkı,eo6xu3fo2y
açkıcı,eo6xu3fo2bu2xu1y
açlık,eo6xu1lfo2
açma,eo6xu3mh
açmak,eo6xu3mfo2
açmalık,eo6xu3mh||lfo2
açmaz,eo6xu3mero1
açmazlık,eo6xu3mero1lfo2
açtırmak,eo6xu3dbu2rmfo2
ada,eo6de
a'dâ,eade
âdâb,eo6debu1
âdab u erkân,eo6debu1 w erkebo1
a'dâd,eaded
adak,eo6defo2
adalât,azo1lebo2
adale,azo1lh
adâlet,adelbo2
adaletkâr,adelbo2ker
adam,eo6dm
adamak,eo6demfo2
adamcağız,eo6dmxu1ao1ro1
adamcasına,eo6dmxu1h||sbo1h
adamcık,eo6dmxu1fo2
adamcıl,eo6dmxu1bu2l
adamcılayın,eo6dmxu1bu2lebu2bo1
adamsız,eo6dmsro1
adamsızlık,eo6dmsro1lfo2
adaş,eo6deso3
adaşlık,eo6deso3lfo2
âdât,aedebo2
adatmak,eo6debo2mfo2
adâvet,adewbo2
add,ad
aded,add
adeden,adde
adedî,addy
adem,adm
âdem,eo6dm
ademâbâd,adm eo6bu1ed
âdemhâr,eo6dm xo1wer
âdemiyân,eo6dmbu2ebo1
âdemiyyet,eo6dmbu2bo2
ades,ads
adese,adsh
âdet,aedbo2
âdeta,aedbo2e
