abes,abu1bo3
abese,abu1s
abesiyet,abu1bo3ybo2
abesiyet-i,abu1bo3ybo2u4
abesiyete,abu1bo3ybo2h
abesiyeti,abu1bo3ybo2y
abesiyetin,abu1bo3ybo2ko3
abesiyetle,abu1bo3ybo2lh
abesiyetten,abu1bo3ybo2dbo1
abesiyyet,abu1bo3ybo2
abesiyyet-i,abu1bo3ybo2u4
abesiyyete,abu1bo3ybo2h
abesiyyeti,abu1bo3ybo2y
abesiyyetle,abu1bo3ybo2lh
abesiyyetten,abu1bo3ybo2dbo1
abesiyyun,abu1bo3ywbo1
abestir,abu1bo3dr
abîdane,abu1ydebo1h
âbid,aebu1d
âbid-i,aebu1du4
âbiddir,aebu1ddr
âbiddirler,aebu1ddrlr
âbide,eo6bu1dh
abideleri,eo6bu1dh||lry
abidenin,eo6bu1dh||bo1ko3
âbidesi,eo6bu1dh||sy
âbidesidir,eo6bu1dh||sydr
âbidesine,eo6bu1dh||sbo1h
abidesini,eo6bu1dh||sbo1y
âbidesinin,eo6bu1dh||sbo1ko3
# âbidîn,eo6bu1dybo1 hatalı imla
âbidi,aebu1dy
âbidler,aebu1dlr
âbidlerin,aebu1dlrko3
âbidlerine,aebu1dlrybo1h
âbidsiz,aebu1dsro1
abluka,eo6bu1lwfo2h
ablukaya,eo6bu1lwfo2h||yh
aboneler,eo6bu1wbo1h||lr
abus,abu1ws
abûs,abu1ws
# âb–ı,eo6bu1u4 #av
acaba,axu1bu1e
acabâ,axu1bu1e
acaib,axu1eyo5bu1
acaib-i,axu1eyo5bu1u4
acaib-ül,axu1eyo5bu1 el
acaibce,axu1eyo5bu1xu1h
acâibce,axu1eyo5bu1xu1h
acaibden,axu1eyo5bu1dbo1
acaibdendir,axu1eyo5bu1dbo1dr
acaibdir,axu1eyo5bu1dr
acaibe,axu1eyo5bu1h
acaibi,axu1eyo5bu1y
acaibin,axu1eyo5bu1ko3
acaibindendir,axu1eyo5bu1bo1dbo1dr
