aciz,ao4exu1u4ro1o0
acizane,ao4exu1u4ro1o4ebo1o4h||
adab-ı kur'aniye,eٰdo4ebu1u4 fo2o9ro0eo6bo1u4yo4h||
adat,ao4edo4ebo2o0
ademiyet,eٰdo4mu4yo4bo2o0
adet-i arziye,ao4edo4bo2u4 eo4ro0zo1u4yo4h||
adetullah,ao4edo4bo2o9 ello8ٰho0
adi,ao4ed۪y
adil,ao4edu4lo0
adilane,ao4edu4lo4ebo1o4h||
adil-i mutlak,ao4edu4lu4 mo9to0lo4fo2o0
afak,eٰfo1o4efo2o0
afaki,eo6fo1eo4fo2u4y
afaki,eٰfo1o4efo2۪y
afat,eٰfo1o4ebo2o0
afat-ı semaviye,eٰfo1o4ebo2u4 so4mo4ewu4yo4h||
agah,eo6ko7o4eho0
ah u enin,eo6ho9 w eo4bo1۪ybo1o0
ahir,eٰxo1u4ro0
ahize,eٰxo1u4do1o4h||
ahar,eٰxo1o4ro0
akıbet,ao4efo2u4bu1o4bo2o0
akıl,ao4efo2u4lo0
al,eٰlo0
alam,eٰlo4emo0
alam-ı firak,eo6lo4emu4 fo1u4ro4efo2o0
alem-i batın,ao4elo4mu4 bu1o4etu4bo1o0
alem-i berzah,ao4elo4mu4 bu1o4ro0ro1o4xo1o0
alem-i ekber,ao4elo4mu4 eo4ko0bu1o4ro0
alem-i ervah,ao4elo4mu4 eo4ro0wo4exo0
alem-i fena,ao4elo4mu4 fo1o4bo1eo4
alem-i gayb,ao4elo4mu4 ao1o4yo0bu1o0
alem-i harici,ao4elo4mu4 xo1o4eru4xu1u4y
alem-i hakiki,ao4elo4mu4 xo4fo2۪yfo2۪y
alem-i kebir,ao4elo4mu4 ko4bu1u4yro0
alem-i kesif ve süfli,ao4elo4mu4 ko4bo3u4yfo1o0 wo4 so9fo1o0lu4y
alem-i kesret,ao4elo4mu4 ko4bo3o0ro4bo2o0
alem-i misal,ao4elo4mu4 mu4bo3o4elo0
alem-i mülk,ao4elo4mu4 mo9lo0ko0
alem-i maddi,ao4elo4mu4 mo4edo8۪y
alem-i ma'na,ao4elo4mu4 mo4ao0bo1o4e
alem-i ma'nevi,ao4elo4mu4 mo4ao0bo1o4w۪y
alem-i ruhani,ao4elo4mu4 ro9wxo4ebo1۪y
alem-i süfli,ao4elo4mu4 so9fo1o0lu4y
dil,du4lo0
alem-i şehadet,ao4elo4mu4 so3o4ho4edo4bo2o0
alem-i uhrevi,ao4elo4mu4 eo9xo1o0ro4wu4y
alem-i uhreviye,ao4elo4mu4 eo9xo1o0ro4wu4yo4h||
alem-i asgar,ao4elo4mu4 eo4zo0ao1o4ro0
alem-i zuhur,ao4elo4mu4 to1o9ho9wro0
ali,ao4el۪y
al-i beyt-i nebevi,eٰlu4 bu1o4yo0bo2u4 bo1o4bu1o4w۪y
al-i aba,eٰlu4 ao4bu1o4e
alüfte,eo6lo9fo1o0bo2o4h||
amade,eo6mo4edo4h||
amal,eo6mo4elo0
amenna,eo6mo4bo1o4o8e
amil,ao4emu4lo0
amiyane,ao4emu4yo4ebo1o4h||
amme,ao4emo4o8h||
arız,ao4eru4zo1o0
arızi,ao4eru4zo1۪y
arif,ao4eru4fo1o0
arifane,ao4eru4fo1o4ebo1o4h||
arifin,ao4eru4fo1u4ybo1o0
ariyeten,ao4eru4yo4ho2o44
asan,eo6so4ebo1o0
asar,eٰbo3o4ero0
asar-ı haşmet,eo6bo3o4eru4 xo4so3o0mo4bo2o0
asar-ı azamet,eo6bo3o4eru4 ao4to1o4mo4bo2o0
asayiş,eٰso4eyu4so3o0
asi,ao4ez۪y
asude,eٰso9wdo4h||
asuman,eo6so9mo4ebo1o0
aşikare,eo6so3u4ko4ero4h||
atıl,ao4etu4lo0
avare,eo6wo4ero4h||
avaz-ı hususi,eo6wo4ero1u4 xo1o9zo9wzu4y
aya,eٰyo4e
ayet-i hasbiye,eٰyo4bo2u4 xo4so0bu1u4yo4h||
ayet-i tenzil,eo6yo4bo2u4 bo2o4bo1o0ro1u4ylo0
azade,eo6ro1o4edo4h||
bab-ı seraskeri,bu1o4ebu1u4 so4ro0ao4so0ko4r۪y
bahir,bu1o4ehu4ro0
bahusus,bu1o4exo1o9zo9wzo0
baki,bu1o4efo2۪y
baliğ,bu1o4elu4ao1o0
bani,bu1o4ebo1۪y
bar,bu1o4ero0
bar-ı sakil,bu1o4eru4 bo3o4fo2۪ylo0
bari,bu1o4eru4bo5
bariz,bu1o4eru4ro1o0
batıl,bu1o4etu4lo0
batın,bu1o4etu4bo1o0
batıni,bu1o4etu4bo1۪y
bed,bu1o4do0
bedahet,bu1o4do4eho4bo2o0
bedaheten,bu1o4do4eho4bo2o44e
bedbin,bu1o4do0bu1u4ybo1o0
bedbaht,bu1o4do0bu1o4xo1o0bo2o0
beden-i misali,bu1o4do4bo1u4 mu4bo3o4elu4y
bedevi,bu1o4do4w۪y
bedeviyet,bu1o4do4wu4yo4bo2o0
bedi',bu1o4d۪yao0
bedihi,bu1o4d۪yh۪y
bedir,bu1o4du4ro0
bedia,bu1o4du4yao4h||
behre,bu1o4ho0ro4h||
beht,bu1o4ho0bo2o0
bel',bu1o4lo0ao0
belagat,bu1o4lo4eao1o4bo2o0
beliğ,bu1o4l۪yao1o0
beni-adem,bu1o4bo1۪y eo6do4mo0
berat,bu1o4ro4ebo2o0
beray-ı ma'lumat,bu1o4ro4eyu4 mo4ao0lo9wmo4ebo2o0
berd,bu1o4ro0do0
beri,bu1o4r۪y
berk,bu1o4ro0fo2o0
berk-i zail,bu1o4ro0fo2u4 ro1o4ebo5u4lo0
berr,bu1o4ro0
berri,bu1o4ru4o8y
berriye,bu1o4ru4o8yo4h||
bertaraf,bu1o4ro0to4ro4fo1o0
berzah,bu1o4ro0ro1o4xo1o0
besmele,bu1o4so0mo4lo4h||
beşaret,bu1o4so3o4ero4bo2o0
beşaret-i gaybiye,bu1o4so3o4ero4bo2u4 ao1o4yo0bu1u4yo4h||
beşaret-i semaviye,bu1o4so3o4ero4bo2u4 so4mo4ewu4yo4h||
beşer,bu1o4so3o4ro0
beşeriyet,bu1o4so3o4ru4yo4bo2o0
bevl,bu1o4wo0lo0
beyan,bu1o4yo4ebo1o0
beyanat,bu1o4yo4ebo1o4ebo2o0
beyanat-ı medhiye,bu1o4yo4ebo1o4ebo2u4 mo4do0xu4yo4h||
beyanname,bu1o4yo4ebo1o0bo1o4emo4h||
beyhude,bu1o4yo0ho9wdo4h||
beynelmilel,bu1o4yo0bo1o4 elo0mu4lo4lo0
biçare,bu1۪yxu3o4ero4h||
bidayet,bu1u4do4eyo4bo2o0
bid'at,bu1u4do0ao4bo2o0
bi-günah,bu1۪y ko7o9bo1o4eho0
bi-haber,bu1۪y xo1o4bu1o4ro0
bihakkın,bu1u4xo4fo2u44o8
bil'ahire,bu1u4elo0eٰxo1u4ro4h||
bila-istisna,bu1u4lo4e eu4so0bo2u4bo3o0bo1o4e
bilcümle,bu1u4elo0xu1o9mo0lo4h||
bilfiil,bu1u4elo0fo1u4au4lo0
bilhak,bu1u4elo0xo4fo2o0
bilhassa,bu1u4elo0xo1o4ezo4o8h||
bil'icma',bu1u4elo0eu4xu1o0mo4eao0
bil'iltizam,bu1u4elo0eu4lo0bo2u4ro1o4emo0
bil'iman,bu1u4elo0e۪ymo4ebo1o0
bil'isti'dad,bu1u4elo0eu4so0bo2u4ao0do4edo0
bil'istihkāk,bu1u4elo0eu4so0bo2u4xo0fo2o4efo2o0
bil'iştiyak,bu1u4elo0eu4so3o0bo2u4yo4efo2o0
bil'ittifak,bu1u4elo0eu4yu4o8fo1o4efo2o0
bilkuvve,bu1u4elo0fo2o9wo4o8h||
bilvasıta,bu1u4elo0wo4esu4to4h||
bil'umum,bu1u4elo0ao9mo9wmo0
bil'akis,bu1u4elo0ao4ku4so0
bina,bu1u4bo1o4e
binaen,bu1u4bo1o4eco44
