turkish_latin,needs_suffix,
aban,F,
abart,F,
ac,T,
acı,F,
acık,F,
acındır,F,
ada,F,
added,T,
addet,F,
adımla,F,
afalla,F,
affed,T,
affet,F,
affol,F,
afsunla,F,
agula,F,
ahded,T,
ahdet,F,
ahla,F,
ak,F,
akla,F,
aksa,F,
aksat,F,
aksed,T,
akset,F,
aksır,F,
aktar,F,
akıt,F,
al,F,
alala,F,
alazla,F,
aldan,F,
aldat,F,
aldır,F,
algıla,F,
alkışla,F,
alla,F,
alçal,F,
alçalt,F,
alıkon,F,
alıkoy,F,
alın,F,
alış,F,
amaçla,F,
an,F,
anla,F,
anlat,F,
anlaş,F,
ansı,F,
antlaş,F,
anımsa,F,
anır,F,
apar,F,
apış,F,
ara,F,
arakla,F,
arala,F,
aran,F,
araştır,F,
ardıl,F,
art,F,
artakal,F,
arzed,T,
arzet,F,
arzula,F,
arın,F,
arıt,F,
as,F,
aslol,F,
asıl,F,
at,F,
ata,F,
ateşle,F,
atfed,T,
atfet,F,
atla,F,
atlat,F,
atıl,F,
atış,F,
atıştır,F,
avla,F,
avun,F,
avut,F,
avuçla,F,
ay,F,
ayarla,F,
ayart,F,
aydınlat,F,
ayrıl,F,
ayrımsa,F,
ayrış,F,
ayıkla,F,
ayıl,F,
ayılt,F,
ayıpla,F,
ayır,F,
ayırded,T,
ayırdet,F,
ayırıver,F,
az,F,
azal,F,
azarla,F,
azgınlaş,F,
azlolun,F,
azmed,T,
azmet,F,
azımsa,F,
azıt,F,
aç,F,
açıkla,F,
açımla,F,
açın,F,
ağ,F,
ağar,F,
ağla,F,
ağna,F,
ağrı,F,
ağın,F,
ağır,F,
ağırla,F,
ağırsa,F,
aş,F,
aşağıla,F,
aşer,F,
aşıla,F,
aşın,F,
bahsed,T,
bahset,F,
bahşe^t,F,
bak,F,
bakakal,F,
bakın,F,
balkı,F,
ban,F,
bandır,F,
bangırda,F,
barın,F,
barış,F,
bas,F,
bat,F,
bay,F,
bayatla,F,
bayıl,F,
bayındırlaş,F,
bağda,F,
bağdaş,F,
bağla,F,
bağlan,F,
bağlaş,F,
bağrı,T,
bağır,F,
bağışla,F,
başar,F,
başed,T,
başet,F,
başgöster,F,
başkaldır,F,
başla,F,
başvur,F,
becer,F,
bekin,F,
bekit,F,
bekle,F,
beler,F,
belgele,F,
belir,F,
belirle,F,
belirt,F,
belle,F,
benilde,F,
benimse,F,
benze,F,
benzet,F,
benzeş,F,
berki,F,
bert,F,
besle,F,
betimle,F,
beyaned,T,
beyanet,F,
bez,F,
beze,F,
bezil,F,
beğen,F,
bil,F,
bildir,F,
bile,F,
bileş,F,
bin,F,
birik,F,
birleş,F,
bit,F,
bitiş,F,
biç,F,
bocala,F,
bodosla,F,
bohçala,F,
bokla,F,
bolal,F,
bolar,F,
bombala,F,
boya,F,
boyala,F,
boyla,F,
boynuzla,F,
boz,F,
bozar,F,
bozla,F,
bozuş,F,
boğ,F,
boğasa,F,
boğazla,F,
boğumla,F,
boşa,F,
boşal,F,
boşan,F,
boşla,F,
briketle,F,
buda,F,
bul,F,
bula,F,
bulaş,F,
bulgula,F,
bulun,F,
bulundur,F,
bulutla,F,
buluş,F,
buna,F,
bunal,F,
bur,F,
burgula,F,
burk,F,
buruş,F,
buy,F,
buyur,F,
buzağıla,F,
buğula,F,
böl,F,
bölümle,F,
bölüş,F,
böğür,F,
bük,F,
bükün,F,
bürü,F,
bütçele,F,
bütünle,F,
büyü,F,
büyükse,F,
büyüle,F,
büyült,F,
büz,F,
büzgüle,F,
büzüş,F,
büğe,F,
bık,F,
bıngılda,F,
bırak,F,
bıçakla,F,
camla,F,
canlan,F,
canlandır,F,
carla,F,
cavla,F,
cay,F,
cayırda,F,
cazırda,F,
celbet,F,
cereyaned,T,
cereyanet,F,
cevapla,F,
cilala,F,
ciltle,F,
ciyakla,F,
copla,F,
coş,F,
cumbala,F,
cumbulda,F,
cumburda,F,
cımbarla,F,
cımbızla,F,
cırla,F,
cırmala,F,
cırmıkla,F,
cırnakla,F,
cırtla,F,
cırılda,F,
cıvatala,F,
cıvı,F,
cıvılda,F,
cıyakla,F,
cıyırda,F,
cızla,F,
cızırda,F,
dadan,F,
dal,F,
dala,F,
dalaş,F,
dalla,F,
damgala,F,
damla,F,
damıt,F,
dansed,T,
danset,F,
danış,F,
daral,F,
darbele,F,
darıl,F,
darlaş,F,
davran,F,
daya,F,
dayakla,F,
dayan,F,
dazla,F,
dağla,F,
dağıl,F,
dağıt,F,
de,F,
debelen,F,
defed,T,
defet,F,
defle,F,
defned,T,
defnet,F,
defnolun,F,
defol,F,
dehle,F,
del,F,
delir,F,
demetle,F,
demirle,F,
demle,F,
dene,F,
denetle,F,
deneyle,F,
dengele,F,
denkle,F,
denşir,F,
depola,F,
depren,F,
depreş,F,
der,F,
derecele,F,
deriş,F,
derle,F,
derpişed,T,
derpişet,F,
destekle,F,
destele,F,
devin,F,
devir,F,
devit,F,
devral,F,
devred,T,
devret,F,
devril,F,
devrol,F,
devşir,F,
değ,F,
değerlendir,F,
değin,F,
değir,F,
değiş,F,
değnekle,F,
deş,F,
deşele,F,
di,F,
didikle,F,
didin,F,
didiş,F,
dik,F,
dikel,F,
dikil,F,
dikizle,F,
dil,F,
dile,F,
dilen,F,
dilimle,F,
din,F,
dinamitle,F,
dinel,F,
dingilde,F,
dinle,F,
dinlen,F,
diple,F,
dipçikle,F,
dire,F,
diren,F,
diret,F,
direş,F,
dirgenle,F,
diril,F,
dirilt,F,
dirsekle,F,
diz,F,
dizginle,F,
dizile,F,
dizle,F,
dişe,F,
dişle,F,
doku,F,
dokun,F,
dol,F,
dola,F,
dolandır,F,
dolaş,F,
doluk,F,
domal,F,
don,F,
dona,F,
donakal,F,
donat,F,
dorukla,F,
dosyala,F,
doy,F,
doyur,F,
doğ,F,
doğra,F,
doğrul,F,
doğrula,F,
doğur,F,
dumanla,F,
dur,F,
durakla,F,
duraksa,F,
durala,F,
durul,F,
durula,F,
duvakla,F,
duy,F,
duyumsa,F,
duyur,F,
duyul,F,
dök,F,
dökün,F,
dölle,F,
dön,F,
dönel,F,
dönen,F,
dönüş,F,
dörtle,F,
döv,F,
döğ,F,
döşe,F,
düdükle,F,
dür,F,
dürt,F,
dürtükle,F,
dürümle,F,
düz,F,
düzel,F,
düzelt,F,
düzenle,F,
düzle,F,
düğ,F,
düğmele,F,
düğümle,F,
düş,F,
düşle,F,
düşün,F,
dımbırdat,F,
dırlaş,F,
dışla,F,
ebele,F,
ebrula,F,
ed,T,
edil,F,
edin,F,
efsunla,F,
ek,F,
ekle,F,
eklemle,F,
eksil,F,
ekşi,F,
eldeed,T,
eldeet,F,
ele,F,
elektrikle,F,
eleştir,F,
elkoy,F,
elle,F,
elver,F,
em,F,
emayla,F,
emekle,F,
empozeed,T,
empozeet,F,
emred,T,
emret,F,
emreyle,F,
emzir,F,
endazele,F,
endeksle,F,
ene,F,
engelle,F,
enikle,F,
ensele,F,
epri,F,
er,F,
ergi,F,
erginle,F,
eri,F,
erin,F,
eriş,F,
ertele,F,
es,F,
esenle,F,
eser,F,
esindir,F,
esinle,F,
esirge,F,
eski,F,
esne,F,
esri,F,
et,F,
etekle,F,
eterle,F,
etiketle,F,
etki,F,
etkile,F,
ever,F,
evir,F,
evlekle,F,
evlen,F,
evril,F,
evse,F,
eyerle,F,
eyle,F,
ez,F,
ezberle,F,
eğ,F,
eğele,F,
eğerle,F,
eğil,F,
eğin,F,
eğir,F,
eğit,F,
eğle,F,
eğlen,F,
eğleş,F,
eğril,F,
eğrit,F,
eş,F,
eşele,F,
eşin,F,
eşitle,F,
eşle,F,
faksla,F,
farked,T,
farket,F,
farzed,T,
farzet,F,
farı,F,
faturala,F,
felfelle,F,
ferahla,F,
feshed,T,
feshet,F,
fethed,T,
fethet,F,
fidele,F,
fihristle,F,
filarizle,F,
filizle,F,
fingirdeş,F,
firketele,F,
fiskele,F,
fitille,F,
fitle,F,
fitnele,F,
fiyatla,F,
fişle,F,
fişırdat,F,
flitle,F,
fondiple,F,
fosfatla,F,
fosla,F,
fosurda,F,
fotoğrafla,F,
frenle,F,
frezele,F,
fıkırda,F,
fırla,F,
fırçala,F,
fırınla,F,
fısfısla,F,
fısla,F,
fısılda,F,
fıçıla,F,
fışkıla,F,
fışkır,F,
fışla,F,
fışılda,F,
gagala,F,
gakla,F,
galvanizle,F,
gammazla,F,
garantile,F,
garipse,F,
gayreted,T,
gayretet,F,
gazla,F,
geber,F,
gecele,F,
gecik,F,
ged,F,
gedil,F,
gel,F,
geliş,F,
gemle,F,
gencel,F,
genelle,F,
genişle,F,
genleş,F,
ger,F,
gerek,F,
gerekse,F,
gereksin,F,
gerile,F,
gerin,F,
gerçekle,F,
gerçekleş,F,
getir,F,
gev,F,
gevele,F,
gevre,F,
gevşe,F,
gez,F,
gezele,F,
gezin,F,
gezle,F,
geç,F,
geçerle,F,
geçgeçle,F,
geçin,F,
geçir,F,
geçiş,F,
geğir,F,
gid,T,
gider,F,
gir,F,
giriş,F,
git,F,
giy,F,
giyin,F,
gizle,F,
gocun,F,
gurkla,F,
gurla,F,
gurulda,F,
göler,F,
gölgele,F,
göm,F,
gömüle,F,
gönder,F,
gönen,F,
gönyele,F,
gör,F,
görün,F,
görüntüle,F,
görüş,F,
göster,F,
götür,F,
göver,F,
göy,F,
göynü,F,
gözardıed,T,
gözardıet,F,
gözardıol,F,
gözdengeçir,F,
göze,F,
gözet,F,
gözetle,F,
gözle,F,
gözlemle,F,
gözönündetut,F,
gözük,F,
göç,F,
göçer,F,
göçür,F,
göğüsle,F,
gübrele,F,
gücen,F,
güd,T,
güdümle,F,
gül,F,
gülümse,F,
gümbürde,F,
gümle,F,
gümrükle,F,
gümüşle,F,
güneşle,F,
günüle,F,
güreş,F,
gürle,F,
gürülde,F,
güt,F,
güven,F,
güzelleş,F,
güzle,F,
gıcıkla,F,
gıcırda,F,
gıdıkla,F,
gırgırla,F,
haberleş,F,
hacamatla,F,
haczed,T,
haczet,F,
haddele,F,
hafifle,F,
hafifse,F,
hafızla,F,
haked,T,
haket,F,
hakked,T,
hakket,F,
hakla,F,
halkala,F,
halled,T,
hallet,F,
hallol,F,
hamla,F,
hamurla,F,
hançerle,F,
hapsed,T,
hapset,F,
hapsol,F,
hapşır,F,
harca,F,
harekele,F,
hareketed,T,
hareketet,F,
harla,F,
harmanla,F,
hasırla,F,
hatılla,F,
hatırla,F,
havla,F,
havuzla,F,
hayda,F,
haydala,F,
haykır,F,
hazmed,T,
hazmet,F,
hazırla,F,
haçla,F,
haşla,F,
haşılla,F,
hecele,F,
hedefle,F,
helalleş,F,
hemfikirol,F,
herekle,F,
hesabed,T,
hesabet,F,
hesapla,F,
hidrojenle,F,
hissed,T,
hisset,F,
hizala,F,
hiçle,F,
hohla,F,
homurdan,F,
hopla,F,
hopurdat,F,
horgör,F,
horla,F,
hortla,F,
hortumla,F,
hoşgör,F,
hoşlaş,F,
hoşçakal,F,
höykür,F,
hükmed,T,
hükmet,F,
hırla,F,
hırpala,F,
hıçkır,F,
hışla,F,
hışırda,F,
icabed,T,
icabet,F,
ifadeed,T,
ifadeet,F,
ihbarla,F,
ihlaled,T,
ihlalet,F,
ihtiyarla,F,
ikile,F,
ilaned,T,
ilanet,F,
ilaçla,F,
ilerisür,F,
ilerle,F,
ilet,F,
ilikle,F,
ilintile,F,
iliş,F,
ilmikle,F,
imgele,F,
imle,F,
imren,F,
imzala,F,
in,F,
inan,F,
incel,F,
incele,F,
incin,F,
incit,F,
indirge,F,
indükle,F,
inekle,F,
inilde,F,
inle,F,
ipile,F,
irdele,F,
irkil,F,
isle,F,
ispatla,F,
ispiyonla,F,
iste,F,
istifadeed,T,
istifadeet,F,
istifle,F,
it,F,
itekle,F,
itele,F,
itiş,F,
izhared,T,
izharet,F,
izle,F,
iç,F,
içer,F,
içerle,F,
iğnele,F,
iğren,F,
iğretile,F,
işaretle,F,
işe,F,
işeyara,F,
işit,F,
işle,F,
iştiraked,T,
iştiraket,F,
jurnalle,F,
kabakla,F,
kabar,F,
kadastrola,F,
kafesle,F,
kahred,T,
kahret,F,
kahreyle,F,
kahrol,F,
kak,F,
kakala,F,
kaked,T,
kaket,F,
kakı,F,
kakış,F,
kal,F,
kalafatla,F,
kalakal,F,
kalayla,F,
kalburla,F,
kaldır,F,
kalgı,F,
kalk,F,
kalkın,F,
kalkış,F,
kalıpla,F,
kamala,F,
kamaş,F,
kamçıla,F,
kan,F,
kana,F,
kancala,F,
kangalla,F,
kanla,F,
kantarla,F,
kanık,F,
kanıksa,F,
kanır,F,
kanıtla,F,
kanıtsa,F,
kap,F,
kapa,F,
kapan,F,
kaparozla,F,
kapat,F,
kapla,F,
kapsa,F,
kapıl,F,
kapış,F,
kar,F,
kara,F,
karala,F,
karar,F,
kararla,F,
kararver,F,
karbonatla,F,
karbonla,F,
karele,F,
kargı,F,
kargıla,F,
kargışla,F,
karla,F,
karmaş,F,
kartal,F,
karı,F,
karık,F,
karın,F,
karınla,F,
karış,F,
karışla,F,
karşıla,F,
karşıtla,F,
kas,F,
kasala,F,
kasnakla,F,
kasted,T,
kastet,F,
kat,F,
katalogla,F,
katarla,F,
kated,T,
katet,F,
katla,F,
katlan,F,
katled,T,
katlet,F,
katranla,F,
katıkla,F,
katıl,F,
katış,F,
kavgaed,T,
kavgaet,F,
kavla,F,
kavra,F,
kavrul,F,
kavur,F,
kavuş,F,
kay,F,
kayarla,F,
kaybed,T,
kaybet,F,
kaybol,F,
kayded,T,
kaydet,F,
kaydol,F,
kaykıl,F,
kayna,F,
kaynat,F,
kaynaş,F,
kaytar,F,
kayır,F,
kayıtla,F,
kayşa,F,
kaz,F,
kazan,F,
kazı,F,
kazıkla,F,
kaç,F,
kaçıl,F,
kaçımsa,F,
kaçın,F,
kaçır,F,
kağşa,F,
kaşan,F,
kaşağıla,F,
kaşı,F,
kaşıkla,F,
kefele,F,
kefenle,F,
kekele,F,
keleple,F,
kelepçele,F,
kemerle,F,
kemir,F,
kemrele,F,
kenetle,F,
kepçele,F,
kert,F,
kertikle,F,
kes,F,
kesele,F,
kesil,F,
kesin,F,
kesiş,F,
keçele,F,
keşfed,T,
keşfet,F,
kilitle,F,
kille,F,
kirala,F,
kireçle,F,
kireçsile,F,
kirizmala,F,
kirişle,F,
kirlet,F,
kişne,F,
klorla,F,
koca,F,
kocal,F,
kodla,F,
kok,F,
kokla,F,
kokut,F,
kokuş,F,
kolala,F,
kolayla,F,
kolla,F,
kolonyala,F,
koltukla,F,
kon,F,
konakla,F,
konukla,F,
konuş,F,
kop,F,
kopyala,F,
kopçala,F,
kork,F,
korkala,F,
koru,F,
kotar,F,
kotla,F,
kov,F,
kovala,F,
kovla,F,
kovuştur,F,
koy,F,
koyuver,F,
koyver,F,
koş,F,
koşamla,F,
koştur,F,
koşulla,F,
koşuş,F,
kredile,F,
kremle,F,
kubar,F,
kubaş,F,
kucakla,F,
kudur,F,
kulaçla,F,
kullan,F,
kulunla,F,
kumla,F,
kundakla,F,
kur,F,
kurcala,F,
kurgula,F,
kurtar,F,
kurtul,F,
kuru,F,
kurula,F,
kurşunla,F,
kus,F,
kutla,F,
kutsa,F,
kutula,F,
kuvvetlen,F,
kuzula,F,
kuşakla,F,
kuşan,F,
kuşat,F,
köhne,F,
kökle,F,
köpekle,F,
köpüle,F,
köpür,F,
körel,F,
körükle,F,
köstekle,F,
kötüle,F,
kötümse,F,
közle,F,
köşekle,F,
köşele,F,
küfred,T,
küfret,F,
kükre,F,
kükürtle,F,
külle,F,
kümele,F,
kündele,F,
küre,F,
kürele,F,
kürü,F,
küs,F,
küsüş,F,
kütle,F,
kütlet,F,
kütürded,T,
kütürdet,F,
küçül,F,
küçümse,F,
kıkırda,F,
kıl,F,
kılavuzla,F,
kılağıla,F,
kılıfla,F,
kılıçla,F,
kımılda,F,
kına,F,
kınala,F,
kınla,F,
kıpra,F,
kıpırda,F,
kır,F,
kırbaçla,F,
kırk,F,
kırkla,F,
kırp,F,
kırpış,F,
kırıkla,F,
kırıt,F,
kırış,F,
kıs,F,
kısal,F,
kıskan,F,
kıstır,F,
kısıl,F,
kısımla,F,
kısırgan,F,
kısıtla,F,
kıtıkla,F,
kıtırda,F,
kıvra,F,
kıvran,F,
kıvrat,F,
kıvrıl,F,
kıvır,F,
kıy,F,
kıyasla,F,
kıyıla,F,
kıyın,F,
kız,F,
kızakla,F,
kızar,F,
kızart,F,
kızış,F,
kığıla,F,
kışkır,F,
kışkışla,F,
kışla,F,
lafla,F,
lambala,F,
lanetle,F,
lağvol,F,
lazımgel,F,
lehimle,F,
lekele,F,
lifle,F,
limanla,F,
limonla,F,
listele,F,
lodosla,F,
loğla,F,
lökle,F,
lütfed,T,
lütfet,F,
lütfeyle,F,
lığla,F,
macunla,F,
mahkumed,T,
mahkumet,F,
mahmuzla,F,
mahrumed,T,
mahrumet,F,
mahrumkal,F,
mahved,T,
mahvet,F,
mahvol,F,
malakla,F,
malala,F,
malol,F,
mandalla,F,
manipüleed,T,
manipüleet,F,
mantarla,F,
markala,F,
maruzbırak,F,
maruzkal,F,
masajla,F,
maskele,F,
mayala,F,
mayınla,F,
mayış,F,
mazotla,F,
maşala,F,
mecburkal,F,
meczol,F,
melezle,F,
mened,T,
menet,F,
merdanele,F,
merhemle,F,
methed,T,
methet,F,
mevzubahisol,F,
mimle,F,
minele,F,
modelle,F,
morar,F,
mortla,F,
motiveed,T,
motiveet,F,
mumla,F,
mumyala,F,
muştala,F,
muştula,F,
müdahaleed,T,
müdahaleet,F,
mühimse,F,
mührele,F,
mühürle,F,
müjdele,F,
mürekkeple,F,
müzevirle,F,
mıhla,F,
mıknatısla,F,
mıncıkla,F,
mırıldan,F,
mızı,F,
mızıkla,F,
mızıklan,F,
