aba,eo6bu1e
abandır,eo6bu1ebo1dyr
abanla,eo6bu1ebo1le
acıklan,eo6xu1yfo2lebo1
acıktır,eo6xu1yfo2dyr
acın,eo6xu1ybo1
acındır,eo6xu1ybo1dyr
acıt,eo6xu1ybo2
adat,eo6debo2
addet,adeybo2
adla,eo6dle
adlan,eo6dlebo1
adımla,eo6dymle
afalla,eo6fo1elle
afallat,eo6fo1ellebo2
afallaş,eo6fo1ellso3
aforozla,eo6fo1wrwro1le
ahdet,ahdebo2
ahidleş,ahdlso3
ahırla,eo6xo1wrle
akdet,afo2deybo2
aksat,eo6fo2sebo2
aksır,eo6fo2syr
aksırt,eo6fo2syrbo2
aktar,eo6fo2bo2er
akıt,eo6fo2ybo2
akşamla,eo6fo2so3emle
akşamlat,eo6fo2so3emlebo2
aldan,eo6ldebo1
aldat,eo6ldebo2
aldır,eo6ldyr
alevlen,alw||lbo1
alevlen,eo6lw||lbo1
alevlendir,alwlbo1dyr
alevlendir,eo6lwlbo1dyr
alkışla,eo6lfo2yso3le
alkışlan,eo6lfo2yso3lebo1
altmışla,eo6lbo2mso3le
altınla,eo6lbo2wbo1le
alçal,eo6lxu3el
alçıla,eo6lxu3yle
alıko,eo6lyfo2w
alıver,eo6lywyr
alıştır,eo6lyso3bo2r
alışıl,eo6lyso3l
an,eo6lo5o3
anaçla,eo6bo1exu1le
andlaş,eo6bo1dleso3
andır,eo6bo1dyr
anla,eo6lo5o3le
anlan,eo6lo5o3lebo1
anlat,eo6lo5o3lebo2
anlatdır,eo6lo5o3lebo2dyr
anlatıl,eo6lo5o3ledyl
anlaş,eo6lo5o3leso3
anlaşıl,eo6lo5o3leso3l
anıl,eo6lo5o3l
anır,eo6lo5o3yr
anırt,eo6lo5o3yrbo2
apar,eo6bu3er
arala,eo6rele
aralan,eo6relebo1
aralat,eo6relebo2
aralaş,eo6releso3
aran,eo6rebo1
aranıl,eo6rebo1yl
arat,eo6rebo2
arattır,eo6rebo2dyr
araştır,eo6reso3dyr
arlan,aerlebo1
arpala,eo6rbu3ele
arsızlan,aersro1lebo1
artdır,eo6rbo2dyr
artdırıl,eo6rbo2dyryl
arttır,eo6rbo2dyr
arttırıl,eo6rbo2dyryl
artır,eo6rbo2yr
arzet,arzo1 eybo2
arzula,eo6rro1wle
arıkla,eo6ryfo2le
arıklan,eo6ryfo2lebo1
arıklat,eo6ryfo2lebo2
arıl,eo6ryl
