cabacı,xu1ebu1exu1y
caba,xu1ebu1e
cabeca,xu1ebu1xu1e
câbecâ,xu1ebu1xu1e
câbir'den,xu1ebu1rdbo1
câbir'in,xu1ebu1rko3
câbir-ül,xu1ebu1r el
cabir,xu1ebu1r
câbir,xu1ebu1r
cacık,xu1exu1yfo2
cadalozluk,xu1edelwro1lfo2
cadaloz,xu1edelwro1
caddeden,xu1edo8h||dbo1
caddede,xu1edo8h||dh
caddedir,xu1edo8h||dr
cadde-i kübrâ-yi kur'âniye,xu1o4edo4o8u4 ko9bu1o0ro4ebu2u4 fo2o9ro0eo6bo1u4bu2o4h
cadde-i kübrâ-yı kur'âniye,xu1o4edo4o8u4 ko9bu1o0ro4ebu2u4 fo2o9ro0eo6bo1u4bu2o4h
cadde-i̇ kübra-yi kur'ani̇ye,xu1o4edo4o8ۀu4 ko9bu1o0ro4eyu4 fo2o9ro0eo6bo1u4yo4h||
cadde-i kübra-yı kur'aniye,xu1o4edo4o8ۀu4 ko9bu1o0ro4eyu4 fo2o9ro0eo6bo1u4yo4h||
cadde-i,xu1edo8h||'u4
caddeleridir,xu1edo8h||lrydr
caddelerini,xu1edo8h||lrybo1y
caddenin,xu1edo8h||bo1ko3
caddesidir,xu1edo8h||sydr
caddesindedir,xu1edo8h||sbo1dh||dr
caddesinden,xu1edo8h||sbo1dbo1
caddesinde,xu1edo8h||sbo1dh
caddesini,xu1edo8h||sbo1y
caddesi,xu1edo8h||sy
cadde,xu1edh
cadde,xu1edh||
câdde,xu1edh
cadde,xu1edo8h
caddeye,xu1edo8h||yh
caddeyi,xu1edo8h||yy
ca'de,xu1adh
ca'de'ye,xu1adh||yh
cadı,xu1edy
caduger,xu1edwko7r
câdûger,xu1edwko7r
cadu,xu1edw
câdû,xu1edw
ca'd,xu1ad
cafcaflı,xu1efo1||xu1efo1ly
cafcaflı,xu1efo1||xu1efo1ly
cafcaf,xu1efo1||xu1efo1
cafcaf,xu1efo1||xu1efo1
cafer'den,xu1afo1rdbo1
cafer'e,xu1afo1rh
cafer-i,xu1afo1ru4
cafer,xu1afo1r
cağız,xu1ao1ro1
câha,xu1ehh
cahid,xu1ehd
câhid,xu1ehd
cahilanedir,xu1ehlebo1h||dr
cahilane,xu1ehlebo1h
cahilane,xu1ehlebo1h||
câhilâne,xu1ehlebo1h
cahildir,xu1ehldr
cahile,xu1ehlh
cahileyi,xu1ehlh||yy
cahilim,xu1ehlm
cahilin,xu1ehlko3
cahil-i,xu1ehlu4
cahili,xu1ehly
cahiliyeleri,xu1ehlyh||lry
cahiliyete,xu1ehlybo2h
cahiliyetteki,xu1ehlybo2dh||ky
cahiliyette,xu1ehlybo2dh
câhiliyette,xu1ehlybo2dh
cahiliyet,xu1ehlybo2
cahiliye,xu1ehlyh
cahiliyeyi,xu1ehlyh||yy
cahiliz,xu1ehlro1
cahillere,xu1ehllrh
cahillerin,xu1ehllrko3
cahilleri,xu1ehllry
cahillik,xu1ehllk
câhillik,xu1ehllk
cahil-münevver,xu1ehl mbo1wo8r
cahilsiniz,xu1ehlsko3ro1
cahil,xu1ehl
câhil,xu1ehl
cahîm,xu1xbu2m
cahim,xu1xym
câhını,xu1ehbo1y
câh-ı,xu1ehu4
câhı,xu1ehy
cahız'ın,xu1exto1ko3
cahız,xu1exto1
cahş,xu1xso3
câhtan,xu1ehdbo1
cah,xu1eh
cah,xu1eh||
câh,xu1eh
câilin,xu1ealko3
caizdir,xu1eyo5ro1dr
caize,xu1ebo5ro1h||
câize,xu1ebo5ro1h
câiz kılmak,xu1ebo5ro1 fo2bu2lmfo2
caiz kılmak,xu1ebo5ro1 fo2ylmfo2
caizse,xu1eyo5ro1sh
caiz,xu1ebo5ro1
câiz,xu1ebo5ro1
caiz,xu1eyo5ro1
cai̇z,xu1o4ebo5u4ro1o0
caiz,xu1o4ebo5u4ro1o0
câiz,xu1o4ebo5u4ro1o0
cak,xu1fo2
calapa,xu1lebu3h
calapa,xu1lebu3h||
ca'ldir,xu1aldr
ca'le,xu1alh
cali̇b-i̇ di̇kkat,xu1elbu1 dfo2bo2
calib -i dikkat,xu1elbu1 dfo2bo2
calib-i dikkat,xu1elbu1 dfo2bo2
câlib-i dikkat,xu1elbu1 dfo2bo2
calib-i,xu1elbu1u4
câlib-i,xu1elbu1u4
calib,xu1elbu1
câlib,xu1elbu1
ca'lindeki,xu1albo1dh||ky
ca'line,xu1albo1h
ca'linin,xu1albo1ko3
calinos'un,xu1elybo1wsko3
calinos,xu1elybo1ws
ca'lin,xu1alko3
ca'lîsi,xu1alysy
calis,xu1els
câlis,xu1els
ca'li,xu1aly
ca’li,xu1aly
cali,xu1aly
ca'lî,xu1aly
câlî,xu1aly
ca'liyle,xu1alylh
calud,xu1elwbo2
ca'l,xu1al
ca’l,xu1al
camadan,xu1emh||debo1
camadan,xu1emh||debo1
cama,xu1emh
cambazlık,xu1ebo1bu1ero1lfo2
cambaz,xu1ebo1bu1ero1
camcı macunu,xu1emxu1y maxu1wbo1y
camcı macûnu,xu1emxu1y maxu1wbo1y
camcı,xu1emxu1y
camda çizmek,xu1emdh xu3bu2ro1mk
camda çizmek,xu1emdh xu3yro1mk
camdan,xu1emdbo1
camdır,xu1emdr
camedan,xu1emh debo1
câmedân,xu1emh debo1
câmedir,xu1emh||dr
camegi,xu1emko7y
câmegî,xu1emko7y
camekan,xu1emkebo1
camekân,xu1emkebo1
câmekan,xu1emkebo1
cameşuy,xu1emh so3wy
câmeşûy,xu1emh so3wy
camevi,xu1em||ewy
camevi,xu1em||ewy
came,xu1emh||
câme,xu1emh
cam geçirmek,xu1em kxu3wrmk
camgöbeği,xu1em ko7wbu1ko7y
camgöz,xu1em||ko7wro1
camgöz,xu1em||ko7wro1
câmiadır,xu1emah||dr
câmia-i,xu1emah||'u4
câmianın,xu1emah||bo1ko3
câmiasına,xu1emah||sbo1h
câmiasında,xu1emah||sbo1dh
câmiasının,xu1emah||sbo1ko3
câmiası,xu1emah||sy
câmiasıyla,xu1emah||sylh
camia,xu1emah||
câmia,xu1emah
câmiayı,xu1emah||yy
camidata,xu1emdebo2h
camidat-ı,xu1emdebo2u4
camidatı,xu1emdebo2y
camidattaki,xu1emdebo2dh||ky
camidat,xu1emdebo2
camidden,xu1emddbo1
camiddirler,xu1emddrlr
camiddir,xu1emddr
camideden,xu1emdh||dbo1
camide-i,xu1emdh||'u4
câmidekiler,xu1emadh||kylr
câmi'deki,xu1emadh||ky
câmideki,xu1emadh||ky
camidenin,xu1emdh||bo1ko3
câmiden,xu1emadbo1
câmi'de,xu1emadh
câmide,xu1emadh
camide,xu1emdh
camideye,xu1emdh||yh
camidin,xu1emdko3
câmi'dirler,xu1emadrlr
câmi'dir,xu1emadr
câmidir,xu1emadr
camidi,xu1emdy
camidiyet,xu1emdybo2
camidlerden,xu1emdlrdbo1
camidler,xu1emdlr
camid,xu1emd
câmid,xu1emd
câmi'e,xu1emah
câmie,xu1emah
câmiime,xu1emamh
câmiimi,xu1emamy
câmiim,xu1emam
câmii'ndeki,xu1emabo1dh||ky
câmiindeki,xu1emabo1dh||ky
câmii'nden,xu1emabo1dbo1
câmiinden,xu1emabo1dbo1
câmii'nde,xu1emabo1dh
câmiinde,xu1emabo1dh
câmii'ne,xu1emabo1h
câmiine,xu1emabo1h
câmii'nin,xu1emabo1ko3
câmii'ni,xu1emabo1y
