Gacıroğlu,ao1exu1yrewao1ly
Gaffar,ao1fo1er
Gafir,ao1fo1yr
Gafur,ao1fo1wr
Galibe,ao1elbu1h
Galip,ao1elbu1
Gamze,ao1mro1h
Gani,ao1bo1y
Ganime,ao1bo1ymh
Ganimet,ao1bo1ymbo2
Ganiye,ao1ebo1yh
Garbi Karaağaç,ao1rbu1y fo2rh||eo6ao1exu3
Garibe,ao1rybu1h
Garip,ao1erbu1
Garip,ao1rybu1
Garzan,ao1erro1ebo1
Gavsi,ao1wbo3y
Gaydalı,ao1eydely
Gaye,ao1eyh
Gayret,ao1yrbo2
Gayur,ao1ywr
Gazal,ao1ro1el
Gazale,ao1ro1elh
Gazanfer,ao1zo1bo1fo1r
Gazel,ao1ro1l
Gâzi Anteb,ao1ero1y abu2bo1bo2ebu1
Gazi,ao1ero1y
Gazioğlu,ao1ero1y ewao1ly
Gebeş,ko7bu1so3
Geboloğlu,ko7bu1wl ewao1ly
Gebze,ko7bu1ro1h
Geçer,ko7xu3r
Geçioğlu,ko7xu3y ewao1ly
Gedikbaş,ko7dykbu1eso3
Gedikbay,ko7dykbu1ey
Gedik,ko7dyk
Gedikli,ko7dykly
Gedikoğlu,ko7dyk ewao1ly
Gediktaş,ko7dyktso3
Gedis,ko7dws
Gediz,ko7dyro1
Geldi,ko7ldy
Gelenay,ko7lbo1ey
Gelenbeğ,ko7lbo1bu1ko7
Gelener,ko7lbo1 eo5r
Gelengül,ko7lbo1ko7l
Gelibolu,ko7lbu2bu1wly
Gelincik,ko7lybo1xu1k
Gelinkız,ko7lybo1fo2yro1
Gelin,ko7lybo1
Gemalmaz,ko7melmero1
Gemici,ko7myxu1y
Gemlik,ko7mlbu2k
Gençağa,ko7bo1xu3 eo6ao1e
Genca,ko7bo1xu1h
Gencal,ko7bo1xu1el
Gencalp,ko7bo1xu1 eo6lbu3
Gençalp,ko7bo1xu3 eo6lbu3
Gencaslan,ko7bo1xu1 eo6slebo1
Gençaslan,ko7bo1xu3 eo6slebo1
Gencay,ko7bo1xu1ey
Gençay,ko7bo1xu3ey
Gence,ko7bo1xu1h
Gencel,ko7bo1xu1l
Gençel,ko7bo1xu3l
Gencer,ko7bo1xu1r
Gençer,ko7bo1xu3r
Gençkal,ko7bo1xu3 fo2el
Genç,ko7bo1xu1
Genç,ko7bo1xu3
Gençler,ko7bo1xu3lr
Gençoğlu,ko7bo1xu3 ewao1ly
