Şaban,so3abu1ebo1
Şadan,so3edebo1
Şader,so3edr
Şadıman,so3edmebo1
Şadi,so3edy
Şadiye,so3edyh
Şad,so3ed
Şaduman,so3edmebo1
Şafaknur,so3efo1efo2bo1wr
Şafak,so3efo1efo2
Şafak,so3fo1fo2
Şafi,so3efo1y
Şafiye,so3fo1yh
Şahabettin,so3hebu1 eldybo1
Şahadet,so3hedbo2
Şahadettin,so3hed eldybo1
Şahamet,so3xembo2
Şahane,so3ehebo1h
Şahan,so3ehebo1
Şahan,so3exo1ebo1
Şahap,so3ehebu3
Şahat,so3ehebo2
Şahbanu,so3ehbu1ebo1w
Şahbaz,so3ehbu1ero1
Şahbey,so3ehbu1ko7
Şahdane,so3ehdebo1h
Şahdar,so3ehder
Şahende,so3ehbo1dh
Şaheser,so3eh ebo3r
Şahhanım,so3eh xo1ebo1m
Şahıgül,so3ehyko7l
Şahika,so3ehfo2h
Şahinalp,so3ehybo1 eo6lbu3
Şahinbaş,so3ehybo1bu1eso3
Şahinbay,so3ehybo1 bu1ey
Şahinbey,so3ehybo1 bu1ko7
Şahiner,so3ehybo1r
Şahinhan,so3ehybo1xo1ebo1
Şahinkan,so3ehybo1fo2ebo1
Şahinoğlu,so3ehybo1 ewao1ly
Şahin,so3ehybo1
Şahinter,so3ehbo1bo2r
Şahistan,so3ehsbo2ebo1
Şahittin,so3eh eldybo1
Şahkulubey,so3eh fo2wlw bu1ko7
Şahlan,so3ehlebo1
Şahmelek,so3ehmlk
Şahnâme,so3ehbo1emh
Şahnaz,so3ehbo1ero1
Şahnisa,so3ehbo1se
Şahnur,so3ehbo1wr
Şahruh,so3ehrwx
Şahsınur,so3xo1z bo1wr
Şah,so3eh
Şahsüvar,so3ehswer
Şahvar,so3ehwer
Şahvelet,so3ehwld
Şahver,so3ehwr
Şahzade,so3hro1edh
Şahzat,so3ehro1ebo2
Şaika,so3ebo5fo2h
Şaik,so3ebo5fo2
Şaire,so3earh
Şair,so3ear
Şakar,so3efo2er
Şakayık,so3fo2eyfo2
Şakire,so3ekrh
Şakir,so3ekr
Şakranlı,so3efo2rebo1ly
