dadan,dedebo1
dadandır,dedebo1dyr
dadan,tedebo1
dağıl,deao1yl
dağıt,deao1ybo2
dağıtıl,deao1ybo2yl
dağıt,teao1ybo2
dağla,deao1le
dağlat,deao1lebo2
dala,dele
dalaş,teleso3
dala,tele
daldır,deldyr
dalgalan,delao1elebo1
dalgalandır,delao1elebo1dyr
dallan,dellebo1
dallandır,dellebo1dyr
damgalan,demao1elebo1
damlat,demlebo2
danele,debo1h||l
danelendir,debo1h||lbo1dyr
danelet,debo1h||lbo2
danış,debo1yso3
danış,tebo1yso3
daral,derel
daralt,derelbo2
daral,terel
daralt,terelbo2
darıl,deryl
darılt,derylbo2
darıl,teryl
darlaş,derleso3
darlaşdır,derleso3dyr
darlat,derlebo2
davran,dewrebo1
davrandır,dewrebo1dyr
daya,deye
dayakla,deyefo2le
dayan,deyebo1
dayan,teyebo1
dayat,deyebo2
debelen,dbu1h||lbo1
de,d
de,dy
defet,dfo1a eybo2
defnet,dfo1bo1 eybo2
değ,dko7
değiştir,dko7yso3dyr
deldir,dldyr
del,dl
delin,dlybo1
delir,dlyr
delirt,dlyrbo2
demetle,dmbo2lh||
den,dybo1
dene,dbo1h||
denen,dbo1h||bo1
denenil,dbo1bo1yl
denet,dbo1h||bo2
denil,dybo1l
denkleş,dbo1klso3
denkleşdir,dbo1klso3dyr
depreşdir,dbu3rso3dyr
depret,bo2bu3rbo2
depret,dbu3rh||bo2
dercet,drxu1 eybo2
derdlen,drdlh||bo1
derdleş,drdlh||so3
derilen,drylbo1
derinleş,drybo1lh||so3
derinlet,drybo1lh||bo2
deşil,dh||so3yl
deşil,dso3ly
destekle,dsbo2klh||
desteklen,dsbo2klh||bo1
devir,dwyr
devirt,dwyrbo2
devril,dwryl
devşir,dwso3yr
devşirt,dwso3yrbo2
didikle,dydyklh||
didin,dydybo1
didiş,dydyso3
dikdir,dykdyr
dikil,dykyl
dile,dylh||
dilen,dylbo1
dillen,dyllbo1
dilleş,dyllyso3
dindirt,dykdyr
din,dylo5o3
dinle,dyklh||
dinlendir,dyklbo1dyr
dinlen,dyklbo1
diren,dyrh||bo1
diril,dyryl
dirilt,dyrylbo2
dırlan,dyrlebo1
dişle,dyso3l
dizdir,dyro1dyr
dizil,dyro1yl
döğdür,dwko7dyr
doğ,dwao1
döğ,dwko7
doğra,dwao1re
doğrat,dwao1rebo2
doğrat,twao1rebo2
doğra,twao1re
doğrula,dwao1rwle
doğrul,dwao1rwl
doğrult,dwao1rwlbo2
doğ,twao1
döğül,dwko7wl
döğün,dwko7wbo1
doğur,dwao1wr
doğurt,dwao1wrbo2
doğur,twao1wr
döğüş,dwko7wso3
dökdür,dwkdyr
dök,dwk
doku,dwfo2w
dökül,dwkwl
dokundur,dwfo2wbo1dyr
dokun,dwfo2wbo1
dokun,twfo2wbo1
dokunul,dwfo2wbo1l
dokut,dwfo2wbo2
dokut,twfo2wbo2
doku,twfo2w
dola,dwle
dolandır,dwlebo1dyr
dolaşdır,dwleso3dyr
dolaştırıl,dwleso3dyryl
dolaş,twleso3
doldurt,dwldwrbo2
doldurul,dwldwrl
dol,dwl
dol,twl
donan,dwbo1ebo1
donatdır,dwbo1ebo2dyr
donat,dwbo1ebo2
donatıl,dwbo1ebo2yl
donat,twbo1ebo2
dondur,dwbo1dwr
döndür,dwbo1dyr
dondur,dwlo5o3dyr
dön,dwbo1
don,twlo5o3
donuklan,dwbo1wfo2lebo1
dönül,dwbo1wl
dönüşdür,dwbo1wso3dyr
döşe,dwso3h||
döşen,dwso3bo1
döşetdir,dwso3bo2dyr
döşet,dwso3bo2
doy,dwy
doyrul,dwyrwl
doyrul,twyryl
doy,twy
doyul,dwywl
doyur,dwywr
doyur,twywr
düğmele,dwko7mh||l
düğmelen,dwko7mh||lbo1
düğümle,dwko7wmlh||
dumanla,dwmebo1le
dumanlan,dwmebo1lebo1
durakla,dwrefo2le
durakla,twrefo2le
durdur,dwrdwr
durdur,twrdyr
dür,dwr
dürt,dwrbo2
durula,dwrwle
durulan,dwrwlebo1
durul,dwrwl
dürül,dwrwl
durult,dwrwlbo2
durul,twrl
durul,twrwlebo1
düşün,dwso3wbo1
düşünül,dwso3wbo1l
düşüpkalk,dwso3wbu3 fo2elfo2
düşür,dwso3wr
düşürt,dwso3wrbo2
duvaklan,dwwefo2lebo1m
duy,dwy
duy,twy
duyul,dwywl
duyur,dwywr
düzel,dwro1h||l
düzelt,dwro1h||lbo2
düzle,dwro1lh||
düzlen,dwro1lh||bo1
