gadret,ao1dreybo2
gagala,ao1eao1ele
gagalaş,ao1eao1eleso3
gamızla,ao1mro1le
gamlan,ao1mlebo1
garibse,ao1rybu1sh||
gaşyol,ao1so3y ewl
gayretlen,ao1yrbo2lbo1
gazablandır,ao1zo1bu1lebo1dyr
gazaplan,ao1zo1bu3lebo1
geber,ko7bu1r
gebert,ko7bu1rbo2
gecele,ko7yxu1h||l
gecik,ko7xu1yk
geçindir,ko7xu3ybo1dyr
geçin,ko7xu3ybo1
geçiril,ko7xu3yryl
geçir,ko7xu3yr
geçirt,ko7xu3yrbo2
geçişdir,ko7xu3yso3dyr
geç,ko7xu3
geğir,kko7yr
gel,ko7l
gencel,ko7bo1xu1l
gençleş,ko7bo1xu1lso3
genişle,ko7bo1yso3lh||
genişlen,ko7bo1yso3lh||bo1
genişlet,ko7bo1yso3lh||bo2
gerçekleşdir,ko7rxu1klso3dyr
gerçekleş,ko7rxu1klso3
gerdir,ko7rdyr
gerial,ko7ry eo6l
geridön,ko7ry dwbo1
gerigit,ko7ry kybo2
gerikal,ko7ry fo2el
geriko,ko7ry fo2w
geril,ko7rl
gerin,ko7rbo1
geriver,ko7ry wyr
getiril,ko7bo2yryl
getir,ko7bo2yr
getirtil,ko7bo2yrbo2yl
getirt,ko7bo2yrbo2
gev,ko7w
gev,ko7yw
gevre,ko7wrh||
gevret,ko7wrbo2
gevret,ko7wrh||bo2
gevşe,ko7wso3h||
gevşel,ko7wso3ly
gevşelt,ko7wso3lbo2
gevşetil,ko7wso3bo2yl
gevşet,ko7wso3bo2
gezdir,ko7ro1dyr
gezin,ko7ro1ybo1
gez,ko7ro1
gıcırda,ao1yxu1yrde
gıcırdat,ao1yxu1yrdebo2
gıdalan,ao1delebo1
gıdalandır,ao1delebo1dyr
gider,ko7ydr
gıdıkla,ao1ydyfo2le
gıdıklan,ao1ydyfo2lebo1
gidil,ko7ydyl
gidiş,ko7yxu1yso3
giril,ko7yryl
gir,ko7yr
git,ko7ybo2
giydir,ko7ydyr
giyil,ko7yl
giyin,ko7yybo1
giy,ko7yy
gizle,ko7yro1lh||
gizlen,ko7yro1lbo1
göbeklen,ko7wbu1klh||bo1
göçür,ko7wxu3wr
göğüsger,ko7wko7s kr
göğüsle,ko7wko7slh||
gölgelendir,ko7wlko7h||lbo1dyr
gölgelen,ko7wlko7h||lbo1
göm,ko7wm
gömül,ko7wml
gömül,ko7wmwl
gönderil,ko7wbo1dryl
gönder,ko7wbo1dr
göndert,ko7wbo1drbo2
gördür,ko7wrdyr
gör,ko7wr
görül,ko7wrwl
görün,ko7wrwbo1
görüşdür,ko7wrwso3dyr
görüşül,ko7wrwso3l
gösteril,ko7wsbo2ryl
göster,ko7wsbo2r
göstert,ko7wsbo2rbo2
götür,ko7wbo2wr
götürt,ko7wbo2wrbo2
götürül,ko7wbo2wrwl
göze,ko7wro1h||
gözen,ko7wro1h||bo1
gözetdir,ko7wro1bo2dyr
gözetil,ko7wro1bo2yl
gözet,ko7wro1bo2
gözetle,ko7wro1bo2lh||
gözle,ko7wro1lh||
gözük,ko7wro1wk
gözük,ko7wro1yk
gübrele,ko7wbu1rh||lh||
gübrelen,ko7wbu1rh||lh||bo1
gücendir,ko7wxu1bo1dyr
gücenil,ko7wxu1bo1bo1yl
gücen,ko7wxu1bo1
güçlendir,ko7wxu1lbo1dyr
güçlen,ko7wxu1lbo1
güçleşdir,ko7wxu1lso3dyr
güçleş,ko7wxu1lso3
güçsü,ko7wxu1sy
güçsün,ko7wxu1sybo1
güldür,ko7ldyr
gül,ko7wl
gülümse,ko7wlwmsh||
gümbürde,ko7wmbu1wrdh||
gümüşle,ko7wmwso3lh||
gümüşlet,ko7wmwso3lh||bo2
güneşlen,ko7wbo1so3lh||bo1
güneşlet,ko7wbo1so3lh||bo2
günüle,ko7wbo1ylh||
güreşdir,ko7wrh||so3dyr
güreş,ko7wrh||so3
gurkla,ao1wrfo2le
gürle,ko7wrlh||
gurulda,ao1wrwlde
gürülde,ko7wrwldh||
gururlan,ao1rwrlebo1
güt,ko7wbo2
güvenil,ko7wko7bo1l
güven,ko7wko7bo1
güzelle,ko7wro1llh||
güzellen,ko7wro1llbo1
güzelleşdir,ko7wro1llso3dyr
güzelleş,ko7wro1llso3
