uç,ewxu3
uçukla,ewxu3wfo2le
uçur,ewxu3wr
uçurt,ewxu3wrbo2
uçuş,ewxu3wso3
ufala,ewfo1ele
ufala,ewfo1le
ufalan,ewfo1elebo1
ufal,ewfo1el
ufalt,ewfo1elbo2
ufunetlen,afo1wbo1bo2lbo1
ufunetlendir,afo1wbo1bo2lbo1dyr
uğra,ewao1re
uğraştır,ewao1reso3dyr
uğrat,ewao1rebo2
uğulda,ewao1wlde
uğurla,ewao1wrle
ula,ewle
ulat,ewlebo2
uluş,ewlwso3
um,ewm
umursan,emwrsebo1
unal,ewlo5o3el
unar,ewlo5o3er
unul,ewlo5o3l
unutdur,ewbo1wbo2dyr
unut,ewbo1h||bo2
uslan,ewzlebo1
utandır,ewbo2ebo1dyr
uyandır,ewyebo1dyr
uyan,ewyebo1
uydur,ewydwr
uy,ewy
uyu,ewyw
uyukla,ewywfo2le
uyuş,ewywso3
uyut,ewywbo2
uza,ewro1e
uzat,ewro1ebo2
uzlaş,ewro1leso3
