
Allaha sen,ellhh sbo1,اللهه سن
Allaha ısmarladık,ellhh ezmerldfo2,اللهه اصمارلدق
Allaha,ello8h||h,اللّه‌ه
Allahaısmarladık,ello8h||h eyzmerledfo2,اللّه‌ه ایصمارلادق
Allahsızlık,ello8h||sro1lfo2,اللّه‌سزلق
Allahtan korkmaz,ellhdbo1 fo2wrfo2mro1,اللهدن قورقمز
Allahu,e||ellh,ا‌الله
Allahü,e||ellh,ا‌الله
Allahüekber,eo4||ellh eo4ko0bu1o4ro9,اَ‌الله اَکْبَرُ
Allahümme,eo4llo99o8hmo8,اَللٌّهمّ
Allahı severseniz,ellhy swrsh kro1,اللهی سورسه کز
Allahımız,ello8h||mro1,اللّه‌مز
Allahımızın,ello8h||mro1ko3,اللّه‌مزڭ
Allâha ısmarladık,ellhh ezmerldfo2,اللهه اصمارلدق
