a'cam,eo5axu1em,أعجام
a'cez,eo5axu1ro1,أعجز
a'cez_di,eo5axu1ro1_dy,أعجزدی
a'cube,eaxu1wbu1h,اعجوبه
a'cube,eaxu1wbu1h||,اعجوبه‌
a'da,eade,اعدا
a'da,eo4ao0do4e,اَعْدَا
a'da,eo5ade,أعدا
a'da-yı,eo5adeyu4,أعدایِ
a'dad,eaded,اعداد
a'da_ları,eo5adelry,أعدالری
a'da_mızı,eo5ademro1y,أعدامزی
a'da_nın,eo5adebo1ko3,أعدانڭ
a'da_sı,eo5adesy,أعداسی
a'da_sına,eo5adesbo1h,أعداسنه
a'da_sının,eo5adesbo1ko3,أعداسنڭ
a'da_ya,eo5adeyh,أعدایه
a'da_yı,eo5adeyy,أعدایی
a'dem,adm,عدم
a'dâ,eade,اعدا
a'dâ,eo4ao0do4e,اَعْدَا
a'dâ,eo5ade,أعدا
a'dâ-yı,eo5adeyu4,أعدایِ
a'dâd,eaded,اعداد
a'dâ_dan,eo5adedbo1,أعدادن
a'dâ_larıyla,eo5adelrylh,أعدالریله
a'dâ_nın,eo5adebo1ko3,أعدانڭ
a'dâ_sında,eo5adesbo1dh,أعداسنده
a'dâ_ya,eo5adeyh,أعدایه
a'dâ_yı,eo5adeyy,أعدایی
a'ik,aebo5fo2,عائق
a'la,ealbu2,اعلي
a'la,eale,اعلا
a'la,ealy,اعلی
a'la,eo4ao0ly,اَعْلی
a'la,eo5ale,أعلا
a'laf,eo6lefo1,آلاف
a'lal,ealel,اعلال
a'lalık,ealelfo2,اعلالق
a'lam,ealem,اعلام
a'lem,ealm,اعلم
a'lem,eo5ao0lo4mo9,أعْلَمُ
a'lem-i,eo5almu4,أعلمِ
a'lemu,eo5ao0lo4mo9,أعْلَمُ
a'lâ,eale,اعلا
a'lâ,ealy,اعلی
a'lâ,eo4ao0lbu2,اَعْلي
a'lâ,eo5ale,أعلا
a'lâ-i,eo5alecu4,أعلاءِ
a'lâ-yı,eo5aleyu4,أعلایِ
a'lâ_da,eo5aledh,أعلاده
a'lâ_dadır,eo5aledh||dr,أعلاده‌در
a'lâ_dan,eo5aledbo1,أعلادن
a'lâ_dır,eo5aledr,أعلادر
a'lâf,eo6lefo1,آلاف
a'lâl,ealel,اعلال
a'lâ_lık,ealelfo2,اعلالق
a'lâm,ealem,اعلام
a'lâ_nın,eo5alebo1ko3,أعلانڭ
a'lâ_sı,eo5alesy,أعلاسی
a'lâ_sından,eo5alesbo1dbo1,أعلاسندن
a'lâ_sını,eo5alesbo1y,أعلاسنی
a'lâ_ya,eo5aleyh,أعلایه
a'ma,eame,اعما
a'ma,eamy,اعمی
a'ma,eo5amo99y,أعمٌی
a'ma-i,eo5amo99yo5u4,أعمٌئِ
a'mak,eamefo2,اعماق
a'mak-ı,eo5amefo2u4,أعماقِ
a'mak_ına,eo5amefo2bo1h,أعماقنه
a'mal,eamel,اعمال
a'mal,eo4ao0mo4elo0,اَعْمَالْ
a'mal,eo5amel,أعمال
a'mal-i mükellefin,eo4ao0mo4elu4 mo9ko4lo4o8fo1ybo1o0,اَعْمَالِ مُکَلَّفینْ
a'mal-i saliha,eo4ao0mo4elu4 zo4elu4xo4h||,اَعْمَالِ صَالِحَه‌
a'mal-i,eo5amelu4,أعمالِ
a'mal-i̇ mükellefi̇n,eo4ao0mo4elu4 mo9ko4lo4o8fo1ybo1o0,اَعْمَالِ مُکَلَّفینْ
a'mal-i̇ sali̇ha,eo4ao0mo4elu4 zo4elu4xo4h||,اَعْمَالِ صَالِحَه‌
a'ma_lara,eo5amelrh,أعمالره
a'mal_de,eo5ameldh,أعمالده
a'mal_den,eo5ameldbo1,أعمالدن
a'mal_e,eo5amelh,أعماله
a'mal_i,eo5amely,أعمالی
a'mal_idir,eo5amelydr,أعمالیدر
a'mal_im,eo5amelm,أعمالم
a'mal_imizde,eo5amelmro1dh,أعمالمزده
a'mal_imize,eo5amelmro1h,أعمالمزه
a'mal_in,eo5amelko3,أعمالڭ
a'mal_inde,eo5amelbo1dh,أعمالنده
a'mal_inden,eo5amelbo1dbo1,أعمالندن
a'mal_ine,eo5amelbo1h,أعمالنه
a'mal_ini,eo5amelbo1y,أعمالنی
a'mal_inin,eo5amelbo1ko3,أعمالنڭ
a'mal_inizde,eo5amelko3ro1dh,أعمالڭزده
a'mal_inize,eo5amelko3ro1h,أعمالڭزه
a'mal_inizi,eo5amelko3ro1y,أعمالڭزی
a'mal_leri,eo5amellry,أعماللری
a'mal_lerine,eo5amellrybo1h,أعماللرینه
a'mal_lerini,eo5amellrybo1y,أعماللرینی
a'mar,eamer,اعمار
a'mâ,eamy,اعمی
a'mâk,eamefo2,اعماق
a'mâl,eamel,اعمال
a'mâl,eo4ao0mo4elo0,اَعْمَالْ
a'mâl,eo5amel,أعمال
a'mâl-i mükellefîn,eo4ao0mo4elu4 mo9ko4lo4o8fo1bu2bo1o0,اَعْمَالِ مُکَلَّفينْ
a'mâl-i sâliha,eo4ao0mo4elu4 zo4elu4xo4h,اَعْمَالِ صَالِحَه
a'mâl-i,eo5amelu4,أعمالِ
a'mâl_e,eo5amelh,أعماله
a'mâl_inden,eo5amelbo1dbo1,أعمالندن
a'mâl_inin,eo5amelbo1ko3,أعمالنڭ
a'mâr,eamer,اعمار
a'ni,eabo1y,اعنی
a'nî,eabo1y,اعنی
a'rab,earebu1,اعراب
a'rab,eo5arebu1,أعراب
a'rab-ı,eo5arebu1u4,أعرابِ
a'rabi,earebu1y,اعرابی
a'rabî,eo5arebu1y,أعرابی
a'rabî_nin,eo5arebu1ybo1ko3,أعرابینڭ
a'rabî_ye,eo5arebu1yyh,أعرابییه
a'rabı,eo5arebu1y,أعرابی
a'rabı_n,eo5arebu1ko3,أعرابڭ
a'raf,eo5arefo1,أعراف
a'raz,earezo1,اعراض
a'raz,eo5arezo1,أعراض
a'raziyet,earzo1ybo2,اعرضیت
a'raziyet_leri,eo5arzo1ybo2lry,أعرضیتلری
a'raz_ın,eo5arezo1ko3,أعراضڭ
a'raz_ının,eo5arezo1bo1ko3,أعراضنڭ
a'ref,earfo1,اعرف
