
b,bu1,ب
ba'd,bu1ad,بعد
ba'da,bu1ad,بعد
ba'dahu,bu1adh,بعده
ba'dahu,bu1adh||,بعده‌
ba'de,bu1ad,بعد
ba'de,bu1adh,بعده
ba'de-l,bu1o4ao0do4 elo0,بَعْدَ الْ
ba'de-t,bu1ad el,بعد ال
ba'dehu,bu1adh,بعده
ba'dehu,bu1adh||,بعده‌
ba'dehu,bu1o4ao0do4ho9,بَعْدَهُ
ba'del,bu1ad el,بعد ال
ba'delmemat,bu1ad elmmebo2,بعد الممات
ba'delmilad,bu1adelmyled,بعدالمیلاد
ba'delmîlâd,bu1adelmbu2led,بعدالميلاد
ba'dema,bu1adme,بعدما
ba'dema,bu1o4ao0do4mo4e,بَعْدَمَا
ba'demâ,bu1adme,بعدما
ba'demâ,bu1o4ao0do4mo4e,بَعْدَمَا
ba'dezin,bu1adero1eybo1,بعدازاین
ba'dü,bu1ad,بعد
ba'is,bu1eabo3,باعث
ba's olunmak,bu1abo3 ewlbo1mfo2,بعث اولنمق
ba's,bu1abo3,بعث
ba's-i,bu1abo3u4,بعثِ
ba's-ü,bu1o4ao0bo3o9,بَعْثُ
ba'si,bu1abo3y,بعثی
ba'siniz,bu1abo3ko3ro1,بعثڭز
ba'su,bu1o4ao0bo3o9,بَعْثُ
ba'sü,bu1o4ao0bo3o9,بَعْثُ
ba'süba'delmevt,bu1abo3 bu1ad elmwbo2,بعث بعد الموت
ba'za,bu1azo1h,بعضه
ba'zan,bu1azo1e,بعضا
ba,bu1e,با
ba-paye,bu1ebu3eyh||,باپایه‌
baad,bu1ad,بعد
bab'da,bu1ebu1dh,بابده
bab'daki,bu1ebu1dh||ky,بابده‌کی
bab'ı,bu1ebu1y,بابی
bab'ın,bu1ebu1ko3,بابڭ
bab'ındaki,bu1ebu1bo1dh||ky,بابنده‌کی
bab,bu1ebu1,باب
bab-i seraskeri̇,bu1o4ebu1u4 so4ro0ao4so0ko4ry,بَابِ سَرْعَسْکَری
bab-üs,bu1ebu1 el,باب ال
bab-ı ali,bu1ebu1 aely,باب عالی
bab-ı seraskeri,bu1o4ebu1u4 so4ro0ao4so0ko4ry,بَابِ سَرْعَسْکَری
bab-ı,bu1ebu1u4,بابِ
baba,bu1ebu1e,بابا
baba-oğulun,bu1ebu1e ewao1lko3,بابا اوغلڭ
babacan,bu1ebu1exu1ebo1,باباجان
babacık,bu1ebu1exu1fo2,باباجق
babada,bu1ebu1edh,باباده
babadan,bu1ebu1edbo1,بابادن
babadır,bu1ebu1edr,بابادر
babaeski,bu1ebu1eesky,بابااسکی
babafinga çubuğu,bu1ebu1efo1bo1ao1wxu3bu1wao1y,بابافنغوچبوغی
babalar,bu1ebu1elr,بابالر
babaları,bu1ebu1elry,بابالری
babalarına,bu1ebu1elrybo1h,بابالرینه
babalarından,bu1ebu1elrbo1dbo1,بابالرندن
babalı,bu1ebu1ely,بابالی
