
c,xu1,ج
ca'd,xu1ad,جعد
ca'de'ye,xu1adh||yh,جعده‌یه
ca'de,xu1adh,جعده
ca'l,xu1al,جعل
ca'ldir,xu1aldr,جعلدر
ca'le,xu1alh,جعله
ca'li,xu1aly,جعلی
ca'lin,xu1alko3,جعلڭ
ca'lindeki,xu1albo1dh||ky,جعلنده‌کی
ca'line,xu1albo1h,جعلنه
ca'linin,xu1albo1ko3,جعلنڭ
ca'liyle,xu1alylh,جعلیله
ca'lî,xu1aly,جعلی
ca'lîsi,xu1alysy,جعلیسی
ca,xu1e,جا
caba,xu1ebu1e,جابا
cabacı,xu1ebu1exu1y,جاباجی
cabeca,xu1ebu1xu1e,جابجا
cabir,xu1ebu1r,جابر
cacık,xu1exu1yfo2,جاجیق
cadaloz,xu1edelwro1,جادالوز
cadalozluk,xu1edelwro1lfo2,جادالوزلق
cadde,xu1edh,جاده
cadde,xu1edh||,جاده‌
cadde,xu1edo8h,جادّه
cadde-i kübra-yı kur'aniye,xu1o4edo4o8u4 ko9bu1o0ro4eyu4 fo2o9ro0eo6bo1u4yo4h||,جَادَِّ کُبْرَایِ قُرْآنِیَه‌
cadde-i kübrâ-yi kur'âniye,xu1o4edo4o8u4 ko9bu1o0ro4ebu2u4 fo2o9ro0eo6bo1u4bu2o4h,جَادَِّ کُبْرَايِ قُرْآنِيَه
cadde-i kübrâ-yı kur'âniye,xu1o4edo4o8u4 ko9bu1o0ro4ebu2u4 fo2o9ro0eo6bo1u4bu2o4h,جَادَِّ کُبْرَايِ قُرْآنِيَه
cadde-i,xu1edo8h||u4,جادّه‌ِ
cadde-i̇ kübra-yi kur'ani̇ye,xu1o4edo4o8u4 ko9bu1o0ro4eyu4 fo2o9ro0eo6bo1u4yo4h||,جَادَِّ کُبْرَایِ قُرْآنِیَه‌
caddede,xu1edo8h||dh,جادّه‌ده
caddeden,xu1edo8h||dbo1,جادّه‌دن
caddedir,xu1edo8h||dr,جادّه‌در
caddeleridir,xu1edo8h||lrydr,جادّه‌لریدر
caddelerini,xu1edo8h||lrybo1y,جادّه‌لرینی
caddenin,xu1edo8h||bo1ko3,جادّه‌نڭ
caddesi,xu1edo8h||sy,جادّه‌سی
caddesidir,xu1edo8h||sydr,جادّه‌سیدر
caddesinde,xu1edo8h||sbo1dh,جادّه‌سنده
caddesindedir,xu1edo8h||sbo1dh||dr,جادّه‌سنده‌در
caddesinden,xu1edo8h||sbo1dbo1,جادّه‌سندن
caddesini,xu1edo8h||sbo1y,جادّه‌سنی
caddeye,xu1edo8h||yh,جادّه‌یه
caddeyi,xu1edo8h||yy,جادّه‌یی
cadu,xu1edw,جادو
caduger,xu1edwko7r,جادوگر
cadı,xu1edy,جادی
cafcaf,xu1efo1<>xu1efo1,جاف‌جاف
cafcaf,xu1efo1||xu1efo1,جاف‌جاف
cafcaflı,xu1efo1<>xu1efo1ly,جاف‌جافلی
cafcaflı,xu1efo1||xu1efo1ly,جاف‌جافلی
cafer'den,xu1afo1rdbo1,جعفردن
cafer'e,xu1afo1rh,جعفره
cafer,xu1afo1r,جعفر
cafer-i,xu1afo1ru4,جعفرِ
cah,xu1eh,جاه
cah,xu1eh||,جاه‌
cahid,xu1ehd,جاهد
cahil,xu1ehl,جاهل
cahil-i,xu1ehlu4,جاهلِ
cahil-münevver,xu1ehl mbo1wo8r,جاهل منوّر
cahilane,xu1ehlebo1h,جاهلانه
cahilane,xu1ehlebo1h||,جاهلانه‌
cahilanedir,xu1ehlebo1h||dr,جاهلانه‌در
cahildir,xu1ehldr,جاهلدر
cahile,xu1ehlh,جاهله
cahileyi,xu1ehlh||yy,جاهله‌یی
cahili,xu1ehly,جاهلی
cahilim,xu1ehlm,جاهلم
cahilin,xu1ehlko3,جاهلڭ
cahiliye,xu1ehlyh,جاهلیه
cahiliyeleri,xu1ehlyh||lry,جاهلیه‌لری
cahiliyet,xu1ehlybo2,جاهلیت
cahiliyete,xu1ehlybo2h,جاهلیته
cahiliyette,xu1ehlybo2dh,جاهلیتده
cahiliyetteki,xu1ehlybo2dh||ky,جاهلیتده‌کی
cahiliyeyi,xu1ehlyh||yy,جاهلیه‌یی
cahiliz,xu1ehlro1,جاهلز
cahillere,xu1ehllrh,جاهللره
cahilleri,xu1ehllry,جاهللری
cahillerin,xu1ehllrko3,جاهللرڭ
cahillik,xu1ehllk,جاهللک
cahilsiniz,xu1ehlsko3ro1,جاهلسڭز
cahim,xu1xym,جحیم
cahîm,xu1xbu2m,جحيم
cahız'ın,xu1exto1ko3,جاحظڭ
cahız,xu1exto1,جاحظ
cahş,xu1xso3,جحش
caiz kılmak,xu1ebo5ro1 fo2ylmfo2,جائز قیلمق
caiz,xu1ebo5ro1,جائز
caiz,xu1eyo5ro1,جائز
caiz,xu1o4ebo5u4ro1o0,جَائِزْ
caizdir,xu1eyo5ro1dr,جائزدر
caize,xu1ebo5ro1h||,جائزه‌
caizse,xu1eyo5ro1sh,جائزسه
cai̇z,xu1o4ebo5u4ro1o0,جَائِزْ
cak,xu1fo2,جق
calapa,xu1lebu3h,جلاپه
calapa,xu1lebu3h||,جلاپه‌
cali,xu1aly,جعلی
calib -i dikkat,xu1elbu1 dfo2bo2,جالب دقت
calib,xu1elbu1,جالب
calib-i dikkat,xu1elbu1 dfo2bo2,جالب دقت
calib-i,xu1elbu1u4,جالبِ
calinos'un,xu1elybo1wsko3,جالینوسڭ
calinos,xu1elybo1ws,جالینوس
calis,xu1els,جالس
