
d,d,د
d,zo1,ض
da',dec,داء
da'i,deay,داعی
da'i,do4eay,دَاعی
da'ima,debo5me,دائما
da'ire,debo5rh||,دائره‌
da'i̇,do4eay,دَاعی
da'ussıla,dec elzlh||,داء الصله‌
da'va vekili,dawy wkyly,دعوی وکیلی
da'va vekîli,dawy wkbu2ly,دعوی وکيلی
da'va,dawy,دعوی
da'vet etmek,dawbo2 e,دعوت ا
da'vet,dawbo2,دعوت
da'vet-i,dawbo2u4,دعوتِ
da,dh,ده
da,dh||,ده‌
daavat,dawebo2,دعوات
daavat-ı,dawebo2u4,دعواتِ
daavât-ı,dawebo2u4,دعواتِ
daavâtına,dawebo2bo1h,دعواتنه
dabb,zo1o4bu1o8,ضَبّ
dabbe,debu1o8h,دابّه
dabbet-ül,debu1o8ho2 el,دابّة ال
dabbetülarz,debu1o8ho2 eleo5rzo1,دابّة الأرض
dabbetülarzın,debu1o8ho2 eleo5rzo1ko3,دابّة الأرضڭ
dad ü sitad,dedwsbo2d,دادوستد
dad,ded,داد
dad,zo1,ض
dada,dede,دادا
dadan,dedebo1,دادان
dadan,tedebo1,طادان
dadandır,dedebo1dyr,داداندیر
dadandırmak,dedebo1dyrmfo2,داداندیرمق
dadanmak,dedebo1mfo2,دادانمق
dadanmak,tedebo1mfo2,طادانمق
daday'daki,dedeydh||ky,دادایده‌کی
daday'lı,dedeyly,دادایلی
daday,dedey,دادای
daday,tetey,طاطای
dadelemek,debo1h<>lmk,دانه‌لمک
dadgah,dedko7eh||,دادگاه‌
dadhah,dedxo1weh||,دادخواه‌
dadres,dedrs,دادرس
dadu,dedw,دادو
dadüferyad,dedwfo1ryed,دادوفریاد
dadüsited,ded w sbo2d,داد و ستد
dadı,dedy,دادی
dadılık,dedylfo2,دادیلق
dadır,dh||dr,ده‌در
dafi',defo1a,دافع
dafi,defo1a,دافع
dafia,defo1ah,دافعه
dafianın,defo1ah||bo1ko3,دافعه‌نڭ
dafiası,defo1ah||sy,دافعه‌سی
dafiaya,defo1ah||yh,دافعه‌یه
dafi’,defo1a,دافع
daha ala,dhe eale,دها اعلا
daha alçak,dhe elxu3fo2,دها الچق
daha az,dhe ero1,دها از
daha aşağı,dhe eso3eao1y,دها اشاغی
daha beter etmek,dhebu1bo2re,دهابترا
daha beter,dhe bu1bo2r,دها بتر
