
g,ao1,غ
g,ko7,گ
ga'ib olmak,ao1ebo5bu1 ew,غائب او
gabardin,ao1ebu1erdbu2bo1,غاباردين
gabardin,ao1ebu1erdybo1,غاباردین
gabavet,ao1bu1ewbo2,غباوت
gabavet,ao1o4bu1o4ewo4bo2o0,غَبَاوَتْ
gabaveti,ao1bu1ewbo2y,غباوتی
gabavetinden,ao1bu1ewbo2bo1dbo1,غباوتندن
gabavetine,ao1bu1ewbo2bo1h,غباوتنه
gabavettir,ao1bu1ewbo2dr,غباوتدر
gabavetçe,ao1bu1ewbo2xu1h,غباوتجه
gabi,ao1bu1y,غبی
gabi,ao1o4bu1y,غَبی
gabileşen,ao1bu1ylh||so3bo1,غبیله‌شن
gabileşir,ao1bu1ylso3yr,غبیلشیر
gabileşmesine,ao1bu1ylso3mh||sbo1h,غبیلشمه‌سنه
gabiya grandi,ao1ebu1bu2h ao1rebo1dy,غابيه غراندی
gabiya grandi,ao1ebu1yh ao1rebo1dy,غابیه غراندی
gabiya çubuğu,ao1ebu1bu2h xu3bu1wao1y,غابيه چبوغی
gabiya çubuğu,ao1ebu1yh xu3bu1wao1y,غابیه چبوغی
gabi̇,ao1o4bu1y,غَبی
gabn,ao1bu1bo1,غبن
gabya çubuğu,ao1ebu1bu2h xu3bu1wao1y,غابيه چبوغی
gabya çubuğu,ao1ebu1yh xu3bu1wao1y,غابیه چبوغی
gabya,ao1ebu1bu2h,غابيه
gabya,ao1ebu1yh||,غابیه‌
gabâvet,ao1bu1ewbo2,غباوت
gabâvet,ao1o4bu1o4ewo4bo2o0,غَبَاوَتْ
gabî,ao1bu1y,غبی
gabî,ao1o4bu1bu2,غَبي
gabîdir,ao1bu1ydr,غبیدر
gabît,ao1bu1yt,غبیط
gadabiyye,ao1zo1bu1yh,غضبیه
gaddar,ao1der,غدار
gaddar,ao1do8er,غدّار
gaddar,ao1o4do4o8ero0,غَدَّارْ
gaddara,ao1do8erh,غدّاره
gaddarane,ao1do8erebo1h,غدّارانه
gaddardır,ao1do8erdr,غدّاردر
gaddaredir,ao1do8erh||dr,غدّاره‌در
gaddarlar,ao1do8erlr,غدّارلر
gaddarlara,ao1do8erlrh,غدّارلره
gaddarlardan,ao1do8erlrdbo1,غدّارلردن
gaddarları,ao1do8erlry,غدّارلری
gaddarların,ao1do8erlrko3,غدّارلرڭ
gaddarlarını,ao1do8erlrybo1y,غدّارلرینی
gaddarlık,ao1derlfo2,غدارلق
gaddarlıklarını,ao1do8erlfo2lrybo1y,غدّارلقلرینی
gaddarlıktır,ao1do8erlfo2dr,غدّارلقدر
gaddarâne,ao1do8erebo1h,غدّارانه
gaddarın,ao1do8erko3,غدّارڭ
gaddâr,ao1der,غدار
gaddâr,ao1o4do4o8ero0,غَدَّارْ
gadir,ao1dr,غدر
gadir,ao1o4du4ro0,غَدِرْ
gadirden,ao1drdbo1,غدردن
gadirdir,ao1drdr,غدردر
gadirli,ao1drly,غدرلی
gadirsiz,ao1drsro1,غدرسز
gadi̇r,ao1o4du4ro0,غَدِرْ
gadr etmek,ao1dre,غدرا
gadr,ao1dr,غدر
gadr-ı,ao1dru4,غدرِ
gadre,ao1drh,غدره
gadren,ao1dro44e,غدرًا
gadren,ao1o4do0ro4bo1o0,غَدْرَنْ
gadret,ao1dreybo2,غدرایت
gadretmek,ao1drebu2bo2mk,غدرايتمک
gadretmek,ao1dreybo2mk,غدرایتمک
gadrin,ao1drko3,غدرڭ
gaferehullah,ao1o4fo1o4ro4ho9 eellh,غَفَرَهُ االله
gaffar,ao1fo1er,غفار
gaffar,ao1fo1o8er,غفّار
gaffar,ao1o4fo1o4o8ero0,غَفَّارْ
gaffar-üz,ao1fo1o8er el,غفّار ال
gaffâr,ao1fo1er,غفار
gaffâr,ao1o4fo1o4o8ero0,غَفَّارْ
gafil olmamak,ao1efo1l ewlmemfo2,غافل اولمامق
gafil,ao1efo1l,غافل
gafil,ao1o4efo1u4lo0,غَافِلْ
gafilane,ao1efo1lebo1h,غافلانه
gafildir,ao1efo1ldr,غافلدر
gafile,ao1efo1lh,غافله
gafili,ao1efo1ly,غافلی
gafiller,ao1efo1llr,غافللر
gafillere,ao1efo1llrh,غافللره
gafilleri,ao1efo1llry,غافللری
gafillerin,ao1efo1llrko3,غافللرڭ
gafilâne,ao1efo1lebo1h,غافلانه
gafilîn,ao1efo1lybo1,غافلین
gafi̇l,ao1efo1l,غافل
gafi̇l,ao1o4efo1u4lo0,غَافِلْ
gaflet,ao1fo1lbo2,غفلت
gaflet,ao1o4fo1o0lo4bo2o0,غَفْلَتْ
gaflet-i,ao1fo1lbo2u4,غفلتِ
gaflete,ao1fo1lbo2h,غفلته
gafleten,ao1fo1lho2,غفلة
gafleti,ao1fo1lbo2y,غفلتی
gafletim,ao1fo1lbo2m,غفلتم
gafletimiz,ao1fo1lbo2mro1,غفلتمز
gafletin,ao1fo1lbo2ko3,غفلتڭ
gafletinden,ao1fo1lbo2bo1dbo1,غفلتندن
gafletine,ao1fo1lbo2bo1h,غفلتنه
gafletini,ao1fo1lbo2ko3y,غفلتڭی
gafletiyle,ao1fo1lbo2ylh,غفلتیله
gafletkârane,ao1fo1lbo2kerebo1h,غفلتکارانه
gafletle,ao1fo1lbo2lh,غفلتله
gafletleri,ao1fo1lbo2lry,غفلتلری
gafletlerinden,ao1fo1lbo2lrbo1dbo1,غفلتلرندن
gafletlerine,ao1fo1lbo2lrybo1h,غفلتلرینه
gafletli,ao1fo1lbo2ly,غفلتلی
gafletlikle,ao1fo1lbo2lklh,غفلتلکله
gafletpîşe,ao1fo1lbo2||bu3yso3h,غفلت‌پیشه
gafletsiz,ao1fo1lbo2sro1,غفلتسز
gaflette,ao1fo1lbo2dh,غفلتده
gafletten,ao1fo1lbo2dbo1,غفلتدن
gafletçe,ao1fo1lbo2xu1h,غفلتجه
gafur,ao1fo1wr,غفور
gafur-ur,ao1fo1wr el,غفور ال
gafîrin,ao1fo1yrko3,غفیرڭ
gafûr,ao1fo1wr,غفور
gaga,ao1eao1e,غاغا
gaga,ao1eao1h,غاغه
gaga,ao1eao1h||,غاغه‌
gagala,ao1eao1ele,غاغالا
gagalamak,ao1eao1elemfo2,غاغالامق
gagalaş,ao1eao1eleso3,غاغالاش
gagalaşmak,ao1eao1eleso3mfo2,غاغالاشمق
gah,ko7eh||,گاه‌
gahi,ko7ehy,گاهی
