
h,h x xo1,ه ح خ
h,h,ه
h,h||,ه‌
h,x,ح
h,x,ح
h,xu1,ج
ha,he,ها
ha,x,ح
ha,xo1e,خا
ha-keza,hkdo1e,هکذا
hab,xbu1,حب
hab,xo1webu1,خواب
hab-alud,xo1webu1 elwd,خواب الود
habab,xbu1ebu1,حباب
hababe,xbu1ebu1h||,حبابه‌
habail,xbu1ebo5l,حبائل
habais,xo1bu1ebo5bo3,خبائث
habalud,xo1webu1 eo6lwd,خواب آلود
habalude,xo1webu1 eo6lwdh||,خواب آلوده‌
habaset,xo1bu1ebo3bo2,خباثت
habasetli,xo1bu1ebo3bo2lw,خباثتلو
habb,xbu1,حب
habb,xo4bu1o8,حَبّ
habbat,xbu1ebo2,حبات
habbaz,xo1bu1ero1,خباز
habbe'nin,xbu1o8h||bo1ko3,حبّه‌نڭ
habbe,xbu1h,حبه
habbe,xbu1h||,حبه‌
habbe,xbu1o8h,حبّه
habbe,xo4bu1o4o8h,حَبَّه
habbe,xo4bu1o4o8h||,حَبَّه‌
habbe-i hadra,xbu1hc xzo1re,حبهء حضرا
habbe-i hadrâ,xbu1hc xzo1re,حبهء حضرا
habbe-i sevda,xbu1hc swde,حبهء سودا
habbe-i sevdâ,xbu1hc swde,حبهء سودا
habbe-i,xbu1o8hu4,حبّهِ
habbe-i̇ hadra,xbu1hc xzo1re,حبهء حضرا
habbe-i̇ sevda,xbu1hc swde,حبهء سودا
habbeciklerden,xbu1o8h||xu1klrdbo1,حبّه‌جکلردن
habbeciklerinden,xbu1o8h||xu1klrbo1dbo1,حبّه‌جکلرندن
habbede,xbu1o8h||dh,حبّه‌ده
habbeler,xbu1o8h||lr,حبّه‌لر
habbelerden,xbu1o8h||lrdbo1,حبّه‌لردن
habbeleri,xbu1o8h||lry,حبّه‌لری
habbelerin,xbu1o8h||lrko3,حبّه‌لرڭ
habbenin,xbu1o8h||bo1ko3,حبّه‌نڭ
habbesi,xbu1o8h||sy,حبّه‌سی
habbesinde,xbu1o8h||sbo1dh,حبّه‌سنده
habbeyi,xbu1o8h||yy,حبّه‌یی
habbeza,xbu1do1e,حبذا
habbezâ,xbu1do1e,حبذا
habbi,xo4bu1o8u4,حَبِّ
habbât,xbu1ebo2,حبات
habbâz,xo1bu1ero1,خباز
habbülbüluğ,xbu1 elbu1lwao1,حب البلوغ
habbülbülûğ,xbu1 elbu1lwao1,حب البلوغ
habcame,xo1webu1 xu1emh||,خواب جامه‌
haber almak,xo1bu1relmfo2,خبرالمق
haber göndermek,xo1bu1rkwbo1drmk,خبرکوندرمک
haber veren,xo1bu1rwbu2rbo1,خبرويرن
haber veren,xo1bu1rwyrbo1,خبرویرن
haber vermek,xo1bu1r wbu2rmk,خبر ويرمک
haber vermek,xo1bu1r wyrmk,خبر ویرمک
haber vermek,xo1bu1rwbu2rmk,خبرويرمک
haber vermek,xo1bu1rwyrmk,خبرویرمک
haber,xo1bu1r,خبر
haber,xo1o4bu1o4ro0,خَبَرْ
haber-i mülhemi ihbar etmek,xo1bu1r mlhmy exo1bu1ere,خبر ملهمی اخبارا
haber-i mülhemi ihbâr etmek,xo1bu1r mlhmy exo1bu1ere,خبر ملهمی اخبارا
haber-i,xo1bu1ru4,خبرِ
haberdar olmak,xo1bu1rder ew,خبردار او
haberdar,xo1bu1rder,خبردار
haberdardır,xo1bu1rderdr,خبرداردر
haberdarız,xo1bu1rderro1,خبردارز
haberde,xo1bu1rdh,خبرده
haberden,xo1bu1rdbo1,خبردن
haberdir,xo1bu1rdr,خبردر
haberdâr olmak,xo1bu1rder ew,خبردار او
haberdâr,xo1bu1rder,خبردار
habere,xo1bu1rh,خبره
haberi olan,xo1bu1ry ewlebo1,خبری اولان
haberi olmak,xo1bu1ry ew,خبری او
haberi,xo1bu1ry,خبری
haberidir,xo1bu1rydr,خبریدر
haberim,xo1bu1rm,خبرم
haberimiz,xo1bu1rymro1,خبریمز
haberin,xo1bu1rko3,خبرڭ
haberine,xo1bu1rybo1h,خبرینه
haberini,xo1bu1rybo1y,خبرینی
haberinin,xo1bu1rybo1ko3,خبرینڭ
haberiniz,xo1bu1ryko3ro1,خبریڭز
haberinizi,xo1bu1ryko3ro1y,خبریڭزی
haberinle,xo1bu1rko3lh,خبرڭله
haberiyle,xo1bu1rylh,خبریله
haberler,xo1bu1rlr,خبرلر
haberlerde,xo1bu1rlrdh,خبرلرده
haberlerden,xo1bu1rlrdbo1,خبرلردن
haberlerdir,xo1bu1rlrdr,خبرلردر
haberlere,xo1bu1rlrh,خبرلره
haberleri,xo1bu1rlry,خبرلری
haberleri-,xo1bu1rlry,خبرلری
haberlerin,xo1bu1rlrko3,خبرلرڭ
haberlerine,xo1bu1rlrybo1h,خبرلرینه
haberlerini,xo1bu1rlrybo1y,خبرلرینی
haberlerinin,xo1bu1rlrybo1ko3,خبرلرینڭ
haberlerinizi,xo1bu1rlryko3ro1y,خبرلریڭزی
haberlerle,xo1bu1rlrlh,خبرلرله
haberleş,xo1bu1rlh<>so3,خبرله‌ش
haberleşmek,xo1bu1rlh<>so3mk,خبرله‌شمک
haberleşmek,xo1bu1rlh||so3mk,خبرله‌شمک
haberleşmek,xo1bu1rlso3mk,خبرلشمک
habersiz,xo1bu1rsro1,خبرسز
habeş,xbu1so3,حبش
habeşe,xbu1so3h,حبشه
habeşe,xbu1so3h||,حبشه‌
habeşe,xo4bu1o4so3o4h,حَبَشَه
habeşi,xbu1so3y,حبشی
habeşî'nin,xbu1so3ybo1ko3,حبشینڭ
habeşî'ye,xbu1so3y||yh,حبشی‌یه
habeşî'yi,xbu1so3y||yy,حبشی‌یی
habeşî,xbu1so3y,حبشی
habgah,xo1webu1ko7eh||,خوابگاه‌
habib'e,xbu1ybu1h,حبیبه
habib'in,xbu1ybu1ko3,حبیبڭ
habib'le,xbu1ybu1lh,حبیبله
habib,xbu1ybu1,حبیب
habib,xo4bu1ybu1o0,حَبیبْ
habib-i ekrem,xo4bu1ybu1u4 eo4ko0ro4mo0,حَبیبِ اَکْرَمْ
habib-i zişan,xo4bu1ybu1u4 do1yso3o4ebo1o0,حَبیبِ ذیشَانْ
habib-i,xbu1ybu1u4,حبیبِ
habib-u,xbu1ybu1u4,حبیبِ
habibdir,xbu1ybu1dr,حبیبدر
habibi,xbu1ybu1y,حبیبی
habibidir,xbu1ybu1ydr,حبیبیدر
habibike-l,xbu1ybu1k el,حبیبک ال
habibike-r,xbu1ybu1k el,حبیبک ال
habibim,xbu1ybu1m,حبیبم
habibin,xbu1ybu1ko3,حبیبڭ
habibinde,xbu1ybu1bo1dh,حبیبنده
habibine,xbu1ybu1bo1h,حبیبنه
habibini,xbu1ybu1bo1y,حبیبنی
habibinin,xbu1ybu1ko3ko3,حبیبڭڭ
habibiyet,xbu1ybu1ybo2,حبیبیت
habibiyetini,xbu1ybu1ybo2bo1y,حبیبیتنی
habibiyyetini,xbu1ybu1ybo2bo1y,حبیبیتنی
habibullah'a,xbu1ybu1 ello8h||h,حبیب اللّه‌ه
habibullah'ı,xbu1ybu1 ello8h||y,حبیب اللّه‌ی
habibullah'ın,xbu1ybu1 ello8h||ko3,حبیب اللّه‌ڭ
habibullah,xbu1ybu1 eellh,حبیب االله
habibullah,xbu1ybu1 ellh||,حبیب الله‌
habibullahtır,xbu1ybu1o9 eellhdr,حبیبُ االلهدر
habibur-rahman,xbu1ybu1 elrxmbo1,حبیب الرحمن
habiburrahman,xbu1ybu1 elrxmbo1,حبیب الرحمن
habide,xo1webu1ydh||,خوابیده‌
habilullah'tan,xbu1yl ello8h||dbo1,حبیل اللّه‌دن
habilullah,xbu1yl eellh,حبیل االله
habir,xo1bu1yr,خبیر
habire,hebu1rh,هابره
habire,hebu1rh||,هابره‌
habis,xo1bu1bu2bo3,خبيث
habis,xo1bu1ybo3,خبیث
habis,xo1o4bu1ybo3o0,خَبیثْ
habisat,xo1bu1ybo3ebo2,خبیثات
habise,xo1bu1ybo3h,خبیثه
habisedir,xo1bu1ybo3h||dr,خبیثه‌در
habiseleri,xo1bu1ybo3h||lry,خبیثه‌لری
habisenin,xo1bu1ybo3h||bo1ko3,خبیثه‌نڭ
habisesi,xo1bu1ybo3h||sy,خبیثه‌سی
habisesinden,xo1bu1ybo3h||sbo1dbo1,خبیثه‌سندن
habiseye,xo1bu1ybo3h||yh,خبیثه‌یه
habiseyi,xo1bu1ybo3h||yy,خبیثه‌یی
habisi,xo1bu1ybo3y,خبیثی
habislerdir,xo1bu1ybo3lrdr,خبیثلردر
habistirler,xo1bu1ybo3drlr,خبیثدرلر
habi̇b,xo4bu1ybu1o0,حَبیبْ
habi̇b-i̇ ekrem,xo4bu1ybu1u4 eo4ko0ro4mo0,حَبیبِ اَکْرَمْ
habi̇b-i̇ zi̇şan,xo4bu1ybu1u4 do1yso3o4ebo1o0,حَبیبِ ذیشَانْ
habi̇s,xo1o4bu1ybo3o0,خَبیثْ
habl,xbu1l,حبل
habl-i,xbu1lu4,حبلِ
habl-ül,xbu1l el,حبل ال
hablullah,xbu1l eellh,حبل االله
hablullah-il,xo4bu1o0lo9 eellhu4 elo0,حَبْلُ االلهِ الْ
hablullaha,xbu1l ello8h||h,حبل اللّه‌ه
hablullahtır,xbu1l ello8h||dr,حبل اللّه‌در
hablülmesakin,xbu1l elmsekbo1,حبل المساکن
hablülmesâkin,xbu1l elmsekbo1,حبل المساکن
hablülmetine,xbu1l elmbo2ybo1h,حبل المتینه
habnak,xo1webu1bo1ek,خوابناک
habname,xo1webu1 bo1emh||,خواب نامه‌
habr,xbu1r,حبر
habr-ül,xbu1ro9 el,حبرُ ال
habs etmek,xbu1s e,حبس ا
habs,xbu1s,حبس
habs,xbu3s,حپس
habset,xbu1s eybo2,حبس ایت
habsetmek,xbu1s ebu2bo2mk,حبس ايتمک
habsetmek,xbu1s eybo2mk,حبس ایتمک
habshane,xbu1s xo1ebo1h||,حبس خانه‌
habshane,xbu1sxo1ebo1h||,حبسخانه‌
habshâne,xbu1s xo1ebo1h,حبس خانه
habshâne,xbu1sxo1ebo1h,حبسخانه
habt etmek,hbu1bo2 e,هبت ا
habt etmek,hbu1t e,هبط ا
habt,xbu1t,حبط
habt,xo1bu1t,خبط
habtet,xbu1t eybo2,حبط ایت
habtetmek,xbu1t ebu2bo2mk,حبط ايتمک
habtetmek,xbu1t eybo2mk,حبط ایتمک
habtühata,xo1bu1t w xo1te,خبط و خطا
habâb,xbu1ebu1,حباب
habâbe,xbu1ebu1h,حبابه
habâil,xbu1ebo5l,حبائل
habâis,xo1bu1ebo5bo3,خبائث
habâset,xo1bu1ebo3bo2,خباثت
habâsetli,xo1bu1ebo3bo2lw,خباثتلو
habîb,xbu1bu2bu1,حبيب
habîb,xo4bu1bu2bu1o0,حَبيبْ
habîb-i ekrem,xo4bu1bu2bu1u4 eo4ko0ro4mo0,حَبيبِ اَکْرَمْ
habîb-i zîşân,xo4bu1bu2bu1u4 do1bu2so3o4ebo1o0,حَبيبِ ذيشَانْ
habîb-i,xbu1ybu1u4,حبیبِ
habîbullah,xbu1ybu1 ello99o8h,حبیب اللٌّه
habîr,xo1bu1bu2r,خبير
habîr-i,xo1bu1yru4,خبیرِ
habîs,xo1bu1bu2bo3,خبيث
habîs,xo1bu1ybo3,خبیث
habîs,xo1o4bu1bu2bo3o0,خَبيثْ
habîsat,xo1bu1ybo3ebo2,خبیثات
habîsatı,xo1bu1ybo3ebo2y,خبیثاتی
habîse,xo1bu1ybo3h,خبیثه
hac,xexu1,حاج
hac,xxu1,حج
hac,xxu1o8,حجّ
hacalet,xo1xu1elbo2,خجالت
hacalet-i,xo1xu1elbo2u4,خجالتِ
hacalet-âverdir,xo1xu1elbo2||eo6wrdr,خجالت‌آوردر
hacaletaver,xo1xu1elbo2 eo6wr,خجالت آور
hacaletaver,xo1xu1elbo2||eo6wr,خجالت‌آور
hacaletinden,xo1xu1elbo2bo1dbo1,خجالتندن
hacaletini,xo1xu1elbo2bo1y,خجالتنی
hacaletli,xo1xu1elbo2ly,خجالتلی
hacaletten,xo1xu1elbo2dbo1,خجالتدن
hacalettir,xo1xu1elbo2dr,خجالتدر
hacaletâver,xo1xu1elbo2||eo6wr,خجالت‌آور
hacamat camı,xxu1embo2 xu1emy,حجامت جامی
hacamat,xxu1embo2,حجامت
hacamatcı,xxu1embo2xu1bu2,حجامتجي
hacamatcı,xxu1embo2xu1y,حجامتجی
hacamet,xxu1embo2,حجامت
hacar,xxu1r,حجر
hacat,xexu1ebo2,حاجات
hacat-ı,xexu1ebo2u4,حاجاتِ
hacata,xexu1ebo2h,حاجاته
hacatla,xexu1ebo2lh,حاجاتله
hacatlar,xexu1ebo2lr,حاجاتلر
hacatlarını,xexu1ebo2lrybo1y,حاجاتلرینی
hacatta,xexu1ebo2dh,حاجاتده
hacattan,xexu1ebo2dbo1,حاجاتدن
hacatı,xexu1ebo2y,حاجاتی
hacatımı,xexu1ebo2my,حاجاتمی
hacatımıza,xexu1ebo2mro1h,حاجاتمزه
hacatımızla,xexu1ebo2mro1lh,حاجاتمزله
hacatın,xexu1ebo2ko3,حاجاتڭ
hacatına,xexu1ebo2bo1h,حاجاتنه
hacatını,xexu1ebo2bo1y,حاجاتنی
hacatının,xexu1ebo2bo1ko3,حاجاتنڭ
hacatıyla,xexu1ebo2ylh,حاجاتیله
hacc'ın,xxu1o8ko3,حجّڭ
hacc,xxu1o8,حجّ
hacc-ül,xxu1o8 el,حجّ ال
hacc-ı,xxu1o8u4,حجِّ
hacca,xxu1o8h,حجّه
haccac-ı,xo4xu1o8exu1u4,حَجّاجِ
haccacane,xxu1o8exu1ebo1h,حجّاجانه
haccam,xxu1em,حجام
haccamlar,xxu1o8emlr,حجّاملر
haccar,xxu1er,حجار
haccda,xxu1o8dh,حجّده
hacce,xexu1h||,حاجه‌
hacceden,xxu1o8 eydbo1,حجّ ایدن
haccet,xxu1 eybo2,حج ایت
haccetmek,xxu1 ebu2bo2mk,حج ايتمک
haccetmek,xxu1 eybo2mk,حج ایتمک
haccetmeyi,xxu1 eybo2mko7y,حج ایتمگی
haccâm,xxu1em,حجام
haccı,xxu1o8y,حجّی
haccın,xxu1o8ko3,حجّڭ
hacda,xxu1dh,حجده
hacdaki,xxu1dh||ky,حجده‌کی
hacdan,xxu1dbo1,حجدن
hace,xo1wexu1h||,خواجه‌
hacebî,xxu1bu1y,حجبی
hacegan,xo1wexu1ko7ebo1,خواجگان
hacegi,xo1wexu1ko7y,خواجگی
hacegân,xo1wexu1h||ko7ebo1,خواجه‌گان
hacel,xo1xu1l,خجل
hacer'e,xxu1rh,حجره
hacer'in,xxu1rko3,حجرڭ
hacer'ler,hexu1rlr,هاجرلر
hacer'leri,hexu1rlry,هاجرلری
hacer,xxu1r,حجر
hacer-i esved,xxu1r eswd,حجر اسود
hacer-i semai,xxu1r smebo5y,حجر سمائی
hacer-i semâî,xxu1r smebo5y,حجر سمائی
hacer-i,xxu1ru4,حجرِ
hacer-i̇ esved,xxu1r eswd,حجر اسود
hacer-i̇ semai̇,xxu1r smebo5y,حجر سمائی
hacer-ül,xxu1r el,حجر ال
hacerin,xxu1rko3,حجرڭ
hacesera,xo1wexu1h sre,خواجه سرا
hacet,xexu1bo2,حاجت
hacet,xo4exu1o4bo2o0,حَاجَتْ
hacet-i amme,xo4exu1o4bo2u4 ao4emo4o8h||,حَاجَتِ عَامَّه‌
hacet-i,xexu1bo2u4,حاجتِ
hacet-i̇ amme,xo4exu1o4bo2u4 ao4emo4o8h||,حَاجَتِ عَامَّه‌
hacete,xexu1bo2h,حاجته
haceti,xexu1bo2y,حاجتی
hacetimdir,xexu1bo2mdr,حاجتمدر
hacetimi,xexu1bo2my,حاجتمی
hacetin,xexu1bo2ko3,حاجتڭ
hacetinde,xexu1bo2bo1dh,حاجتنده
hacetinden,xexu1bo2bo1dbo1,حاجتندن
hacetine,xexu1bo2bo1h,حاجتنه
hacetini,xexu1bo2bo1y,حاجتنی
hacetinin,xexu1bo2bo1ko3,حاجتنڭ
hacetle,xexu1bo2lh,حاجتله
hacetlere,xexu1bo2lrh,حاجتلره
hacetleri,xexu1bo2lry,حاجتلری
hacetlerimi,xexu1bo2lrymy,حاجتلریمی
hacetlerin,xexu1bo2lrko3,حاجتلرڭ
hacetlerine,xexu1bo2lrybo1h,حاجتلرینه
hacetlerini,xexu1bo2lrybo1y,حاجتلرینی
