
j,ro3,ژ
jaj,ro3ero3,ژاژ
jajhay,ro3ero3xo1ey,ژاژخای
jale,ro3elh,ژاله
jale,ro3elh||,ژاله‌
jan,ro3ebo1,ژان
jandarma,ro3ebo1dermh,ژاندارمه
jandarma,ro3ebo1dermh||,ژاندارمه‌
jandarmalar,ro3ebo1dermh||lr,ژاندارمه‌لر
jandarmalara,ro3ebo1dermh||lrh,ژاندارمه‌لره
jandarmalarla,ro3ebo1dermh||lrlh,ژاندارمه‌لرله
jandarmaları,ro3ebo1dermh||lry,ژاندارمه‌لری
jandarmaların,ro3ebo1dermh||lrko3,ژاندارمه‌لرڭ
jandarmanın,ro3ebo1dermh||bo1ko3,ژاندارمه‌نڭ
jandarmasına,ro3ebo1dermh||sbo1h,ژاندارمه‌سنه
jandarmaya,ro3ebo1dermh||yh,ژاندارمه‌یه
japon'dur,ro3ebu3wbo1dr,ژاپوندر
japon'un,ro3ebu3wbo1ko3,ژاپونڭ
japon,ro3ebu3wbo1,ژاپون
japondur,ro3ebu3wbo1dr,ژاپوندر
japoniye,ro3ebu3wbo1yh,ژاپونیه
japonlara,ro3ebu3wbo1lrh,ژاپونلره
japonların,ro3ebu3wbo1lrko3,ژاپونلرڭ
japonya'da,ro3ebu3wbo1yedh,ژاپونیاده
japonya'daki,ro3ebu3wbo1yedh||ky,ژاپونیاده‌کی
japonya'nın,ro3ebu3wbo1yebo1ko3,ژاپونیانڭ
japonya'ya,ro3ebu3wbo1yeyh,ژاپونیایه
japonya,ro3ebu3wbo1ye,ژاپونیا
jelatin,ro3h<>lebo2ybo1,ژه‌لاتین
jelatin,ro3h||lebo2bu2bo1,ژه‌لاتين
jeneral,ro3h<>bo1h<>rel,ژه‌نه‌رال
jeneral,ro3h||bo1h||rel,ژه‌نه‌رال
jeneratör,ro3h<>bo1h<>rebo2wr,ژه‌نه‌راتور
jeneratör,ro3h||bo1h||rebo2wr,ژه‌نه‌راتور
jeng,ro3bo1ko7,ژنگ
jengar,ro3bo1ker,ژنکار
jengar,ro3bo1ko7er,ژنگار
jengâr,ro3bo1ker,ژنکار
jengâr,ro3bo1ko7er,ژنگار
jeoloji,ro3h<>ewlwro3y,ژه‌اولوژی
jeoloji,ro3h||ewlwro3y,ژه‌اولوژی
jerf,ro3rfo1,ژرف
jerfa,ro3rfo1e,ژرفا
jerfbin,ro3rfo1 bu1ybo1,ژرف بین
jerfbîn,ro3rfo1 bu1bu2bo1,ژرف بين
jerfâ,ro3rfo1e,ژرفا
jest,ro3h<>sbo2,ژه‌ست
jest,ro3h||sbo2,ژه‌ست
jimnastik,ro3ymbo1esbo2yfo2,ژیمناستیق
jinde,ro3bo1dh,ژنده
jinde,ro3bo1dh||,ژنده‌
jindepuş,ro3bo1dh bu3wso3,ژنده پوش
jindepûş,ro3bo1dh bu3wso3,ژنده پوش
jiyan,ro3yebo1,ژیان
jiyân,ro3yebo1,ژیان
jochahim,ro3wxeyo5m,ژوحائم
john,ro3wbo1,ژون
johnson,ro3wbo1swbo1,ژونسون
jurnal,ro3o4wro0bo1o4elo0,ژَورْنَالْ
jurnal,ro3wrbo1el,ژورنال
jurnal,xu1wrbo1el,جورنال
jurnalcilerin,ro3wrbo1elxu1ylrko3,ژورنالجیلرڭ
jurnalcı,xu1wrbo1elxu1y,جورنالجی
jurnalcılık,xu1wrbo1elxu1bu2lfo2,جورنالجيلق
jurnalcılık,xu1wrbo1elxu1ylfo2,جورنالجیلق
jurnaller,ro3wrbo1ellr,ژورناللر
jurnalleri,ro3wrbo1ellry,ژورناللری
jurnalleriyle,ro3wrbo1ellrylh,ژورناللریله
jâj,ro3ero3,ژاژ
jâjhây,ro3ero3xo1ey,ژاژخای
jâle,ro3elh,ژاله
jön,ro3wbo1,ژون
jön-türkler,ro3wbo1 bo2rklr,ژون ترکلر
jön-türkün,ro3wbo1 bo2wrkko3,ژون تورکڭ
jönler,ro3wbo1lr,ژونلر
jülide,ro3wlydh||,ژولیده‌
jülîde,ro3wlbu2dh,ژوليده
jüri,ro3wry,ژوری
