
k,fo2,ق
k,k,ک
ka'b,kabu1,کعب
ka'ide,fo2eadh||,قاعده‌
ka'il olmak,fo2ebo5yl ew,قائیل او
ka'im,fo2ebo5m,قائم
ka'in olmak,kebo5bo1 ew,کائن او
ka'in,kebo5bo1,کائن
ka'r,fo2ar,قعر
ka'rından,fo2arbo1dbo1,قعرندن
kaabiliyet,fo2ebu1lbu2bo2,قابليت
kaabiliyet,fo2ebu1lybo2,قابلیت
kaabiliyetsiz,fo2ebu1lbu2bo2sro1,قابليتسز
kaabiliyetsiz,fo2ebu1lybo2sro1,قابلیتسز
kaabiliyetsizlik,fo2ebu1lbu2bo2sro1lk,قابليتسزلک
kaabiliyetsizlik,fo2ebu1lybo2sro1lk,قابلیتسزلک
kaabız,fo2ebu1zo1,قابض
kaadir,fo2edr,قادر
kaadiri,fo2edry,قادری
kaadirî,fo2edry,قادری
kaafile,fo2efo1lh,قافله
kaafile,fo2efo1lh||,قافله‌
kaafiye,fo2efo1bu2h,قافيه
kaafiye,fo2efo1yh||,قافیه‌
kaafiyeci,fo2efo1bu2h||xu1y,قافيه‌جی
kaafiyeci,fo2efo1yh||xu1y,قافیه‌جی
kaafiyesiz,fo2efo1bu2h||sro1,قافيه‌سز
kaafiyesiz,fo2efo1yh||sro1,قافیه‌سز
kaafiyesizlik,fo2efo1bu2h||sro1lk,قافيه‌سزلک
kaafiyesizlik,fo2efo1yh||sro1lk,قافیه‌سزلک
kaahir,fo2ehr,قاهر
kaahire,fo2ehrh||,قاهره‌
kaaide,fo2eadh,قاعده
kaaide,fo2eadh||,قاعده‌
kaail,fo2ebo5l,قائل
kaaim,fo2ebo5m,قائم
kaaime,fo2ebo5mh,قائمه
kaaime,fo2ebo5mh||,قائمه‌
kaaimen,fo2ebo5meo44,قائماً
kaamet,fo2embo2,قامت
kaamus,fo2emws,قاموس
kaani,fo2ebo1a,قانع
kaanun,fo2ebo1wbo1,قانون
kaanunen,fo2ebo1wbo1eo44,قانوناً
kaanuni,fo2ebo1wbo1y,قانونی
kaanuniyet,fo2ebo1wbo1ybo2,قانونیت
kaanunname,fo2ebo1wbo1bo1emh||,قانوننامه‌
kaanunşinas,fo2ebo1wbo1||so3bo1es,قانون‌شناس
kaanî,fo2ebo1a,قانع
kaanûnen,fo2ebo1wbo1eo44,قانوناً
kaanûniyet,fo2ebo1wbo1bu2bo2,قانونيت
kaanûnnâme,fo2ebo1wbo1bo1emh,قانوننامه
kaanûnî,fo2ebo1wbo1y,قانونی
kaanûnşinâs,fo2ebo1wbo1||so3bo1es,قانون‌شناس
kaari’,fo2erh||,قاره‌
kaari’,fo2ery,قاری
kaarun,fo2erwbo1,قارون
kaarî’,fo2erh,قاره
kaarî’,fo2ery,قاری
kaarûn,fo2erwbo1,قارون
kaasım,fo2esm,قاسم
kaatil,fo2ebo2l,قاتل
kaatillik,fo2ebo2llk,قاتللک
kab,fo2ebu1,قاب
kab-ı,fo2ebu1,قاب
kaba adam,fo2bu1e edm,قبا ادم
kaba et,fo2bu1e ebo2,قبا ات
kaba halk,fo2bu1exo1lfo2,قباخلق
kaba kumluk,fo2bu1efo2wmlfo2,قباقوملق
kaba lakırdı,fo2bu1elfo2rdy,قبالقردی
kaba resim,fo2bu1ersm,قبارسم
kaba şerid,fo2bu1e so3rbu2d,قبا شريد
kaba şerid,fo2bu1e so3ryd,قبا شرید
kaba,fo2bu1e,قبا
kaba,fo2ebu1e,قابا
kabaca resm etmek,fo2bu1exu1h rsm e,قباجه رسم ا
kabaca tamir etmek,fo2bu1exu1h bo2amyre,قباجه تعمیرا
kabaca tamîr etmek,fo2bu1exu1h bo2ambu2re,قباجه تعميرا
kabaca tarif etmek,fo2bu1exu1h bo2aryfo1 e,قباجه تعریف ا
