
m,m,م
ma ba’d,mebu1ad,مابعد
ma',mec,ماء
ma'an,maeo44,معاً
ma'ayib,maeybu1,معایب
ma'ayi̇b,maeybu1,معایب
ma'aş,maeso3,معاش
ma'badine,mebu1adybo1h,مابعدینه
ma'bed,mabu1d,معبد
ma'ber,mabu1r,معبر
ma'bud,mabu1wd,معبود
ma'bud-u baki,mo4ao0bu1o9wdo9 bu1o4efo2u4y,مَعْبُودُ بَاقِی
ma'bud-u baki̇,mo4ao0bu1o9wdo9 bu1o4efo2u4y,مَعْبُودُ بَاقِی
ma'bud-u bilhak,mo4ao0bu1o9wdu4 bu1u4elo0xo4fo2o0,مَعْبُودِ بِالْحَقْ
ma'bud-u bi̇lhak,mo4ao0bu1o9wdu4 bu1u4elo0xo4fo2o0,مَعْبُودِ بِالْحَقْ
ma'bud-u cemil-i zülcelal,mo4ao0bu1o9wdo9 xu1o4mu4ylu4 do1o9welo0xu1o4lo4elo0,مَعْبُودُ جَمِیلِ ذُوالْجَلَالْ
ma'bud-u cemi̇l-i̇ zülcelal,mo4ao0bu1o9wdo9 xu1o4mu4ylu4 do1o9welo0xu1o4lo4elo0,مَعْبُودُ جَمِیلِ ذُوالْجَلَالْ
ma'bud-u ezeli,mo4ao0bu1o9wdu4 eo4ro1o4ly,مَعْبُودِ اَزَلی
ma'bud-u ezeli̇,mo4ao0bu1o9wdu4 eo4ro1o4ly,مَعْبُودِ اَزَلی
ma'bud-u hakiki,mo4ao0bu1o9wdo9 xo4fo2yfo2y,مَعْبُودُ حَقیقی
ma'bud-u haki̇ki̇,mo4ao0bu1o9wdo9 xo4fo2yfo2y,مَعْبُودُ حَقیقی
ma'bud-u mutlak,mo4ao0bu1o9wdu4 mo9to0lo4fo2o0,مَعْبُودِ مُطْلَقْ
ma'bud-u zülcelal,mo4ao0bu1o9wdo9 do1o9welo0xu1o4lo4elo0,مَعْبُودُ ذُوالْجَلَالْ
ma'bud-u,mabu1wdu4,معبودِ
ma'bûd,mabu1wd,معبود
ma'bûd-u bilhak,mo4ao0bu1o9wdu4 bu1u4elo0xo4fo2o0,مَعْبُودِ بِالْحَقْ
ma'bûd-u bâkî,mo4ao0bu1o9wdo9 bu1o4efo2u4bu2,مَعْبُودُ بَاقِي
ma'bûd-u cemîl-i zülcelâl,mo4ao0bu1o9wdo9 xu1o4mu4bu2lu4 do1o9welo0xu1o4lo4elo0,مَعْبُودُ جَمِيلِ ذُوالْجَلَالْ
ma'bûd-u ezelî,mo4ao0bu1o9wdu4 eo4ro1o4lbu2,مَعْبُودِ اَزَلي
ma'bûd-u hakîkî,mo4ao0bu1o9wdo9 xo4fo2bu2fo2bu2,مَعْبُودُ حَقيقي
ma'bûd-u mutlak,mo4ao0bu1o9wdu4 mo9to0lo4fo2o0,مَعْبُودِ مُطْلَقْ
ma'bûd-u zülcelal,mo4ao0bu1o9wdo9 do1o9welo0xu1o4lo4elo0,مَعْبُودُ ذُوالْجَلَالْ
ma'bûd-u zülcelâl,mo4ao0bu1o9wdo9 do1o9welo0xu1o4lo4elo0,مَعْبُودُ ذُوالْجَلَالْ
ma'bûd-u,mabu1wdu4,معبودِ
ma'cun,maxu1wbo1,معجون
ma'cun,mo4ao0xu1o9wbo1o0,مَعْجُونْ
ma'cûn,maxu1wbo1,معجون
ma'dele-i,madlhu4,معدلهِ
ma'den-i tekemmül,mo4ao0do4bo1u4 bo2o4ko4mo9o8lo0,مَعْدَنِ تَکَمُّلْ
ma'den-i̇ tekemmül,mo4ao0do4bo1u4 bo2o4ko4mo9o8lo0,مَعْدَنِ تَکَمُّلْ
ma'dud,madwd,معدود
ma'dude-i,madwdhu4,معدودهِ
ma'dum,madwm,معدوم
ma'fuv,mafo1w,معفو
ma'fuvdur,mafo1wdr,معفودر
ma'hud,mahwd,معهود
ma'huddur,mahwddr,معهوددر
ma'hudiyet,mahwdybo2,معهودیت
ma'hudiyet-i,mahwdybo2u4,معهودیتِ
ma'hudiyetlerinden,mahwdybo2lrbo1dbo1,معهودیتلرندن
ma'i (mavi),mebo5y,مائی
ma'kes,maks,معکس
ma'kes-i,maksu4,معکسِ
ma'kesi,maksy,معکسی
ma'kesidir,maksydr,معکسیدر
ma'kesleri,makslry,معکسلری
ma'kestirler,maksdrlr,معکسدرلر
ma'kud,mafo2wd,معقود
ma'kul,mo4ao0fo2o9wlo0,مَعْقُولْ
ma'kulat-ı,mafo2wlebo2u4,معقولاتِ
ma'kuse,makwsh,معکوسه
ma'kusedir,makwsh||dr,معکوسه‌در
ma'kûl,mo4ao0fo2o9wlo0,مَعْقُولْ
ma'kûs,makws,معکوس
ma'kûsedir,makwsh||dr,معکوسه‌در
ma'kûsen,makwso44e,معکوسًا
ma'lul,malwl,معلول
ma'lul,mo4ao0lo9wlo0,مَعْلُولْ
ma'luldür,malwldr,معلولدر
ma'luliyet,malwlybo2,معلولیت
ma'lulü,malwly,معلولی
ma'lum,malwm,معلوم
ma'lum,mo4ao0lo9wmo0,مَعْلُومْ
ma'lumat,mo4ao0lo9wmo4ebo2o0,مَعْلُومَاتْ
ma'lumat-i sabika,mo4ao0lo9wmo4ebo2u4 so4ebu1u4fo2o4h||,مَعْلُومَاتِ سَابِقَه‌
ma'lumat-ı sabıka,mo4ao0lo9wmo4ebo2u4 so4ebu1u4fo2o4h||,مَعْلُومَاتِ سَابِقَه‌
ma'lûl,mo4ao0lo9wlo0,مَعْلُولْ
ma'lûm,malwm,معلوم
ma'lûm,mo4ao0lo9wmo0,مَعْلُومْ
ma'lûmât,mo4ao0lo9wmo4ebo2o0,مَعْلُومَاتْ
ma'lûmât-i sâbika,mo4ao0lo9wmo4ebo2u4 so4ebu1u4fo2o4h,مَعْلُومَاتِ سَابِقَه
ma'lûmât-ı sâbıka,mo4ao0lo9wmo4ebo2u4 so4ebu1u4fo2o4h,مَعْلُومَاتِ سَابِقَه
ma'mafih,ma mefo1yh||,مع مافیه‌
ma'mafih,mo4ao4 mo4efo1yho0,مَعَ مَافیهْ
ma'mafi̇h,mo4ao4 mo4efo1yho0,مَعَ مَافیهْ
ma'mur etmek,mamwre,معمورا
ma'mur,mamwr,معمور
ma'mur,mo4ao0mo9wro0,مَعْمُورْ
ma'mâfîh,ma mefo1bu2h,مع مافيه
ma'mâfîh,mo4ao4 mo4efo1bu2ho0,مَعَ مَافيهْ
ma'mûr etmek,mamwre,معمورا
ma'mûr,mamwr,معمور
ma'mûr,mo4ao0mo9wro0,مَعْمُورْ
ma'na vermek,mabo1ewbu2rmk,معناويرمک
ma'na vermek,mabo1ewyrmk,معناویرمک
ma'na,mabo1e,معنا
ma'na,mabo1y,معنی
ma'na-yi haki̇ki̇,mo4ao0bo1o4eyu4 xo4fo2yfo2y,مَعْنَایِ حَقیقی
ma'na-yi harfi̇,mo4ao0bo1o4eyu4 xo4ro0fo1y,مَعْنَایِ حَرْفی
ma'na-yi i̇smi̇,mo4ao0bo1o4eyu4 eu4so0mu4y,مَعْنَایِ اِسْمِی
ma'na-yi i̇smi̇,mo4ao0bo1o4eyu4 eu4so0my,مَعْنَایِ اِسْمی
ma'na-yi i̇şari̇,mo4ao0bo1o4eyu4 eu4so3o4ery,مَعْنَایِ اِشَاری
ma'na-yi mecazi̇,mo4ao0bo1o4eyu4 mo4xu1o4ero1y,مَعْنَایِ مَجَازی
ma'na-yi sari̇h,mo4ao0bo1o4eyu4 zo4ryxo0,مَعْنَایِ صَریحْ
ma'na-yi zahi̇ri̇,mo4ao0bo1o4eyu4 to1o4ehu4ry,مَعْنَایِ ظَاهِری
ma'na-yi örfi̇,mo4ao0bo1o4eyu4 ao9ro0fo1y,مَعْنَایِ عُرْفی
ma'na-yı hakiki,mo4ao0bo1o4eyu4 xo4fo2yfo2y,مَعْنَایِ حَقیقی
ma'na-yı harfi,mo4ao0bo1o4eyu4 xo4ro0fo1y,مَعْنَایِ حَرْفی
ma'na-yı ismi,mo4ao0bo1o4eyu4 eu4so0mu4y,مَعْنَایِ اِسْمِی
ma'na-yı ismi,mo4ao0bo1o4eyu4 eu4so0my,مَعْنَایِ اِسْمی
ma'na-yı işari,mo4ao0bo1o4eyu4 eu4so3o4ery,مَعْنَایِ اِشَاری
ma'na-yı mecazi,mo4ao0bo1o4eyu4 mo4xu1o4ero1y,مَعْنَایِ مَجَازی
ma'na-yı sarih,mo4ao0bo1o4eyu4 zo4ryxo0,مَعْنَایِ صَریحْ
ma'na-yı zahiri,mo4ao0bo1o4eyu4 to1o4ehu4ry,مَعْنَایِ ظَاهِری
ma'na-yı örfi,mo4ao0bo1o4eyu4 ao9ro0fo1y,مَعْنَایِ عُرْفی
ma'nay-i mecazi̇,mo4ao0bo1o4eyu4 mo4xu1o4ero1y,مَعْنَایِ مَجَازی
ma'nay-ı mecazi,mo4ao0bo1o4eyu4 mo4xu1o4ero1y,مَعْنَایِ مَجَازی
ma'nen,mabo1eo44,معناً
ma'nen,mo4ao0bo1o44e,مَعْنًا
ma'nevi tevatür,mo4ao0bo1o4wy bo2o4wo4ebo2o9ro0,مَعْنَوی تَوَاتُرْ
ma'neviyattan,mabo1wyebo2dbo1,معنویاتدن
ma'nevi̇ tevatür,mo4ao0bo1o4wy bo2o4wo4ebo2o9ro0,مَعْنَوی تَوَاتُرْ
ma'nevî tevâtür,mo4ao0bo1o4wbu2 bo2o4wo4ebo2o9ro0,مَعْنَوي تَوَاتُرْ
ma'ni,mabo1y,معنی
ma'nidar,mo4ao0bo1ydo4ero0,مَعْنیدَارْ
ma'nidâr,mo4ao0bo1bu2do4ero0,مَعْنيدَارْ
ma'ni̇,mabo1y,معنی
ma'ni̇dar,mo4ao0bo1ydo4ero0,مَعْنیدَارْ
ma'nâ-yi hakîkî,mo4ao0bo1o4ebu2u4 xo4fo2bu2fo2bu2,مَعْنَايِ حَقيقي
ma'nâ-yi harfî,mo4ao0bo1o4ebu2u4 xo4ro0fo1bu2,مَعْنَايِ حَرْفي
ma'nâ-yi ismi,mo4ao0bo1o4ebu2u4 eu4so0mu4bu2,مَعْنَايِ اِسْمِي
ma'nâ-yi ismî,mo4ao0bo1o4ebu2u4 eu4so0mbu2,مَعْنَايِ اِسْمي
ma'nâ-yi sarîh,mo4ao0bo1o4ebu2u4 zo4rbu2xo0,مَعْنَايِ صَريحْ
