
n,bo1,ن
n,ko3,ڭ
na'büdü'den,bo1o4abu1o9do9dbo1,نَعبُدُدن
na'büdü'nün,bo1o4abu1o9do9bo1ko3,نَعبُدُنڭ
na'büdü,bo1o4abu1o9do9,نَعبُدُ
na'il olmak,bo1ebo5l ew,نائل او
na'l,bo1al,نعل
na'lbend,bo1albu1bo1d,نعلبند
na'lbur,bo1albu1r,نعلبر
na'lçe,bo1alxu3h,نعلچه
na'lçe,bo1alxu3h||,نعلچه‌
na'na',bo1abo1ea,نعناع
na'nâ',bo1abo1ea,نعناع
na'ra,bo1arh,نعره
na'ralar,bo1arh||lr,نعره‌لر
na'raları,bo1arh||lry,نعره‌لری
na'ralarını,bo1arh||lrybo1y,نعره‌لرینی
na'ralarıyla,bo1arh||lrylh,نعره‌لریله
na're,bo1arh,نعره
na're,bo1arh||,نعره‌
na'resiyle,bo1arh||sylh,نعره‌سیله
na't,bo1abo2,نعت
na't-ı,bo1abo2u4,نعتِ
na'y-i,bo1ayu4,نعیِ
na'y-ı,bo1ayu4,نعیِ
na'ş,bo1aso3,نعش
na'şını,bo1aso3bo1y,نعشنی
na,bo1e,نا
na-bemahal,bo1ebu1mxl,نابمحل
na-ehl,bo1e ehl,نا اهل
na-hakk yere,bo1exfo2 yrh||,ناحق یره‌
na-hakk,bo1exfo2,ناحق
na-hemvar,bo1ehmwer,ناهموار
na-ka'ryab,bo1efo2aryebu1,ناقعریاب
na-mahdud,bo1emxdwd,نامحدود
na-mahrem,bo1o4emo4xo0ro4mo0,نَامَحْرَمْ
na-malum,bo1emalwm,نامعلوم
na-merd,bo1emrd,نامرد
na-mesbuk,bo1emsbu1wfo2,نامسبوق
na-mizac,bo1emro1exu1,نامزاج
na-mütenahi,bo1embo2bo1ehy,نامتناهی
na-mütenahi,bo1o4emo9bo2o4bo1o4ehy,نَامُتَنَاهی
na-mütenahi̇,bo1o4emo9bo2o4bo1o4ehy,نَامُتَنَاهی
na-pak,bo1ebu3ek,ناپاک
na-perhizkar,bo1ebu3rhyro1ker,ناپرهیزکار
na-puhte,bo1ebu3xo1bo2h||,ناپخته‌
na-tamam,bo1ebo2mem,ناتمام
naarat-ı,bo1arebo2u4,نعراتِ
naat,bo1abo2,نعت
naaşna,bo1e eo6so3bo1e,نا آشنا
nab,bo1ebu1,ناب
nabatatı,bo1bu1ebo2ebo2y,نباتاتی
nabeca,bo1ebu1xu1e,نابجا
nabedid,bu1ebu1dyd,بابدید
nabehre,bo1ebu1hrh||,نابهره‌
nabekar,bo1ebu1ker,نابکار
nabid,bo1ebu1bo2,نابت
nabina,bo1ebu1ybo1e,نابینا
nabi̇na,bo1ebu1ybo1e,نابینا
nabud,bo1ebu1wd,نابود
nabz,bo1bu1zo1,نبض
nabzgir,bo1bu1zo1 ko7yr,نبض گیر
nabzgi̇r,bo1bu1zo1 ko7yr,نبض گیر
nabzgîr,bo1bu1zo1 ko7bu2r,نبض گير
nabzını,bo1bu1zo1bo1y,نبضنی
nabız gibi vurmak,bo1bu1zo1 kbu1y ewrmfo2,نبض کبی اورمق
nabız,bo1bu1zo1,نبض
nabızları,bo1bu1zo1lry,نبضلری
naci'nin,bo1exu1ybo1ko3,ناجینڭ
naci,bo1exu1y,ناجی
naci,bo1o4exu1u4y,نَاجِی
nacidir,bo1exu1ydr,ناجیدر
nacins,bo1exu1bo1s,ناجنس
naciye,bo1exu1yh,ناجیه
naciye-i,bo1exu1yhu4,ناجیهِ
naciyeyiz,bo1xu1yh||yro1,نجیه‌یز
naci̇,bo1exu1y,ناجی
naci̇,bo1o4exu1u4y,نَاجِی
naci̇ns,bo1exu1bo1s,ناجنس
nacî,bo1o4exu1u4bu2,نَاجِي
nadan,bo1edebo1,نادان
nadan,bo1o4edo4ebo1o0,نَادَانْ
nadanlık,bo1edebo1lfo2,نادانلق
nadas,bo1edes,ناداس
nadas,bo1ts,نطس
nadi,bo1edy,نادی
nadide,bo1edydh||,نادیده‌
nadim olmak,bo1edm ew,نادم او
nadim,bo1edm,نادم
nadim,bo1o4edu4mo0,نَادِمْ
nadir bulunur,bo1edrbu1wlbo1wr,نادربولنور
nadir görülür,bo1edrkwrylwr,نادرکوریلور
nadir,bo1edr,نادر
nadirat,bo1edrebo2,نادرات
nadirdir,bo1edrdr,نادردر
nadire,bo1edrh||,نادره‌
nadire-i,bo1edrhu4,نادرهِ
