
o aralık,ewl erelfo2,اول ارالق
o esnada,ewl ebo3bo1edh||,اول اثناده‌
o esnâda,ewl ebo3bo1edh,اول اثناده
o gün,ewl kwbo1,اول کون
o kadar,ewlfo2dr,اولقدر
o mahalde,ewl mxldh,اول محلده
o mahalde,ewl mxldh||,اول محلده‌
o münasebetle,ewl mbo1esbu1bo2lh||,اول مناسبتله‌
o münâsebetle,ewl mbo1esbu1bo2lh,اول مناسبتله
o ne,ewbo1h,اونه
o ne,ewbo1h||,اونه‌
o saat,ewl seabo2,اول ساعت
o saat,ewseabo2,اوساعت
o sulara doğru,ewl zwlrh twao1ry,اول صولره طوغری
o sularda,ewl zwlrdh,اول صولرده
o sularda,ewl zwlrdh||,اول صولرده‌
o sâat,ewl seabo2,اول ساعت
o sâat,ewseabo2,اوساعت
o vakit,ewlwfo2bo2,اولوقت
o vakitten beri,ewl wfo2bo1dbo1bu1rw,اول وقندنبرو
o vakte kalmayarak,ewl wfo2bo2h fo2elmbu2h rfo2,اول وقته قالميه رق
o vakte kalmayarak,ewl wfo2bo2h fo2elmyh rfo2,اول وقته قالمیه رق
o zaman,ewlro1mebo1,اولزمان
o'dur,ewdr,اودر
o'na,ewko3e,اوڭا
o'ndan,ewbo1dbo1,اوندن
o'nu,ewbo1y,اونی
o'nun,ewbo1ko3,اونڭ
o,bo5w,ئو
o,eu9,ا
o,ew,او
o,ewl,اول
oba,ewbu1h,اوبه
oba,ewbu1h||,اوبه‌
objektif,ewbu1ro3h<>kbo2yfo1,اوبژه‌کتیف
objektif,ewbu1ro3h||kbo2bu2fo1,اوبژه‌کتيف
objektif,ewbu1ro3kbo2yfo1,اوبژکتیف
obur,abu1wr,عبور
obur,ewbu1wr,اوبور
obüs,ewbu1ws,اوبوس
ocak süpüren,ewxu1efo2 sbu3wrebo1,اوجاق سپوران
ocak,ewxu1efo2,اوجاق
ocaklarının,ewxu1efo2lrybo1ko3,اوجاقلرینڭ
ocakçı,ewxu1efo2xu1y,اوجاقجی
ocağa,ewxu1eao1h,اوجاغه
ocağı,ewxu1eao1y,اوجاغی
ocağından,ewxu1eao1bo1dbo1,اوجاغندن
ocağının,ewxu1eao1bo1ko3,اوجاغنڭ
od,ewd,اود
oda,ewde,اودا
oda,ewth,اوطه
oda,ewth<>,اوطه‌
oda,ewth||,اوطه‌
odabaşı,ewth<>bu1eso3y,اوطه‌باشی
odabaşı,ewth||bu1eso3y,اوطه‌باشی
odacı,ewth<>xu1y,اوطه‌جی
odacı,ewth||xu1y,اوطه‌جی
odacık,ewth xu1fo2,اوطه جق
odacıkta,ewth||xu1fo2dh,اوطه‌جقده
odada,ewth||dh,اوطه‌ده
odadaki,ewth||dh||ky,اوطه‌ده‌کی
odadan,ewth||dbo1,اوطه‌دن
odalarda,ewth||lrdh,اوطه‌لرده
odaları,ewth||lry,اوطه‌لری
odalarında,ewth||lrbo1dh,اوطه‌لرنده
odalarından,ewth||lrbo1dbo1,اوطه‌لرندن
odalarını,ewth||lrybo1y,اوطه‌لرینی
odalarının,ewth||lrybo1ko3,اوطه‌لرینڭ
odalık,ewth lfo2,اوطه لق
odalık,ewth<>lfo2,اوطه‌لق
odalık,ewth||lfo2,اوطه‌لق
odam,ewth||m,اوطه‌م
odama,ewth||mh,اوطه‌مه
odamda,ewth||mdh,اوطه‌مده
odamdan,ewth||mdbo1,اوطه‌مدن
odamı,ewth||my,اوطه‌می
odamın,ewth||mko3,اوطه‌مڭ
odamıza,ewth||mro1h,اوطه‌مزه
odamızda,ewth||mro1dh,اوطه‌مزده
odamızın,ewth||mro1ko3,اوطه‌مزڭ
odan,ewth||ko3,اوطه‌ڭ
odanı,ewth||ko3y,اوطه‌ڭی
odanın,ewth||bo1ko3,اوطه‌نڭ
odası,ewth||sy,اوطه‌سی
odasına,ewth||sbo1h,اوطه‌سنه
odasında,ewth||sbo1dh,اوطه‌سنده
odasından,ewth||sbo1dbo1,اوطه‌سندن
odasını,ewth||sbo1y,اوطه‌سنی
odasının,ewth||sbo1ko3,اوطه‌سنڭ
odaya,ewth||yh,اوطه‌یه
odayı,ewth||yy,اوطه‌یی
odeon,ewdh<>ewbo1,اوده‌اون
odeon,ewdh||ewbo1,اوده‌اون
odise,ewdbu2sh,اوديسه
odise,ewdysh||,اودیسه‌
odlubağa,ewdlwbu1ao1h,اودلوبغه
odlubağa,ewdlwbu1ao1h||,اودلوبغه‌
odun ateşinin korları,ewtwbo1 ebo2so3bo1k fo2wrlry,اوطون اتشنک قورلری
odun kömür,ewtwbo1 kmwr,اوطون کمور
odun,ewdwbo1,اودون
odun,ewtwbo1,اوطون
oduncu,ewdwbo1xu1y,اودونجی
oduncusu,ewdwbo1xu1ysy,اودونجیسی
odundan,ewdwbo1dbo1,اودوندن
odunlar,ewdwbo1lr,اودونلر
odunlara,ewdwbo1lrh,اودونلره
odunlarda,ewdwbo1lrdh,اودونلرده
odunları,ewdwbo1lry,اودونلری
odunların,ewdwbo1lrko3,اودونلرڭ
odunluk,ewdwbo1lfo2,اودونلق
odunluktan,ewdwbo1lfo2dbo1,اودونلقدن
odunsuz,ewdwbo1sro1,اودونسز
odunu,ewdwbo1y,اودونی
odununu,ewdwbo1bo1y,اودوننی
odur,ewdr,اودر
of,ewfo1,اوف
ofisinde,ewfo1ysbo1dh,اوفیسنده
ofislerde,ewfo1yslrdh,اوفیسلرده
ofla,ewfo1le,اوفلا
oflamak,ewfo1lemfo2,اوفلامق
oflarımı,ewfo1lrymy,اوفلریمی
ofların,ewfo1lrko3,اوفلرڭ
oh,ewxo1,اوخ
ohu,ewxo1y,اوخی
ok atmak,ewfo2 ebo2mfo2,اوق اتمق
ok,ewfo2,اوق
okdan,ewfo2debo1,اوقدان
okdanlık,ewfo2debo1lfo2,اوقدانلق
okka,eo9wfo2o4o8h,اُوقَّه
okka,eo9wfo2o4o8h||,اُوقَّه‌
okka,ewfo2h,اوقه
okka,ewfo2h||,اوقه‌
okka,ewfo2o8h,اوقّه
okkadan,ewfo2o8h||dbo1,اوقّه‌دن
okkalık,ewfo2o8h||lfo2,اوقّه‌لق
okkası,ewfo2o8h||sy,اوقّه‌سی
okkaya,ewfo2o8h||yh,اوقّه‌یه
oklar,ewfo2lr,اوقلر
oklara,ewfo2lrh,اوقلره
oklardan,ewfo2lrdbo1,اوقلردن
okları,ewfo2lry,اوقلری
oklarına,ewfo2lrybo1h,اوقلرینه
oklarını,ewfo2lrybo1y,اوقلرینی
oklava,ewfo2lewe,اوقلاوا
oklu kirpi,ewfo2lw krbu3y,اوقلو کرپی
oklu,ewfo2ly,اوقلی
oksid,ewfo2sbu2d,اوقسيد
oksid,ewfo2syd,اوقسید
oksijen,ewfo2sbu2ro3h||bo1,اوقسيژه‌ن
oksijen,ewfo2syro3bo1,اوقسیژن
oksijen,ewfo2syro3h<>bo1,اوقسیژه‌ن
oktant,ewfo2bo2ebo1bo2,اوقتانت
oktav,ewfo2bo2ew,اوقتاو
oktur,ewfo2dr,اوقدر
oku,ewfo2w,اوقو
okudu,ewfo2wdy,اوقودی
okuduk,ewfo2wdfo2,اوقودق
okudukları,ewfo2wdfo2lry,اوقودقلری
okuduklarıma,ewfo2wdfo2lrymh,اوقودقلریمه
okuduklarımı,ewfo2wdfo2lrymy,اوقودقلریمی
okuduklarını,ewfo2wdfo2lrybo1y,اوقودقلرینی
okuduktan,ewfo2wdfo2dbo1,اوقودقدن
okudukça,ewfo2wdfo2xu1h,اوقودقجه
okudular,ewfo2wdylr,اوقودیلر
okudum,ewfo2wdm,اوقودم
okuduğu,ewfo2wdyao1y,اوقودیغی
okuduğum,ewfo2wdyao1m,اوقودیغم
okuduğuma,ewfo2wdyao1mh,اوقودیغمه
okuduğumu,ewfo2wdyao1my,اوقودیغمی
okuduğun,ewfo2wdyao1ko3,اوقودیغڭ
okuduğuna,ewfo2wdyao1bo1h,اوقودیغنه
okuduğunu,ewfo2wdyao1ko3y,اوقودیغڭی
okuduğunuz,ewfo2wdyao1ko3ro1,اوقودیغڭز
okulu,ewfo2wly,اوقولی
okuma,ewfo2wme,اوقوما
okumadan,ewfo2wmdbo1,اوقومدن
okumadı,ewfo2wmdy,اوقومدی
okumadım,ewfo2wmdm,اوقومدم
okumadınız,ewfo2wmdyko3ro1,اوقومدیڭز
okumadığı,ewfo2wmdyao1y,اوقومدیغی
okumadığım,ewfo2wmdyao1m,اوقومدیغم
okumadığımı,ewfo2wmdyao1my,اوقومدیغمی
okumak,ewfo2wmfo2,اوقومق
okumak-yazmaktan,ewfo2wmfo2 yero1mfo2dbo1,اوقومق یازمقدن
okumakla,ewfo2wmfo2lh,اوقومقله
okumaklığıma,ewfo2wmfo2lao1mh,اوقومقلغمه
okumaklığımı,ewfo2wmfo2lao1my,اوقومقلغمی
okumaklığımız,ewfo2wmfo2lao1mro1,اوقومقلغمز
okumaksızın,ewfo2wmfo2sro1ybo1,اوقومقسزین
okumakta,ewfo2wmfo2dh,اوقومقده
okumaktaki,ewfo2wmfo2dh||ky,اوقومقده‌کی
okumaktan,ewfo2wmfo2dbo1,اوقومقدن
okumaktır,ewfo2wmfo2dr,اوقومقدر
okumaları,ewfo2wmelry,اوقومالری
okumalarına,ewfo2wmelrybo1h,اوقومالرینه
okumalarını,ewfo2wmelrybo1y,اوقومالرینی
okumalarıyla,ewfo2wmelrylh,اوقومالریله
okumalı,ewfo2wmely,اوقومالی
okumalıdır,ewfo2wmelydr,اوقومالیدر
okumalıdırlar,ewfo2wmelydrlr,اوقومالیدرلر
okumalısınız,ewfo2wmelysko3ro1,اوقومالیسڭز
okumam,ewfo2wmh||m,اوقومه‌م
okumamak,ewfo2wmemfo2,اوقومامق
okumaması,ewfo2wmemsy,اوقومامسی
okumamı,ewfo2wmh||my,اوقومه‌می
okumamış,ewfo2wmh||mso3,اوقومه‌مش
okumamışlar,ewfo2wmh||mso3lr,اوقومه‌مشلر
okumamıştım,ewfo2wmemso3dm,اوقومامشدم
okumamıştır,ewfo2wmemso3dr,اوقومامشدر
okumanın,ewfo2wmebo1ko3,اوقومانڭ
okumasalar,ewfo2wmesh||lr,اوقوماسه‌لر
okuması,ewfo2wmesy,اوقوماسی
okumasın,ewfo2wmesybo1,اوقوماسین
okumasına,ewfo2wmesbo1h,اوقوماسنه
okumasında,ewfo2wmesbo1dh,اوقوماسنده
okumasından,ewfo2wmesbo1dbo1,اوقوماسندن
okumasını,ewfo2wmesbo1y,اوقوماسنی
okumasının,ewfo2wmesbo1ko3,اوقوماسنڭ
okumasıyla,ewfo2wmesylh,اوقوماسیله
okumaya,ewfo2wmao1h,اوقومغه
okumayan,ewfo2wmyebo1,اوقومیان
okumayarak,ewfo2wmyerfo2,اوقومیارق
okumayı,ewfo2wmeyy,اوقومایی
