
p,bu3,پ
pa,bu3e,پا
pabend,bu3ebu1bo1d,پابند
paberca,bu3ebu1rxu1e,پابرجا
paberikab,bu3ebu1rkebu1,پابرکاب
pabeste,bu3ebu1sbo2h||,پابسته‌
pabirehne,bu3ebu1rhbo1h||,پابرهنه‌
pabuc,bu3ebu1wxu1,پابوج
pabuccu,bu3ebu1wxu3xu1y,پابوچجی
pabucu,bu3ebu1wxu1y,پابوجی
pabucunu,bu3ebu1wxu1bo1y,پابوجنی
pabusi,bu3ebu1wsy,پابوسی
pabuç,bu3ebu3wso3,پاپوش
pabuç,bu3ebu3wxu3,پاپوچ
pabuçlar,bu3ebu1wxu3lr,پابوچلر
pacame,bu3exu1emh||,پاجامه‌
padavra,bu3dewrh,پداوره
padavra,bu3dewrh||,پداوره‌
padişah,bu3edso3eh,پادشاه
padişah,bu3edso3eh||,پادشاه‌
padişah-ı ali,bu3o4edu4so3o4ehu4 ao4elu4y,پَادِشَاهِ عَالِی
padişah-ı,bu3edso3ehu4,پادشاهِ
padişaha,bu3edso3ehh,پادشاهه
padişahane,bu3edso3ehebo1h||,پادشاهانه‌
padişahla,bu3edso3ehlh,پادشاهله
padişahlar,bu3edso3ehlr,پادشاهلر
padişahlara,bu3edso3ehlrh,پادشاهلره
padişahlardan,bu3edso3ehlrdbo1,پادشاهلردن
padişahları,bu3edso3ehlry,پادشاهلری
padişahların,bu3edso3ehlrko3,پادشاهلرڭ
padişahlarına,bu3edso3ehlrybo1h,پادشاهلرینه
padişahlarından,bu3edso3ehlrbo1dbo1,پادشاهلرندن
padişahlarını,bu3edso3ehlrybo1y,پادشاهلرینی
padişahlarının,bu3edso3ehlrybo1ko3,پادشاهلرینڭ
padişahlık etmek,bu3edso3ehlfo2 e,پادشاهلق ا
padişahlık,bu3edso3ehlfo2,پادشاهلق
padişahlığına,bu3edso3ehlao1bo1h,پادشاهلغنه
padişahtan,bu3edso3ehdbo1,پادشاهدن
padişahî,bu3edso3ehy,پادشاهی
padişahîden,bu3edso3ehydbo1,پادشاهیدن
padişahı,bu3edso3ehy,پادشاهی
padişahıdır,bu3edso3ehydr,پادشاهیدر
padişahımız efendimiz,bu3edso3ehmro1efo1bo1dymro1,پادشاهمزافندیمز
padişahımız,bu3edso3ehmro1,پادشاهمز
padişahımızın,bu3edso3ehmro1ko3,پادشاهمزڭ
padişahın,bu3edso3ehko3,پادشاهڭ
padişahına,bu3edso3ehbo1h,پادشاهنه
padişahından,bu3edso3ehbo1dbo1,پادشاهندن
padişahını,bu3edso3ehbo1y,پادشاهنی
padişahının,bu3edso3ehbo1ko3,پادشاهنڭ
padi̇şah,bu3edso3eh||,پادشاه‌
padi̇şah-i ali̇,bu3o4edu4so3o4ehu4 ao4elu4y,پَادِشَاهِ عَالِی
padzehr,bu3edro1hr,پادزهر
padşah,bu3edso3eh||,پادشاه‌
padşahi,bu3edso3ehy,پادشاهی
pafta,bu3efo1bo2e,پافتا
paha biçmek,bu1hebu1xu3mk,بهابچمک
