
r,r,ر
ra'd'ın,radko3,رعدڭ
ra'd,rad,رعد
ra'd-misal,radmbo3el,رعدمثال
ra'd-un,rad,رعد
ra'dat,radebo2,رعدات
ra'ddır,raddr,رعددر
ra'diye,radyh,رعدیه
ra'dlar,radlr,رعدلر
ra'dlardaki,radlrdh||ky,رعدلرده‌کی
ra'dları,radlry,رعدلری
ra'dı,rady,رعدی
ra'dın,radko3,رعدڭ
ra'i,reay,راعی
ra'na,rabo1e,رعنا
ra'nâ,rabo1e,رعنا
ra'î,reay,راعی
ra'şe,raso3h,رعشه
ra'şe,raso3h||,رعشه‌
ra'şedar,raso3h der,رعشه دار
ra'şedâr,raso3h der,رعشه دار
ra'şetten,raso3bo2dbo1,رعشتدن
ra,re,را
raadlardaki,radlrdh||ky,رعدلرده‌کی
rab'dan,rbu1dbo1,ربدن
rab'de,rbu1dh,ربده
rab'dir,rbu1dr,ربدر
rab,rbu1,رب
rab,rbu1o8,ربّ
rab,ro4bu1o0,رَبْ
rabb'a,rbu1o8h,ربّه
rabb'e,rbu1o8h,ربّه
rabb'in,rbu1o8ko3,ربّڭ
rabb,rbu1,رب
rabb,rbu1o8,ربّ
rabb-el,rbu1o8 el,ربّ ال
rabb-es,rbu1o8 el,ربّ ال
rabb-i rahim,ro4bu1u4o8 ro4xymo0,رَبِّ رَحیمْ
rabb-i rahîm,ro4bu1u4o8 ro4xbu2mo0,رَبِّ رَحيمْ
rabb-i,rbu1o8u4,ربِّ
rabb-il,rbu1o8 el,ربّ ال
rabb-i̇ rahi̇m,ro4bu1u4o8 ro4xymo0,رَبِّ رَحیمْ
rabb-ül,rbu1o8 el,ربّ ال
rabb-ül-âlemîn'den,rbu1o8 elaelmybo1dbo1,ربّ العالمیندن
rabb-ül-âlemîn'i,rbu1o8 elaelmybo1y,ربّ العالمینی
rabb-ül-âlemîn'in,rbu1o8 elaelmybo1ko3,ربّ العالمینڭ
rabb-ül-âlemînin,rbu1o8 elaelmybo1ko3,ربّ العالمینڭ
rabb-üs,rbu1o8 el,ربّ ال
rabb-üş,rbu1o8 el,ربّ ال
rabb-ı,rbu1o8u4,ربِّ
rabbani,rbu1ebo1y,ربانی
rabbani,ro4bu1o4o8ebo1y,رَبَّانی
rabbaniye,rbu1o8ebo1yh,ربّانیه
rabbaniye-i,rbu1o8ebo1yhu4,ربّانیهِ
rabbaniyede,rbu1o8ebo1yh||dh,ربّانیه‌ده
rabbaniyedeki,rbu1o8ebo1yh||dh||ky,ربّانیه‌ده‌کی
rabbaniyeden,rbu1o8ebo1yh||dbo1,ربّانیه‌دن
rabbaniyedir,rbu1o8ebo1yh||dr,ربّانیه‌در
rabbaniyelerinde,rbu1o8ebo1yh||lrbo1dh,ربّانیه‌لرنده
rabbaniyem,rbu1o8ebo1yh||m,ربّانیه‌م
rabbaniyeme,rbu1o8ebo1yh||mh,ربّانیه‌مه
rabbaniyemin,rbu1o8ebo1yh||mko3,ربّانیه‌مڭ
rabbaniyenin,rbu1o8ebo1yh||bo1ko3,ربّانیه‌نڭ
rabbaniyesi,rbu1o8ebo1yh||sy,ربّانیه‌سی
rabbaniyesinden,rbu1o8ebo1yh||sbo1dbo1,ربّانیه‌سندن
rabbaniyesine,rbu1o8ebo1yh||sbo1h,ربّانیه‌سنه
rabbaniyesini,rbu1o8ebo1yh||sbo1y,ربّانیه‌سنی
rabbaniyesiyle,rbu1o8ebo1yh||sylh,ربّانیه‌سیله
rabbaniyeye,rbu1o8ebo1yh||yh,ربّانیه‌یه
rabbaniyeyi,rbu1o8ebo1yh||yy,ربّانیه‌یی
rabbaniyle,rbu1o8ebo1ylh,ربّانیله
rabbaniyye,rbu1o8ebo1yh,ربّانیه
rabbani̇,ro4bu1o4o8ebo1y,رَبَّانی
rabbanî'den,rbu1o8ebo1ydbo1,ربّانیدن
rabbanî'dir,rbu1o8ebo1ydr,ربّانیدر
rabbanî'nin,rbu1o8ebo1ybo1ko3,ربّانینڭ
rabbanî'ye,rbu1o8ebo1y||yh,ربّانی‌یه
rabbanî,rbu1ebo1y,ربانی
rabbanî,rbu1o8ebo1y,ربّانی
rabbanîde,rbu1o8ebo1ydh,ربّانیده
rabbanîden,rbu1o8ebo1ydbo1,ربّانیدن
rabbanîdir,rbu1o8ebo1ydr,ربّانیدر
rabbanînin,rbu1o8ebo1ybo1ko3,ربّانینڭ
rabbanîsi,rbu1o8ebo1ysy,ربّانیسی
rabbanîsini,rbu1o8ebo1ysbo1y,ربّانیسنی
