
s,bo3,ث
s,s,س
s,z,ص
s-,s,س
sa',zea,صاع
sa'b,zabu1,صعب
sa'd'ın,sadko3,سعدڭ
sa'd,sad,سعد
sa'd-ı,sadu4,سعدِ
sa'dan,zeadbo1,صاعدن
sa'deddin,sad eldo8ybo1,سعد الدّین
sa'deddin-i,sad eldybo1u4,سعد الدینِ
sa'deyk,so4ao0do4yo0ko4,سَعْدَیْکَ
sa'diye'nin,sadyh||bo1ko3,سعدیه‌نڭ
sa'dî'nin,sadybo1ko3,سعدینڭ
sa'dî,sady,سعدی
sa'dî-i,sadyo5u4,سعدئِ
sa'dın,sadko3,سعدڭ
sa'dır,zeadr,صاعدر
sa'i,seay,ساعی
sa'leb,bo3albu1,ثعلب
sa'lebe,bo3albu1h,ثعلبه
sa'y etmek,say e,سعی ا
sa'y u gayret etmek,say wao1bu2rbo2 e,سعی وغيرت ا
sa'y u gayret etmek,say wao1yrbo2 e,سعی وغیرت ا
sa'y u gayret,say wao1bu2rbo2,سعی وغيرت
sa'y u gayret,say wao1yrbo2,سعی وغیرت
sa'y ü gayret,say w ao1bu2rbo2,سعی و غيرت
sa'y ü gayret,say w ao1yrbo2,سعی و غیرت
sa'y,say,سعی
sa'y,so4ao0bu2o0,سَعْيْ
sa'y,so4ao0yo0,سَعْیْ
sa'y-i,sayu4,سعیِ
sa'yde,say||dh,سعی‌ده
sa'ydir,saydr,سعیدر
sa'ye'nin,sayh||bo1ko3,سعیه‌نڭ
sa'ye,sayh,سعیه
sa'yeden,say eydbo1,سعی ایدن
sa'yedenler,say eydbo1lr,سعی ایدنلر
sa'yeder,say eydr,سعی ایدر
sa'yederlerdi,say eydrlrdy,سعی ایدرلردی
sa'yedip,say eydwbu1,سعی ایدوب
sa'yet,say eybo2,سعی ایت
sa'yetmeleri,say eybo2mh||lry,سعی ایتمه‌لری
sa'yetmenin,say eybo2mh||bo1ko3,سعی ایتمه‌نڭ
sa'yetse,say eybo2sh,سعی ایتسه
sa'yettiler,say eybo2dylr,سعی ایتدیلر
sa'yi,sayy,سعیی
sa'yim,saym,سعیم
sa'yimin,saymko3,سعیمڭ
sa'yimiz,saymro1,سعیمز
sa'yimizde,saymro1dh,سعیمزده
sa'yimizi,saymro1y,سعیمزی
sa'yin,sayko3,سعیڭ
sa'yinden,saybo1dbo1,سعیندن
sa'yine,saybo1h,سعینه
sa'yini,saybo1y,سعینی
sa'yiniz,sayko3ro1,سعیڭز
sa'yinize,sayko3ro1h,سعیڭزه
sa'yiyle,sayylh,سعییله
sa'yleri,saylry,سعیلری
sa'ylerine,saylrybo1h,سعیلرینه
sa'ylerini,saylrybo1y,سعیلرینی
sa'ylerinin,saylrybo1ko3,سعیلرینڭ
sa'yleriyle,saylrylh,سعیلریله
saadet'e,saedbo2h,سعادته
saadet'i,saedbo2y,سعادتی
saadet'in,saedbo2ko3,سعادتڭ
saadet'te,saedbo2dh,سعادتده
saadet'ten,saedbo2dbo1,سعادتدن
saadet,saedbo2,سعادت
saadet-aver,saedbo2||eo6wr,سعادت‌آور
saadet-averdir,saedbo2||eo6wrdr,سعادت‌آوردر
saadet-feşan,saedbo2||fo1so3ebo1,سعادت‌فشان
saadet-i ebediye,so4ao4edo4bo2u4 eo4bu1o4du4bu2o4h,سَعَادَتِ اَبَدِيَه
saadet-i ebediye,so4ao4edo4bo2u4 eo4bu1o4du4yo4h||,سَعَادَتِ اَبَدِیَه‌
saadet-i hal,saedbo2 xel,سعادت حال
saadet-i uhreviye,so4ao4edo4bo2u4 eo9xo1o0ro4wu4yo4h||,سَعَادَتِ اُخْرَوِیَه‌
saadet-i,saedbo2u4,سعادتِ
saadet-i̇ ebedi̇ye,so4ao4edo4bo2u4 eo4bu1o4du4yo4h||,سَعَادَتِ اَبَدِیَه‌
saadet-i̇ uhrevi̇ye,so4ao4edo4bo2u4 eo9xo1o0ro4wu4yo4h||,سَعَادَتِ اُخْرَوِیَه‌
saadet-resan,saedbo2||rsebo1,سعادت‌رسان
