
v,w,و
va'd etmek,wade,وعدا
va'd,wad,وعد
va'd-i,wadu4,وعدِ
va'd-il,wad el,وعد ال
va'dden,waddbo1,وعددن
va'de,wadh,وعده
va'deden,wad eydbo1,وعد ایدن
va'dederler,wad eydrlr,وعد ایدرلر
va'dediyor,wad eydyywr,وعد ایدییور
va'desi gelmiş,wadh sy klmso3,وعده سی کلمش
va'detmekle,wad eybo2mklh,وعد ایتمکله
va'detmesi,wad eybo2mh||sy,وعد ایتمه‌سی
va'detmiyor,wad eybo2myywr,وعد ایتمییور
va'detmiş,wad eybo2mso3,وعد ایتمش
va'detmişim,wad eybo2mso3m,وعد ایتمشم
va'detmiştir,wad eybo2mso3dr,وعد ایتمشدر
va'detse,wad eybo2sh,وعد ایتسه
va'dettikleri,wad eybo2dklry,وعد ایتدکلری
va'dettiği,wad eybo2dyko7y,وعد ایتدیگی
va'dettiğim,wad eybo2dyko7m,وعد ایتدیگم
va'dettiğini,wad eybo2dyko7bo1y,وعد ایتدیگنی
va'di,wady,وعدی
va'din,wadko3,وعدڭ
va'dinde,wadbo1dh,وعدنده
va'dine,wadybo1h,وعدینه
va'dini,wadybo1y,وعدینی
va'diyle,wadylh,وعدیله
va'dler,wadlr,وعدلر
va'dleri,wadlry,وعدلری
va'dlerine,wadlryko3h,وعدلریڭه
va'dlerini,wadlryko3y,وعدلریڭی
va'z etmek,wato1 e,وعظ ا
va'z,wato1,وعظ
va'zını,wato1bo1y,وعظنی
vaad,wad,وعد
vaadleri,wadlry,وعدلری
vaadlerine,wadlryko3h,وعدلریڭه
vaadlerini,wadlryko3y,وعدلریڭی
vaaz,wato1,وعظ
vaazda,wato1dh,وعظده
vaazlarını,wato1lrybo1y,وعظلرینی
vaazına,wato1bo1h,وعظنه
vaazında,wato1bo1dh,وعظنده
vaazındaki,wato1bo1dh||ky,وعظنده‌کی
vaazını,wato1ko3y,وعظڭی
vabeste,webu1sbo2h||,وابسته‌
vabestedir,webu1sbo2h||dr,وابسته‌در
vabestegan,webu1sbo2ko7ebo1,وابستگان
vacib,wexu1bu1,واجب
vacib,wo4exu1u4bu1o0,وَاجِبْ
vacib-ül-eda,wexu1bu1 elede,واجب الادا
vacib-ül-vücud,wexu1bu1 elwxu1wd,واجب الوجود
vacibat,wexu1bu1ebo2,واجبات
vacibe,wexu1bu1h||,واجبه‌
vacibe-i zimmet,wexu1bu1hcdo1mbo2,واجبهءذمت
vacibülifa,wexu1bu1 eleyfo1e,واجب الایفا
vacibülvücud,wexu1bu1 elwxu1wd,واجب الوجود
vacid,wexu1d,واجد
vacid,wo4exu1u4do0,وَاجِدْ
vaci̇b,wexu1bu1,واجب
vaci̇b,wo4exu1u4bu1o0,وَاجِبْ
vaci̇d,wo4exu1u4do0,وَاجِدْ
vade,wadh,وعده
vade,wadh||,وعده‌
vadesi gelmemiş,wadh sy klmemso3,وعده سی کلمامش
vadesi gelmiş,wadh sy klmso3,وعده سی کلمش
vadet,wad<>eybo2,وعد‌ایت
vadetmek,wad<>eybo2mk,وعد‌ایتمک
vadetmek,wad||ebu2bo2mk,وعد‌ايتمک
vadi,wedy,وادی
vafi,wefo1y,وافی
vafi,wo4efo1y,وَافی
vafir,wefo1r,وافر
vafi̇,wo4efo1y,وَافی
vaftiz etmek,wefo1bo2bu2ro1e,وافتيزا
vaftiz etmek,wefo1bo2yro1e,وافتیزا
vaftiz,wefo1bo2bu2ro1,وافتيز
