daavat,dawebo2
daavat-ı,dawebo2u4
daavât-ı,dawebo2u4
daavâtına,dawebo2bo1h
dabbe,debu1o8h
dabbetülarz,debu1o8ho2 eleo5rzo1
dabbetülarzın,debu1o8ho2 eleo5rzo1ko3
dabbet-ül,debu1o8ho2 el
dâbbet-ül,debu1o8ho2 el
dabb,zo1o4bu1o8
dâcin,dexu1ybo1
dada,dede
dadan,dedebo1
dadandır,dedebo1dyr
dadandırmak,dedebo1dyrmfo2
dadanmak,dedebo1mfo2
dadanmak,tedebo1mfo2
dadan,tedebo1
daday'daki,dedeydh||ky
daday,dedey
daday'lı,dedeyly
daday,tetey
dad,ded
dâd,ded
da',dec
dâ',dec
dadelemek,debo1h<>lmk
dâdelemek,debo1h||lmk
dadgah,dedko7eh||
dâdgâh,dedko7eh
da,dh
da,dh||
dadhah,dedxo1weh||
dâdhâh,dedxo1weh
dâd-ı,dedu4
dadı,dedy
dadılık,dedylfo2
dâdımız,dedymro1
dadır,dh||dr
dadres,dedrs
dâdres,dedrs
dadu,dedw
dâdû,dedw
dadüferyad,dedwfo1ryed
dâdüferyâd,dedwfo1ryed
dad ü sitad,dedwsbo2d
dâd ü sitad,dedwsbo2d
dadüsited,ded w sbo2d
dâdüsited,ded w sbo2d
dad,zo1
dâ'e,deyo5h
dafia,defo1ah
dâfia,defo1ah
dafianın,defo1ah||bo1ko3
dafiası,defo1ah||sy
dafiaya,defo1ah||yh
dafi,defo1a
dafi',defo1a
dafi’,defo1a
dâfi,defo1a
dâfi',defo1a
dâfi-i,defo1au4
dâfiidir,defo1aydr
dağ adamı,teao1 edmy
dağ ahâlisi,teao1 ehelbu2sy
dağ ahalisi,teao1 ehelysy
dağalbaz,dao1l bu1ero1
dağalbâz,dao1l bu1ero1
dağal,dao1l
dağarcık,deao1erxu1fo2
dağarcık,tao1erxu1fo2
dağa,teao1h
dağatır,zo1o4ao1o4etu4ro0
dağcılar,teao1xu1ylr
dağdağa,dao1dao1h
dağdağa,dao1dao1h||
dağdağa,do4ao1o0do4ao1o4h
dağdağa,do4ao1o0do4ao1o4h||
dağdağa-i,dao1dao1h||'u4
dağdağa-i kalbî,do4ao1o0do4ao1o4u4 fo2o4lo0bu1bu2
dağdağa-i̇ kalbi̇,do4ao1o0do4ao1o4ۀu4 fo2o4lo0bu1۪y
dağdağa-i kalbi,do4ao1o0do4ao1o4ۀu4 fo2o4lo0bu1۪y
dağdağalar,dao1dao1h||lr
dağdağaları,dao1dao1h||lry
dağdağalarına,dao1dao1h||lrybo1h
dağdağalarından,dao1dao1h||lrbo1dbo1
dağdağalı,dao1dao1h<>ly
dağdağalı,dao1dao1h||ly
dağdağalıdır,dao1dao1h||lydr
dağdağasından,dao1dao1h||sbo1dbo1
dağdağasız,dao1dao1h||sro1
dağdağayı,dao1dao1h||yy
dağdaki,teao1dh||ky
dağdan,teao1dbo1
dağdar,deao1der
dağdar-ı,teao1deru4
dağda,teao1dh
dağ,deao1
dâğ,deao1
dağ gibi adam,teao1 kbu1y edm
dağı'dır,teao1ydr
dağılabilirler,teao1ylebu1ylyrlr
dağılacaklar,teao1ylexu1fo2lr
dağılacak,teao1ylexu1fo2
dağılacaktır,teao1ylexu1fo2dr
dağılan,teao1ylebo1
dağıl,deao1yl
dağıldıktan,teao1yldfo2dbo1
dağıldılar,teao1yldylr
dağıldı,teao1yldy
dağılınca,teao1ylbo1xu1h
dağılıp,teao1ylwbu1
dağılırken,teao1ylyrkbo1
dağılırlar,teao1ylyrlr
dağılırsa,teao1ylyrsh
dağılır,teao1ylyr
dağılıyorlar,teao1ylyywrlr
dağılıyor,teao1ylyywr
dağılmadan,teao1ylmedbo1
dağılma,deao1ylmh
dağılma,deao1ylmh||
dağılmadıkları,teao1ylmedfo2lry
dağılmağa,teao1ylmao1h
dağılmak,deao1lmfo2
dağılmak,deao1ylmfo2
dağılmakla,teao1ylmfo2lh
dağılmaktan,teao1ylmfo2dbo1
dağılmak,teao1lmfo2
dağılmak,teao1ylmfo2
dağılmaları,teao1ylmelry
dağılmalar,teao1ylmh||lr
dağılmamaları,teao1ylmemlry
dağılmamasına,teao1lmemsbo1h
dağılmasına,teao1ylmsbo1h
dağılmasından,teao1ylmesbo1dbo1
dağılmasının,teao1ylmesbo1ko3
dağılmasın,teao1ylmesybo1
dağılması,teao1ylmesy
dağılma,teao1ylmh
dağılmayarak,teao1ylmyh||rfo2
dağılmaya,teao1ylmao1h
dağılmışlardır,teao1ylmso3lrdr
dağılmışlar,teao1ylmso3lr
dağılmış,teao1lmso3
dağılmıştır,teao1lmso3dr
dağılmıyorlar,teao1ylmyywrlr
dağılmıyor,teao1ylmyywr
dağılsa,teao1ylsh
dağılsın,teao1ylsybo1
dağımız,deao1mro1
dağı'na,teao1bo1h
dağı'ndaki,teao1bo1dh||ky
dağı'ndan,teao1bo1dbo1
dağı'nda,teao1bo1dh
dağında,teao1bo1dh
dağınık,deao1ybo1fo2
dağınık gitmek,teao1bo1fo2 kbo2mk
dağınıklık,deao1bo1yfo2lfo2
dağınık,teao1bo1yfo2
dağı'nın,teao1bo1ko3
dağının,teao1ybo1ko3
dağı'nı,teao1bo1y
dağını,teao1bo1y
dağın,teao1ko3
dağıstan,deao1sbo2ebo1
dağıstanlı,deao1sbo2ebo1ly
dağıstan,teao1sbo2ebo1
dağıstân,teao1sbo2ebo1
dağıtabilirdi,teao1ydh||bu1ylyrdy
dağıtabilir,teao1ydh||bu1ylyr
dağıtacağını,teao1ydh||xu1ao1bo1y
dağıtacak,teao1ydh||xu1fo2
dağıtacaktır,teao1ydexu1fo2dr
dağıtacaktı,teao1ydh||xu1fo2dy
dağıtamayan,teao1ydh||myebo1
dağıtamazsınız,teao1ydh||mero1sko3ro1
dağıtamaz,teao1ydh||mero1
dağıtamıyan,teao1ydh||myebo1
dağıtamıyordular,teao1ydh||myywrdylr
dağıtamıyorlar,teao1ydh||myywrlr
dağıtan,teao1ydebo1
dağıtarak,teao1ydh||rfo2
dağıt,deao1ybo2
daği,teao1y
dağî,teao1y
dağı,teao1y
dağıtıcıdır,teao1ybo2yxu1ydr
dağıtılabilirler,teao1ybo2lebu1ylyrlr
dağıtılacak,teao1ybo2ylexu1fo2
dağıtıl,deao1ybo2yl
dağıtılır,teao1ybo2ylyr
dağıtılmak,deao1ybo2ylmfo2
dağıtılmıştı,teao1ybo2ylmso3dy
dağıtılmıyorlar,teao1ybo2lmyywrlr
dağıtıp,teao1ybo2wbu1
dağıtırlar,teao1ybo2yrlr
dağıtır,teao1ybo2yr
dağıtıyorlar,teao1ybo2ywrlr
dağıtıyor,teao1ybo2yywr
dağıtmadan,teao1ybo2medbo1
dağıtmağa,teao1ybo2mao1h
dağıtmak,deao1bo2mfo2
dağıtmak,deao1ybo2mfo2
dağıtmakla,teao1ybo2mfo2lh
dağıtmaklığın,teao1ybo2mfo2lao1ko3
dağıtmaktadırlar,teao1ybo2mfo2dh||drlr
dağıtmaktan,teao1ybo2mfo2dbo1
dağıtmak,teao1bo2mfo2
dağıtmak,teao1ybo2mfo2
dağıtmamak,teao1ybo2memfo2
dağıtması,teao1ybo2mesy
dağıtma,teao1ybo2mh
dağıtmayan,teao1ybo2myebo1
dağıtmaya,teao1ybo2mao1h
dağıtmazsan,teao1ybo2mero1sh||ko3
dağıtmazsa,teao1ybo2mero1sh
dağıtmış,teao1ybo2mso3
dağıtmıştır,teao1ybo2mso3dr
dağıtmıyor,teao1ybo2myywr
dağıtsalardı,teao1ybo2sh||lrdy
dağıt,teao1ybo2
dağıttığını,teao1ybo2dyao1bo1y
dağıttığı,teao1ybo2dyao1y
dağıttıklarından,teao1ybo2dfo2lrbo1dbo1
dağıttırılmazlar,teao1ybo2dyrylmero1lr
dağıttırılmaz,teao1ybo2dyrylmero1
dağıttırır,teao1ybo2dyrr
dağıttı,teao1ybo2dy
dağla,deao1le
dağladı,deao1ledy
dağlamak,deao1lemfo2
dağlara,teao1lrh
dağlardaki,teao1lrdh||ky
dağlardandır,teao1lrdbo1dr
dağlardan,teao1lrdbo1
dağlarda,teao1lrdh
dağlardır,teao1lrdr
dağlarına,teao1lrybo1h
dağlarındaki,teao1lrbo1dh||ky
dağları'ndan,teao1lrbo1dbo1
dağlarından,teao1lrbo1dbo1
dağlarında,teao1lrbo1dh
dağları'nın,teao1lrybo1ko3
dağlarının,teao1lrybo1ko3
dağlarını,teao1lrybo1y
dağların,teao1lrko3
dağları,teao1lry
dağlarıyla,teao1lrylh
dağlarla,teao1lrlh
dağlar-misal,teao1lrmbo3el
dağlar-misâl,teao1lrmbo3el
dağlar,teao1lr
dağlarvari,teao1lrwery
dağlarvarî,teao1lrwery
dağlat,deao1lebo2
dağlatmak,deao1lebo2mfo2
dağlı,deao1ly
dağlık,deao1lfo2
dağlık,teao1lfo2
dağlık yere mahsûs,teao1lfo2 bu2rh mxo1zwz
dağlık yere mahsus,teao1lfo2 yrh mxo1zwz
dağlık yerler,teao1lfo2 bu2rlr
dağlık yerler,teao1lfo2 yrlr
dağlı,teao1ly
dağ-misal,teao1||mbo3el
dağsız,teao1sro1
dağ,teao1
dağvari,teao1 werbu2
dağ-vari,teao1||wery
dağvari̇,teao1 wery
dağvari,teao1||wery
dağvari,teao1 wery
daha ala,dhe eale
daha âlâ,dhe eale
