hababe,xbu1ebu1h||
habâbe,xbu1ebu1h
habab,xbu1ebu1
habâb,xbu1ebu1
habail,xbu1ebo5l
habâil,xbu1ebo5l
habais,xo1bu1ebo5bo3
habâis,xo1bu1ebo5bo3
habalude,xo1webu1 eo6lwdh||
hâbâlûde,xo1webu1 eo6lwdh
hab-alud,xo1webu1 elwd
hâb-âlûd,xo1webu1 elwd
habalud,xo1webu1 eo6lwd
hâbâlûd,xo1webu1 eo6lwd
habasetli,xo1bu1ebo3bo2lw
habâsetli,xo1bu1ebo3bo2lw
habaset,xo1bu1ebo3bo2
habâset,xo1bu1ebo3bo2
habbat,xbu1ebo2
habbât,xbu1ebo2
habbaz,xo1bu1ero1
habbâz,xo1bu1ero1
habbeciklerden,xbu1o8h||xu1klrdbo1
habbeciklerinden,xbu1o8h||xu1klrbo1dbo1
habbede,xbu1o8h||dh
habbe-i̇ hadra,xbu1hc xzo1re
habbe-i hadra,xbu1hc xzo1re
habbe-i hadrâ,xbu1hc xzo1re
habbe-i̇ sevda,xbu1hc swde
habbe-i sevda,xbu1hc swde
habbe-i sevdâ,xbu1hc swde
habbe-i,xbu1o8h'u4
habbelerden,xbu1o8h||lrdbo1
habbelerin,xbu1o8h||lrko3
habbeleri,xbu1o8h||lry
habbeler,xbu1o8h||lr
habbe'nin,xbu1o8h||bo1ko3
habbenin,xbu1o8h||bo1ko3
habbesinde,xbu1o8h||sbo1dh
habbesi,xbu1o8h||sy
habbe,xbu1h
habbe,xbu1h||
habbe,xbu1o8h
habbe,xo4bu1o4o8h
habbe,xo4bu1o4o8h||
habbeyi,xbu1o8h||yy
habbeza,xbu1do1e
habbezâ,xbu1do1e
habbi,xo4bu1o8u4
habbülbüluğ,xbu1 elbu1lwao1
habbülbülûğ,xbu1 elbu1lwao1
habb,xbu1
habb,xo4bu1o8
habcame,xo1webu1 xu1emh||
hâbcâme,xo1webu1 xu1emh
haber almak,xo1bu1relmfo2
haberdardır,xo1bu1rderdr
