
y,bu2,ي
y,y,ی
y,yh,یه
ya o ya bu,bu2e ewbu2ebu1w,يا اويابو
ya o ya bu,ye ewyebu1w,یا اویابو
ya rabbi,yerbu1y,یاربی
ya'kub'un,yafo2wbu1ko3,یعقوبڭ
ya'kub,yafo2wbu1,یعقوب
ya'lu,yalw,یعلو
ya'lâ,yaly,یعلی
ya'ni,yabo1y,یعنی
ya'nî,bu2abo1bu2,يعني
ya'subsuz,yaswbu1sro1,یعسوبسز
ya,bu2e,يا
ya,bu2ey,يای
ya,ye,یا
ya,yey,یای
ya,yh,یه
ya-i,yecu4,یاءِ
yab,yebu1,یاب
yaba,bu2ebu1h,يابه
yaba,yebu1h||,یابه‌
yabala,yebu1h<>le,یابه‌لا
yabalamak,bu2ebu1h||lemfo2,يابه‌لامق
yabalamak,yebu1h<>lemfo2,یابه‌لامق
yaban adamı,ybu1ebo1 edmy,یبان ادمی
yaban defnesi,bu2bu1ebo1 dfo1bo1h sy,يبان دفنه سی
yaban defnesi,ybu1ebo1 dfo1bo1h sy,یبان دفنه سی
yaban eşeği,bu2bu1ebo1 eso3ky,يبان اشکی
yaban eşeği,ybu1ebo1 eso3ky,یبان اشکی
yaban hanımeli,bu2bu1ebo1 xebo1m ely,يبان حانم الی
yaban hanımeli,ybu1ebo1 xebo1m ely,یبان حانم الی
yaban havucu,bu2bu1ebo1 hewxu1y,يبان هاوجی
yaban havucu,ybu1ebo1 hewxu1y,یبان هاوجی
yaban,bu2ebu1ebo1,يابان
yaban,yebu1ebo1,یابان
yabanabad,yebu1ebo1<>eo6bu1ed,یابان‌آباد
yabanadamı,bu2ebu1ebo1 eo6dmy,يابان آدمی
yabanadamı,yebu1ebo1 eo6dmy,یابان آدمی
yabanarısı,bu2ebu1ebo1 eo6rbu2sy,يابان آريسی
yabanarısı,yebu1ebo1 eo6rysy,یابان آریسی
yabanasması,bu2ebu1ebo1 eo6zmah||sy,يابان آصمعه‌سی
yabanasması,yebu1ebo1 eo6zmah<>sy,یابان آصمعه‌سی
yabancı,bu2bu1ebo1xu1y,يبانجی
yabancı,bu2ebu1ebo1xu1y,يابانجی
yabancı,ybu1ebo1xu1y,یبانجی
yabancı,yebu1ebo1xu1y,یابانجی
yabancılar,yebu1ebo1xu1ylr,یابانجیلر
yabancılık,bu2bu1ebo1xu1bu2lfo2,يبانجيلق
yabancılık,bu2ebu1ebo1xu1bu2lfo2,يابانجيلق
yabancılık,ybu1ebo1xu1ylfo2,یبانجیلق
yabancılık,yebu1ebo1xu1ylfo2,یابانجیلق
yabandomuzu,bu2ebu1ebo1 twmwro1y,يابان طوموزی
yabandomuzu,yebu1ebo1 twmwro1y,یابان طوموزی
yabaneşeği,bu2ebu1ebo1 eso3ko7y,يابان اشگی
yabaneşeği,yebu1ebo1 eso3ko7y,یابان اشگی
yabanhavucu,bu2ebu1ebo1 hewxu1y,يابان هاوجی
yabanhavucu,yebu1ebo1 hewxu1y,یابان هاوجی
yabani elma,ybu1ebo1y elme,یبانی الما
yabani,ybu1ebo1y,یبانی
yabani,yebu1ebo1y,یابانی
yabanidir,ybu1ebo1ydr,یبانیدر
yabaniler,ybu1ebo1ylr,یبانیلر
yabanilere,ybu1ebo1ylrh,یبانیلره
yabanilerin,ybu1ebo1ylrko3,یبانیلرڭ
yabanileşmiş,ybu1ebo1ylso3mso3,یبانیلشمش
yabanileşmiştir,ybu1ebo1ylso3mso3dr,یبانیلشمشدر
yabanileştirdi,ybu1ebo1ylso3dyrdy,یبانیلشدیردی
yabanilik,ybu1ebo1ylk,یبانیلک
yabanilikten,ybu1ebo1ylkdbo1,یبانیلکدن
yabaninciri,bu2ebu1ebo1 ebo1xu1bu2ry,يابان انجيری
yabaninciri,yebu1ebo1 ebo1xu1yry,یابان انجیری
yabankoyunu,bu2ebu1ebo1 fo2wbu2wbo1y,يابان قويونی
yabankoyunu,yebu1ebo1 fo2wywbo1y,یابان قویونی
yabanlık,bu2ebu1ebo1lfo2,يابانلق
yabanlık,yebu1ebo1lfo2,یابانلق
yabanmersini,bu2ebu1ebo1 mrbu2sbo1y,يابان مريسنی
yabanmersini,yebu1ebo1 mrysbo1y,یابان مریسنی
yabanturpu,bu2ebu1ebo1 bo2wrbu3y,يابان تورپی
yabanturpu,yebu1ebo1 bo2wrbu3y,یابان تورپی
yabanyoncası,bu2ebu1ebo1 bu2wbo1xu3h||sy,يابان يونچه‌سی
yabanyoncası,yebu1ebo1 ywbo1xu3h<>sy,یابان یونچه‌سی
yabanî,bu2bu1ebo1y,يبانی
yabanî,ybu1ebo1y,یبانی
yabanîler,ybu1ebo1ylr,یبانیلر
yabanîlere,ybu1ebo1ylrh,یبانیلره
yabis,yebu1s,یابس
yabân adamı,bu2bu1ebo1 edmy,يبان ادمی
yabânî elma,bu2bu1ebo1y elme,يبانی الما
yabânî,bu2bu1ebo1y,يبانی
yabânî,bu2ebu1ebo1y,يابانی
yabânîlik,bu2bu1ebo1bu2lk,يبانيلک
yad etmek,yede,یادا
yad,yed,یاد
yad,yo4edo0,یَادْ
yad-gar,bu2edko7er,يادگار
yad-gar,yedko7er,یادگار
yadet,yedeybo2,یادایت
yadetmek,yedeybo2mk,یادایتمک
yadgar,yedko7er,یادگار
yadigar,yedker,یادکار
yadigar,yedko7er,یادگار
yadigar,yo4edu4  ko7o4ero0,یَادِ  گَارْ
yadigâr,yedko7er,یادگار
yadigâr-ı,yedko7eru4,یادگارِ
yadigârları,yedko7erlry,یادگارلری
yadigârlarıdırlar,yedko7erlrydrlr,یادگارلریدرلر
yadigârı,yedko7ery,یادگاری
yadigârıdır,yedko7erydr,یادگاریدر
yadi̇gar,yo4edu4  ko7o4ero0,یَادِ  گَارْ
yadolunurdu,yed ewlwbo1wrdy,یاد اولونوردی
yadı,yedy,یادی
yadırga,yedyrao1e,یادیرغا
yadırgamak,bu2edbu2rao1emfo2,ياديرغامق
yadırgamak,yedyrao1emfo2,یادیرغامق
yafes'ten,yefo1bo3dbo1,یافثدن
yafta takmak,bu2efo1bo2h tefo2mfo2,يافته طاقمق
yafta takmak,yefo1bo2h tefo2mfo2,یافته طاقمق
yafta yapıştırmak,bu2efo1bo2h bu2ebu3so3drmfo2,يافته ياپشدرمق
yafta yapıştırmak,yefo1bo2h yebu3so3drmfo2,یافته یاپشدرمق
yafta,bu2efo1bo2e,يافتا
yafta,bu2efo1bo2h,يافته
yafta,yefo1bo2e,یافتا
yafta,yefo1bo2h||,یافته‌
yaftası,yefo1bo2esy,یافتاسی
yaftaya yazmak,bu2efo1bo2h bu2h bu2ero1mfo2,يافته يه يازمق
yaftaya yazmak,yefo1bo2h yh yero1mfo2,یافته یه یازمق
yah,yxo1,یخ
yahbeste,yxo1 bu1sbo2h,یخ بسته
yahbeste,yxo1 bu1sbo2h||,یخ بسته‌
yahey,yehy,یاهی
yahni etmek,bu2xbo1y e,يحنی ا
yahni etmek,yxbo1y e,یحنی ا
yahni yapmak,bu2xbo1y bu2ebu3mfo2,يحنی ياپمق
yahni yapmak,yxbo1y yebu3mfo2,یحنی یاپمق
yahni,bu2xbo1y,يحنی
yahni,bu2xo1bo1y,يخنی
yahni,yxbo1y,یحنی
yahni,yxo1bo1y,یخنی
yahu,yehw,یاهو
yahud,yexo1wd,یاخود
yahudi karısı,yhwdy fo2erysy,یهودی قاریسی
yahudi,yhwdy,یهودی
yahudiden,yhwdydbo1,یهودیدن
yahudidir,yhwdydr,یهودیدر
yahudiler,yhwdylr,یهودیلر
yahudilerdir,yhwdylrdr,یهودیلردر
yahudilere,yhwdylrh,یهودیلره
yahudileri,yhwdylry,یهودیلری
yahudilerin,yhwdylrko3,یهودیلرڭ
yahudilik,yhwdylk,یهودیلک
yahudiliktir,yhwdylkdr,یهودیلکدر
yahudiliğe,yhwdylko7h,یهودیلگه
yahudinin,yhwdybo1ko3,یهودینڭ
yahudiyet,yhwdybo2,یهودیت
yahut,yexo1wd,یاخود
yahutta,yexo1wddh,یاخودده
yahya,yxyy,یحیی
yahya-i,yxyyu4,یحییِ
yahûdî karısı,bu2hwdy fo2erbu2sy,يهودی قاريسی
yahûdî,bu2hwdy,يهودی
yahûdîlik,bu2hwdbu2lk,يهوديلک
yahşi,bu2xo1so3y,يخشی
yahşi,yxo1so3y,یخشی
