
z,do1,ذ
z,ro1,ز
z,so1,س
z,to1,ظ
za'f,zo1afo1,ضعف
za'f-ı,zo1afo1u4,ضعفِ
za'fa,zo1afo1h,ضعفه
za'feran,ro1afo1rebo1,زعفران
za'ferân,ro1afo1rebo1,زعفران
za'fi,zo1afo1y,ضعفی
za'fiyet,zo1afo1ybo2,ضعفیت
za'fiyete,zo1afo1ybo2h,ضعفیته
za'fiyeti,zo1afo1ybo2y,ضعفیتی
za'fiyetim,zo1afo1ybo2m,ضعفیتم
za'fiyetime,zo1afo1ybo2mh,ضعفیتمه
za'fiyetimle,zo1afo1ybo2mlh,ضعفیتمله
za'fiyetinden,zo1afo1ybo2bo1dbo1,ضعفیتندن
za'fiyetine,zo1afo1ybo2bo1h,ضعفیتنه
za'fiyetini,zo1afo1ybo2bo1y,ضعفیتنی
za'fiyetiyle,zo1afo1ybo2ylh,ضعفیتیله
za'fiyetle,zo1afo1ybo2lh,ضعفیتله
za'fiyetlerine,zo1afo1ybo2lrybo1h,ضعفیتلرینه
za'fiyetli,zo1afo1ybo2ly,ضعفیتلی
za'fiyetten,zo1afo1ybo2dbo1,ضعفیتدن
za'fiyyet,zo1afo1bu2bo2,ضعفيت
za'fiyyet,zo1afo1ybo2,ضعفیت
za'fla,zo1afo1lh,ضعفله
za'flar,zo1afo1lr,ضعفلر
za'flardan,zo1afo1lrdbo1,ضعفلردن
za'fları,zo1afo1lry,ضعفلری
za'flarıma,zo1afo1lrmh,ضعفلرمه
za'flarımdan,zo1afo1lrmdbo1,ضعفلرمدن
za'fların,zo1afo1lrko3,ضعفلرڭ
za'flarından,zo1afo1lrbo1dbo1,ضعفلرندن
za'fta,zo1afo1dh,ضعفده
za'ftaki,zo1afo1dh||ky,ضعفده‌کی
za'ftan,zo1afo1dbo1,ضعفدن
za'ftır,zo1afo1dr,ضعفدر
za'fça,zo1afo1xu1h,ضعفجه
za'fî,zo1afo1y,ضعفی
za'fı,zo1afo1y,ضعفی
za'fım,zo1afo1m,ضعفم
za'fıma,zo1afo1mh,ضعفمه
za'fımla,zo1afo1mlh,ضعفمله
za'fımı,zo1afo1my,ضعفمی
za'fımız,zo1afo1mro1,ضعفمز
za'fın,zo1afo1ko3,ضعفڭ
za'fına,zo1afo1bo1h,ضعفنه
za'fında,zo1afo1bo1dh,ضعفنده
za'fındaki,zo1afo1bo1dh||ky,ضعفنده‌کی
za'fından,zo1afo1ko3dbo1,ضعفڭدن
za'fını,zo1afo1bo1y,ضعفنی
za'fının,zo1afo1bo1ko3,ضعفنڭ
za'fınızdan,zo1afo1ko3ro1dbo1,ضعفڭزدن
za'fıyla,zo1afo1ylh,ضعفیله
za'fıysa,zo1afo1ysh,ضعفیسه
za'id,ro1ebo5d,زائد
za'if etmek,zo1ayfo1 e,ضعیف ا
za'if,zo1ayfo1,ضعیف
za'iflanmak,zo1ayfo1lbo1mfo2,ضعیفلنمق
za'iflatmak,zo1ayfo1lbo2mfo2,ضعیفلتمق
za'iflik,zo1ayfo1lfo2,ضعیفلق
za'il olmak,ro1ebo5l ew,زائل او
za'îf etmek,zo1abu2fo1 e,ضعيف ا
za'îf,zo1abu2fo1,ضعيف
za'îflanmak,zo1abu2fo1lbo1mfo2,ضعيفلنمق
za'îflatmak,zo1abu2fo1lbo2mfo2,ضعيفلتمق
za'îflik,zo1abu2fo1lfo2,ضعيفلق
zaaf,zo1afo1,ضعف
zaaf,zo1o4ao4fo1o0,ضَعَفْ
zaafca,zo1afo1xu1h,ضعفجه
zaafda,zo1afo1dh,ضعفده
zaaftaki,zo1afo1dh||ky,ضعفده‌کی
zaafımı,zo1afo1my,ضعفمی
zabih,do1ebu1x,ذابح
zabit varakasi,zo1o4bu1u4to0 wo4ro4fo2o4h su4bu2,ضَبِطْ وَرَقَه سِي
zabit varakasi,zo1o4bu1u4to0 wo4ro4fo2o4h su4y,ضَبِطْ وَرَقَه سِی
zabit,zo1ebu1t,ضابط
zabit,zo1o4ebu1u4to0,ضَابِطْ
zabita,zo1o4ebu1u4to4h||,ضَابِطَه‌
zabitan,zo1ebu1tebo1,ضابطان
zabite,zo1ebu1th,ضابطه
zabiti,zo1ebu1ty,ضابطی
zabitimiz,zo1ebu1tmro1,ضابطمز
zabitin,zo1ebu1tko3,ضابطڭ
zabitinin,zo1ebu1tbo1ko3,ضابطنڭ
zabitinize,zo1ebu1tko3ro1h,ضابطڭزه
zabitler,zo1ebu1tlr,ضابطلر
zabitlerdeki,zo1ebu1tlrdh||ky,ضابطلرده‌کی
zabitlere,zo1ebu1tlrh,ضابطلره
zabitleri,zo1ebu1tlry,ضابطلری
zabitlerimize,zo1ebu1tlrymro1h,ضابطلریمزه
zabitlerimizle,zo1ebu1tlrymro1lh,ضابطلریمزله
zabitlerin,zo1ebu1tlrko3,ضابطلرڭ
zabitlerini,zo1ebu1tlrybo1y,ضابطلرینی
zabitleriniz,zo1ebu1tlryko3ro1,ضابطلریڭز
zabitlerinizdir,zo1ebu1tlryko3ro1dr,ضابطلریڭزدر
zabitlerinize,zo1ebu1tlryko3ro1h,ضابطلریڭزه
zabitlerinizi,zo1ebu1tlryko3ro1y,ضابطلریڭزی
zabitlerinizin,zo1ebu1tlryko3ro1ko3,ضابطلریڭزڭ
zabitleriyle,zo1ebu1tlrylh,ضابطلریله
zabitlik,zo1ebu1tlk,ضابطلک
zabitname,zo1o4bu1u4to0bo1o4emo4h||,ضَبِطْنَامَه‌
zabitnâme,zo1o4bu1u4to0bo1o4emo4h,ضَبِطْنَامَه
zabi̇t,zo1o4ebu1u4to0,ضَابِطْ
zabt etmek,zo1bu1t e,ضبط ا
zabt etmek,zo1bu1te,ضبطا
zabt etrmek,zo1bu1t e,ضبط ا
zabt olunamaz,zo1bu1t ewlbo1h mro1,ضبط اولنه مز
zabt u muhafaza etmek,zo1bu1t w mxefo1to1h e,ضبط و محافظه ا
zabt u muhafaza,zo1bu1t w mxefo1to1h||,ضبط و محافظه‌
zabt u muhâfaza etmek,zo1bu1t w mxefo1to1h e,ضبط و محافظه ا
zabt u muhâfaza,zo1bu1t w mxefo1to1h,ضبط و محافظه
zabt u rabt etmek,zo1bu1t wrbu1t e,ضبط وربط ا
zabt u rabt,zo1bu1t wrbu1t,ضبط وربط
zabt,zo1bu1t,ضبط
zabt,zo1o4bu1o0to0,ضَبْطْ
zabta,zo1bu1th,ضبطه
zabtedebilirsen,zo1bu1t eydh||bu1ylyrsh||ko3,ضبط ایده‌بیلیرسه‌ڭ
zabtedemez,zo1bu1t eydh||mro1,ضبط ایده‌مز
zabteden,zo1bu1t eydbo1,ضبط ایدن
zabteder,zo1bu1t eydr,ضبط ایدر
zabtederek,zo1bu1t eydh||rk,ضبط ایده‌رک
zabtederler,zo1bu1t eydrlr,ضبط ایدرلر
zabtedilen,zo1bu1t eydylbo1,ضبط ایدیلن
zabtedilir,zo1bu1t eydylyr,ضبط ایدیلیر
zabtedilmemesi,zo1bu1t eydylmh||msy,ضبط ایدیلمه‌مسی
zabtedilmez,zo1bu1t eydylmro1,ضبط ایدیلمز
zabtedilmiyor,zo1bu1t eydylmyywr,ضبط ایدیلمییور
zabtedilsin,zo1bu1t eydylsybo1,ضبط ایدیلسین
zabtedip,zo1bu1t eydwbu1,ضبط ایدوب
zabtediyor,zo1bu1t eydyywr,ضبط ایدییور
zabtediyorlar,zo1bu1t eydyywrlr,ضبط ایدییورلر
zabtetmek,zo1bu1t e,ضبط ا
zabtetmek,zo1bu1t eybo2mk,ضبط ایتمک
zabtetmemiş,zo1bu1t eybo2mh||mso3,ضبط ایتمه‌مش
zabtetse,zo1bu1t eybo2sh,ضبط ایتسه
