
â'da,eade,اعدا
â'dâd,eaded,اعداد
â'ik,aebo5fo2,عائق
â'mâ,eame,اعما
â,eo6,آ
âb,ebu1,اب
âb,eo6bu1,آب
âb-i adâlet,eo6bu1 adelbo2,آب عدالت
âb-i ahmer,eo6bu1 exmr,آب احمر
âb-i bâdereng,eo6bu1 bu1edh rbo1ko7,آب باده رنگ
âb-i engûr,eo6bu1 ebo1ko7wr,آب انگور
âb-i harâbât,eo6bu1 xo1rebu1ebo2,آب خرابات
âb-i kevser,eo6bu1 kwbo3r,آب کوثر
âb-i âbistenî,eo6bu1 eo6bu1sbo2bo1y,آب آبستنی
âb-i âteşîn,eo6bu1 eo6bo2so3bu2bo1,آب آتشين
âb-ul,eo6bu1 el,آب ال
âb-ul-hayat-ı,eo6bu1 elxyebo2u4,آب الحیاتِ
âb-ı adâlet,eo6bu1 adelbo2,آب عدالت
âb-ı ahmer,eo6bu1 exmr,آب احمر
âb-ı bâdereng,eo6bu1 bu1edh rbo1ko7,آب باده رنگ
âb-ı engûr,eo6bu1 ebo1ko7wr,آب انگور
âb-ı harâbât,eo6bu1 xo1rebu1ebo2,آب خرابات
âb-ı kevser,eo6bu1 kwbo3r,آب کوثر
âb-ı âbistenî,eo6bu1 eo6bu1sbo2bo1y,آب آبستنی
âb-ı âteşîn,eo6bu1 eo6bo2so3bu2bo1,آب آتشين
âb-ı,eo6bu1u4,آبِ
âba,eo6bu1ec,آباء
âbad,eo6bu1ed,آباد
âbcâme,eo6bu1xu1emh,آبجامه
âbdendân,eo6bu1dbo1debo1,آبدندان
âbdestlik,eo6bu1dsbo2lk,آبدستلک
âbdestsiz,eo6bu1dsbo2sro1,آبدستسز
âbdestân,eo6bu1dsbo2ebo1,آبدستان
âbdân,eo6bu1debo1,آبدان
âbdâr,eo6bu1der,آبدار
âbdârlık,eo6bu1derlfo2,آبدارلق
âbek,eo6bu1k,آبک
âbgîne,eo6bu1ko7bu2bo1h,آبگينه
âbgîr,eo6bu1ko7bu2r,آبگير
âbgôn,eo6bu1kwbo1,آبکون
âbgûn,eo6bu1ko7wbo1,آبگون
âbhord,eo6bu1xo1wrd,آبخورد
âbhîz,eo6bu1xo1bu2ro1,آبخيز
âbid,aebu1d,عابد
âbid-i,aebu1du4,عابدِ
âbiddir,aebu1ddr,عابددر
âbiddirler,aebu1ddrlr,عابددرلر
âbide,eo6bu1dh,آبده
âbidesi,eo6bu1dh||sy,آبده‌سی
âbidesidir,eo6bu1dh||sydr,آبده‌سیدر
âbidesine,eo6bu1dh||sbo1h,آبده‌سنه
âbidesinin,eo6bu1dh||sbo1ko3,آبده‌سنڭ
âbidevî,eo6bu1dwy,آبدوی
âbidi,aebu1dy,عابدی
âbidler,aebu1dlr,عابدلر
âbidlerin,aebu1dlrko3,عابدلرڭ
âbidlerine,aebu1dlrybo1h,عابدلرینه
âbidsiz,aebu1dsro1,عابدسز
âbidât,eo6bu1debo2,آبدات
âbidîn,eo6bu1dybo1 hatal imla,آبدین هعطعل ملع
âbile,eo6bu1lh,آبله
âbir,aebu1r,عابر
âbisten,eo6bu1sbo2bo1,آبستن
âbistengâh,eo6bu1sbo2bo1ko7eh,آبستنگاه
âbişhor,eo6bu1so3xo1wr,آبشخور
âbkeş,eo6bu1kso3,آبکش
âbkâr,eo6bu1ker,آبکار
âbnôs,eo6bu1bo1ws,آبنوس
âbnûs,eo6bu1bo1ws,آبنوس
âbnûsiyye,eo6bu1bo1wsbu2h,آبنوسيه
âbrâh,eo6bu1reh,آبراه
âbrîz,eo6bu1ryro1,آبریز
âbrû,eo6bu1rw,آبرو
âbyârî,eo6bu1bu2ery,آبياری
âbzih,eo6bu1ro1h,آبزه
âbâ',eo6bu1ec,آباء
âbâ,eo6bu1ec,آباء
âbâd,eo6bu1ed,آباد
âbâda,eo6bu1edh,آباده
âbâdda,eo6bu1eddh,آبادده
âbâdân,eo6bu1edebo1,آبادان
âbâdânlık,eo6bu1edebo1lfo2,آبادانلق
âbâdânî,eo6bu1edebo1y,آبادانی
âbâdî,eo6bu1edy,آبادی
âbâdın,eo6bu1edko3,آبادڭ
âbâl,eo6bu1el,آبال
âbân,eo6bu1ebo1,آبان
âbânî,eo6bu1ebo1y,آبانی
âbâr,eo6bu1er,آبار
âbçîn,eo6bu1xu3bu2bo1,آبچين
âbî,eo6bu1y,آبی
âbühava,eo6bu1 w hwe,آب و هوا
âbıhayat,eo6bu1 xbu2ebo2,آب حيات
âbırû,eo6bu1rw,آبرو
âbşâr,eo6bu1so3er,آبشار
âb–ı,eo6bu1u4 av,آبِ ع
âc,aexu1,عاج
âc,eo6xu1,آج
âcil,aexu1l,عاجل
âcil,eo6xu1l,آجل
âcile,aexu1lh,عاجله
âcile-i,aexu1lh||u4,عاجله‌ِ
âcilen,aexu1le,عاجلا
âcilen,aexu1leo44,عاجلاً
âcilen,eo6xu1le,آجلا
âcilesine,eo6xu1lh||sbo1h,آجله‌سنه
âcili,aexu1ly,عاجلی
âcir,eo6xu1r,آجر
âciz,aexu1ro1,عاجز
âciz,ao4exu1u4ro1o0,عَاجِزْ
âciz-i,aexu1ro1u4,عاجزِ
âcizane,aexu1ro1ebo1h,عاجزانه
âcizanem,aexu1ro1ebo1h||m,عاجزانه‌م
âcizaneme,aexu1ro1ebo1h||mh,عاجزانه‌مه
âcizanemle,aexu1ro1ebo1h||mlh,عاجزانه‌مله
âcizanesini,aexu1ro1ebo1h||sbo1y,عاجزانه‌سنی
âcizde,aexu1ro1dh,عاجزده
âcizden,aexu1ro1dbo1,عاجزدن
âcizdi,aexu1ro1dy,عاجزدی
âcizdir,aexu1ro1dr,عاجزدر
âcizdirler,aexu1ro1drlr,عاجزدرلر
âcize,aexu1ro1h,عاجزه
âcizem,ao4exu1u4ro1o4mo0,عَاجِزَمْ
âcizi,aexu1ro1y,عاجزی
âcizim,aexu1ro1m,عاجزم
âcizin,aexu1ro1ko3,عاجزڭ
âciziyeden,aexu1ro1yh||dbo1,عاجزیه‌دن
âciziyeye,aexu1ro1yh||yh,عاجزیه‌یه
âciziyyet,aexu1ro1ybo2,عاجزیت
âciziz,aexu1ro1ro1,عاجزز
âcizler,aexu1ro1lr,عاجزلر
âcizlerden,aexu1ro1lrdbo1,عاجزلردن
âcizlere,aexu1ro1lrh,عاجزلره
âcizleri,aexu1ro1lry,عاجزلری
âcizlerin,aexu1ro1lrko3,عاجزلرڭ
âcizlerini,aexu1ro1lrybo1y,عاجزلرینی
âcizlerinin,aexu1ro1lrybo1ko3,عاجزلرینڭ
âcizlik,aexu1ro1lk,عاجزلک
âcizliği,aexu1ro1lko7y,عاجزلگی
âcizliğim,aexu1ro1lko7m,عاجزلگم
âcizliğimden,aexu1ro1lko7mdbo1,عاجزلگمدن
âcizâne,aexu1ro1ebo1h,عاجزانه
âcizâne,ao4exu1u4ro1o4ebo1o4h,عَاجِزَانَه
âcizî,aexu1ro1y,عاجزی
âcizîde,aexu1ro1ydh,عاجزیده
âcizîye,aexu1ro1y||yh,عاجزی‌یه
âcizîyi,aexu1ro1y||yy,عاجزی‌یی
âcâl,eo6xu1el,آجال
âcâl-i,eo6xu1elu4,آجالِ
âcür,eo6xu1r,آجر
âd'in,aedko3,عادڭ
âd,aed,عاد
âdab u erkân,eo6debu1 w erkebo1,آداب و ارکان
