
ç,xu3,چ
çabala,xu3ebu1ele,چابالا
çabaladı,xu3ebu1eledy,چابالادی
çabaladıkları,xu3ebu1eledfo2lry,چابالادقلری
çabaladığım,xu3ebu1eledyao1m,چابالادیغم
çabalama,xu3bu1elmh,چبالمه
çabalama,xu3bu1elmh||,چبالمه‌
çabalama,xu3ebu1elemh,چابالامه
çabalama,xu3ebu1elemh||,چابالامه‌
çabalamak,xu3bu1elmfo2,چبالمق
çabalamak,xu3ebu1elemfo2,چابالامق
çabalamanın,xu3ebu1elemebo1ko3,چابالامانڭ
çabalanan,xu3ebu1elebo1ebo1,چابالانان
çabalar,xu3ebu1eler,چابالار
çabalarken,xu3ebu1elerkbo1,چابالارکن
çabalasa,xu3ebu1elesh,چابالاسه
çabalayacaklar,xu3ebu1eleyh||xu1fo2lr,چابالایه‌جقلر
çabalayan,xu3ebu1eleyebo1,چابالایان
çabalayarak,xu3ebu1eleyh||rfo2,چابالایه‌رق
çabalayış,xu3ebu1eleyyso3,چابالاییش
çabalıyor,xu3ebu1eleywr,چابالایور
çabalıyorlar,xu3ebu1eleywrlr,چابالایورلر
çabalıyorsunuz,xu3ebu1eleywrsko3ro1,چابالایورسڭز
çabik yazmak,xu3ebu1k yero1mfo2,چابک یازمق
çabik,xu3ebu1k,چابک
çabiklik,xu3ebu1klk,چابکلک
çabucacık,xu3ebu1wxu1exu1fo2,چابوجاجق
çabucak,xu3ebu1bu2xu1fo2,چابيجق
çabucak,xu3ebu1bu2xu1k,چابيجک
çabucak,xu3ebu1wxu1efo2,چابوجاق
çabucak,xu3ebu1yxu1fo2,چابیجق
çabucak,xu3ebu1yxu1k,چابیجک
çabuk darılır,xu3ebu1k derlwr,چابک دارلور
çabuk duyar,xu3ebu1k dwbu2er,چابک دويار
çabuk duyar,xu3ebu1k dwyer,چابک دویار
çabuk geçer,xu3ebu1k kxu3r,چابک کچر
çabuk gitmek,xu3ebu1k kbo2mk,چابک کتمک
çabuk gücenir,xu3ebu1k kwxu1bo1wr,چابک کوجنور
çabuk kızar,xu3ebu1k fo2ro1er,چابک قزار
çabuk olmak,xu3ebu1k ew,چابک او
çabuk unutmak,xu3ebu1k ewbo1wbo2mfo2,چابک اونوتمق
çabuk yürümek,xu3ebu1k bu2wrwmk,چابک يورومک
çabuk yürümek,xu3ebu1k ywrwmk,چابک یورومک
çabuk,xu3ebu1k,چابک
çabuk,xu3ebu1wfo2,چابوق
çabukluk,xu3ebu1klk,چابکلک
çabukluk,xu3ebu1wfo2lfo2,چابوقلق
çabukluk,xu3ebu3klk,چاپکلک
çabuklukla,xu3ebu1wfo2lfo2lh,چابوقلقله
çabuktur,xu3ebu1wfo2dr,چابوقدر
çabük bitirmek,xu3ebu1k bu1bo2rmk,چابک بترمک
çabük,xu3ebu1k,چابک
çabüki,xu3ebu1ky,چابکی
çabüklük,xu3ebu1klk,چابکلک
çabükpa,xu3ebu1k bu3e,چابک پا
çabükrev,xu3ebu1k rw,چابک رو
çabüksüvar,xu3ebu1k swer,چابک سوار
çader,xu3edr,چادر
çadernişin,xu3edrbo1so3ybo1,چادرنشین
çadır,xu3edr,چادر
çadır,xu3edyr,چادیر
çadıra,xu3edyrh,چادیره
çadırcı,xu3edyrxu1y,چادیرجی
çadırda,xu3edyrdh,چادیرده
çadırdan,xu3edyrdbo1,چادیردن
çadırlar,xu3edyrlr,چادیرلر
çadırları,xu3edyrlry,چادیرلری
çadırlarını,xu3edyrlrybo1y,چادیرلرینی
çadırlı,xu3edyrly,چادیرلی
çadırın,xu3edyrko3,چادیرڭ
çadırına,xu3edyrybo1h,چادیرینه
çah,xu3eh||,چاه‌
çak etmek,xu3ek e,چاک ا
çak,xu3efo2,چاق
çak,xu3ek,چاک
çakal,xu3efo2el,چاقال
çakal,xu3fo2el,چقال
çakalos topu,xu3fo2elws twbu3y,چقالوس طوپی
çakaloz,xu3efo2elwro1,چاقالوز
çakan,xu3efo2ebo1,چاقان
çakar,xu3efo2er,چاقار
çakaçak,xu3ekexu3ek,چاکاچاک
çakdır,xu3efo2dyr,چاقدیر
çakdırmak,xu3efo2dyrmfo2,چاقدیرمق
çaker,xu3ekr,چاکر
çakeri,xu3ekry,چاکری
çakma,xu3efo2mh,چاقمه
çakma,xu3efo2mh||,چاقمه‌
çakmak kesesi,xu3fo2mefo2 kbu2sh sy,چقماق کيسه سی
çakmak kesesi,xu3fo2mefo2 kysh sy,چقماق کیسه سی
çakmak tabası (tavası),xu3fo2mefo2 bo2ebu1h sy,چقماق تابه سی
çakmak taşı,xu3efo2mfo2 teso3y,چاقمق طاشی
çakmak,xu3efo2mefo2,چاقماق
çakmak,xu3efo2mfo2,چاقمق
çakmak,xu3fo2mefo2,چقماق
çakmakcı,xu3efo2mfo2xu1y,چاقمقجی
çakmaklı,xu3efo2mefo2ly,چاقماقلی
çakmaksız,xu3efo2mefo2sro1,چاقماقسز
çakmakçı,xu3efo2mefo2xu1y,چاقماقجی
çakmakçı,xu3fo2mefo2xu1y,چقماقجی
çakmasından,xu3efo2mesbo1dbo1,چاقماسندن
çakmasıyla,xu3efo2mesylh,چاقماسیله
çakmış,xu3efo2mso3,چاقمش
çaksın,xu3efo2sybo1,چاقسین
çaktı,xu3efo2dy,چاقدی
çaktığı,xu3efo2dyao1y,چاقدیغی
çakuç,xu3ekwxu3,چاکوچ
çakı,xu3efo2y,چاقی
çakıl taşı,xu3efo2l teso3y,چاقل طاشی
çakıl,xu3efo2l,چاقل
çakıl,xu3efo2yl,چاقیل
çakılan,xu3efo2ylebo1,چاقیلان
çakıldak,xu3efo2ldefo2,چاقلداق
çakıllık,xu3efo2llfo2,چاقللق
çakıllığında,xu3efo2yllao1bo1dh,چاقیللغنده
çakılmak,xu3efo2lmfo2,چاقلمق
çakılmış,xu3efo2ylmso3,چاقیلمش
çakın,xu3efo2ybo1,چاقین
çakır,xu3efo2r,چاقر
çakır,xu3efo2yr,چاقیر
çakırdikeni,xu3efo2rdykbo1y,چاقردیکنی
çakırkanat,xu3efo2rfo2ebo1ed,چاقرقاناد
çakırkeyf,xu3efo2r<>kyfo1,چاقر‌کیف
çakırkeyf,xu3efo2r||kyfo1,چاقر‌کیف
çakırpençe,xu3efo2rbu3bo1xu3h,چاقرپنچه
çakırpençe,xu3efo2rbu3bo1xu3h||,چاقرپنچه‌
çakısı,xu3efo2ysy,چاقیسی
çakıyorsa,xu3efo2yywrsh,چاقییورسه
çakış,xu3efo2so3,چاقش
çakışdır,xu3efo2so3dyr,چاقشدیر
çakışdırmak,xu3efo2so3dyrmfo2,چاقشدیرمق
çakışmak,xu3efo2so3mfo2,چاقشمق
çakşır,xu3efo2so3bu2r,چاقشير
çakşır,xu3efo2so3yr,چاقشیر
çal'dır,xu3eldr,چالدر
çal,xu3el,چال
çal-kılıç etmek,xu3el fo2lxu1 e,چال قلج ا
çalab,xu3elebu1,چالاب
çalabilen,xu3elebu1ylbo1,چالابیلن
çalacak,xu3elexu1fo2,چالاجق
çalacaklarını,xu3elexu1fo2lrybo1y,چالاجقلرینی
çalacaktır,xu3elexu1fo2dr,چالاجقدر
çalacağı,xu3elexu1ao1y,چالاجغی
çalak,xu3elek,چالاک
çalakaşık,xu3elefo2eso3yfo2,چالاقاشیق
çalaki,xu3eleky,چالاکی
çalakürek,xu3elekwrh<>k,چالاکوره‌ک
çalakürek,xu3elekwrh||k,چالاکوره‌ک
çalamaz,xu3elemero1,چالاماز
çalan,xu3elebo1,چالان
çalan,xu3elek,چالاک
çalar,xu3eler,چالار
çalarak,xu3elerfo2,چالارق
çaldı,xu3eldy,چالدی
çaldılar,xu3eldylr,چالدیلر
çaldım,xu3eldm,چالدم
çaldır,xu3eldyr,چالدیر
çaldırmak,xu3eldbu2rmfo2,چالديرمق
çaldırmak,xu3eldyrmfo2,چالدیرمق
çaldığı,xu3eldyao1y,چالدیغی
çaldığından,xu3eldyao1bo1dbo1,چالدیغندن
çalgı meclisi,xu3elao1y mxu1lsy,چالغی مجلسی
çalgı,xu3elao1y,چالغی
çalgıcı,xu3elao1yxu1y,چالغیجی
çalgıcılık,xu3elao1yxu1ylfo2,چالغیجیلق
çalgılar,xu3elao1ylr,چالغیلر
çalik,xu3elyk,چالیک
çalka,xu3elfo2e,چالقا
çalkaladı,xu3elfo2eledy,چالقالادی
çalkaladığı,xu3elfo2eledyao1y,چالقالادیغی
çalkalanan,xu3elfo2elebo1ebo1,چالقالانان
çalkalandırdığını,xu3elfo2elebo1dyrdyao1bo1y,چالقالاندیردیغنی
çalkalandırıyor,xu3elfo2elebo1dyryywr,چالقالاندیرییور
çalkalanmakta,xu3elfo2elebo1mfo2dh,چالقالانمقده
çalkalanmasıyla,xu3elfo2elebo1msylh,چالقالانمسیله
çalkalanıp,xu3elfo2elebo1wbu1,چالقالانوب
çalkalanıyor,xu3elfo2elebo1yywr,چالقالانییور
çalkalar,xu3elfo2h||ler,چالقه‌لار
çalkamak,xu3elfo2emfo2,چالقامق
çalkamasıyla,xu3elfo2emesylh,چالقاماسیله
çalkan,xu3elfo2ebo1,چالقان
çalkanan,xu3elfo2ebo1ebo1,چالقانان
çalkanma,xu3elfo2ebo1mh,چالقانمه
çalkanma,xu3elfo2ebo1mh||,چالقانمه‌
çalkanmak,xu3elfo2ebo1mfo2,چالقانمق
çalkanmakta,xu3elfo2ebo1mfo2dh,چالقانمقده
çalkantı,xu3elfo2ebo1bo2y,چالقانتی
çalkantılar,xu3elfo2ebo1bo2ylr,چالقانتیلر
çalkanıp,xu3elfo2ebo1wbu1,چالقانوب
çalkanıyorlardı,xu3elfo2ebo1yywrlrdy,چالقانییورلردی
çalkanış,xu3elfo2ebo1so3,چالقانش
çalkat,xu3elfo2ebo2,چالقات
çalkatmak,xu3elfo2ebo2mfo2,چالقاتمق
çalma,xu3elmh,چالمه
çalma,xu3elmh||,چالمه‌
çalmadım,xu3elmedm,چالمادم
çalmak,xu3elmfo2,چالمق
çalmakla,xu3elmfo2lh,چالمقله
