
ö,bo5w,ئو
ö,ew,او
öbek,ewbu1k,اوبک
öbür gün,ewbu1r kwbo1,اوبر کون
öbür gün,ewbu1rkwbo1,اوبرکون
öbür,ewbu1r,اوبر
öbürüne,ewbu1rybo1h,اوبرینه
öbürüsü,ewbu1rysy,اوبریسی
öbürüsüne,ewbu1rysbo1h,اوبریسنه
öc,awxu1,عوج
öc,ewxu1,اوج
öd,awd,عود
öd,ewd,اود
ödağacı,awd eo6ao1exu1y,عود آغاجی
ödağacı,ewdeo6ao1exu1y,اودآغاجی
öde,ewdh<>,اوده‌
ödek,ewdh<>k,اوده‌ک
ödek,ewdh||k,اوده‌ک
ödemek,ewdh mk,اوده مک
ödemek,ewdh<>mk,اوده‌مک
ödemek,ewdh||mk,اوده‌مک
ödemeye,ewdh||mko7h,اوده‌مگه
ödemiş,ewdh<>mso3,اوده‌مش
öden,ewdh<>bo1,اوده‌ن
ödenmek,ewdh<>bo1mk,اوده‌نمک
ödenmek,ewdh||bo1mk,اوده‌نمک
ödersek,ewdrsk,اودرسک
ödeyebiliriz,ewdh||yh||bu1ylyrro1,اوده‌یه‌بیلیرز
ödeyemem,ewdh||yh||mm,اوده‌یه‌مم
ödeyemeyeceğiz,ewdh||yh||myh||xu1ko7ro1,اوده‌یه‌میه‌جگز
ödeyemezler,ewdh||yh||mro1lr,اوده‌یه‌مزلر
ödeş,ewdh<>so3,اوده‌ش
ödeşmek,ewdh<>so3mk,اوده‌شمک
ödeşmek,ewdh||so3mk,اوده‌شمک
ödlek,ewdlk,اودلک
ödü,yo5wdy,ئودی
ödünç almak,ewdbo1xu1 elmfo2,اودنج المق
ödünç vermek,ewdbo1xu1 wbu2rmk,اودنج ويرمک
ödünç vermek,ewdbo1xu1 wyrmk,اودنج ویرمک
ödünç,ewdbo1xu1,اودنج
ödünç,ewdwbo1xu1,اودونج
öf,ewfo1,اوف
öfke,ewbu2kh,اويکه
öfke,ewfo1kh,اوفکه
öfke,ewfo1kh||,اوفکه‌
öfke,ewykh||,اویکه‌
öfkelen,ewfo1kh<>lbo1,اوفکه‌لن
öfkeleniyor,ewfo1kh||lbo1ywr,اوفکه‌لنیور
öfkelenmek,ewfo1kh<>lbo1mk,اوفکه‌لنمک
öfkelenmek,ewfo1kh||lbo1mk,اوفکه‌لنمک
öfkesinden,yo5wfo1kh||sbo1dbo1,ئوفکه‌سندن
öfkesini,ewfo1kh||sbo1y,اوفکه‌سنی
öhö,ewhw,اوهو
ökce,ewkxu1h,اوکجه
ökce,ewkxu1h||,اوکجه‌
ökse,ewksh,اوکسه
ökse,ewksh||,اوکسه‌
öksü,ewksw,اوکسو
öksümek,ewkswmk,اوکسومک
öksür,ewkswr,اوکسور
öksürmek,ewksro1mk,اوکسزمک
öksürmek,ewkswrmk,اوکسورمک
öksürük,ewksrk,اوکسرک
öksürük,ewkswrwk,اوکسوروک
öksürüğümüzü,ewkswrwko7mro1y,اوکسوروگمزی
öksüz,ewksro1,اوکسز
öksüz,ewkswro1,اوکسوز
ökçe,ewkxu3h,اوکچه
ökçe,ewkxu3h||,اوکچه‌
öküz,ewkwro1,اوکوز
öküzde,ewkwro1dh,اوکوزده
öküzdür,ewkwro1dr,اوکوزدر
öküze,ewkwro1h,اوکوزه
öküzün,ewkwro1ko3,اوکوزڭ
öl,ewl,اول
öl,yo5wl,ئول
öldü,yo5wldy,ئولدی
öldükten,yo5wldkdbo1,ئولدکدن
öldükçe,yo5wldkxu1h,ئولدکجه
öldür,yo5wldyr,ئولدیر
öldürdü,yo5wldyrdy,ئولدیردی
öldürdük,yo5wldyrdk,ئولدیردک
öldürdükleri,yo5wldyrdklry,ئولدیردکلری
öldürdüklerinden,yo5wldyrdklrbo1dbo1,ئولدیردکلرندن
öldürdükten,yo5wldyrdkdbo1,ئولدیردکدن
öldürdüğü,yo5wldyrdyko7y,ئولدیردیگی
öldürdüğünü,yo5wldyrdyko7bo1y,ئولدیردیگنی
öldürebilecek,yo5wldyrh||bu1ylh||xu1k,ئولدیره‌بیله‌جک
öldürebilir,yo5wldyrh||bu1ylyr,ئولدیره‌بیلیر
öldürebilirsen,yo5wldyrh||bu1ylyrsh||ko3,ئولدیره‌بیلیرسه‌ڭ
öldürebilmesi,yo5wldyrh||bu1ylmh||sy,ئولدیره‌بیلمه‌سی
öldürecek,yo5wldyrh||xu1k,ئولدیره‌جک
öldürecekleri,yo5wldyrh||xu1klry,ئولدیره‌جکلری
öldürecektir,yo5wldyrh||xu1kdr,ئولدیره‌جکدر
öldüreceği,yo5wldyrh||xu1ko7y,ئولدیره‌جگی
öldüreceğim,yo5wldyrh||xu1ko7m,ئولدیره‌جگم
öldüreceğine,yo5wldyrh||xu1ko7bo1h,ئولدیره‌جگنه
öldüreceğini,yo5wldyrh||xu1ko7bo1y,ئولدیره‌جگنی
öldüreceğiz,yo5wldyrh||xu1ko7ro1,ئولدیره‌جگز
öldüremez,yo5wldyrh||mro1,ئولدیره‌مز
öldüremezsin,yo5wldyrh||mro1sko3,ئولدیره‌مزسڭ
öldüren,yo5wldyrbo1,ئولدیرن
öldürenler,yo5wldyrbo1lr,ئولدیرنلر
öldürenlerden,yo5wldyrbo1lrdbo1,ئولدیرنلردن
öldürenlere,yo5wldyrbo1lrh,ئولدیرنلره
öldürerek,yo5wldyrh||rk,ئولدیره‌رک
öldürme derecesinde muzırr,ewldrmh drxu1h sbo1dh mzo1r,اولدرمه درجه سنده مضر
öldürmek,ewldrmfo2,اولدرمق
öldürmek,ewldrmk,اولدرمک
