
ûd (öd),awd,عود
ûd ağacı,awdeao1exu1y,عوداغاجی
ûd,awd,عود
ûdi,awdy,عودی
ûdî,awdy,عودی
ûla-yı,ewlo99yu4,اولٌیِ
ûladaki,ewlo99y||dh||ky,اولٌی‌ده‌کی
ûlâ,ewlo99y,اولٌی
ûlâ,ewly,اولی
ûlâda,ewlo99y||dh,اولٌی‌ده
ûlâdaki,ewlo99y||dh||ky,اولٌی‌ده‌کی
ûlâdan,ewlo99y||dbo1,اولٌی‌دن
ûlâdır,ewlo99y||dr,اولٌی‌در
ûlânın,ewlo99y||bo1ko3,اولٌی‌نڭ
ûlâsındakiler,ewlo99y||sbo1dh||kylr,اولٌی‌سنده‌کیلر
ûlâya,ewlyo99||yh,اولیٌ‌یه
ûlâyı,ewly||o99yy,اولی‌ٌیی
ûlülazm,ewlw elato1m,اولو العظم
ûlülebsâr,ewlw elebu1zer,اولو الابصار
ûlülemr,ewlw elemr,اولو الامر
