
ü,bo5w,ئو
ü,eu9,ا
ü,ew,او
ü,w,و
übbehet,ebu1hbo2,ابهت
übbehet/übhet,ebu1hbo2,ابهت
übeyy,eo9bu1o4y,اُبَی
übhet,ebu1hbo2,ابهت
übüvvet,ebu1wbo2,ابوت
ücra,ewxu1re,اوجرا
ücret,exu1rbo2,اجرت
ücret-i,exu1rbo2u4,اجرتِ
ücrete,exu1rbo2h,اجرته
ücreti,exu1rbo2y,اجرتی
ücretidir,eo9xu1rbo2ydr,اُجرتیدر
ücretim,exu1rbo2m,اجرتم
ücretimi,exu1rbo2my,اجرتمی
ücretimizi,exu1rbo2mro1y,اجرتمزی
ücretin,exu1rbo2ko3,اجرتڭ
ücretinden,eo9xu1rbo2bo1dbo1,اُجرتندن
ücretini,exu1rbo2bo1y,اجرتنی
ücretinin,exu1rbo2bo1ko3,اجرتنڭ
ücretinizi,eo9xu1rbo2ko3ro1y,اُجرتڭزی
ücretle,exu1rbo2lh,اجرتله
ücretlerden,exu1rbo2lrdbo1,اجرتلردن
ücretleri,exu1rbo2lry,اجرتلری
ücretlerin,exu1rbo2lrko3,اجرتلرڭ
ücretlerinden,exu1rbo2lrbo1dbo1,اجرتلرندن
ücretlerini,exu1rbo2lrybo1y,اجرتلرینی
ücretleriyle,exu1rbo2lrylh,اجرتلریله
ücretli,exu1rbo2ly,اجرتلی
ücretsiz,exu1rbo2sro1,اجرتسز
ücretteki,eo9xu1rbo2dh||ky,اُجرتده‌کی
ücretten,exu1rbo2dbo1,اجرتدن
ücrettir,exu1rbo2dr,اجرتدر
ücrâ,ewxu1re,اوجرا
ücur,exu1wr,اجور
ücurat,exu1wrebo2,اجورات
ücûr,exu1wr,اجور
ücûrât,exu1wrebo2,اجورات
üdeba,edbu1e,ادبا
üdeba,eo9do4bu1e,اُدَبا
üdeba-yı,eo9dbu1eyu4,اُدبایِ
üdebâ,edbu1e,ادبا
üdebâ,eo9dbu1e,اُدبا
üf'ule,efo1awlh||,افعوله‌
üf'ulevi,efo1awlwy,افعولوی
üf'ûle,efo1awlh,افعوله
üf'ûlevî,efo1awlwy,افعولوی
üf,ewfo1,اوف
üfle,ewfo1lh,اوفله
üfle,ewfo1lh<>,اوفله‌
üfledi,ewfo1lh||dy,اوفله‌دی
üfledin,ewfo1lh||dko3,اوفله‌دڭ
üflemek,ewfo1lh<>mk,اوفله‌مک
üflemek,ewfo1lh||mk,اوفله‌مک
üflemek,ewfo1lmk,اوفلمک
üflemekle,ewfo1lh||mklh,اوفله‌مکله
üflemeleriyle,ewfo1lh||mh||lrylh,اوفله‌مه‌لریله
üflemiş,ewfo1lh||mso3,اوفله‌مش
üflendikçe,ewfo1lbo1dkxu1h,اوفلندکجه
üflenirken,ewfo1lbo1yrkbo1,اوفلنیرکن
üflense,ewfo1lbo1sh,اوفلنسه
üfler,ewfo1lr,اوفلر
üflersen,ewfo1lrsh||ko3,اوفلرسه‌ڭ
üfleyen,ewfo1lh||ybo1,اوفله‌ین
üfleyicilerin,ewfo1lh||yyxu1ylrko3,اوفله‌ییجیلرڭ
üflüyor,ewfo1lh||ywr,اوفله‌یور
üflüyorum,ewfo1lh||ywrm,اوفله‌یورم
üftade,efo1bo2edh||,افتاده‌
üftadegan,efo1bo2edko7ebo1,افتادگان
üftadesi,eo9fo1bo2edh||sy,اُفتاده‌سی
üftanühizan,efo1bo2ebo1 w xo1yro1ebo1,افتان و خیزان
üftâde,efo1bo2edh,افتاده
üftâdegân,efo1bo2edko7ebo1,افتادگان
üftânühîzân,efo1bo2ebo1 w xo1bu2ro1ebo1,افتان و خيزان
üful,efo1wl,افول
üfunetli,afo1wbo1bo2ly,عفونتلی
üfûl,efo1wl,افول
üfür,ewfo1wr,اوفور
üfürdüğü,ewfo1wrdyko7y,اوفوردیگی
üfürmek,ewfo1wrmk,اوفورمک
üfürmekle,ewfo1wrmklh,اوفورمکله
üfürmesinden,ewfo1wrmsbo1dbo1,اوفورمسندن
üfürmesiyle,ewfo1wrmsylh,اوفورمسیله
üfürük,ewfo1wrwk,اوفوروک
üfürükçü,ewfo1wrwkxu1y,اوفوروکجی
üfürüm,ewfo1wrwm,اوفوروم
üfürür,ewfo1wrwr,اوفورور
üf’ule,efo1awlh||,افعوله‌
üf’ulevi,efo1awlwy,افعولوی
ükeydir'e,eo9ko4ydrh,اُکَیدره
ükül,ekl,اکل
ülema'nın,almebo1ko3,علمانڭ
ülema,alme,علما
ülema-i,almecu4,علماءِ
ülema-is,almec el,علماء ال
ülema-yı,almeyu4,علمایِ
ülema-üs,almec el,علماء ال
ülemaca,almexu1h,علماجه
ülemada,almedh,علماده
ülemadaki,almedh||ky,علماده‌کی
ülemadan,almedbo1,علمادن
ülemadır,almedr,علمادر
ülemalar,almelr,علمالر
ülemalara,almelrh,علمالره
ülemalardan,almelrdbo1,علمالردن
ülemalarla,almelrlh,علمالرله
ülemaları,almelry,علمالری
ülemaların,almelrko3,علمالرڭ
ülemalarından,almelrbo1dbo1,علمالرندن
ülemalarını,almelrybo1y,علمالرینی
ülemalarıyla,almelrylh,علمالریله
ülemanın,almebo1ko3,علمانڭ
üleması,almesy,علماسی
ülemasına,almesbo1h,علماسنه
ülemasınca,almesbo1xu1h,علماسنجه
ülemasında,almesbo1dh,علماسنده
ülemasından,almesbo1dbo1,علماسندن
ülemasını,almesbo1y,علماسنی
ülemasının,almesbo1ko3,علماسنڭ
ülemasıyla,almesylh,علماسیله
ülemaya,almeyh,علمایه
ülemayı,almeyy,علمایی
ülemâ-i,almecu4,علماءِ
üleş,ewlso3,اولش
üleşdir,ewlso3dyr,اولشدیر
üleşdirmek,ewlso3dbu2rmk,اولشديرمک
üleşdirmek,ewlso3dyrmk,اولشدیرمک
üleşmek,ewlso3mk,اولشمک
ülfet etmek,elfo1bo2 e,الفت ا
ülfet,elfo1bo2,الفت
ülfet,eo9lo0fo1o4bo2o0,اُلْفَتْ
ülfete,elfo1bo2h,الفته
ülfeti,eo9lfo1bo2y,اُلفتی
ülfetin,eo9lfo1bo2ko3,اُلفتڭ
ülfetindeki,eo9lfo1bo2bo1dh||ky,اُلفتنده‌کی
ülfetle,elfo1bo2lh,الفتله
ülfetlerinden,elfo1bo2lrbo1dbo1,الفتلرندن
ülfetten,elfo1bo2dbo1,الفتدن
ülke,elke,الکا
ülke,ewlkh,اولکه
ülke,ewlkh||,اولکه‌
ülke-i,yo5wlkhu4,ئولکهِ
ülkenin,yo5wlkh||bo1ko3,ئولکه‌نڭ
ülker,ewlkr,اولکر
ülkesidir,yo5wlkh||sydr,ئولکه‌سیدر
ülkesinde,yo5wlkh||sbo1dh,ئولکه‌سنده
ülkesine,yo5wlkh||sbo1h,ئولکه‌سنه
ülkesinin,yo5wlkh||sbo1ko3,ئولکه‌سنڭ
ülkeye,yo5wlkh||yh,ئولکه‌یه
ülkeyi,yo5wlkh||yy,ئولکه‌یی
ültimatom,ewlbo2bu2mebo2wm,اولتيماتوم
ültimatom,ewlbo2ymebo2wm,اولتیماتوم
üluhiyet,elwhybo2,الوهیت
