
ı,ebu2,اي
ı,eu5,إ
ı,ey,ای
ıbrıkta,eu5bu1ryfo2dh,إبریقده
ıdlal etmek,ezo1lel e,اضلال ا
ıdlal,ezo1lel,اضلال
ıdlâl etmek,ezo1lel e,اضلال ا
ıdlâl,ezo1lel,اضلال
ıh,ebu2xo1,ايخ
ıh,eyxo1,ایخ
ıhdı,eyxo1dy,ایخدی
ıhlamur,exo1lemwr,اخلامور
ıhlamur,fo1lemwr,فلامور
ıişrun,aso3rwbo1,عشرون
ıişrûn,aso3rwbo1,عشرون
ık'ad,efo2aed,اقعاد
ık'âd,efo2aed,اقعاد
ıkd,afo2d,عقد
ıklim,efo2lym,اقلیم
ıklîm,efo2lbu2m,اقليم
ıktıda,efo2bo2de,اقتدا
ıktıdâ,efo2bo2de,اقتدا
ıkın,efo2ybo1,اقین
ıkınmak,efo2bu2bo1mfo2,اقينمق
ıkınmak,efo2ybo1mfo2,اقینمق
ıkıntı,efo2bu2bo1bo2y,اقينتی
ıkıntı,efo2ybo1bo2y,اقینتی
ık’ad,efo2aed,اقعاد
ılliyyin,albu2bu2bo1,عليين
ılliyyin,alyybo1,علیین
ılı,eylyfo2,ایلیق
ılıca,ebu2lbu2xu1h,ايليجه
ılıca,eylyxu1h||,ایلیجه‌
ılıcak,ebu2lbu2xu1fo2,ايليجق
ılıcak,eylyxu1fo2,ایلیجق
ılık,ebu2lbu2fo2,ايليق
ılık,eylyfo2,ایلیق
ılımak,ebu2lbu2fo2mfo2,ايليقمق
ılımak,eylyfo2mfo2,ایلیقمق
ılıt,eylybo2,ایلیت
ılıtmak,ebu2lbu2bo2mfo2,ايليتمق
ılıtmak,eylybo2mfo2,ایلیتمق
ılışdır,eylyso3dyr,ایلیشدیر
ılışdırmak,ebu2lbu2so3dbu2rmfo2,ايليشديرمق
ılışdırmak,eylyso3dyrmfo2,ایلیشدیرمق
ımame,amemh,عمامه
ımızgan,emyro1ao1ebo1,امیزغان
ımızganmak,embu2ro1ao1ebo1mfo2,اميزغانمق
ımızganmak,emyro1ao1ebo1mfo2,امیزغانمق
ın,u44ko3,ٍڭ
ında,bo1dh,نده
ından,bo1dbo1,ندن
ındır,bo1dr,ندر
ınnin,abo1ybo1,عنین
ınnîn,abo1bu2bo1,عنين
ının,u44bo1k,ٍنک
ırak'la,arefo2lh,عراقله
ırak'ta,arefo2dh,عراقده
ırak'taki,arefo2dh||ky,عراقده‌کی
ırak'tan,arefo2dbo1,عراقدن
ırak'ı,arefo2y,عراقی
ırak,arefo2,عراق
ırak,ebu2refo2,ايراق
ırak,eyrefo2,ایراق
ırda,erzo1ea,ارضاع
ırdâ,erzo1ea,ارضاع
ırgad,erao1ed,ارغاد
ırgat,ebu2rfo2ebo2,ايرقات
ırgat,eyrfo2ebo2,ایرقات
ırgâd,erao1ed,ارغاد
ırk -ı ahmer,arfo2 exmr,عرق احمر
ırk -ı ebyaz,arfo2 ebu1yzo1,عرق ابیض
ırk,arfo2,عرق
ırk,ebu2rfo2,ايرق
ırk,eyrfo2,ایرق
ırk-ı ahmer,arfo2 exmr,عرق احمر
ırk-ı ebyaz,arfo2 ebu1bu2zo1,عرق ابيض
ırk-ı ebyaz,arfo2 ebu1yzo1,عرق ابیض
ırk-ı,au4rfo2u4,عِرقِ
