
ş,so3,ش
şa'ban-i muazzam,so3o4ao0bu1o4ebo1u4 mo9ao4to1o4o8mo0,شَعْبَانِ مُعَظَّمْ
şa'ban-i şeri̇f,so3o4ao0bu1o4ebo1u4 so3o4ryfo1o0,شَعْبَانِ شَریفْ
şa'ban-ı muazzam,so3o4ao0bu1o4ebo1u4 mo9ao4to1o4o8mo0,شَعْبَانِ مُعَظَّمْ
şa'ban-ı şerif,so3o4ao0bu1o4ebo1u4 so3o4ryfo1o0,شَعْبَانِ شَریفْ
şa'bân-i muazzam,so3o4ao0bu1o4ebo1u4 mo9ao4to1o4o8mo0,شَعْبَانِ مُعَظَّمْ
şa'bân-i şerîf,so3o4ao0bu1o4ebo1u4 so3o4rbu2fo1o0,شَعْبَانِ شَريفْ
şa'bân-ı muazzam,so3o4ao0bu1o4ebo1u4 mo9ao4to1o4o8mo0,شَعْبَانِ مُعَظَّمْ
şa'bân-ı şerîf,so3o4ao0bu1o4ebo1u4 so3o4rbu2fo1o0,شَعْبَانِ شَريفْ
şa'r,so3ar,شعر
şa'ranî,so3arebo1y,شعرانی
şa're,so3arh,شعره
şa'riyye,so3aryh,شعریه
şa'riyye,so3aryh||,شعریه‌
şa'şa'a,so3aso3ah,شعشعه
şa'şa'a,so3aso3ah||,شعشعه‌
şa'şa'adar,so3aso3ah der,شعشعه دار
şa'şa'adâr,so3aso3ah der,شعشعه دار
şa'şaa,so3o4ao0so3o4ao4h,شَعْشَعَه
şa'şaa,so3o4ao0so3o4ao4h||,شَعْشَعَه‌
şa'şaalı,so3aso3ah||ly,شعشعه‌لی
şa'şaasını,so3aso3ah||sbo1y,شعشعه‌سنی
şaban'ın,so3abu1ebo1ko3,شعبانڭ
şaban,so3abu1ebo1,شعبان
şaban-ı,so3abu1ebo1u4,شعبانِ
şabb,so3ebu1,شاب
şabb-i,so3ebu1o8u4,شابِّ
şabân,so3abu1ebo1,شعبان
şad,so3ed,شاد
şad,so3o4edo0,شَادْ
şadan,so3edebo1,شادان
şadi,so3edy,شادی
şadman,so3edmebo1,شادمان
şadmani,so3edmebo1y,شادمانی
şaduman,so3edmebo1,شادمان
şadumani,so3edmebo1y,شادمانی
şadurvan,so3edrwebo1,شادروان
şadırvan,so3edrwebo1,شادروان
şadırvanları,so3edyrwebo1lry,شادیروانلری
şafak,so3fo1fo2,شفق
şafaklar,so3fo1fo2lr,شفقلر
şafağı,so3fo1fo2y,شفقی
şafi',so3efo1a,شافع
şafi',so3efo1y,شافی
şafi,so3efo1y,شافی
şafi,so3o4efo1y,شَافی
şafi-i hakim,so3o4efo1bo5u4 xo4kymo0,شَافئِ حَکیمْ
şafi-ül,so3efo1ayo8o9 el,شافعیُّ ال
şafii,so3efo1ay,شافعی
şafiiyy-i,so3efo1ayo8u4,شافعیِّ
şafiiyy-ül,so3efo1ayo8o9 el,شافعیُّ ال
şafiî'de,so3efo1aydh,شافعیده
şafiî'den,so3efo1aydbo1,شافعیدن
şafiî'nin,so3efo1aybo1ko3,شافعینڭ
şafiî'ye,so3efo1ay||yh,شافعی‌یه
şafiî'yi,so3efo1ay||yy,شافعی‌یی
şafiî,so3efo1ay,شافعی
şafiîce,so3efo1ayxu1h,شافعیجه
şafiîdir,so3efo1aydr,شافعیدر
şafiîler,so3efo1aylr,شافعیلر
şafiîlerce,so3efo1aylrxu1h,شافعیلرجه
şafiîlerde,so3efo1aylrdh,شافعیلرده
şafiîleri,so3efo1aylry,شافعیلری
şafiîlerin,so3efo1aylrko3,شافعیلرڭ
şafiîsiniz,so3efo1aysko3ro1,شافعیسڭز
şafiîyim,so3efo1ay||ym,شافعی‌یم
şafiîyiz,so3efo1ay||yro1,شافعی‌یز
şafi̇,so3o4efo1y,شَافی
şafi̇-i̇ haki̇m,so3o4efo1bo5u4 xo4kymo0,شَافئِ حَکیمْ
şafi’,so3efo1a,شافع
şaft,so3efo1bo2,شافت
şagird,so3eko7rd,شاگرد
şagirdan,so3eko7rdebo1,شاگردان
şah kalkmak,so3eh fo2elfo2mfo2,شاه قالقمق
şah kalkmak,so3exo1 fo2elfo2mfo2,شاخ قالقمق
şah mat,so3ehmebo2,شاهمات
şah'ı,so3ehy,شاهی
şah'ın,so3ehko3,شاهڭ
şah'ına,so3ehbo1h,شاهنه
şah,so3eh,شاه
şah,so3eh||,شاه‌
şah,so3exo1,شاخ
şah-i evliya,so3o4ehu4 eo4wo0lu4bu2o4e,شَاهِ اَوْلِيَا
şah-i evli̇ya,so3o4ehu4 eo4wo0lu4yo4e,شَاهِ اَوْلِیَا
şah-i velayet,so3o4ehu4 wo4lo4eyo4bo2o0,شَاهِ وَلَایَتْ
şah-ı evliya,so3o4ehu4 eo4wo0lu4bu2o4e,شَاهِ اَوْلِيَا
şah-ı evliya,so3o4ehu4 eo4wo0lu4yo4e,شَاهِ اَوْلِیَا
şah-ı velayet,so3o4ehu4 wo4lo4eyo4bo2o0,شَاهِ وَلَایَتْ
şah-ı,so3ehu4,شاهِ
şahab-ı,so3hebu1u4,شهابِ
şahabeddin,so3hebu1 eldybo1,شهاب الدین
şahablar,so3hebu1lr,شهابلر
şahablarla,so3hebu1lrlh,شهابلرله
şahabların,so3hebu1lrko3,شهابلرڭ
şahadet için imza koymak,so3hedbo2 eyxu3wbo1 emzo1efo2wmfo2,شهادت ایچون امضاقومق
şahadet parmağı,so3hedbo2 bu3rmao1y,شهادت پرمغی
şahadet,so3hedbo2,شهادت
şahadetname,so3hedbo2 bo1emh||,شهادت نامه‌
şahan,so3ehebo1,شاهان
şahane,so3ehebo1h,شاهانه
şahane,so3ehebo1h||,شاهانه‌
şahanede,so3ehebo1h||dh,شاهانه‌ده
şahaneden,so3ehebo1h||dbo1,شاهانه‌دن
şahanedir,so3ehebo1h||dr,شاهانه‌در
şahanenin,so3ehebo1h||bo1ko3,شاهانه‌نڭ
şahanesi,so3ehebo1h||sy,شاهانه‌سی
şahanesinden,so3ehebo1h||sbo1dbo1,شاهانه‌سندن
şahanesini,so3ehebo1h||sbo1y,شاهانه‌سنی
şahaneyi,so3ehebo1h||yy,شاهانه‌یی
şahbal,so3ehbu1el,شاهبال
şahbaz,so3ehbu1ero1,شاهباز
şahbâz,so3ehbu1ero1,شاهباز
şahdamar,so3eh tmr,شاه طمر
şahenşah,so3ehbo1so3eh||,شاهنشاه‌
şaheser,so3eh ebo3r,شاه اثر
şaheser,so3eh eo5bo3r,شاه أثر
şaheser-i,so3eh eo5bo3ru4,شاه أثرِ
şaheserdir,so3eh eo5bo3rdr,شاه أثردر
şaheseri,so3eh eo5bo3ry,شاه أثری
