Abbas_'a,abu1o8esh,عبّاسه
Abbas_'tan,abu1o8esdbo1,عبّاسدن
Abbas_'ı,abu1o8esy,عبّاسی
Abbas_'ın,abu1o8esko3,عبّاسڭ
Abbas,abu1o8es,عبّاس
Abbasi,abu1esy,عباسی
Abbasi,abu1o8esy,عبّاسی
Abbasi_ler,abu1o8esylr,عبّاسیلر
Abbasi_leri,abu1o8esylry,عبّاسیلری
Abbasiye_'nin,abu1o8esyh||bo1ko3,عبّاسیه‌نڭ
Abbasiye,abu1o8esyh,عبّاسیه
Abbasiye,abu1o8esyh||,عبّاسیه‌
Abbasiye_nin,abu1o8esyh||bo1ko3,عبّاسیه‌نڭ
Abbasiye_sini,abu1o8esyh||sbo1y,عبّاسیه‌سنی
Abbasiye_yi,abu1o8esyh||yy,عبّاسیه‌یی
Abbasî,abu1o8esy,عبّاسی
Abbasî_ler,abu1o8esylr,عبّاسیلر
Abbasî_lerin,abu1o8esylrko3,عبّاسیلرڭ
Abbâs_'ı,abu1o8esy,عبّاسی
Abbâsî,abu1o8esy,عبّاسی
Abbâsî_ler,abu1o8esylr,عبّاسیلر
Aba,abu1e,عبا
Aba,eo6bu1e,آبا
Abaca,eo6bu1exu1h,آباجه
Abacan,eo6bu1exu1ebo1,آباجان
Abacı,eo6bu1exu1y,آباجی
Abadan,eo6bu1edebo1,آبادان
Abak,abu1efo2,عباق
Abak,eo6bu1efo2,آباق
Abalıoğlu,eo6bu1ely ewao1l,آبالی اوغل
Abanozoğlu,eo6bu1ebo1wro1 ewao1ly,آبانوز اوغلی
Abasıyanık,eo6bu1esy yebo1yfo2,آباسی یانیق
Abay,eo6bu1ey,آبای
Abayhan,eo6bu1eyxo1ebo1,آبایخان
Abaza,eo6bu1ero1e,آبازا
Abazoğlu,eo6bu1ero1 ewao1ly,آباز اوغلی
Abaç,ebu1exu3,اباچ
Abbas,abu1es,عباس
Abbasoğlu,abu1es ewao1ly,عباس اوغلی
Abdal,abu1del,عبدال
Abdi,abu1dy,عبدی
Abdik,abu1dyk,عبدیک
Abdil,abu1dyl,عبدیل
Abdulaziz,abu1delaro1yro1,عبدالعزیز
Abdulhalim,abu1delxlym,عبدالحلیم
Abdulhamid,abu1delxmyd,عبدالحمید
Abdulhamit,abu1delxmyd,عبدالحمید
Abdullah,abu1dellh,عبدالله
Abdullatif,abu1delltyfo1,عبداللطیف
Abdurrahman,abu1delrxmbo1,عبدالرحمن
Abdülazim,abu1delato1ym,عبدالعظیم
Abdülaziz,abu1delaro1yro1,عبدالعزیز
Abdülbaki,abu1delbu1efo2y,عبدالباقی
Abdülbari,abu1delbu1ery,عبدالباری
Abdülbasir,abu1delbu1ezyr,عبدالباصیر
Abdülbasit,abu1delbu1esyt,عبدالباسیط
Abdülcabbar,abu1delxu1bu1er,عبدالجبار
Abdülcebbar,abu1delxu1bu1er,عبدالجبار
Abdülcelil,abu1delxu1lyl,عبدالجلیل
AbdülcemAl,abu1delxu1mel,عبدالجمال
Abdülcevat,abu1delxu1wed,عبدالجواد
Abdülezel,abu1del ero1l,عبدال ازل
Abdülferit,abu1delfo1ryd,عبدالفرید
Abdülfettah,abu1delfo1bo2ex,عبدالفتاح
Abdülgaffar,abu1delao1fo1er,عبدالغفار
Abdülgaffur,abu1delao1fo1wr,عبدالغفور
Abdülgafur,abu1delao1fo1wr,عبدالغفور
Abdülgani,abu1delao1bo1y,عبدالغنی
Abdülhadi,abu1delhedy,عبدالهادی
Abdülhak,abu1delxfo2,عبدالحق
Abdülhakim,abu1delxkym,عبدالحکیم
Abdülhalik,abu1delxo1elfo2,عبدالخالق
Abdülhalim,abu1delxlym,عبدالحلیم
Abdülhamit,abu1delxmyd,عبدالحمید
Abdülhamitoğlu,abu1d elxmyd ewao1ly,عبد الحمید اوغلی
Abdülkadir,abu1delfo2dyr,عبدالقدیر
Abdülkahhar,abu1delfo2her,عبدالقهار
Abdülkerim,abu1delkrym,عبدالکریم
Abdüllatif,abu1delltyfo1,عبداللطیف
Abdüllâtif,abu1delltyfo1,عبداللطیف
Abdülmecit,abu1delmxu1yd,عبدالمجید
Abdülmelik,abu1delmlyk,عبدالملیک
Abdülmennan,abu1delmbo1ebo1,عبدالمنان
Abdülmetin,abu1delmbo2ybo1,عبدالمتین
Abdülnasır,abu1delbo1ezr,عبدالناصر
Abdülvahap,abu1delwhebu1,عبدالوهاب
Abdülvahit,abu1delwexd,عبدالواحد
Abdülâlim,abu1delaelm,عبدالعالم
Abdürrahim,abu1delrxym,عبدالرحیم
Abdürrahman,abu1delrxmbo1,عبدالرحمن
Abdürrauf,abu1delrwfo1,عبدالروف
Abdürrezzak,abu1delrro1efo2,عبدالرزاق
Abdürreşit,abu1delrso3yd,عبدالرشید
Abdüssamet,abu1delzmd,عبدالصمد
Abdüssami,abu1delsemy,عبدالسامی
Abdüsselâm,abu1delslem,عبدالسلام
Abdüssemi,abu1delsmya,عبدالسمیع
Abdüssettar,abu1delsbo2er,عبدالستار
Abdüzzeki,abu1deldo1ky,عبدالذکی
Abgül,eo6bu1ko7wl,آبگول
Abher,abu1hr,عبهر
Abid,aebu1d,عابد
Abide,aebu1dh,عابده
Abide,eo6bu1dh,آبده
Abidin,aebu1dybo1,عابدین
Abidinoğlu,aebu1dybo1 ewao1ly,عابدین اوغلی
Abiha,eo6bu1yxh,آبیحه
Abil,eo6bu1l,آبل
Abir,aebu1r,عابر
Abit,aebu1d,عابد
Abiye,eo6bu1yh,آبیه
Ablak,ebu1lefo2,ابلاق
Ablum,eo6bu1lwm,آبلوم
Abraş,eo6bu1reso3,آبراش
Abruy,eo6bu1rwy,آبروی
Abuzer,ebu1wdo1r,ابوذر
Abuşka,ebu1wso3fo2h,ابوشقه
Abıhayat,eo6bu1 xyebo2,آب حیات
Abır,aebu1r,عابر
Abıru,eo6bu1yrw,آبیرو
Acabey,exu1ebu1k,اجابک
Acahan,exu1exo1ebo1,اجاخان
Acar,eo6xu1er,آجار
Acara,eo6xu1erh,آجاره
Acaralp,exu1ereo6lbu3,اجارآلپ
Acarbay,eo6xu1erbu1ey,آجاربای
Acarbegüm,eo6xu1erbu1ko7wm,آجاربگوم
Acarbey,exu1erbu1ko7,اجاربگ
Acarbike,eo6xu1erbu1ykh,آجاربیکه
Acarbüke,eo6xu1erbu1wkh,آجاربوکه
Acarer,exu1erer,اجارار
Acarhatun,eo6xu1erxo1ebo2wbo1,آجارخاتون
Acarkan,eo6xu1erfo2bo1,آجارقن
Acarkatun,eo6xu1erfo2ebo2wbo1,آجارقاتون
Acarman,exu1ermebo1,اجارمان
Acarsoy,eo6xu1rzwy,آجرصوی
Acartürk,eo6xu1erbo2wrk,آجارتورک
Acaröz,exu1erwro1,اجاروز
Acatay,exu1ebo2ey,اجاتای
Acem,axu1m,عجم
Acemistân,axu1msbo2ebo1,عجمستان
Aclan,eo6xu1lebo1,آجلان
Acun,eo6xu1wbo1,آجون
Acunal,eo6xu1wbo1el,آجونال
Acunalp,eo6xu1wbo1 eo6lbu3,آجون آلپ
Acunbegim,eo6xu1wbo1bu1ko7ym,آجونبگیم
Acunbegüm,eo6xu1wbo1bu1ko7wm,آجونبگوم
Acunbike,eo6xu1wbo1bu1kh,آجونبکه
Acunbüke,eo6xu1wbo1bu1wkh,آجونبوکه
Acuner,eo6xu1wbo1 eo5r,آجون أر
Acungüneş,eo6xu1wbo1ko7wbo1so3,آجونگونش
Acunman,eo6xu1wbo1mebo1,آجونمان
Acunseven,eo6xu1wbo1swbo1,آجونسون
Acunışık,eo6xu1wbo1 eyso3yfo2,آجون ایشیق
Acıdaş,exu1ydeso3,اجیداش
Ada,eo6th,آطه
Adahan,eth xo1ebo1,اطه خان
Adak,eo6defo2,آداق
Adakan,eo6defo2ebo1,آداقان
Adal,azo1l,عضل
Adal,eo6del,آدال
Adal,ezo1l,اضل
Adalan,eo6tlh ko3,آطله ڭ
Adalet,adelbo2,عدالت
Adalı,azo1ly,عضلی
Adalı,eo6dely,آدالی
Adamış,eo6demyso3,آدامیش
Adan,eo6debo1,آدان
Adana,eo6tbo1h,آطنه
Adanır,eo6debo1yr,آدانیر
Adapazarı,eo6th||bu3ero1ery,آطه‌پازاری
Adar,eo6der,آدار
Adasal,eo6th sel,آطه سال
Adato,eo6tebo2w,آطاتو
Aday,edey,ادای
Adaş,eo6deso3,آداش
Adem,adm,عدم
Adem,eo6dm,آدم
Ademoğlu,eo6dm ewao1ly,آدم اوغلی
Adeviye,adwyh,عدویه
Adil,aedl,عادل
Adile,adylh,عدیله
Adilhan,aedlxo1ebo1,عادلخان
Adin,adybo1,عدین
Adin,eo6dybo1,آدین
Adlan,eo6dlebo1,آدلان
Adli,adly,عدلی
Adlı,eo6dly,آدلی
Adlığ,eo6dlyao1,آدلیغ
Adnan,adbo1ebo1,عدنان
Adni,adbo1y,عدنی
Adniye,adbo1yh,عدنیه
Adsoy,eo6dzwy,آدصوی
Adsız,eo6dsro1,آدسز
Adviye,adwyh,عدویه
Adıbelli,eo6dy bu1ly,آدی بلی
Adıgün,eo6dykwbo1,آدیکون
Adıgüzel,eo6dy ko7wro1l,آدی گوزل
Adın,eo6dbo1,آدن
Adın,eo6dko3,آدڭ
Adısanlı,eo6dy zebo1ly,آدی صانلی
Adısönmez,eo6dy swbo1mro1,آدی سونمز
Adıvar,eo6dy wer,آدی وار
Adıvar,eo6dywer,آدیوار
Adıyahşi,eo6dy yxo1so3y,آدی یخشی
Adıyaman,eo6dy bu2emebo1,آدی يامان
Adıyaman,eo6dyyemebo1,آدییامان
