
Baba,bu1ebu1e,بابا
Bababalım,bu1ebu1ebu1elym,بابابالیم
Babacan,bu1ebu1exu1ebo1,باباجان
Babaeski,bu1ebu1eesky,بابااسکی
Baban,bu1ebu1eko3,باباڭ
Babaoğlu,bu1ebu1e ewao1ly,بابا اوغلی
Babayiğit,bu1ebu1eyyko7ybo2,باباییگیت
Babaç,bu1ebu1exu3,باباچ
Babuşçu,bu1ebu1wso3xu1y,بابوشجی
Babür,bu1ebu1wr,بابور
Babürşah,bu1ebu1wrso3eh,بابورشاه
Bacak,bu1exu1efo2,باجاق
Bacanak,bu1exu1ebo1efo2,باجاناق
Bacanlı,bu1exu1ebo1ly,باجانلی
Bacı,bu1exu1y,باجی
Badak,bu1edefo2,باداق
Bade,bu1edh,باده
Badegül,bu1edh ko7l,باده گل
Badiye,bu1edyh,بادیه
Badıllı,bu1edlly,بادللی
Bafra,bu1efo1re,بافرا
Baha,bu1he,بها
Bahadınlı,bu1hedbo1ly,بهادنلی
Bahadır,bu1hedr,بهادر
Bahadırhan,bu1hedrxo1ebo1,بهادرخان
Bahai,bu1hebo5y,بهائی
Bahar,bu1her,بهار
Bahattin,bu1heceldybo1,بهاءالدین
Bahir,bu1xr,بحر
Bahise,bu1xybo3h,بحیثه
Bahri,bu1xry,بحری
Bahriye,bu1xryh,بحریه
Bahti,bu1xbo2y,بحتی
Bahtiyar,bu1xo1bo2yer,بختیار
Bahtınur,bu1xbo2y bo1wr,بحتی نور
Bahtıser,bu1xbo2ysr,بحتیسر
Bahtışen,bu1xbo2y so3bo1,بحتی شن
Bahçeci,bu1eao1xu3h xu1y,باغچه جی
Bahçekapılı,bu1eao1xu3h fo2bu3yly,باغچه قپیلی
Bahçeli,bu1eao1xu3h ly,باغچه لی
Bahşı,bu1xo1so3y,بخشی
Bak,bu1efo2,باق
Bakanay,bu1efo2ebo1ey,باقانای
Bakay,bu1efo2ey,باقای
Bakbak,bu1efo2bu1efo2,باقباق
Baki,bu1efo2y,باقی
Bakinaz,bu1efo2y bo1ero1,باقی ناز
Bakiye,bu1efo2yh,باقیه
Bakiye,bu1fo2yh,بقیه
Bakiçelebioğlu,bu1efo2y xu3lbu1y ewao1ly,باقی چلبی اوغلی
Bakkal,bu1fo2el,بقال
Baksı,bu1efo2zy,باقصی
Baktır,bu1efo2dyr,باقدیر
Bakü,bu1ekw,باکو
Bakır,bu1efo2r,باقر
Bakırhan,bu1efo2rxo1ebo1,باقرخان
Bakırköy,bu1efo2rkwy,باقرکوی
Bakırlı,bu1efo2rly,باقرلی
Bakşık,bu1efo2so3yfo2,باقشیق
Bal,bu1el,بال
Balaban,bu1elebu1ebo1,بالابان
Balak,bu1lfo2,بلق
Balaman,bu1elemebo1,بالامان
Balamir,bu1elemyr,بالامیر
Balan,bu1elebo1,بالان
Balatekin,bu1elebo2kybo1,بالاتکین
Balatürk,bu1elebo2wrk,بالاتورک
Balaz,bu1elero1,بالاز
Balbal,bu1elbu1el,بالبال
Balbay,bu1elbu1ey,بالبای
Balbey,bu1elbu1ko7,بالبگ
Balca,bu1elxu1h,بالجه
Balcan,bu1elxu1ebo1,بالجان
Balcı,bu1elxu1y,بالجی
Balcılar,bu1elxu1ylr,بالجیلر
Baldan,bu1eldebo1,بالدان
Baldemir,bu1eldmyr,بالدمیر
Baler,bu1elr,بالر
Balhan,bu1elxo1ebo1,بالخان
Balibey,bu1ely bu1ko7,بالی بگ
Balk,bu1elfo2,بالق
Balkan,bu1elfo2bo1,بالقن
Balkan,bu1elfo2ebo1,بالقان
Balkoç,bu1elfo2wxu3,بالقوچ
Balkı,bu1elfo2y,بالقی
Balkın,bu1elfo2ybo1,بالقین
Balkır,bu1elfo2yr,بالقیر
Balkıs,bu1elfo2yro1,بالقیز
Balkız,bu1elfo2yro1,بالقیز
Balkış,bu1elfo2yso3,بالقیش
Ballı,bu1elly,باللی
Baloğlu,bu1el ewao1ly,بال اوغلی
Balsan,bu1elsebo1,بالسان
Balsarı,bu1elzery,بالصاری
Balta,bu1elth,بالطه
Baltacıoğlu,bu1elth xu1y ewao1ly,بالطه جی اوغلی
Baltaş,bu1eltso3,بالطش
Baluken,bu1elwkbo1,بالوکن
Balya,bu1elyh,بالیه
Balyalı,bu1elyh ly,بالیه لی
Balâ,bu1ele,بالا
Balâbey,bu1elebu1ko7,بالابگ
Balı,bu1ely,بالی
Balıbaş,bu1elybu1eso3,بالیباش
Balıbey,bu1ely bu1ko7,بالی بگ
Balık,bu1elyfo2,بالیق
Balıkesir,bu1elyksr,بالیکسر
Balım,bu1elm,بالم
Balım,bu1elym,بالیم
Balın,bu1elybo1,بالین
Balşeker,bu1elso3kr,بالشکر
Bandak,bu1ebo1defo2,بانداق
Bandırma,bu1ebo1dyrmh,باندیرمه
Bangu,bu1ebo1ao1w,بانغو
Banguoğlu,bu1ebo1ao1w ewao1ly,بانغو اوغلی
Banu,bu1ebo1w,بانو
Banuhan,bu1ebo1wxo1ebo1,بانوخان
Barak,bu1erefo2,باراق
Baran,bu1erebo1,باران
Baranalp,bu1erebo1 eo6lbu3,باران آلپ
Baranbilge,bu1erebo1 bu1ylko7h,باران بیلگه
Baransel,bu1erebo1sl,بارانسل
Baratalı,bu1erebo2ely,باراتالی
Baray,bu1erey,بارای
Barbaros,bu1erbu1erws,بارباروس
Bardakçı,bu1erdefo2xu1y,بارداقجی
Baria,bu1eryh,باریه
Barik,bu1erk,بارک
Barika,bu1erfo2h,بارقه
Bariz,bu1eryro1,باریز
Barkan,bu1erfo2ebo1,بارقان
Barkın,bu1erfo2ybo1,بارقین
Barlas,bu1erles,بارلاس
Barlık,bu1erlfo2,بارلق
Bars,bu1ers,بارس
Barsbay,bu1ersbu1ey,بارسبای
Barsbey,bu1ersbu1ko7,بارسبگ
