
Cabbar,xu1bu1er,جبار
Cabir,xu1ebu1r,جابر
Cafer,xu1afo1r,جعفر
Cahide,xu1ehdh,جاهده
Cahit,xu1ehd,جاهد
Cahit,xu1exd,جاحد
Caize,xu1ebo5ro1h,جائزه
Calibe,xu1elybu1h,جالیبه
Calp,xu1elbu3,جالپ
Can,xu1ebo1,جان
Cana,xu1ebo1h,جانه
Canal,xu1ebo1el,جانال
Canalioğlu,xu1ebo1 aly ewao1ly,جان علی اوغلی
Canalp,xu1ebo1 eo6lbu3,جان آلپ
Canaltay,xu1ebo1elbo2ey,جانالتای
Canan,xu1ebo1ebo1,جانان
Canane,xu1ebo1ebo1h,جانانه
Canat,xu1ebo1 eo6bo2,جان آت
Canatan,xu1ebo1ebo2ebo1,جاناتان
Canay,xu1ebo1ey,جانای
Canaydın,xu1ebo1 eo6ydybo1,جان آیدین
Canaş,xu1ebo1eso3,جاناش
Canbay,xu1ebo1 bu1ey,جان بای
Canbay,xu1ebo1bu1ey,جانبای
Canbek,xu1ebo1 bu1k,جان بک
Canberk,xu1ebo1 bu1rfo2,جان برق
Canbey,xu1ebo1 bu1ko7,جان بگ
Canbolat,xu1ebo1 bu1wled,جان بولاد
Canbolat,xu1ebo1bu1wled,جانبولاد
Canbulat,xu1ebo1 bu1wled,جان بولاد
Canbulat,xu1ebo1bu1wled,جانبولاد
Canda,xu1ebo1dh,جانده
Candan,xu1ebo1debo1,جاندان
Candaner,xu1ebo1debo1 eo5r,جاندان أر
Candaner,xu1ebo1debo1r,جاندانر
Candar,xu1ebo1der,جاندار
Candaş,xu1ebo1deso3,جانداش
Candemir,xu1ebo1 dmyr,جان دمیر
Candeğer,xu1ebo1 dko7r,جان دگر
Candoğan,xu1ebo1twao1ebo1,جانطوغان
Canel,xu1ebo1l,جانل
Caner,xu1ebo1r,جانر
Canfeda,xu1ebo1fo1de,جانفدا
Canfer,xu1ebo1fo1r,جانفر
Canfes,xu1ebo1fo1s,جانفس
Canfeza,xu1ebo1fo1zo1e,جانفضا
Canfidan,xu1ebo1fo1debo1,جانفدان
Canfide,xu1ebo1fo1dh,جانفده
Cangiray,xu1ebo1ko7yrey,جانگیرای
Cangül,xu1ebo1ko7l,جانگل
Cangün,xu1ebo1ko7wbo1,جانگون
Cangür,xu1ebo1ko7wr,جانگور
Canhanım,xu1ebo1xo1ebo1m,جانخانم
Canik,xu1ebo1yk,جانیک
Canikli,xu1ebo1kly,جانکلی
Canip,xu1ebo1bu1,جانب
Canipek,xu1ebo1 eybu3k,جان ایپک
Cankan,xu1ebo1fo2ebo1,جانقان
Cankat,xu1ebo1fo2ebo2,جانقات
Cankaya,xu1ebo1fo2eyh,جانقایه
Cankorur,xu1ebo1fo2wrwr,جانقورور
Cankoç,xu1ebo1fo2wxu3,جانقوچ
Cankurt,xu1ebo1fo2wrbo2,جانقورت
Cankurtaran,xu1ebo1 fo2wrbo2erebo1,جان قورتاران
Cankut,xu1ebo1fo2wbo2,جانقوت
Cankılıç,xu1ebo1fo2ylyxu3,جانقیلیچ
Cankız,xu1ebo1fo2yro1,جانقیز
Cannur,xu1ebo1 bo1wr,جان نور
Canol,xu1ebo1wl,جانول
Canperver,xu1ebo1bu3rwr,جانپرور
Canpolat,xu1ebo1 bu3wled,جان پولاد
Canrüba,xu1ebo1rwbu1e,جانروبا
Cansal,xu1ebo1sel,جانسال
Cansay,xu1ebo1zey,جانصای
Cansel,xu1ebo1sl,جانسل
Cansen,xu1ebo1sbo1,جانسن
Canser,xu1ebo1sr,جانسر
Canses,xu1ebo1ss,جانسس
Cansev,xu1ebo1sw,جانسو
Canseven,xu1ebo1swbo1,جانسون
Cansever,xu1ebo1swr,جانسور
Cansoy,xu1ebo1zwy,جانصوی
Cansu,xu1ebo1zw,جانصو
Cansun,xu1ebo1zwbo1,جانصون
Cansunar,xu1ebo1zwbo1er,جانصونار
Cansunay,xu1ebo1zwbo1ey,جانصونای
Cansuner,xu1ebo1zwbo1r,جانصونر
Cansın,xu1ebo1zybo1,جانصین
Cantaş,xu1ebo1teso3,جانطاش
Cantekin,xu1ebo1bo2kybo1,جانتکین
Canten,xu1ebo1bo2bo1,جانتن
Cantez,xu1ebo1bo2ro1,جانتز
Cantürk,xu1ebo1 bo2wrk,جان تورک
Canuyar,xu1ebo1wyer,جانویار
Canver,xu1ebo1wr,جانور
Canver,xu1ebo1wyr,جانویر
Canyurt,xu1ebo1ywrd,جانیورد
Canören,xu1ebo1 ewrbo1,جان اورن
Canöz,xu1ebo1wro1,جانوز
Canözen,xu1ebo1 ewro1bo1,جان اوزن
Canözlem,xu1ebo1 ewro1lm,جان اوزلم
Canıpek,xu1ebo1ybu1k,جانیبک
Canıtez,xu1ebo1y bo2ro1,جانی تز
Caran,xu1erebo1,جاران
Carim,xu1erym,جاریم
Cartı,xu1erdy,جاردی
Carullah,xu1erellh,جارالله
Carım,xu1erym,جاریم
Cavidan,xu1ewdebo1,جاودان
Cavit,xu1ewd,جاود
Cavlı,xu1ewly,جاولی
Cavuldur,xu1ewwldwr,جاوولدور
Cavus,xu1ews,جاوس
Caymaz,xu1eymero1,جایماز
Cazibe,xu1ero1ybu1h,جازیبه
Cazim,xu1ero1m,جازم
Cazip,xu1ero1ybu3,جازیپ
Cebbar,xu1bu1er,جبار
Cebe,xu1bu1h,جبه
Cebealp,xu1bu1h eo6lbu3,جبه آلپ
Cebeci,xu1bu1h xu1y,جبه جی
Cebelibereket,xu1bu1l bu1rkbo2,جبل برکت
Ceben,xu1bu1bo1,جبن
Cebesoy,xu1bu1h zwy,جبه صوی
Cebrail,xu1bu1rebo5yl,جبرائیل
Cebrâil,xu1bu1rebo5bu2l,جبرائيل
Cedide,xu1dydh,جدیده
Cefa,xu1fo1e,جفا
CelAl,xu1lel,جلال
Celayır,xu1leyr,جلایر
Celil,xu1lyl,جلیل
Celilay,xu1lyley,جلیلای
Celile,xu1lylh,جلیله
Celâdet,xu1ledbo2,جلادت
Celâl,xu1lel,جلال
Celâlettin,xu1lel eldybo1,جلال الدین
Celâli,xu1elely,جالالی
Celâsun,xu1lezwbo1,جلاصون
Celâyir,xu1leyyr,جلاییر
Cem,xu1m,جم
Cem,xu1ma,جمع
Cemalcılar,xu1melxu1ylr,جمالجیلر
Cemaleddin,xu1mel eldybo1,جمال الدین
Cemalettin,xu1mel eldybo1,جمال الدین
Cemalullah,xu1mel ellh,جمال الله
Cemi,xu1mya,جمیع
Cemil,xu1myl,جمیل
Cemile,xu1mylh,جمیله
Ceminur,xu1mybo1wr,جمینور
Cemre,xu1mrh,جمره
Cemşah,xu1mso3eh,جمشاه
Cemşir,xu1mso3yr,جمشیر
Cemşit,xu1mso3yd,جمشید
Cenan,xu1bo1ebo1,جنان
Cenani,xu1bo1ebo1y,جنانی
Cenap,xu1bo1ebu1,جناب
Cenger,xu1bo1ko7r,جنگر
Cengil,xu1bo1ko7yl,جنگیل
Cengiz,xu1bo1ko7yro1,جنگیز
Cengizhan,xu1bo1ko7yro1xo1ebo1,جنگیزخان
Cengâver,xu1bo1ko7ewr,جنگاور
Cenk,xu1bo1k,جنک
Cenker,xu1bo1keo5r,جنکأر
Cenker,xu1bo1kr,جنکر
Cenkçiler,xu1bo1kxu3ylr,جنکچیلر
Cennet,xu1bo1bo2,جنت
Ceran,xu1rebo1,جران
Cerci,xu1rxu1y,جرجی
Ceren,xu1rbo1,جرن
Cerit,xu1rbo5ybo2,جرئیت
Cerit,xu1ryd,جرید
Ceritoğlu,xu1rbo5ybo2 ewao1ly,جرئیت اوغلی
Cerrahoğlu,xu1rex ewao1ly,جراح اوغلی
Cerullah,xu1rellh,جرالله
Cesim,xu1sym,جسیم
Cesur,xu1swr,جسور
Cevahir,xu1wehr,جواهر
Cevat,xu1wed,جواد
Cevdet,xu1wdbo2,جودت
Cevher,xu1whr,جوهر
Cevheri,xu1whry,جوهری
Cevri,xu1wry,جوری
Cevriye,xu1wryyh,جورییه
Cevval,xu1wel,جوال
Cevza,xu1wro1e,جوزا
Ceyda,xu1yde,جیدا
Ceydahan,xu1ydexo1ebo1,جیداخان
Ceyhan,xu1yxebo1,جیحان
Ceyhun,xu1yxo1wbo1,جیخون
Ceyhun,xu1yxwbo1,جیحون
Ceylan,xu1ylebo1,جیلان
Ceylân,xu1ylebo1,جیلان
Cezaroğlu,xu1ro1er ewao1ly,جزار اوغلی
Cezayir,xu1ro1eyr,جزایر
Cezlân,xu1ro1lebo1,جزلان
Cezmi,xu1ro1my,جزمی
Cezâyir,xu1ro1eyr,جزایر
Cibril,xu1bu1ryl,جبریل
Cide,xu1ydh,جیده
Ciguli,xu1yao1wly,جیغولی
Cihan,xu1hebo1,جهان
Cihanbanu,xu1hebo1 bu1ebo1w,جهان بانو
Cihanbeyli,xu1hebo1||bu1ko7ly,جهان‌بگلی
Cihandar,xu1hebo1der,جهاندار
Cihandide,xu1hebo1dydh,جهاندیده
