
Dadak,dedefo2,داداق
Daday,dedey,دادای
Daday,tetey,طاطای
Dadaş,dedeso3,داداش
Dai,deay,داعی
Daim,debo5m,دائم
Daime,debo5mh,دائمه
Dal,del,دال
Dalaman,delemebo1,دالامان
Dalan,delebo1,دالان
Dalan,dlebo1,دلان
Dalar,deler,دالار
Dalay,deley,دالای
Dalayer,deleyr,دالایر
Dalbaş,delbu1eso3,دالباش
Dalboğa,delbu1wao1h,دالبوغه
Dalbudak,delbu1wdefo2,دالبوداق
Dalda,deldh,دالده
Daldal,deldel,دالدال
Daldiken,deldykbo1,دالدیکن
Dalgıç,delao1yxu3,دالغیچ
Dalkoç,delfo2wxu3,دالقوچ
Dalkılıç,delfo2ylyxu3,دالقیلیچ
Dalkıran,delfo2yrebo1,دالقیران
Dallı,delly,داللی
Dalman,delmebo1,دالمان
Dalokay,delwfo2ey,دالوقای
Daltekin,delbo2kybo1,دالتکین
Dalyan,delyebo1,دالیان
Dalım,delym,دالیم
Damalı,demely,دامالی
Damar,demer,دامار
Damar,temer,طامار
Damla,demlh,دامله
Damla,tmlh,طمله
Danimarka,debo1ymerfo2h,دانیمارقه
Danimarkalı,debo1ymerfo2h||ly,دانیمارقه‌لی
Daniş,debo1so3,دانش
Danişment,debo1so3mbo1d,دانشمند
Danyal,debo1yel,دانیال
Danış,debo1so3,دانش
Danışman,debo1so3mebo1,دانشمان
Dara,dere,دارا
Darcan,derxu1ebo1,دارجان
Darendelioğlu,derbo1dh ly ewao1ly,دارنده لی اوغلی
Darga,derao1h,دارغه
Darman,dermebo1,دارمان
Davas,tewes,طاواس
Daver,dewr,داور
Davran,dewrebo1,داوران
Davut,dewd,داود
Davutoğlu,dewd ewao1ly,داود اوغلی
Day,dey,دای
Daya,deyh,دایه
Dayahatun,deyh xo1ebo2wbo1,دایه خاتون
Dayanç,deyebo1xu3,دایانچ
Dayanıklı,teyebo1fo2ly,طایانقلی
Dayar,deyer,دایار
Daye,deyh,دایه
Daylak,deylefo2,دایلاق
Dayı,deyy,دایی
Dayıbaş,deyybu1eso3,داییباش
Dayıoğlu,deyy ewao1ly,دایی اوغلی
Daçe,dexu3h,داچه
Dağ,deao1,داغ
Dağ,teao1,طاغ
Dağa,deao1h,داغه
Dağaşan,deao1eso3ebo1,داغاشان
Dağaşan,teao1eso3ebo1,طاغاشان
Dağcı,deao1xu1y,داغجی
Dağcı,teao1xu1y,طاغجی
Dağcıoğlu,deao1xu1y ewao1ly,داغجی اوغلی
Dağcıoğlu,teao1xu1y ewao1ly,طاغجی اوغلی
Dağdaş,deao1deso3,داغداش
Dağdelen,deao1dlbo1,داغدلن
Dağdelen,teao1dlbo1,طاغدلن
Dağdemir,deao1dmyr,داغدمیر
Dağdemir,teao1dmyr,طاغدمیر
Dağhan,deao1xo1ebo1,داغخان
Dağhan,teao1xo1ebo1,طاغخان
Dağlarca,teao1lrxu1h,طاغلرجه
Dağlı,deao1ly,داغلی
Dağlıoğlu,teao1ly ewao1ly,طاغلی اوغلی
Dağoğlu,deao1 ewao1ly,داغ اوغلی
Dağtekin,deao1bo2kybo1,داغتکین
Dağtekin,teao1bo2kybo1,طاغتکین
Dağyar,deao1yer,داغیار
Dağı,deao1y,داغی
Dağıstan,deao1sbo2ebo1,داغستان
Dağıstanlı,deao1sbo2ebo1ly,داغستانلی
Dağıstanlı,teao1sbo2ebo1ly,طاغستانلی
Daşöz,deso3wro1,داشوز
Deccal,dxu1el,دجال
Dede,ddh,دده
Dedegil,ddh ko7yl,دده گیل
Dedekargınoğlu,ddh fo2erao1ybo1 ewao1ly,دده قارغین اوغلی
Dedelek,ddh lk,دده لک
Dedeoğlu,ddh ewao1ly,دده اوغلی
Define,dfo1ybo1h,دفینه
Defne,dfo1bo1h,دفنه
Deha,dhe,دها
Dehan,dhebo1,دهان
Dehri,dhry,دهری
Delice,dlyxu1h,دلیجه
Deliceoğlu,dlyxu1h ewao1ly,دلیجه اوغلی
Delikan,dlyfo2ebo1,دلیقان
Delikanlı,dlyfo2ebo1ly,دلیقانلی
Delikaya,dlyfo2eye,دلیقایا
Deliktaş,dlykteso3,دلیکطاش
Delilbaşı,dlylbu1eso3y,دلیلباشی
Dellaloğlu,dlel ewao1ly,دلال اوغلی
Delâl,dlel,دلال
Demet,dmbo2,دمت
Demhoş,dmxo1wso3,دمخوش
Demir,dmyr,دمیر
Demiralay,dmyreo6ley,دمیرآلای
Demiralp,dmyreo6lbu3,دمیرآلپ
Demiray,dmyreo6y,دمیرآی
Demirağ,dmyreao1,دمیراغ
Demirağ,dmyreo6ao1,دمیرآغ
Demirbağ,dmyrbu1eao1,دمیرباغ
Demirbaş,dmyrbu1eso3,دمیرباش
Demirbilek,dmyrbu1ylk,دمیربیلک
Demirboğa,dmyrbu1wao1h,دمیربوغه
