
Ebecen,ebu1h xu1bo1,ابه جن
Ebed,ebu1d,ابد
Ebet,ebu1d,ابد
Ebrak,ebu1refo2,ابراق
Ebrişimoğlu,ebu1rso3ym ewao1ly,ابرشیم اوغلی
Ebru,ebu1rw,ابرو
Ebubekir,ebu1w bu1kr,ابو بکر
Ebuzziya,eo5bu1w elzo1yec,أبو الضیاء
Ebüzziya,ebu1w elzo1ye,ابو الضیا
Ece,exu1h,اجه
Eceabat,eo5xu1h||eo6bu1ed,أجه‌آباد
Ecebay,exu1h bu1ey,اجه بای
Ecebey,exu1h bu1ko7,اجه بگ
Ecegül,exu1h ko7l,اجه گل
Ecehan,exu1h xo1ebo1,اجه خان
Ecekan,exu1h fo2ebo1,اجه قان
Ecemiş,exu1h myso3,اجه میش
Ecenur,exu1h bo1wr,اجه نور
Ecer,eo5xu1r,أجر
Ecer,exu1r,اجر
Ecevit,exu1wybo2,اجویت
Ecevit,exu1wyd,اجوید
Ecir,exu1r,اجر
Ecmel,exu1ml,اجمل
Ecvet,exu1wbo2,اجوت
Eda,ede,ادا
Edadil,ededl,ادادل
Edagül,edeko7l,اداگل
Ede,edh,اده
Edes,eo5ds,أدس
Edgü,edko7w,ادگو
Edgüalp,edko7weo6lbu3,ادگوآلپ
Edgübay,edko7wbu1ey,ادگوبای
Edgüer,edko7w eo5r,ادگو أر
Edgüer,edko7weo5r,ادگوأر
Edgükan,edko7wfo2ebo1,ادگوقان
Edhem,edhm,ادهم
Edibali,edh bu1ely,اده بالی
Edibali,edybu1 aly,ادیب علی
Edibe,edybu1h,ادیبه
Ediboğlu,edybu1 ewao1ly,ادیب اوغلی
Edip,edybu1,ادیب
Edirne,edrbo1h,ادرنه
Edis,edyro1,ادیز
Ediz,edyro1,ادیز
Edremit,edrmyd,ادرمید
Efdal,efo1del,افدال
Efe,efo1h,افه
Efekan,efo1h fo2ebo1,افه قان
Efendi,efo1bo1dy,افندی
Efendi,eo5fo1bo1dy,أفندی
Efeoğlu,efo1h ewao1ly,افه اوغلی
Efgan,efo1ao1ebo1,افغان
Efgen,efo1ko7bo1,افگن
Efgende,efo1ko7bo1dh,افگنده
Efkâr,efo1ker,افکار
Eflatun,eo5fo1letwbo1,أفلاطون
Eflâk,efo1lefo2,افلاق
Eflâtun,efo1letwbo1,افلاطون
Efnan,efo1bo1ebo1,افنان
Efrasiyap,efo1resyebu1,افراسیاب
Efruz,efo1rwro1,افروز
Efser,efo1sr,افسر
Efsun,efo1swbo1,افسون
Efza,efo1ro1e,افزا
Ege,eko7h,اگه
Egemen,eko7h mbo1,اگه من
Egenur,eko7h bo1wr,اگه نور
Egesel,eko7h sl,اگه سل
Ehad,eo5xd,أحد
Ehed,exd,احد
Ehil,ehl,اهل
Ehlimen,ehlmbo1,اهلمن
Ehrimen,ehrbu2mbo1,اهريمن
Ejder,ero3dr,اژدر
Ejderhan,ero3drxo1ebo1,اژدرخان
Ekber,ekbu1r,اکبر
Eke,ekh,اکه
Ekemen,ekh mbo1,اکه من
Eken,ekbo1,اکن
Eken,eo5kbo1,أکن
Ekenel,ekbo1l,اکنل
Ekener,ekbo1r,اکنر
Eker,eo5kr,أکر
Ekici,eo5kyxu1y,أکیجی
Ekim,ekym,اکیم
Ekin,ekybo1,اکین
Ekinci,ekybo1xu1y,اکینجی
Ekiner,ekybo1r,اکینر
Ekmel,ekml,اکمل
Ekmen,ekmbo1,اکمن
Ekmen,ekmh ko3,اکمه ڭ
Ekrem,ekrm,اکرم
Ekren,eo5krbo1,أکرن
Ekşi,eo5kso3y,أکشی
Elaldı,el eo6ldy,ال آلدی
Elbek,elbu1k,البک
Elbeyi,elbu1ko7y,البگی
Elbirle,elbu1yrlh,البیرله
Elbirlik,elbu1rlk,البرلک
Elbistan,elbu1sbo2ebo1,البستان
Eldem,eldm,الدم
Eldem,eo5ldh m,ألده م
Eldemir,eldmyr,الدمیر
Eldeniz,eo5ldko3ro1,ألدڭز
Elekdağ,eo5lkdeao1,ألکداغ
Eler,eo5lr,ألر
Eleşkirt,elso3krd,الشکرد
Elfaz,elfo1eto1,الفاظ
