
Fadik,fo1edk,فادک
Fadile,fo1ezo1lh,فاضله
Fadim,fo1etm,فاطم
Fadime,fo1etmh,فاطمه
Fadıl,fo1ezo1l,فاضل
Fadıla,fo1ezo1lh,فاضله
Fahim,fo1exm,فاحم
Fahime,fo1ehmh,فاهمه
Fahime,fo1xo1ymh,فخیمه
Fahir,fo1exo1r,فاخر
Fahire,fo1exo1rh,فاخره
Fahreddin,fo1xo1r eldybo1,فخر الدین
Fahrettin,fo1xo1reldybo1,فخرالدین
Fahri,fo1xo1ry,فخری
Fahriye,fo1xo1ryh,فخریه
Fahrünnisa,fo1xr elbo1se,فحر النسا
Faik,fo1ebo5fo2,فائق
Faika,fo1ebo5fo2h,فائقه
Faiz,fo1ebo5zo1,فائض
Faize,fo1ebo5ro1h,فائزه
Fakaçelli,fo1efo2exu3lly,فاقاچللی
Fakih,fo1ekh,فاکه
Fakih,fo1fo2yh,فقیه
Fakihe,fo1fo2yhh,فقیهه
Fakir,fo1fo2r,فقر
Fakir,fo1fo2yr,فقیر
Fakirullah,fo1fo2yrellh,فقیرالله
Falih,fo1elx,فالح
Fani,fo1ebo1y,فانی
Farabi,fo1erebu1y,فارابی
Faralyalı,fo1erelyely,فارالیالی
Farhi,fo1erxo1y,فارخی
Fariha,fo1eryxh,فاریحه
Farik,fo1erk,فارک
Faris,fo1ers,فارس
Farise,fo1ersh,فارسه
Faruk,fo1erfo2,فارق
Faruk,fo1erwfo2,فاروق
Fas,fo1es,فاس
Fasih,fo1esxo1,فاسخ
Fasih,fo1zyx,فصیح
Fasihe,fo1zyxh,فصیحه
Faslı,fo1esly,فاسلی
Fatih,fo1ebo2x,فاتح
Fatin,fo1etbo1,فاطن
Fatin,fo1tybo1,فطین
Fatine,fo1ebo2bo1h,فاتنه
Fatma,fo1etmh,فاطمه
Fatmagül,fo1etmh ko7l,فاطمه گل
Fatmanur,fo1etmh bo1wr,فاطمه نور
Fato,fo1etw,فاطو
Fatoş,fo1etwso3,فاطوش
Fatsa,fo1ebo2sh,فاتسه
Faysal,fo1yzl,فیصل
Fazilet,fo1zo1ylbo2,فضیلت
Fazlullah,fo1zo1l ellh,فضل الله
Fazlı,fo1zo1ly,فضلی
Fazlıoğlu,fo1zo1ly ewao1ly,فضلی اوغلی
Fazıl,fo1ezo1l,فاضل
Fazıla,fo1ezo1lh,فاضله
Fazıla,fo1zo1ylh,فضیله
Fecir,fo1xu1r,فجر
Fecri,fo1xu1ry,فجری
Fecriye,fo1xu1ryh,فجریه
Feda,fo1de,فدا
Fedai,fo1debo5,فدائ
Fedai,fo1debo5y,فدائی
Fedakâr,fo1deker,فداکار
Fehamet,fo1hembo2,فهامت
Fehamet,fo1xo1embo2,فخامت
Fehamettin,fo1xo1em eldybo1,فخام الدین
Fehim,fo1hm,فهم
Fehim,fo1hym,فهیم
Fehimdar,fo1hmder,فهمدار
Fehimdar,fo1hymder,فهیمدار
Fehime,fo1hmh,فهمه
Fehime,fo1hymh,فهیمه
Fehmi,fo1hmy,فهمی
Fehmiye,fo1hmyh,فهمیه
Fekahet,fo1kexbo2,فکاحت
Feke,fo1kh,فکه
Felek,fo1lk,فلک
Felemenk,fo1lmbo1k,فلمنک
Felemenkli,fo1lmbo1kly,فلمنکلی
Felât,fo1lebo2,فلات
Fendoğlu,fo1bo1dewao1ly,فنداوغلی
Fenik,fo1bo1yk,فنیک
Fenika,fo1bo1ykh,فنیکه
Fenikeli,fo1bo1ykh||ly,فنیکه‌لی
Fenmen,fo1bo1mbo1,فنمن
Fenni,fo1bo1y,فنی
Fenniye,fo1bo1yh,فنیه
Fer,fo1r,فر
Feragat,fo1reao1bo2,فراغت
Ferah,fo1rex,فراح
Ferahet,fo1rehbo2,فراهت
Ferahfeza,fo1rex fo1ro1e,فراح فزا
Ferahi,fo1rexo1y,فراخی
Ferahi,fo1rexy,فراحی
Ferahnisa,fo1rexbo1se,فراحنسا
Ferahnur,fo1rexbo1wr,فراحنور
Ferahnüma,fo1rexbo1me,فراحنما
Ferahru,fo1rexrw,فراحرو
Feralan,fo1reo6lebo1,فرآلان
Feramuz,fo1remro1,فرامز
Feramuş,fo1remwso3,فراموش
Feraset,fo1resbo2,فراست
Feray,fo1rey,فرای
Feraye,fo1reyh,فرایه
Fercan,fo1rxu1ebo1,فرجان
Ferda,fo1rde,فردا
Ferdal,fo1rdel,فردال
Ferdane,fo1rdebo1h,فردانه
Ferdaniye,fo1rdebo1yh,فردانیه
Ferdar,fo1rder,فردار
Ferdi,fo1rdy,فردی
Ferdiye,fo1rdyh,فردیه
Fereç,fo1rxu3,فرچ
Fergün,fo1rko7wbo1,فرگون
Ferhan,fo1rxo1ebo1,فرخان
Ferhat,fo1rhed,فرهاد
Ferhat,fo1rxbo2,فرحت
Ferhattin,fo1rx eldybo1,فرح الدین
Ferhun,fo1rxo1wbo1,فرخون
Ferhunde,fo1rxo1bo1dh,فرخنده
Feri,fo1ry,فری
Feribe,fo1rybu1h,فریبه
Ferican,fo1ryxu1ebo1,فریجان
Feride,fo1rydh,فریده
Feridun,fo1rydwbo1,فریدون
Ferih,fo1rx,فرح
Ferih,fo1ryx,فریح
Feriha,fo1ryxh,فریحه
Feriser,fo1rysr,فریسر
Ferit,fo1ryd,فرید
Feritkan,fo1rydfo2ebo1,فریدقان
Feriz,fo1ryro1,فریز
Ferişte,fo1ryso3bo2h,فریشته
Ferkan,fo1rfo2ebo1,فرقان
Ferman,fo1rmebo1,فرمان
Fermani,fo1rmebo1y,فرمانی
Fermude,fo1rmwdh,فرموده
Fernur,fo1rbo1wr,فرنور
Ferruh,fo1rwx,فروح
Fersan,fo1rzebo1,فرصان
Fersoy,fo1rzwy,فرصوی
Feruzat,fo1rwdo1ebo2,فروذات
Feruze,fo1rwro1h,فروزه
Ferve,fo1rwh,فروه
Feryal,fo1ryel,فریال
Ferzan,fo1rro1ebo1,فرزان
Ferzane,fo1rro1ebo1h,فرزانه
Ferzend,fo1rro1bo1d,فرزند
Fesih,fo1syx,فسیح
Fetanet,fo1tebo1bo2,فطانت
Fethi,fo1bo2xy,فتحی
Fethiye,fo1bo2xyh,فتحیه
Fethullah,fo1bo2x ellh,فتح الله
Fetih,fo1bo2x,فتح
Fettah,fo1bo2ex,فتاح
Fevzi,fo1wro1y,فوزی
Fevziye,fo1wro1yh,فوزیه
Fevzullah,fo1wro1ellh,فوزالله
Feyha,fo1yxy,فیحی
Feyiz,fo1yyzo1,فییض
Feyiz,fo1yzo1,فیض
Feyman,fo1ymebo1,فیمان
Feyyaz,fo1yezo1,فیاض
Feyza,fo1yzo1e,فیضا
Feyzan,fo1yzo1ebo1,فیضان
Feyzan,fo1yzo1eko3,فیضاڭ
Feyzettin,fo1yzo1 eldybo1,فیض الدین
Feyzi,fo1yzo1y,فیضی
Feyzioğlu,fo1yzo1y ewao1ly,فیضی اوغلی
Feyziye,fo1yzo1yh,فیضیه
Feyzullah,fo1yzo1 ellh,فیض الله
Feza,fo1ro1e,فزا
Feza,fo1zo1e,فضا
Fezahan,fo1zo1exo1ebo1,فضاخان
Fezai,fo1zo1ebo5y,فضائی
Fezanur,fo1zo1ebo1wr,فضانور
Fidan,fo1debo1,فدان
Fidangül,fo1debo1ko7l,فدانگل
Fide,fo1ydh,فیده
Figan,fo1ao1ebo1,فغان
Figen,fo1ko7bo1,فگن
Fikir,fo1kr,فکر
Fikren,fo1kreo44,فکراً
Fikret,fo1krbo2,فکرت
Fikrettin,fo1kr eldybo1,فکر الدین
Fikri,fo1kry,فکری
Fikriye,fo1kryh,فکریه
Filbahar,fo1y elbu1her,فی البهار
Filistin,fo1lstbu2bo1,فلسطين
Filistinli,fo1lstbu2bo1ly,فلسطينلی
Filiz,fo1lyro1,فلیز
Filiz,fo1ylyro1,فیلیز
Filizer,fo1ylyro1eo5r,فیلیزأر
Finike,fo1bo1bu2kh,فنيکه
Firaz,fo1rero1,فراز
Firdevs,fo1rdws,فردوس
Firdevsi,fo1rdwsy,فردوسی
Firkat,fo1rfo2bo2,فرقت
Firuz,fo1yrwro1,فیروز
Firuzan,fo1rwro1ebo1,فروزان
Firuze,fo1yrwro1h,فیروزه
Fir’avun,fo1reawbo1,فراعون
Fitnat,fo1tbo1bo2,فطنت
Fişek,fo1so3bo1k,فشنک
Florya,fo1lwrbu2h,فلوريه
Fransa,fo1rebo1sh,فرانسه
Fransalı,fo1rebo1sh||ly,فرانسه‌لی
Frengistan,fo1rbo1ko7sbo2ebo1,فرنگستان
Frenk,fo1rbo1k,فرنک
Fuat,fo1wed,فواد
Ful,fo1wl,فول
Fulya,fo1wlyh,فولیه
Funda,fo1wbo1dh,فونده
Furkan,fo1rfo2ebo1,فرقان
Furtun,fo1wrbo2wbo1,فورتون
Fuzuli,fo1zo1wly,فضولی
Fâkihe,fo1ekhh,فاکهه
Fâris,fo1ers,فارس
Fügen,fo1ko7bo1,فگن
Fürs,fo1rs,فرس
Füruzan,fo1rwro1ebo1,فروزان
Füruzende,fo1rwro1bo1dh,فروزنده
Füsun,fo1swbo1,فسون
Füsunkâr,fo1swbo1ker,فسونکار
Fütüvvet,fo1bo2wbo2,فتوت
Fındıklı,fo1bo1dfo2ly,فندقلی
Fırat,fo1rebo2,فرات
Fırat,fo1ret,فراط
Fırkası,fo1rfo2h sy,فرقه سی
Fıtnat,fo1tbo1bo2,فطنت
