
Gacıroğlu,ao1exu1yrewao1ly,غاجیراوغلی
Gaffar,ao1fo1er,غفار
Gafir,ao1fo1yr,غفیر
Gafur,ao1fo1wr,غفور
Galibe,ao1elbu1h,غالبه
Galip,ao1elbu1,غالب
Gamze,ao1mro1h,غمزه
Gani,ao1bo1y,غنی
Ganime,ao1bo1ymh,غنیمه
Ganimet,ao1bo1ymbo2,غنیمت
Ganiye,ao1ebo1yh,غانیه
Garbi Karaağaç,ao1rbu1y fo2rh||eo6ao1exu3,غربی قره‌آغاچ
Garibe,ao1rybu1h,غریبه
Garip,ao1erbu1,غارب
Garip,ao1rybu1,غریب
Garzan,ao1erro1ebo1,غارزان
Gavsi,ao1wbo3y,غوثی
Gaydalı,ao1eydely,غایدالی
Gaye,ao1eyh,غایه
Gayret,ao1yrbo2,غیرت
Gayur,ao1ywr,غیور
Gazal,ao1ro1el,غزال
Gazale,ao1ro1elh,غزاله
Gazanfer,ao1zo1bo1fo1r,غضنفر
Gazel,ao1ro1l,غزل
Gazi,ao1ero1y,غازی
Gazioğlu,ao1ero1y ewao1ly,غازی اوغلی
Gebeş,ko7bu1so3,گبش
Geboloğlu,ko7bu1wl ewao1ly,گبول اوغلی
Gebze,ko7bu1ro1h,گبزه
Gedik,ko7dyk,گدیک
Gedikbay,ko7dykbu1ey,گدیکبای
Gedikbaş,ko7dykbu1eso3,گدیکباش
Gedikli,ko7dykly,گدیکلی
Gedikoğlu,ko7dyk ewao1ly,گدیک اوغلی
Gediktaş,ko7dyktso3,گدیکطش
Gedis,ko7dws,گدوس
Gediz,ko7dyro1,گدیز
Geldi,ko7ldy,گلدی
Gelenay,ko7lbo1ey,گلنای
Gelenbeğ,ko7lbo1bu1ko7,گلنبگ
Gelener,ko7lbo1 eo5r,گلن أر
Gelengül,ko7lbo1ko7l,گلنگل
Gelibolu,ko7lbu2bu1wly,گليبولی
Gelin,ko7lybo1,گلین
Gelincik,ko7lybo1xu1k,گلینجک
Gelinkız,ko7lybo1fo2yro1,گلینقیز
Gemalmaz,ko7melmero1,گمالماز
Gemici,ko7myxu1y,گمیجی
Gemlik,ko7mlbu2k,گمليک
Genca,ko7bo1xu1h,گنجه
Gencal,ko7bo1xu1el,گنجال
Gencalp,ko7bo1xu1 eo6lbu3,گنج آلپ
Gencaslan,ko7bo1xu1 eo6slebo1,گنج آسلان
Gencay,ko7bo1xu1ey,گنجای
Gence,ko7bo1xu1h,گنجه
Gencel,ko7bo1xu1l,گنجل
Gencer,ko7bo1xu1r,گنجر
Genco,ko7bo1xu1w,گنجو
Genez,ko7bo1ro1,گنز
Genlik,ko7bo1lk,گنلک
Genç,ko7bo1xu1,گنج
Genç,ko7bo1xu3,گنچ
Gençalp,ko7bo1xu3 eo6lbu3,گنچ آلپ
Gençaslan,ko7bo1xu3 eo6slebo1,گنچ آسلان
Gençay,ko7bo1xu3ey,گنچای
Gençağa,ko7bo1xu3 eo6ao1e,گنچ آغا
Gençel,ko7bo1xu3l,گنچل
Gençer,ko7bo1xu3r,گنچر
Gençkal,ko7bo1xu3 fo2el,گنچ قال
Gençler,ko7bo1xu3lr,گنچلر
Gençoğlu,ko7bo1xu3 ewao1ly,گنچ اوغلی
Gençsav,ko7bo1xu3zew,گنچصاو
Gençsoy,ko7bo1xu3zwy,گنچصوی
Gençsu,ko7bo1xu3zw,گنچصو
Gençtan,ko7bo1xu3bo2ebo1,گنچتان
Gençtürk,ko7bo1xu3 bo2rk,گنچ ترک
Gençtürk,ko7bo1xu3bo2wrk,گنچتورک
Geray,ko7rey,گرای
Gercüş,ko7rxu1wso3,گرجوش
Gerede,ko7rdh,گرده
Gerede,ko7rh||dh,گره‌ده
Gereze,krh||ro1h,کره‌زه
Gerger,ko7rko7r,گرگر
German,ko7rmebo1,گرمان
Germen,ko7rmbo1,گرمن
Germiyanoğlu,ko7rmyebo1 ewao1ly,گرمیان اوغلی
Gerçek,ko7rxu3k,گرچک
Gerçeker,ko7rxu3k eo5r,گرچک أر
Gerçeker,ko7rxu3kr,گرچکر
Gevar,ko7wer,گوار
Gevaş,ko7weso3,گواش
Geveci,ko7wh xu1y,گوه جی
Gevecioğlu,ko7wh xu1y ewao1ly,گوه جی اوغلی
Gevher,ko7whr,گوهر
Gevheri,ko7whry,گوهری
Geylani,ko7ylebo1y,گیلانی
Geyve,ko7bu2wh,گيوه
Gezenay,ko7ro1bo1 eo6y,گزن آی
Gezer,ko7ro1r,گزر
Gezgin,ko7ro1ko7ybo1,گزگین
Gezginer,ko7ro1ko7ybo1 eo5r,گزگین أر
Geçer,ko7xu3r,گچر
Geçioğlu,ko7xu3y ewao1ly,گچی اوغلی
Gigin,ko7yko7ybo1,گیگین
Giray,ko7yrey,گیرای
Girayalp,ko7yrey eo6lbu3,گیرای آلپ
Girayer,ko7yrey eo5r,گیرای أر
Girayhan,ko7yreyxo1ebo1,گیرایخان
Giresun,kbu2rh||swbo1,کيره‌سون
Girgin,ko7yrko7ybo1,گیرگین
Girginalp,ko7yrko7ybo1 eo6lbu3,گیرگین آلپ
Girginer,ko7yrko7ybo1 eo5r,گیرگین أر
Girginkoç,ko7yrko7ybo1fo2wxu3,گیرگینقوچ
Girit,ko7rbu2d,گريد
Giritli,ko7rbu2dly,گريدلی
Giritlioğlu,ko7yrybo2ly ewao1ly,گیریتلی اوغلی
Girizan,ko7ryro1ebo1,گریزان
Giz,ko7yro1,گیز
Gizay,ko7yro1ey,گیزای
Gizem,ko7yro1m,گیزم
Gizer,ko7yro1r,گیزر
Gizligider,ko7yro1ly ko7ydr,گیزلی گیدر
Gizmen,ko7yro1mbo1,گیزمن
