
H,h x xo1,ه ح خ
Haberal,xo1bu1reo6l,خبرآل
Hablemitoğlu,xo1webu1lmybo2 ewao1ly,خوابلمیت اوغلی
Hacaloğlu,xexu1el ewao1ly,حاجال اوغلی
Hacer,xxu1r,حجر
Hacergül,xxu1rko7l,حجرگل
Hacopulos,xexu1wbu3wlws,حاجوپولوس
Hacı,xexu1y,حاجی
Hacı,xxu1y,حجی
Hacıbaloğlu,xo1exu1ybu1el ewao1ly,خاجیبال اوغلی
Hacıgül,xexu1y ko7l,حاجی گل
Hacıhanım,xexu1yxo1ebo1m,حاجیخانم
Hacıkadın,xexu1yfo2edybo1,حاجیقادین
Hacıoğlu,xexu1y ewao1ly,حاجی اوغلی
Hacıpaşaoğlu,xexu1ybu3eso3e ewao1ly,حاجیپاشا اوغلی
Hacırecepoğlu,xexu1y rxu1bu1 ewao1ly,حاجی رجب اوغلی
Hadi,hedy,هادی
Hadi,xedy,حادی
Hadiye,hedyh,هادیه
Hadra,xzo1re,حضرا
Hadımlıoğlu,xo1edm ewao1ly,خادم اوغلی
Hafide,xo1fo1ydh,خفیده
Hafik,xefo1bu2fo2,حافيق
Hafize,xfo1yto1h,حفیظه
Hafıza,xefo1to1h,حافظه
Hak Teâlâ,xfo2 bo2aely,حق تعالی
Hakan,xo1efo2ebo1,خاقان
Hakikat,xfo2yfo2bo2,حقیقت
Hakkâri,xkery,حکاری
Hakkı,xfo2y,حقی
Haktan,xfo2bo2ebo1,حقتان
Hakverdi,xfo2 wrdy,حق وردی
Halaman,xelemebo1,حالامان
Halaçoğlu,xlexu1 ewao1ly,حلاج اوغلی
Haldun,xo1eldwbo1,خالدون
Hale,helh,هاله
Hale,xo1elh,خاله
Halef,xo1lfo1,خلف
Halefoğlu,xo1lfo1 ewao1ly,خلف اوغلی
Halenur,xo1elh bo1wr,خاله نور
Halide,xo1eldh,خالده
Halide,xo1lydh,خلیده
Halife,xo1lyfo1h,خلیفه
Halil,xo1lyl,خلیل
Halile,xlylh,حلیله
Halilullah,xo1lyl ellh,خلیل الله
Halim,xelm,حالم
Halim,xlym,حلیم
Halime,xlymh,حلیمه
Halis,xo1elz,خالص
Halise,xo1elzh,خالصه
Halise,xo1lysh,خلیسه
Halit,xo1eld,خالد
Halit,xo1lyd,خلید
Halittin,xo1lydeldybo1,خلیدالدین
Haluk,xo1lwfo2,خلوق
Halâs,xo1lez,خلاص
Halâskâr,xo1lezker,خلاصکار
Halâvet,xlewbo2,حلاوت
Halûk,xo1lwfo2,خلوق
Halıcı,xo1elyxu1y,خالیجی
Hamal,xmel,حمال
Hamamcıoğlu,xmemxu1y ewao1ly,حمامجی اوغلی
Hamarat,xo1mrebo2,خمرات
Hamaset,xmesbo2,حماست
Hamdi,xmdy,حمدی
Hamdiye,xmdyh,حمدیه
Hamdullah,xmd ellh,حمد الله
Hami,xemy,حامی
Hamide,xmydh,حمیده
Hamide,xo1mydh,خمیده
Hamidi,xemdy,حامدی
Hamil,xeml,حامل
Hamis,xo1ems,خامس
Hamis,xo1mys,خمیس
Hamise,xo1emsh,خامسه
Hamit,xmyd,حمید
Hamiye,xemyyh,حامییه
Hamiyet,xmybo2,حمیت
Hamra,xmre,حمرا
Hamza,xmro1h,حمزه
Hamzaoğlu,xmro1h ewao1ly,حمزه اوغلی
Hamzaoğulları,xmro1h ewao1wllry,حمزه اوغوللری
Hamzaçebi,xmro1h xu3lbu1y,حمزه چلبی
Hamşioğlu,xo1mso3y ewao1ly,خمشی اوغلی
Han,xo1ebo1,خان
Hanalp,xo1ebo1 eo6lbu3,خان آلپ
Hanağası,xo1ebo1 eo6ao1esy,خان آغاسی
Hanbegüm,xo1ebo1bu1ko7wm,خانبگوم
Hanbek,xo1ebo1bu1k,خانبک
Hanbey,xo1ebo1 bu1ko7,خان بگ
Hanbeğendi,xo1ebo1 bu1ko7bo1dy,خان بگندی
Hanbike,xo1ebo1bu1ykh,خانبیکه
Hanbiken,xo1ebo1bu1ykbo1,خانبیکن
Hancıoğlu,xo1ebo1xu1y ewao1ly,خانجی اوغلی
Handan,xo1bo1debo1,خندان
Hande,xo1bo1dh,خنده
Hanedan,xo1ebo1debo1,خاندان
Hanefi,xbo1fo1y,حنفی
Hanhan,xo1ebo1xo1ebo1,خانخان
Hani,fo2bo1y,قنی
Hanif,xbo1yfo1,حنیف
Hanife,xbo1yfo1h,حنیفه
Hankan,xo1ebo1 fo2ebo1,خان قان
Hankız,xo1ebo1fo2yro1,خانقیز
Hansoy,xo1ebo1zwy,خانصوی
Hansultan,xo1ebo1sltebo1,خانسلطان
Hanzade,xo1ebo1ro1edh,خانزاده
Hanzel,xebo1sl,حانسل
Hanüman,xo1ebo1mebo1,خانمان
Hanım,xo1ebo1m,خانم
Hanımkız,xo1ebo1mfo2yro1,خانمقیز
Harbiye,xrbu1yh,حربیه
Hare,xo1erh,خاره
Haremeyn,xrmbu2bo1,حرمين
Harika,xo1erfo2h,خارقه
Harmancıoğlu,xo1rmebo1xu1y ewao1ly,خرمانجی اوغلی
Harputlu,xo1rbu3wbo2,خرپوت
Harun,herwbo1,هارون
Harunoğlu,hrwbo1 ewao1ly,هرون اوغلی
Hasan,xsbo1,حسن
Hasanalp,xsbo1 eo6lbu3,حسن آلپ
Hasane,xsbo1h,حسنه
Hasay,xzey,حصای
Hasbek,xsbu1k,حسبک
Hasbi,xsbu1y,حسبی
Hasefe,xo1ez efo1h,خاص افه
Hasefe,xo1sfo1h,خسفه
Hasene,xsbo1h,حسنه
Hasgül,xzko7l,حصگل
Hasgür,xo1ez ko7wr,خاص گور
Hasibe,xsybu1h,حسیبه
Hasip,xsybu1,حسیب
Haskız,xzfo2yro1,حصقیز
Haslet,xo1zlbo2,خصلت
Hasna,xsbo1e,حسنا
Haspolat,xo1ezbu3wled,خاصپولاد
Hasret,xsrbo2,حسرت
Hastaoğlu,xo1sbo2h ewao1ly,خسته اوغلی
Hasırcı,xezrxu1y,حاصرجی
Hatem,xo1ebo2m,خاتم
