
Idık,eydyk,ایدیک
Ildır,eyldyr,ایلدیر
Ildız,eyldyro1,ایلدیز
Ilgar,eyao1er,ایغار
Ilgarlı,eylao1erlr,ایلغارلر
Ilgaz,ebu2lao1ero1,ايلغاز
Ilgaz,eylao1ero1,ایلغاز
Ilgazcan,eylao1ro1xu1ebo1,ایلغزجان
Ilgazer,eylao1ro1eo5r,ایلغزأر
Ilgı,eylao1y,ایلغی
Ilgım,eylao1ym,ایلغیم
Ilgın,ebu2lao1bu2bo1,ايلغين
Ilgın,eylao1ybo1,ایلغین
Ilıcak,eylyxu1efo2,ایلیجاق
Ilıcak,eylyxu1fo2,ایلیجق
Ilıcalı,eylyxu1h ly,ایلیجه لی
Ilıcan,eylyxu1ebo1,ایلیجان
Ilıksoy,eylyfo2zwy,ایلیقصوی
Ilıman,eylemebo1,ایلامان
Ira,are,عرا
Irak,arefo2,عراق
Iraklı,arefo2ly,عراقلی
Iraz,arezo1,عراض
Iraz,eyrero1,ایراز
Irkıl,eyrfo2yl,ایرقیل
Irmak,eyrmefo2,ایرماق
Irısgül,eyrsko7l,ایرسگل
Irız,arzo1,عرض
Irız,eyryro1,ایریز
Islâhiye,ezlexbu2h,اصلاحيه
Ismık,eysmyfo2,ایسمیق
Isparta,esbu3erth,اسپارطه
Ispartalıgil,esbu3erth ly ko7yl,اسپارطه لی گیل
Itri,atry,عطری
Itır,atr,عطر
Iğdır,ebu2ao1dbu2r,ايغدير
Işkın,eyso3fo2ybo1,ایشقین
Iştın,eyso3tybo1,ایشطین
Işık,eyso3yfo2,ایشیق
Işıkal,eyso3yfo2 eo6l,ایشیق آل
Işıkalp,eyso3yfo2 eo6lbu3,ایشیق آلپ
Işıkay,eyso3yfo2 eo6y,ایشیق آی
Işıker,eyso3yfo2 eo5r,ایشیق أر
Işıkhan,eyso3yfo2 xo1ebo1,ایشیق خان
Işıkkan,eyso3yfo2fo2ebo1,ایشیققان
Işıklar,eyso3yfo2lr,ایشیقلر
Işıklı,eyso3yfo2ly,ایشیقلی
Işıktaş,eyso3yfo2tso3,ایشیقطش
Işıl,eyso3yl,ایشیل
Işılak,eyso3ylefo2,ایشیلاق
Işılar,eyso3yler,ایشیلار
Işılay,eyso3yley,ایشیلای
Işıldar,eyso3ylder,ایشیلدار
Işıltan,eyso3ylbo2ebo1,ایشیلتان
Işıltı,eyso3ylbo2y,ایشیلتی
Işım,eyso3ym,ایشیم
Işıman,eyso3ymebo1,ایشیمان
Işın,eyso3ybo1,ایشین
Işınay,eyso3ybo1ey,ایشینای
Işınbay,eyso3ybo1bu1ey,ایشینبای
Işınbike,eyso3ybo1bu1ykh,ایشینبیکه
Işıner,eyso3ybo1 eo5r,ایشین أر
Işınhan,eyso3ybo1xo1ebo1,ایشینخان
Işınkan,eyso3ybo1fo2ebo1,ایشینقان
Işınsal,eyso3ybo1sel,ایشینسال
Işınsu,eyso3ybo1zw,ایشینصو
Işıt,eyso3ybo2,ایشیت
Işıtan,eyso3ybo2ebo1,ایشیتان
