
Kaahire,fo2ehrh,قاهره
Kaan,fo2eeo6bo1,قاآن
Kaatçılar,fo2eeo6bo2xu3ylr,قاآتچیلر
Kaba,fo2bu1e,قبا
Kabadayı,fo2bu1e deyy,قبا دایی
Kabadayı,fo2ebu1edeyy,قابادایی
Kabakcı,fo2bu1efo2xu1y,قباقجی
Kabakçı,fo2bu1efo2xu1y,قباقجی
Kaban,fo2ebu1ebo1,قابان
Kabaoğlu,fo2bu1e ewao1ly,قبا اوغلی
Kabataş,fo2bu1eteso3,قباطاش
Kabibay,fo2ebu1ybu1ey,قابیبای
Kabil,fo2ebu1l,قابل
Kacar,fo2exu1er,قاجار
Kacır,fo2exu1yr,قاجیر
Kadagan,fo2edeao1ebo1,قاداغان
Kadam,fo2dem,قدام
Kadem,fo2dm,قدم
Kader,fo2dr,قدر
Kadife,fo2dyfo1h,قدیفه
Kadim,fo2dym,قدیم
Kadim,fo2edm,قادم
Kadime,fo2dymh,قدیمه
Kadir,fo2dyr,قدیر
Kadir,fo2edr,قادر
Kadirbeyoğlu,fo2dyr bu1ko7 ewao1ly,قدیر بگ اوغلی
Kadire,fo2dyrh,قدیره
Kadire,fo2edrh,قادره
Kadirli,fo2dbu2rly,قديرلی
Kadoğlu,fo2d ewao1ly,قد اوغلی
Kadrettin,fo2dr eldybo1,قدر الدین
Kadri,fo2dry,قدری
Kadrihan,fo2dryxo1ebo1,قدریخان
Kadriye,fo2dryh,قدریه
Kadın,fo2edybo1,قادین
Kadınana,fo2edybo1ebo1h,قادینانه
Kadıncık,fo2edybo1xu1fo2,قادینجق
Kadınhan,fo2edbu2bo1 xo1ebo1,قادين خان
Kadıoğlu,fo2ezo1y ewao1ly,قاضی اوغلی
Kadızade,fo2ezo1yro1edh,قاضیزاده
Kafar,fo2efo1er,قافار
Kafdağı,fo2efo1 teao1y,قاف طاغی
Kafkas,fo2efo1fo2es,قافقاس
Kafkas,fo2fo1fo2es,قفقاس
Kafkasya,fo2fo1fo2esbu2h,قفقاسيه
Kafkasyalı,fo2fo1fo2esbu2h||ly,قفقاسيه‌لی
Kaflı,fo2fo1ly,قفلی
Kaftan,fo2fo1bo2ebo1,قفتان
Kahir,fo2ehr,قاهر
Kahire,fo2ehrh,قاهره
Kahraman,fo2hrmebo1,قهرمان
