
Lafçı,lefo1xu1y,لافجی
Lakşe,lefo2so3h,لاقشه
Lala,lele,لالا
Lale,lelh,لاله
Latifaoğlu,ltyfo1h ewao1ly,لطیفه اوغلی
Latife,ltyfo1h,لطیفه
Latifoğlu,ltyfo1 ewao1ly,لطیف اوغلی
Laç,lexu3,لاچ
Laçin,lexu3ybo1,لاچین
Lebibe,lbu1ybu1h,لبیبه
Lebip,lbu1ybu1,لبیب
Lebriz,lbu1ryro1,لبریز
Ledün,ldwbo1,لدون
Leh,lh,له
Lehistan,lhsbo2ebo1,لهستان
Lehli,lhly,لهلی
Lekili,lkyly,لکیلی
Lema,lmah,لمعه
Lema,lme,لما
Leman,lmaebo1,لمعان
Leman,lmebo1,لمان
Lemi,lmy,لمی
Lemiye,lmyh,لمیه
Lermioğlu,lrmy ewao1ly,لرمی اوغلی
Lerzan,lrro1ebo1,لرزان
Lerze,lrro1h,لرزه
Lerziş,lrro1yso3,لرزیش
Letafet,ltefo1bo2,لطافت
Levent,lwbo1d,لوند
Levin,lwbo1,لون
Levni,lwbo1y,لونی
Leyan,lyebo1,لیان
Leyla,lyle,لیلا
Leyli,lyly,لیلی
Leylifer,lylyfo1r,لیلیفر
Leylâ,leyle,لایلا
Leylâgül,lyleko7l,لیلاگل
Leylüfer,lylwfo1r,لیلوفر
Leziz,ldo1ydo1,لذیذ
Lezize,ldo1ydo1h,لذیذه
Limon,lymwbo1,لیمون
Liyakat,lyefo2bo2,لیاقت
Liyan,lyebo1,لیان
Liçe,lbu2xu1h,ليجه
Lokman,lfo2mebo1,لقمان
Loğoğlu,lwao1 ewao1ly,لوغ اوغلی
Lut,lwt,لوط
Lâdik,ledbu2fo2,لاديق
Lâhik,lexfo2,لاحق
Lâhut,lehwbo2,لاهوت
Lâle,lelh,لاله
Lâlegül,lelh ko7l,لاله گل
Lâlehan,lelh xo1ebo1,لاله خان
Lâleruh,lelh rwx,لاله روح
Lâlezar,lelh ro1er,لاله زار
Lâlgûn,lelko7wbo1,لالگون
Lâmi,lemy,لامی
Lâmia,lemah,لامعه
Lâmih,lemx,لامح
Lâmiha,lemxh,لامحه
Lâmiye,lemayh,لامعیه
Lâpseki,lebu3sky,لاپسکی
Lâtif,letfo1,لاطف
Lâyık,leyfo2,لایق
Lâz,lero1,لاز
Lâçin,lexu3ybo1,لاچین
Löker,lwkr,لوکر
Lüleburgaz,lwlh||bu1wrao1ero1,لوله‌بورغاز
Lülü,lwlw,لولو
Lütfi,ltfo1y,لطفی
Lütfiye,ltfo1yh,لطفیه
Lütfullah,ltfo1 ellh,لطف الله
Lütuf,ltfo1,لطف
Lütufkâr,ltfo1ker,لطفکار
