
Maarif,maerfo1,معارف
Macar,mxu1er,مجار
Macaristan,mxu1ersbo2ebo1,مجارستان
Macide,mexu1dh,ماجده
Macit,mexu1d,ماجد
Macit,mexu1ybo2,ماجیت
Madelet,madlbo2,معدلت
Maden,madbo1,معدن
Mahbube,mxbu1wbu1h,محبوبه
Mahbup,mxbu1wbu1,محبوب
Mahfer,mxfo1r,محفر
Mahfi,mxo1fo1y,مخفی
Mahfuz,mxfo1wto1,محفوظ
Mahi,mehy,ماهی
Mahi,mexy,ماحی
Mahinur,meh bo1wr,ماه نور
Mahir,mehr,ماهر
Mahire,mehrh,ماهره
Mahizar,meh do1er,ماه ذار
Mahizar,meh ro1er,ماه زار
Mahizer,meh ro1r,ماه زر
Mahkemesince,mxkmh sbo1xu1h,محکمه سنجه
Mahmud,mxmwd,محمود
Mahmude,mxmwdh,محموده
Mahmur,mxo1mwr,مخمور
Mahmure,mxmwrh,محموره
Mahmut,mxmwd,محمود
Mahmutoğlu,mxmwd ewao1ly,محمود اوغلی
Mahmûdiye,mxmwdbu2h,محموديه
Mahnur,meh bo1wr,ماه نور
Mahpare,meh bu3erh,ماه پاره
Mahperi,meh bu3ry,ماه پری
Mahpeyker,meh bu3ykr,ماه پیکر
Mahra,mxry,محری
Mahramlı,mxremly,محراملی
Mahru,meh rw,ماه رو
Mahrur,mxrwr,محرور
Mahser,mxsr,محسر
Mahsun,mxswbo1,محسون
Mahsure,mxswrh,محسوره
Mahsut,mxzwd,محصود
Mahten,mexo1dbo1,ماخدن
Mahter,mexo1bo2r,ماختر
Mahya,mexo1yh,ماخیه
Mahçiçek,meh xu3yxu3k,ماه چیچک
Mahınev,meh bo1w,ماه نو
Maide,mebo5dh,مائده
Mail,mebo5l,مائل
Makal,mfo2el,مقال
Makbul,mfo2bu1wl,مقبول
Makbule,mfo2bu1wlh,مقبوله
Maklûbe,mfo2lwbu1h,مقلوبه
Maksude,mfo2zwdh,مقصوده
Maksudoğlu,mfo2zwdewao1ly,مقصوداوغلی
Maksum,mfo2swm,مقسوم
Maksume,mfo2zwmh,مقصومه
Maksur,mfo2zwr,مقصور
Maksure,mfo2zwrh,مقصوره
Maksut,mfo2zwd,مقصود
Makul,mafo2wl,معقول
Malatya,mletbu2h,ملاطيه
Malazgirt,mlero1krd,ملازکرد
Malik,melk,مالک
Malike,melkh,مالکه
Malkara,maefo2rh,معاقره
Malkoç,melfo2wxu3,مالقوچ
Malkoçoğlu,melfo2wxu3 ewao1ly,مالقوچ اوغلی
Malta,melth,مالطه
Mamduh,memdwxo1,مامدوخ
Manavgat,mbo1ewao1ebo2,مناوغات
Mandalinci,mebo1delbo1xu1y,ماندالنجی
Manga,mebo1ao1h,مانغه
Mangalay,mebo1ao1eley,مانغالای
Manisa,mabo1bu2se,معنيسا
Mankut,mebo1fo2wbo2,مانقوت
Manolya,mebo1wlyh,مانولیه
Mansur,mebo1zwr,مانصور
Mansure,mbo1zwrh,منصوره
Mantı,mebo1bo2y,مانتی
Mantı,mebo1ty,مانطی
Manyas,mebo1yes,مانیاس
Manzur,mebo1to1wr,مانظور
Mançer,mebo1xu3r,مانچر
Manço,mebo1xu3w,مانچو
Mançu,mebo1xu3w,مانچو
Mançuhan,mebo1xu3wxo1ebo1,مانچوخان
Maral,mrel,مرال
Maraş,mraso3,مرعش
Mardin,merdbu2bo1,ماردين
Mardin,mrdybo1,مردین
Marifet,marfo1bo2,معرفت
Marks,merfo2s,مارقس
Marlalı,merlely,مارلالی
Marmara,mrmrh,مرمره
Marmaralı,mrmrh ly,مرمره لی
Marmaris,mrmrbu2s,مرمريس
Mart,merbo2,مارت
Martı,merbo2y,مارتی
Maruf,marwfo1,معروف
Marufe,marwfo1h,معروفه
Maruflu,marwfo1ly,معروفلی
Marwan,merwebo1,ماروان
Marziye,merro1yh,مارزیه
Marşan,merso3ebo1,مارشان
Masum,mazwm,معصوم
Masume,mazwmh,معصومه
Mat,mebo2,مات
Matkap,mebo2fo2ebu1,ماتقاب
Matlup,mtlwbu1,مطلوب
Matlı,mtly,مطلی
Matuk,mabo2wfo2,معتوق
Mavi,mewy,ماوی
Mavioğlu,mewy ewao1ly,ماوی اوغلی
Mavisel,mewysl,ماویسل
Mavitan,mewybo2ebo1,ماویتان
Maviş,mewyso3,ماویش
Maya,meye,مایا
Mayokan,meywfo2ebo1,مایوقان
Mazhar,mto1hr,مظهر
Mazlum,mto1lwm,مظلوم
Mazlume,mto1lwmh,مظلومه
Mazıcıoğlu,mero1yxu1y ewao1ly,مازیجی اوغلی
Maçka,mexu3fo2h,ماچقه
Maçun,mexu3wbo1,ماچون
Mağara,mao1erh,مغاره
Mağden,meao1dbo1,ماغدن
Mağfiret,mao1fo1rbo2,مغفرت
Mağribi,mao1rbu1y,مغربی
Mağrip,mao1rbu1,مغرب
Mağrur,mao1rwr,مغرور
Maşallah,meso3ec ellh,ماشاء الله
Maşuk,maso3wfo2,معشوق
Maşuka,maso3wfo2h,معشوقه
Mebruk,mbu1rwk,مبروک
Mebruke,mbu1rwkh,مبروکه
Mebrur,mbu1rwr,مبرور
Mebrure,mbu1rwrh,مبروره
Mebus,mbu1awbo3,مبعوث
Mebuse,mbu1abo3h,مبعثه
Mecdi,mxu1dy,مجدی
Mecdut,mxu1dwd,مجدود
Mecide,mxu1ydh,مجیده
Mecidiye,mxu1bu2dbu2h,مجيديه
Mecidözü,mxu1bu2dewro1y,مجيداوزی
Mecit,mxu1yd,مجید
Mecittin,mxu1yd eldybo1,مجید الدین
Mecnun,mxu1bo1wbo1,مجنون
Medar,mder,مدار
Medayin,mdeybo1,مداین
