
Nabel,bo1ebu1l,نابل
Nabi,bo1ebu1a,نابع
Nabi,bo1ebu1y,نابی
Nabia,bo1ebu1ah,نابعه
Nabiye,bo1ebu1yh,نابیه
Nacar,bo1exu1er,ناجار
Naci,bo1exu1y,ناجی
Nacil,bo1exo1l,ناخل
Naciye,bo1exu1yh,ناجیه
Nadi,bo1edy,نادی
Nadide,bo1edydh,نادیده
Nadim,bo1edm,نادم
Nadime,bo1edmh,نادمه
Nadir,bo1edr,نادر
Nadire,bo1edrh,نادره
Nadiye,bo1edyh,نادیه
Nafi,bo1efo1y,نافی
Nafia,bo1efo1ah,نافعه
Nafile,bo1efo1lh,نافله
Nafiye,bo1efo1yh,نافیه
Nafiz,bo1efo1do1,نافذ
Nafize,bo1efo1ydo1h,نافیذه
Nafize,bo1efo1yro1h,نافیزه
Nagehan,bo1eko7xo1ebo1,ناگخان
Nahide,bo1ehydh,ناهیده
Nahide,bo1exo1ydh,ناخیده
Nahire,bo1exrh,ناحره
Nahit,bo1ehd,ناهد
Naibe,bo1ebo5bu1h,نائبه
Nail,bo1ebo5l,نائل
Naile,bo1ebo5lh,نائله
Naim,bo1ebo5m,نائم
Naime,bo1ebo5mh,نائمه
Naip,bo1ebo5bu1,نائب
Naipoğlu,bo1ebo5bu1 ewao1ly,نائب اوغلی
Naire,bo1ebo5rh,نائره
Naki,bo1efo2y,ناقی
Naki,bo1fo2ya,نقیع
Nakip,bo1fo2ybu1,نقیب
Nakipoğlu,bo1fo2ybu1 ewao1ly,نقیب اوغلی
Nakiye,bo1ekyh,ناکیه
Nakıpoğlu,bo1efo2bu1 ewao1ly,ناقب اوغلی
Nakıpoğlu,bo1ekwbu1 ewao1ly,ناکوب اوغلی
Nakşıdil,bo1fo2so3 dl,نقش دل
Nalan,bo1elebo1,نالان
Nalband,bo1albu1bo1d,نعلبند
Nalci,bo1alxu1y,نعلجی
Nalcı,bo1alxu1y,نعلجی
Nallıhan,bo1aly||xo1ebo1,نعلی‌خان
Nalân,bo1elebo1,نالان
Namal,bo1emel,نامال
Namdar,bo1emder,نامدار
Name,bo1emh,نامه
Nami,bo1emy,نامی
Namik,bo1emfo2,نامق
Namiye,bo1emyh,نامیه
Namlı,bo1emly,ناملی
Namoğlu,bo1em ewao1ly,نام اوغلی
Namık,bo1emfo2,نامق
Namıka,bo1emfo2h,نامقه
Nardan,bo1erdebo1,ناردان
Nardane,bo1erdebo1h,ناردانه
Nargül,bo1erko7l,نارگل
Narhanım,bo1erxo1ebo1m,نارخانم
Narin,bo1erybo1,نارین
Nariye,bo1eryh,ناریه
Narkadın,bo1erfo2edybo1,نارقادین
Nart,bo1erbo2,نارت
Narter,bo1erbo2r,نارتر
Nas,bo1es,ناس
Nasfet,bo1zfo1bo2,نصفت
Nasibe,bo1zybu1h,نصیبه
Nasih,bo1ezx,ناصح
Nasih,bo1zyx,نصیح
Nasiha,bo1zyxh,نصیحه
Nasip,bo1zybu1,نصیب
Nasir,bo1ezr,ناصر
Nasir,bo1zyr,نصیر
Nasiye,bo1ezyh,ناصیه
Nasrettin,bo1zreldybo1,نصرالدین
Nasri,bo1zry,نصری
Nasrullah,bo1zrellh,نصرالله
Nasuh,bo1ezwx,ناصوح
Nasuhi,bo1ezwhy,ناصوهی
Nasuhioğlu,bo1ezwhy ewao1ly,ناصوهی اوغلی
Nasuhoğlu,bo1zwx ewao1ly,نصوح اوغلی
Nasıf,bo1ezfo1,ناصف
Nasır,bo1ezr,ناصر
Nasır,bo1zr,نصر
Nasıra,bo1ezrh,ناصره
Natuk,bo1etwfo2,ناطوق
Natuvan,bo1ebo2webo1,ناتوان
Natık,bo1etfo2,ناطق
Natıka,bo1etfo2h,ناطقه
Nayman,bo1eymebo1,نایمان
Naz,bo1ero1,ناز
Nazan,bo1ero1ebo1,نازان
Nazar,bo1to1r,نظر
Nazbike,bo1ero1bu1ykh,نازبیکه
Nazende,bo1ero1bo1dh,نازنده
Nazenin,bo1ero1bo1ybo1,نازنین
Nazhanım,bo1ero1xo1ebo1m,نازخانم
Nazif,bo1to1yfo1,نظیف
