
Oba,ewbu1h,اوبه
Oben,ewbu1bo1,اوبن
Obuz,ewbu1wro1,اوبوز
Ocak,ewxu1efo2,اوجاق
Ocakcıoğlu,ewxu1efo2xu1y ewao1ly,اوجاقجی اوغلی
Ocaklı,ewxu1efo2ly,اوجاقلی
Ocakoğlu,ewxu1efo2 ewao1ly,اوجاق اوغلی
Ocaktan,ewxu1efo2dbo1,اوجاقدن
Ocakçıoğlu,ewxu1efo2xu1y ewao1ly,اوجاقجی اوغلی
Ocan,ewxu1ebo1,اوجان
Od,ewd,اود
Odabaşı,ewth bu1eso3y,اوطه باشی
Oder,ewdr,اودر
Odhan,ewdxo1ebo1,اودخان
Odkan,ewdfo2ebo1,اودقان
Odkanlı,ewdfo2ebo1ly,اودقانلی
Odman,ewdmebo1,اودمان
Odyak,ewdyefo2,اودیاق
Odyakar,ewdyefo2r,اودیاقر
Odyakmaz,ewdyefo2mero1,اودیاقماز
Odyakmaz,ewdyefo2mro1,اودیاقمز
Of,ewfo1,اوف
Oflas,ewfo1lero1,اوفلاز
Oflaz,ewfo1lero1,اوفلاز
Oflazer,ewfo1lero1r,اوفلازر
Ogan,ewao1ebo1,اوغان
Oganalp,ewao1ebo1 eo6lbu3,اوغان آلپ
Oganer,ewao1ebo1r,اوغانر
Ogansoy,ewao1ebo1zwy,اوغانصوی
Ogeday,ewko7h dey,اوگه دای
Oguş,ewao1wso3,اوغوش
Ogül,ewko7l,اوگل
Ogün,ewkwbo1,اوکون
Ok,ewfo2,اوق
Okakın,ewfo2 eo6fo2ybo1,اوق آقین
Okal,ewfo2 eo6l,اوق آل
Okan,ewfo2ebo1,اوقان
Okanalp,ewfo2ebo1 eo6lbu3,اوقان آلپ
Okanay,ewfo2ebo1ey,اوقانای
Okandan,ewfo2ebo1debo1,اوقاندان
Okaner,ewfo2ebo1 eo5r,اوقان أر
Okar,ewfo2er,اوقار
Okat,ewfo2ebo2,اوقات
Okatan,ewfo2ebo2ebo1,اوقاتان
Okatar,ewfo2ebo2er,اوقاتار
Okatay,ewfo2ebo2ey,اوقاتای
Okay,ewfo2ey,اوقای
Okayer,ewfo2eyr,اوقایر
Okaygün,ewfo2eyko7wbo1,اوقایگون
Okbay,ewfo2bu1ey,اوقبای
Okbaş,ewfo2bu1eso3,اوقباش
Okboğa,ewfo2bu1wao1h,اوقبوغه
Okbudun,ewfo2bu1wdwbo1,اوقبودون
Okcan,ewfo2xu1ebo1,اوقجان
Okcu,ewfo2xu1y,اوقجی
Okdağ,ewfo2deao1,اوقداغ
Okdemir,ewfo2dmyr,اوقدمیر
Okergin,ewfo2 erko7ybo1,اوق ارگین
Okgüç,ewfo2 ko7wxu3,اوق گوچ
Okgüçlü,ewfo2 ko7wxu3lw,اوق گوچلو
Okhan,ewfo2xo1ebo1,اوقخان
Okkan,ewfo2fo2ebo1,اوققان
Okman,ewfo2mebo1,اوقمان
Oksal,ewfo2sel,اوقسال
Oksal,ewfo2zel,اوقصال
Oksaldı,ewfo2zeldy,اوقصالدی
Oksalmış,ewfo2zelmso3,اوقصالمش
Oksar,ewfo2zer,اوقصار
Oksay,ewfo2zey,اوقصای
Oksev,ewfo2sw,اوقسو
Okseven,ewfo2swbo1,اوقسون
Oksever,ewfo2swr,اوقسور
Oksu,ewfo2zw,اوقصو
Oktan,ewfo2bo2ebo1,اوقتان
Oktar,ewfo2bo2er,اوقتار
Oktar,ewfo2der,اوقدار
Oktay,ewfo2bo2ey,اوقتای
Oktaş,ewfo2tso3,اوقطش
Oktunç,ewfo2bo2wbo1xu3,اوقتونچ
Oktunç,ewfo2twbo1xu3,اوقطونچ
Oktuğ,ewfo2bo2wao1,اوقتوغ
Oktüre,ewfo2bo2wrh,اوقتوره
Oktüremiş,ewfo2bo2wrh mso3,اوقتوره مش
Oktürk,ewfo2 bo2rk,اوق ترک
Okudan,ewfo2wdbo1,اوقودن
Okuldaş,ewfo2wldeso3,اوقولداش
Okumuş,ewfo2wmso3,اوقومش
Okumuş,ewfo2wmwso3,اوقوموش
Okur,ewfo2wr,اوقور
Okutan,ewfo2wbo2ebo1,اوقوتان
Okuyan,ewfo2wyebo1,اوقویان
Okuş,ewfo2wso3,اوقوش
Okuşlu,ewfo2wso3lw,اوقوشلو
Okver,ewfo2 wyr,اوق ویر
Okverdi,ewfo2wyrdy,اوقویردی
Okyalaz,ewfo2yelero1,اوقیالاز
Okyan,ewfo2yebo1,اوقیان
Okyanus,ewfo2yebo1ws,اوقیانوس
Okyanusya,ewfo2bu2ebo1wsbu2e,اوقيانوسيا
Okyar,ewfo2yer,اوقیار
Okyay,ewfo2yey,اوقیای
Okyayuz,ewfo2yeywro1,اوقیایوز
Okçu,ewfo2xu1y,اوقجی
Okçun,ewfo2xu3wbo1,اوقچون
Okçuoğlu,ewfo2xu1y ewao1ly,اوقجی اوغلی
Okşak,ewfo2so3efo2,اوقشاق
Okşan,ewfo2so3ebo1,اوقشان
Okşar,ewfo2so3er,اوقشار
Olca,ewlxu1e,اولجا
Olcabay,ewlxu1e bu1ey,اولجا بای
Olcan,ewlxu1ebo1,اولجان
Olcay,ewlxu1ey,اولجای
Olcayhan,ewlxu1ey xo1ebo1,اولجای خان
Olcayto,ewlxu1wybo2w,اولجویتو
Olcaytu,ewlxu1eybo2w,اولجایتو
Olcaytuğ,ewlxu1eybo2wao1,اولجایتوغ
Olcaytürk,ewlxu1ey bo2rk,اولجای ترک
Oldaç,ewldexu3,اولداچ
Oldağ,ewldeao1,اولداغ
Olgaç,ewlao1exu3,اولغاچ
Olgun,ewlao1wbo1,اولغون
Olgunay,ewlao1wbo1 eo6y,اولغون آی
Olguner,ewlao1wbo1 eo5r,اولغون أر
Olgunsoy,ewlao1wbo1zwy,اولغونصوی
Olgunsu,ewlao1wbo1zw,اولغونصو
Olkıvanç,ewlfo2ywebo1xu3,اولقیوانچ
Olpak,ewlbu3efo2,اولپاق
Olpak,ewlbu3ek,اولپاک
Olsan,ewlsebo1,اولسان
Oltu,ewlbo2y,اولتی
Oluk,ewlwfo2,اولوق
Oluş,ewlwso3,اولوش
Olçun,ewlxu3wbo1,اولچون
Omaca,ewmexu1e,اوماجا
Omay,ewmey,اومای
Omaç,ewmexu3,اوماچ
Omur,ewmwr,اومور
Omurca,ewmwrxu1e,اومورجا
Omurtak,ewmwrtefo2,اومورطاق
Onal,ewbo1el,اونال
Onan,ewbo1ebo1,اونان
Onar,ewbo1er,اونار
Onar,ewko3er,اوڭار
Onaral,ewbo1erel,اونارال
Onaral,ewko3erel,اوڭارال
Onaran,ewbo1erebo1,اوناران
Onaran,ewko3erebo1,اوڭاران
Onart,ewko3erbo2,اوڭارت
Onarıcı,ewbo1eryxu1y,اوناریجی
Onarıcı,ewko3eryxu1y,اوڭاریجی
Onat,ewbo1ebo2,اونات
Onatkan,ewbo1ebo2fo2ebo1,اوناتقان
Onatkut,ewbo1ebo2fo2wbo2,اوناتقوت
Onatsü,ewbo1ebo2sw,اوناتسو
Onay,ewbo1ey,اونای
Onbulak,ewbo1bu1wlefo2,اونبولاق
Oner,ewbo1r,اونر
Onerim,ewbo1rym,اونریم
Ongan,ewbo1ao1ebo1,اونغان
Ongay,ewbo1ao1ey,اونغای
Ongu,ewbo1ao1w,اونغو
Ongun,ewbo1ao1wbo1,اونغون
Ongunalp,ewbo1ao1wbo1 eo6lbu3,اونغون آلپ
Onguner,ewbo1ao1wbo1r,اونغونر
Ongunsu,ewbo1ao1wbo1zw,اونغونصو
Ongur,ewbo1ao1wr,اونغور
Ongün,ewbo1kwbo1,اونکون
Ongüner,ewbo1ko7wbo1r,اونگونر
Ongüneş,ewbo1ko7wbo1so3,اونگونش
Onuk,ewbo1wfo2,اونوق
Onuker,ewbo1wfo2 eo5r,اونوق أر
Onuktan,ewbo1wfo2bo2ebo1,اونوقتان
Onuktekin,ewbo1wfo2bo2kybo1,اونوقتکین
Onul,ewbo1wl,اونول
Onultan,ewbo1wlbo2ebo1,اونولتان
Onur,ewbo1wr,اونور
Onurad,ewbo1wreo6d,اونورآد
Onural,ewbo1wreo6l,اونورآل
Onuralp,ewbo1wreo6lbu3,اونورآلپ
Onurhan,ewbo1wrxo1ebo1,اونورخان
Onurkan,ewbo1wrfo2ebo1,اونورقان
Onurlu,ewbo1wrlw,اونورلو
Onursal,ewbo1wrsel,اونورسال
Onursan,ewbo1wrsebo1,اونورسان
Onursay,ewbo1wrzey,اونورصای
Onursev,ewbo1wrsw,اونورسو
Onurseven,ewbo1wrswbo1,اونورسون
Onursoy,ewbo1wrzwy,اونورصوی
Onursu,ewbo1wrzw,اونورصو
Onursü,ewbo1wrsw,اونورسو
Onut,ewbo1wbo2,اونوت
Onuğ,ewbo1wao1,اونوغ
Opak,ewbu3efo2,اوپاق
Opan,ewbu3ebo1,اوپان
Opçin,ewbu3xu3ybo1,اوپچین
