
Pabuçcuoğlu,bu3ebu1wxu3xu1y ewao1ly,پابوچجی اوغلی
Padişah,bu3edso3eh,پادشاه
Pak,bu3ek,پاک
Pakalın,bu3ekelybo1,پاکالین
Pakbaz,bu3ekbu1ero1,پاکباز
Pakdemirli,bu3ekdmyrly,پاکدمیرلی
Pakdil,bu3ekdl,پاکدل
Pakel,bu3ekl,پاکل
Paker,bu3ekr,پاکر
Paki,bu3eky,پاکی
Pakize,bu3ekyro1h,پاکیزه
Pakkan,bu3efo2fo2ebo1,پاققان
Pakman,bu3efo2mebo1,پاقمان
Paksan,bu3efo2sebo1,پاقسان
Paksoy,bu3ekzwy,پاکصوی
Paksu,bu3ekzw,پاکصو
Paksüt,bu3ekswbo2,پاکسوت
Pakân,bu3ekebo1,پاکان
Pala,bu3ele,پالا
Palaoğlu,bu3ele ewao1ly,پالا اوغلی
Palu,bu3elw,پالو
Pamir,bu3emyr,پامیر
Pamuk,bu3emwfo2,پاموق
Pamukoğlu,bu3emwfo2 ewao1ly,پاموق اوغلی
Pamukçu,bu3emwfo2xu1y ewao1ly,پاموقجی اوغلی
Papatya,bu3ebu3ebo2yh,پاپاتیه
Parla,bu3erle,پارلا
Parlak,bu3erlefo2,پارلاق
Parlanur,bu3erlebo1wr,پارلانور
Parlar,bu3erler,پارلار
Pars,bu3ers,پارس
Parsoy,bu3erzwy,پارصوی
Pasin,bu3esybo1,پاسین
Pasinler,bu3esbu2bo1lr,پاسينلر
Pasinli,bu3esybo1ly,پاسینلی
Pavey,bu3ewy,پاوی
Payan,bu3eyebo1,پایان
Paydaş,bu3eydeso3,پایداش
Paye,bu3eyh,پایه
Payende,bu3eybo1dh,پاینده
Payidar,bu3eyder,پایدار
Pazarbaşı,bu1ero1erbu1eso3y,بازارباشی
Pazarcı,bu1ero1erxu1y,بازارجی
Pazarcık,bu3ero1erxu1fo2,پازارجق
Paçacı,bu3exu3h xu1y,پاچه جی
Paçarız,bu3exu3erro1,پاچارز
Paşa,bu3eso3e,پاشا
Pehlevan,bu3hlwebo1,پهلوان
Pehlivan,bu3hlwebo1,پهلوان
Pehlivanlı,bu3hlwebo1ly,پهلوانلی
Pehlivanoğlu,bu3hlwebo1 ewao1ly,پهلوان اوغلی
Pek,bu3k,پک
Pekak,bu3kefo2,پکاق
Pekay,bu3key,پکای
Pekbal,bu3kbu1el,پکبال
Pekcan,bu3kxu1xu1ebo1,پکججان
Pekdeğer,bu3kdko7r,پکدگر
Pekel,bu3kl,پکل
Peker,bu3kr,پکر
Pekin,bu3kybo1,پکین
Pekin,bu3kyko3,پکیڭ
Pekkan,bu3kfo2ebo1,پکقان
Pekkan,bu3kkebo1,پککان
Pekkip,bu3kkybu3,پککیپ
Peksu,bu3kzw,پکصو
Pektaş,bu3kteso3,پکطاش
Pekuslu,bu3k ewzly,پک اوصلی
Peköz,bu3kwro1,پکوز
Pekşen,bu3kso3bo1,پکشن
Pelin,bu3lybo1,پلین
Pelit,bu3lyd,پلید
Pelvan,bu3lwebo1,پلوان
Pembe,bu3bo1bu1h,پنبه
Pembegül,bu3bo1bu1h ko7l,پنبه گل
Pencap,bu3bo1xu1ebu1,پنجاب
Pencap,bu3bo1xu1ebu3,پنجاپ
Pepe,bu3bu3h,پپه
Pepeyi,bu3bu3h yy,پپه یی
Peren,bu3rbo1,پرن
Peri,bu3ry,پری
Perican,bu3ryxu1ebo1,پریجان
Peride,bu3rydh,پریده
Perihan,bu3ryxo1ebo1,پریخان
Perin,bu3rybo1,پرین
Perinişan,bu3rybo1yso3ebo1,پرینیشان
Perinur,bu3rybo1wr,پرینور
Perinçek,bu3rybo1xu3k,پرینچک
Perinçek,bu3ryko3xu3k,پریڭچک
Periru,bu3ryrw,پریرو
Periveş,bu3rywso3,پریوش
Perizat,bu3ryro1ebo2,پریزات
Perize,bu3ryro1h,پریزه
Periçehre,bu3ryxu3hrh,پریچهره
Perker,bu3rkr,پرکر
Perkün,bu3rkwbo1,پرکون
Perli,bu3rly,پرلی
Permek,bu3rmk,پرمک
Permun,bu3rmwbo1,پرمون
Perran,bu3rebo1,پران
Pertek,bu3rbo2k,پرتک
Pertev,bu3rbo2w,پرتو
Peruze,bu3rwro1h,پروزه
Pervane,bu3rwebo1h,پروانه
Perver,bu3rwr,پرور
Pervin,bu3rwybo1,پروین
Perviz,bu3rwyro1,پرویز
Pervâri,bu3rwery,پرواری
Perçem,bu3rxu3m,پرچم
Perçin,bu3rxu3ybo1,پرچین
Pesen,bu3sbo1,پسن
Pesent,bu3sbo1bo2,پسنت
Pestilci,bu3sbo2ylxu1y,پستیلجی
Petek,bu3bo2k,پتک
Peyker,bu3ykr,پیکر
Peyman,bu3ymebo1,پیمان
Piran,bu3yrebo1,پیران
Piraye,bu3yreyh,پیرایه
Pirinççioğlu,bu3rbo1xu1xu1y ewao1ly,پرنججی اوغلی
Piriştina,bu3yryso3bo2ybo1h,پیریشتینه
Piruzbeyoğlu,bu3yrwro1bu1ko7 ewao1ly,پیروزبگ اوغلی
Piruze,bu3yrwro1h,پیروزه
Pişkinsüt,bu3yso3kybo1swbo2,پیشکینسوت
Polat,bu3wled,پولاد
Polatkan,bu3wledfo2ebo1,پولادقان
Polatlı,bu3wletly,پولاطلی
Polonya,bu3wlwbo1bu2e,پولونيا
Polyanna,bu3wlyebo1bo1e,پولیاننا
Poroy,bu3wrwy,پوروی
Portekiz,bu3wrbo2kbu2ro1,پورتکيز
Posof,bu3wsxo1wfo1,پوسخوف
Postacı,bu3wsbo2h xu1y,پوسته جی
Potuoğlu,bu3wbo2wewao1ly,پوتواوغلی
Poyraz,bu3wyrero1,پویراز
Poyrazoğlu,bu3wyrero1 ewao1ly,پویراز اوغلی
Poçan,bu3wxu3ebo1,پوچان
Prens,bu3rh||bo1s,پره‌نس
Prenses,bu3rbo1ss,پرنسس
