
Rab,rbu1,رب
Rabbani,rebu1ebo1y,رابانی
Rabi,rebu1a,رابع
Rabia,rebu1ah,رابعه
Rabih,rebu1x,رابح
Raci,rexu1y,راجی
Racih,rexu1x,راجح
Raciye,rexu1yh,راجیه
Radi,redy,رادی
Radife,redfo1h,رادفه
Radiye,rezo1yh,راضیه
Rafet,refo1bo2,رافت
Rafettin,refo1a eldybo1,رافع الدین
Rafi,refo1y,رافی
Rafia,refo1ah,رافعه
Rafih,refo1h,رافه
Ragibe,reao1bu1h,راغبه
Ragip,reao1bu1,راغب
Ragıp,reao1bu1,راغب
Rahi,rexy,راحی
Rahile,rexlh,راحله
Rahim,rexm,راحم
Rahim,rxym,رحیم
Rahime,rxymh,رحیمه
Rahiye,rehyh,راهیه
Rahman,rxmebo1,رحمان
Rahmani,rexmebo1y,راحمانی
Rahmet,rxmbo2,رحمت
Rahmeti,rxmbo2y,رحمتی
Rahmetullah,rxmbo2 ellh,رحمت الله
Rahmi,rxmy,رحمی
Rahmiye,rxmyh,رحمیه
Rahmân,rxmbo1,رحمن
Rahmân,rxmebo1,رحمان
Rahîm,rxbu2m,رحيم
Rahşan,rxo1so3ebo1,رخشان
Rahşende,rxo1so3bo1dh,رخشنده
Raif,rebo5fo1,رائف
Raife,rebo5fo1h,رائفه
Raik,rebo5fo2,رائق
Raika,rebo5fo2h,رائقه
Rakibe,rekbu1h,راکبه
Rakide,rekdh,راکده
Rakime,rfo2ymh,رقیمه
Rakip,rekbu1,راکب
Rakım,rfo2ym,رقیم
Rakıme,rfo2ymh,رقیمه
Ramazan,rmzo1ebo1,رمضان
Ramazanoğlu,rmzo1ebo1 ewao1ly,رمضان اوغلی
Rami,remy,رامی
Ramis,rems,رامس
Ramiye,remyh,رامیه
Ramiz,remro1,رامز
Ramoğlu,rem ewao1ly,رام اوغلی
Rana,rabo1e,رعنا
Rasih,resxo1,راسخ
Rasiha,resxo1h,راسخه
Rasim,resm,راسم
Rasime,resmh,راسمه
Rasin,rzybo1,رصین
Rasiye,resyh,راسیه
Ratibe,rebo2bu1h,راتبه
Ratip,retbu1,راطب
Rauf,rwfo1,روف
Raufe,rwfo1h,روفه
Ravza,rwzo1h,روضه
Ray,rey,رای
Rayet,reybo2,رایت
Rayiha,reyxh,رایحه
Rayıhan,reyxo1ebo1,رایخان
Razi,rero1y,رازی
Raziye,rezo1yh,راضیه
Razzâk,rro1efo2,رزاق
Razı,rezo1y,راضی
Rağbet,rao1bu1bo2,رغبت
Raşide,reso3dh,راشده
Raşit,reso3d,راشد
Rebi,rbu1y,ربی
Rebia,rbu1yah,ربیعه
Rebii,rbu1yay,ربیعی
Rebiyye,rbu1yh,ربیه
Reca,rxu1e,رجا
Recai,rxu1ebo5,رجائ
Recep,rxu1bu1,رجب
Refah,rfo1eh,رفاه
Refahet,rfo1ehbo2,رفاهت
Refet,rbo5fo1bo2,رئفت
Refettin,rfo1c eldybo1,رفء الدین
Refhan,rfo1hebo1,رفهان
Refi,rfo1y,رفی
Refi,rfo1ya,رفیع
Refia,rfo1yah,رفیعه
Refih,rfo1yh,رفیه
Refihe,rfo1yhh,رفیهه
Refii,rfo1yay,رفیعی
Refik,rfo1yfo2,رفیق
Refika,rfo1yfo2h,رفیقه
Refiye,rfo1yh,رفیه
Refiğ,rfo1yao1,رفیغ
Reftar,rfo1bo2er,رفتار
Refâhiye,rfo1ehbu2h,رفاهيه
Regaip,rao1ebo5bu1,رغائب
Reha,rhe,رها
Reha,rxo1e,رخا
Rehayeddin,rhey eldybo1,رهای الدین
Rehber,rhbu1r,رهبر
Reis,rbo5ys,رئیس
Rekin,rkybo1,رکین
Rekine,rkybo1h,رکینه
Remide,rmydh,رمیده
Remzi,rmro1y,رمزی
Remziye,rmro1yh,رمزیه
Renan,rbo1ebo1,رنان
Renda,rbo1dh,رنده
Rengin,rbo1ko7ybo1,رنگین
Renginar,rbo1ko7 bo1er,رنگ نار
Resai,rsebo5y,رسائی
Resane,rsebo1h,رسانه
Reset,rsbo2,رست
Reside,rsydh,رسیده
Resmigül,rsm ko7l,رسم گل
Resmiye,rsmyh,رسمیه
Resmor,rsmwr,رسمور
Resmî,rsmy,رسمی
Resul,rswl,رسول
Resulhan,rswlxo1ebo1,رسولخان
Revan,rwebo1,روان
Reviş,rwyso3,رویش
Revza,rwzo1h,روضه
Rey,ry,ری
Reyhan,ryxo1ebo1,ریخان
Reyya,rye,ریا
Reyyan,ryebo1,ریان
Rezan,rro1ebo1,رزان
Rezin,rro1ybo1,رزین
Rezzak,rro1efo2,رزاق
Rezzan,rro1ebo1,رزان
Reşa,rso3h,رشه
Reşat,rso3ed,رشاد
Reşid,rso3yd,رشید
Reşide,rso3ydh,رشیده
Reşididdin,rso3ydeldybo1,رشیدالدین
Reşik,rso3yfo2,رشیق
Reşit,rso3yd,رشید
Reşâdiye,rso3edbu2h,رشاديه
Re’sülayn,reo5selabu2bo1,رأسالعين
Rical,rxu1el,رجال
Rifat,rfo1abo2,رفعت
Rikap,rfo2ebu1,رقاب
Rikap,rkebu1,رکاب
Rikkat,rfo2bo2,رقت
Rindan,rbo1debo1,رندان
Risalet,rselbo2,رسالت
Risalettin,rsel eldybo1,رسال الدین
Rize,rbu2ro1h,ريزه
Rize,ryro1h,ریزه
Roma,rwme,روما
Romalı,rwmely,رومالی
Romanya,rwmebo1bu2e,رومانيا
Romanyalı,rwmebo1bu2ely,رومانيالی
Rona,rwbo1h,رونه
Ruat,rwed,رواد
Ruhan,rwxebo1,روحان
Ruhani,rwxebo1y,روحانی
Ruhcan,rwxxu1ebo1,روحجان
Ruhfeza,rwxfo1zo1e,روحفضا
Ruhi,rwxy,روحی
