
Saadet,saedbo2,سعادت
Saadettin,sad eldybo1,سعد الدین
Saatçi,seabo2xu1y,ساعتجی
Saba,zbu1e,صبا
Sabah,zbu1ex,صباح
Sabahat,zbu1exbo2,صباحت
Sabahattin,zbu1ex eldybo1,صباح الدین
Sabahnur,zbu1exbo1wr,صباحنور
Sabancı,zbu1ebo1xu1y,صبانجی
Sabar,zbu1er,صبار
Sabbar,zbu1er,صبار
Sabih,sebu1x,سابح
Sabih,zebu1x,صابح
Sabiha,sebu1xh,سابحه
Sabir,zbu1yr,صبیر
Sabire,zbu1yrh,صبیره
Sabis,bo3ebu1ys,ثابیس
Sabis,zebu1ys,صابیس
Sabit,bo3ebu1bo2,ثابت
Sabite,bo3ebu1bo2h,ثابته
Sabiye,zebu1bo5yh,صابئیه
Sabiye,zebu1yh,صابیه
Sabri,zbu1ry,صبری
Sabrinnisa,zbu1relbo1se,صبرالنسا
Sabriye,zbu1ryh,صبریه
Sabuncu,zebu1wbo1xu1y,صابونجی
Sabuniş,zebu1wbo1yso3,صابونیش
Sabur,zbu1wr,صبور
Sabutay,zbu1wbo2ey,صبوتای
Sabıka,sebu1fo2h,سابقه
Sabır,zbu1r,صبر
Sacide,sexu1dh,ساجده
Sacit,sexu1d,ساجد
Sada,zde,صدا
Sadak,zdefo2,صداق
Sadak,zdfo2,صدق
Sadakat,zdefo2bo2,صداقت
Sadberk,zedbu1rk,صادبرک
Sadedil,sedh dl,ساده دل
Sadegül,sedh ko7l,ساده گل
Sadettin,sad eldybo1,سعد الدین
Sadhezar,zed hro1er,صاد هزار
Sadi,sady,سعدی
Sadice,sedxu1h,سادجه
Sadir,sedr,سادر
Sadir,zedr,صادر
Sadiye,sadyh,سعدیه
Sadrettin,zdreldybo1,صدرالدین
Sadri,zdry,صدری
Sadriye,zdryh,صدریه
Sadullah,sadellh,سعدالله
Sadun,sedwbo1,سادون
Sadık,zedfo2,صادق
Sadıka,zedfo2h,صادقه
Safa,zfo1e,صفا
Safder,zfo1dr,صفدر
Safer,zfo1r,صفر
Saffet,zfo1bo2,صفت
Safi,zefo1y,صافی
Safi,zfo1y,صفی
Safinaz,zfo1ybo1ero1,صفیناز
Safinur,zfo1ybo1wr,صفینور
Safir,zefo1r,صافر
Safire,zefo1rh,صافره
Safiye,zfo1yh,صفیه
Safiyet,zfo1ybo2,صفیت
Safiyüddin,zfo1bu2 eldybo1,صفي الدین
Safranbolu,ro1afo1rebo1bu1wly,زعفرانبولی
Safter,zfo1bo2r,صفتر
Safıgül,zfo1y ko7l,صفی گل
Sagay,zeao1ey,صاغای
Sahabi,zxebu1h,صحابه
Sahavet,sxo1ewbo2,سخاوت
Sahba,zhbu1e,صهبا
Sahibe,zexbu1h,صاحبه
Sahil,sexl,ساحل
Sahil,zexl,صاحل
Sahip,zexbu1,صاحب
Sahir,sexr,ساحر
Sahire,sexrh,ساحره
Sahra,sexrh,ساحره
Sahure,sxwrh,سحوره
Saibe,sebo5bu1h,سائبه
Said,sayd,سعید
Saide,saydh,سعیده
Saika,sebo5fo2h,سائقه
Saim,zebo5m,صائم
Saime,zebo5mh,صائمه
Saip,zebo5bu1,صائب
Sair,sebo5r,سائر
Saire,sebo5rh,سائره
Sait,sayd,سعید
Sak,zefo2,صاق
Saka,sefo2h,ساقه
Sakallıoğlu,zfo2elly ewao1ly,صقاللی اوغلی
Sakaroğlu,sfo2r ewao1ly,سقر اوغلی
Sakarya,sefo2eryh,ساقاریه
Saki,sefo2y,ساقی
Sakibe,sekbu1h,ساکبه
Sakin,sekbo1,ساکن
Sakine,sekbo1h,ساکنه
Sakman,zefo2mebo1,صاقمان
Sakıcı,zefo2yxu1y,صاقیجی
Sakık,zefo2yfo2,صاقیق
Sakın,zefo2ybo1,صاقین
Sakıp,bo3efo2bu1,ثاقب
Sal,sel,سال
Sal,zel,صال
Sala,zle,صلا
Salan,zlebo1,صلان
Salcan,zlxu1ebo1,صلجان
Saldam,zldem,صلدام
Salgur,zlao1wr,صلغور
Sali,sely,سالی
Sali,zely,صالی
Salih,zelx,صالح
Saliha,zelxh,صالحه
Salim,selm,سالم
Salime,selmh,سالمه
Salis,bo3elbo3,ثالث
Salise,bo3elbo3h,ثالثه
Salkım,zelfo2ym,صالقیم
Salkın,zlfo2ybo1,صلقین
Salman,slmebo1,سلمان
Saltan,sltebo1,سلطان
Saltanat,sltbo1bo2,سلطنت
Saltik,zelbo2yk,صالتیک
Saltuk,zlbo2wfo2,صلتوق
Saltukalp,zlbo2wfo2 eo6lbu3,صلتوق آلپ
Saltuğ,zelbo2wao1,صالتوغ
Saltı,zlbo2y,صلتی
Saltık,zelbo2yfo2,صالتیق
Saltık,zlbo2yfo2,صلتیق
Saltıkgil,zelbo2yfo2ko7yl,صالتیقگیل
Salur,zlwr,صلور
Salurbay,zlwrbu1ey,صلوربای
Salâh,zlex,صلاح
Salâhattin,zlex eldybo1,صلاح الدین
Salâhi,zlexy,صلاحی
Salâr,zler,صلار
Salıcı,zelyxu1y,صالیجی
Salık,zlyfo2,صلیق
Salıkbey,zlyfo2 bu1ko7,صلیق بگ
Salıkbike,zelyfo2 bu1ykh,صالیق بیکه
Salınbike,zelyko3 bu1ykh,صالیڭ بیکه
Samahat,zmexebo2,صماحات
Samancı,zmebo1xu1y,صمانجی
Samani,zmebo1y,صمانی
Samanlı,zmebo1ly,صمانلی
Samanur,semh bo1wr,سامه نور
Samet,zmd,صمد
Sami,sema,سامع
Samih,semx,سامح
Samiha,semxh,سامحه
Samim,zmym,صمیم
Samime,zmymh,صمیمه
Samimi,zmymy,صمیمی
Samin,bo3embo1,ثامن
Samin,sembo1,سامن
Samir,bo3emr,ثامر
Samir,semr,سامر
Samire,semrh,سامره
Samiye,semayh,سامعیه
Samsun,zemswbo1,صامسون
Samur,smwr,سمور
Samuray,zmwreo6y,صمورآی
Samurtay,zmwrbo2ey,صمورتای
San,sebo1,سان
San,zebo1,صان
Sanak,zebo1efo2,صاناق
Sanal,sebo1el,سانال
Sanalan,zebo1elebo1,صانالان
Sanalp,zebo1 eo6lbu3,صان آلپ
Sanat,zbo1abo2,صنعت
Sanavber,zbo1wbu1r,صنوبر
Sanay,zebo1ey,صانای
Sanaz,zebo1ero1,صاناز
Sanaç,zebo1exu3,صاناچ
Sanbay,zebo1bu1ey,صانبای
Sanberk,zebo1bu1rk,صانبرک
Sancak,sbo1xu1efo2,سنجاق
Sancaklı,sbo1xu1efo2ly,سنجاقلی
Sancaktar,sbo1xu1efo2der,سنجاقدار
Sancar,zebo1xu1er,صانجار
Sancarhan,zebo1xu1erxo1ebo1,صانجارخان
Sanduç,zebo1dwxu3,صاندوچ
Sandıklı,zbo1dbu2fo2ly,صنديقلی
Sandıkçıoğlu,zbo1dwfo2xu1y ewao1ly,صندوقجی اوغلی
Sanem,zbo1m,صنم
Sanemnur,zbo1mbo1wr,صنمنور
Saner,zebo1r,صانر
Sanevber,zbo1wbu1r,صنوبر
Sani,bo3ebo1y,ثانی
Sani,zebo1a,صانع
Sania,zbo1yah,صنیعه
Sanih,sebo1x,سانح
Saniha,sebo1xh,سانحه
Sanioğlu,bo3ebo1y ewao1ly,ثانی اوغلی
Saniye,bo3ebo1yh,ثانیه
Sanlı,zebo1ly,صانلی
Sannur,zebo1bo1wr,صاننور
Sanver,zebo1 wyr,صان ویر
Sanver,zebo1wr,صانور
Sançar,zebo1xu3er,صانچار
Sanıvar,zebo1ywer,صانیوار
Sanşın,zebo1so3ybo1,صانشین
Sapan,zebu3ebo1,صاپان
Sar,zer,صار
Sara,sere,سارا
Saral,zreo6l,صرآل
Saran,zerebo1,صاران
Saray,zrey,صرای
Sarayköy,srey kwy,سرای کوی
Saraç,srexu3,سراچ
Saraç,zerexu3,صاراچ
Saraçlar,zerexu3lr,صاراچلر
