
Tabak,tbu1efo2,طباق
Tabende,bo2ebu1bo1dh,تابنده
Tabende,tebu1bo1dh,طابنده
Tabgaç,bo2ebu1ao1exu3,تابغاچ
Tacal,bo2exu1el,تاجال
Tacettin,bo2exu1 eldybo1,تاج الدین
Taci,bo2exu1y,تاجی
Tacim,bo2axu1ym,تعجیم
Tacir,bo2exu1r,تاجر
Taciser,bo2exu1ysr,تاجیسر
Tacver,bo2exu1wr,تاجور
Tacızer,bo2exu1 ro1r,تاج زر
Taflan,tefo1lebo1,طافلان
Taflıoğlu,bo2efo1ly ewao1ly,تافلی اوغلی
Taflıoğlu,tfo1ly ewao1ly,طفلی اوغلی
Tagan,teao1ebo1,طاغان
Tagangül,teao1ebo1ko7l,طاغانگل
Tagay,bo2eao1ey,تاغای
Taha,tehe,طاها
Taha,th,طه
Tahir,tehr,طاهر
Tahire,tehrh,طاهره
Tahralı,tehrely,طاهرالی
Tahralı,texo1rely,طاخرالی
Tahralı,texrely,طاحرالی
Tahsin,bo2xsybo1,تحسین
Tahsine,bo2xsybo1h,تحسینه
Tahtakılıç,bo2xo1bo2h fo2ylyxu3,تخته قیلیچ
Taibe,tebo5bu1h,طائبه
Taip,bo2ebo5bu1,تائب
Takdir,bo2fo2dyr,تقدیر
Taki,bo2eky,تاکی
Taki,bo2fo2y,تقی
Takiye,bo2fo2yh,تقیه
Takiyettin,bo2fo2y eldybo1,تقی الدین
Talas,bo2eles,تالاس
Talas,teles,طالاس
Talay,bo2eley,تالای
Talayer,bo2eleyr,تالایر
Talayhan,bo2eleyxo1ebo1,تالایخان
Talaykan,bo2eleyfo2ebo1,تالایقان
Talaykoç,bo2eleyfo2wxu3,تالایقوچ
Talaykurt,bo2eleyfo2wrbo2,تالایقورت
Talaykut,bo2eleyfo2wbo2,تالایقوت
Talayman,bo2eleymebo1,تالایمان
Talaz,bo2elero1,تالاز
Talaz,telero1,طالاز
Talha,tlxh,طلحه
Tali,bo2ely,تالی
Talia,telah,طالعه
Talibe,telbu1h,طالبه
Talih,bo2elx,تالح
Taliha,telxh,طالحه
Talip,telbu1,طالب
Taliye,bo2alyh,تعلیه
Taliye,bo2elyh,تالیه
Talu,bo2elw,تالو
Talu,bo2ely,تالی
Talu,telw,طالو
Taluy,telwy,طالوی
Taluyhan,telwyxo1ebo1,طالویخان
Talât,tlabo2,طلعت
Tamal,bo2emel,تامال
Tamam,bo2mem,تمام
Tamar,bo2emer,تامار
Tamay,bo2emey,تامای
Tamaydın,bo2emeydybo1,تامایدین
Tamaylıgil,bo2emeylyko7yl,تامایلیگیل
Tamaç,bo2emexu3,تاماچ
Tambi,bo2embu1y,تامبی
Tamer,bo2emr,تامر
Tamerk,bo2em erk,تام ارک
Tamgül,bo2emko7l,تامگل
Tamkan,bo2emfo2ebo1,تامقان
Tamkoç,bo2emfo2wxu3,تامقوچ
Tamkurt,bo2emfo2wrbo2,تامقورت
Tamkut,bo2emfo2wbo2,تامقوت
Tamtürk,bo2em bo2rk,تام ترک
Tamçelik,bo2emxu3lyk,تامچلیک
Tan,bo2ebo1,تان
Tan,tebo1,طان
Tan,teko3,طاڭ
Tanak,bo2ebo1efo2,تاناق
Tanal,bo2ebo1el,تانال
Tanal,teko3 eo6l,طاڭ آل
Tanal,teko3el,طاڭال
Tanalp,bo2ebo1eo6lbu3,تانآلپ
Tanaltan,bo2ebo1 eo6lbo2ebo1,تان آلتان
Tanaltay,bo2ebo1 eo6lbo2ey,تان آلتای
Tanay,bo2ebo1ey,تانای
Tanaydın,bo2ebo1ydybo1,تانیدین
Tanaydın,teko3eydybo1,طاڭایدین
Tanaçan,bo2ebo1exu3ebo1,تاناچان
Tanaçar,bo2ebo1exu3er,تاناچار
Tanağar,bo2ebo1eo6ao1er,تانآغار
Tanbay,bo2ebo1 bu1ey,تان بای
Tanbek,bo2ebo1bu1k,تانبک
Tanberk,bo2ebo1bu1rk,تانبرک
Tanbey,bo2ebo1bu1ko7,تانبگ
Tanbolat,bo2ebo1bu3wled,تانپولاد
Tanboğa,bo2ebo1bu1wao1h,تانبوغه
Tancan,bo2ebo1xu1ebo1,تانجان
Tandan,bo2ebo1debo1,تاندان
Tandan,teko3 dbo1,طاڭ دن
Tandoruk,bo2ebo1twrwfo2,تانطوروق
Tandoğan,bo2ebo1twao1ebo1,تانطوغان
Tandoğan,tebo1dwao1ebo1,طاندوغان
Tandoğan,tebo1twao1ebo1,طانطوغان
Tandoğdu,bo2ebo1twao1dy,تانطوغدی
Tandoğmuş,bo2ebo1twao1mso3,تانطوغمش
Tanegül,bo2ebo1h ko7l,تانه گل
Tanel,bo2ebo1 eo5l,تان أل
Tanelgin,bo2ebo1lko7ybo1,تانلگین
Taner,bo2ebo1r,تانر
Tanerk,bo2ebo1rk,تانرک
Tanfer,bo2ebo1fo1r,تانفر
Tangör,bo2ebo1ko7wr,تانگور
Tangül,teko3 ko7l,طاڭ گل
Tangülü,teko3ko7lw,طاڭگلو
Tangün,bo2ebo1ko7wbo1,تانگون
Tangüner,bo2ebo1ko7wbo1r,تانگونر
Tangüç,bo2ebo1ko7wxu3,تانگوچ
Tanhan,bo2ebo1xo1ebo1,تانخان
Tanhatun,teko3 xo1ebo2wbo1,طاڭ خاتون
Tanju,bo2ebo1ro3w,تانژو
Tanju,tebo1ro3w,طانژو
Tankan,bo2ebo1fo2ebo1,تانقان
Tankoç,bo2ebo1fo2wxu3,تانقوچ
Tankurt,bo2ebo1fo2wrbo2,تانقورت
Tankut,bo2ebo1fo2wbo2,تانقوت
Tankut,tebo1fo2wbo2,طانقوت
Tankutlu,bo2ebo1fo2wbo2lw,تانقوتلو
Tanla,bo2ebo1lh,تانله
Tanla,tebo1le,طانلا
Tanlak,bo2ebo1lefo2,تانلاق
